OGEN,Oragenics,NASDAQ
0.30,0.32,0.32,0.30
0.32,0.45,0.50,0.32
0.45,0.39,0.45,0.39
0.40,0.44,0.45,0.40
0.37,0.42,0.45,0.37
0.42,0.57,0.60,0.42
0.60,0.65,0.65,0.55
0.65,0.90,0.95,0.62
0.98,0.70,1.02,0.65
0.68,0.62,0.70,0.57
0.70,0.65,0.70,0.62
0.72,0.70,0.72,0.68
0.70,0.69,0.70,0.65
0.65,0.66,0.66,0.64
0.67,0.60,0.67,0.55
0.57,0.55,0.60,0.55
0.57,0.60,0.60,0.57
0.60,0.58,0.60,0.57
0.58,0.60,0.60,0.58
0.60,0.50,0.60,0.49
0.55,0.59,0.59,0.52
0.55,0.58,0.60,0.55
0.58,0.60,0.60,0.56
0.55,0.58,0.60,0.55
0.60,0.60,0.60,0.60
0.60,0.55,0.60,0.55
0.56,0.57,0.60,0.56
0.57,0.55,0.57,0.55
0.55,0.56,0.56,0.55
0.56,0.54,0.56,0.54
0.55,0.50,0.55,0.50
0.51,0.42,0.51,0.42
0.49,0.49,0.49,0.42
0.49,0.42,0.49,0.42
0.42,0.41,0.42,0.40
0.44,0.44,0.44,0.44
0.50,0.50,0.50,0.50
0.50,0.53,0.53,0.44
0.53,0.53,0.53,0.44
0.53,0.49,0.65,0.47
0.55,0.55,0.60,0.55
0.59,0.59,0.59,0.59
0.60,0.62,0.64,0.57
0.63,0.58,0.63,0.58
0.60,0.60,0.60,0.60
0.60,0.60,0.64,0.60
0.60,0.64,0.67,0.60
0.64,0.64,0.64,0.64
0.65,0.61,0.65,0.61
0.64,0.60,0.64,0.60
0.60,0.60,0.62,0.60
0.62,0.62,0.64,0.60
0.67,0.67,0.67,0.62
0.67,0.60,0.67,0.60
0.60,0.60,0.60,0.60
0.63,0.62,0.63,0.62
0.60,0.60,0.65,0.60
0.66,0.60,0.66,0.60
0.61,0.62,0.63,0.60
0.61,0.62,0.62,0.55
0.60,0.57,0.66,0.54
0.60,0.60,0.61,0.60
0.52,0.60,0.60,0.52
0.52,0.54,0.58,0.52
0.58,0.61,0.61,0.58
0.61,0.60,0.63,0.60
0.65,0.63,0.65,0.60
0.65,0.70,0.73,0.65
0.60,0.70,0.72,0.60
0.70,0.70,0.72,0.70
0.70,0.71,0.72,0.70
0.70,0.70,0.71,0.70
0.65,0.65,0.66,0.65
0.66,0.68,0.68,0.66
0.68,0.62,0.68,0.60
0.61,0.61,0.61,0.61
0.64,0.66,0.66,0.64
0.66,0.68,0.68,0.66
0.68,0.68,0.68,0.67
0.67,0.68,0.70,0.67
0.67,0.67,0.67,0.67
0.68,0.70,0.70,0.68
0.70,0.70,0.70,0.69
0.70,0.68,0.70,0.68
0.68,0.65,0.69,0.65
0.65,0.65,0.65,0.65
0.65,0.64,0.68,0.63
0.66,0.66,0.66,0.66
0.67,0.70,0.70,0.67
0.67,0.67,0.67,0.67
0.67,0.67,0.67,0.67
0.67,0.66,0.67,0.66
0.65,0.55,0.65,0.52
0.55,0.55,0.55,0.55
0.59,0.60,0.62,0.55
0.60,0.60,0.60,0.60
0.55,0.55,0.55,0.54
0.55,0.55,0.55,0.55
0.54,0.53,0.54,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.53,0.53,0.53,0.53
0.52,0.50,0.52,0.45
0.50,0.49,0.50,0.49
0.44,0.50,0.50,0.42
0.51,0.48,0.51,0.42
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.45,0.42,0.45,0.42
0.43,0.42,0.45,0.41
0.42,0.42,0.42,0.42
0.41,0.48,0.48,0.34
0.47,0.47,0.47,0.47
0.47,0.47,0.47,0.47
0.35,0.48,0.48,0.35
0.46,0.47,0.48,0.46
0.42,0.45,0.45,0.42
0.45,0.40,0.45,0.40
0.40,0.40,0.40,0.40
0.36,0.35,0.36,0.35
0.35,0.47,0.50,0.35
0.46,0.46,0.46,0.46
0.35,0.35,0.40,0.34
0.35,0.34,0.35,0.34
0.38,0.38,0.40,0.37
0.38,0.38,0.38,0.38
0.37,0.35,0.37,0.35
0.35,0.35,0.35,0.35
