SHW,Sherwin-Williams Company (The) Common Stock,NASDAQ
62.14,61.67,62.14,61.17
61.59,60.21,61.86,59.55
60.39,59.42,61.02,58.92
59.42,59.95,60.47,59.42
59.94,60.46,60.47,59.78
61.97,59.63,61.97,58.54
59.42,59.42,60.34,59.25
59.61,60.18,60.36,59.61
60.26,60.53,60.71,60.13
60.27,59.19,60.27,59.17
58.88,59.37,59.42,58.30
59.04,58.79,59.04,58.44
58.70,58.61,59.52,58.37
58.63,58.00,59.19,57.86
58.52,58.92,59.39,58.26
62.80,62.83,64.30,62.56
62.83,63.87,64.06,62.28
64.08,63.58,64.08,63.13
63.66,63.35,64.63,63.08
63.77,64.62,64.75,63.50
64.85,65.56,65.62,63.80
65.33,64.25,65.33,63.95
64.13,63.85,64.17,63.49
64.02,63.90,64.25,62.86
63.98,63.20,64.10,63.11
63.64,63.77,64.41,63.47
63.60,62.98,63.65,62.60
62.99,63.73,63.78,62.90
63.16,63.95,64.04,62.65
64.25,64.54,64.80,64.18
64.91,65.04,65.42,64.83
65.09,65.23,65.34,64.31
64.95,65.37,65.64,64.80
65.52,64.81,65.74,64.67
64.47,64.13,65.03,64.06
64.10,64.39,64.57,63.86
63.81,64.34,64.40,63.34
64.41,63.38,64.45,63.33
63.60,63.74,63.98,63.04
64.17,64.08,64.23,63.65
64.29,64.01,64.41,63.85
64.20,64.73,65.15,64.13
65.11,65.16,65.33,64.77
65.32,65.26,65.56,64.97
64.91,65.50,65.99,64.91
65.39,64.70,65.39,64.40
65.27,65.25,65.27,63.89
65.44,65.54,65.67,65.04
65.60,65.61,65.65,65.09
65.70,65.07,65.70,64.52
65.12,65.76,66.17,64.94
65.68,65.28,66.10,65.28
65.30,65.30,65.57,65.03
65.11,65.76,66.15,64.84
65.77,66.46,66.52,65.43
66.32,65.85,66.46,65.56
66.20,66.40,67.09,65.87
66.64,66.84,67.16,66.50
67.13,67.01,67.39,66.84
67.04,66.97,67.41,66.94
66.80,67.68,68.03,66.63
67.81,68.25,68.82,67.81
68.18,68.99,69.13,68.08
68.75,69.87,69.93,68.40
69.78,69.85,70.24,69.24
69.31,70.84,71.26,68.92
70.91,71.21,71.32,70.20
71.36,72.31,72.78,71.02
71.96,72.33,72.38,71.79
72.51,72.79,72.81,71.77
72.64,73.49,73.65,72.38
73.36,72.96,73.52,72.63
72.35,73.17,73.18,72.14
73.32,73.98,74.14,73.23
73.73,74.31,74.68,73.73
73.11,79.33,79.55,73.11
78.03,79.54,79.65,77.84
79.71,79.94,80.33,79.10
79.06,79.41,80.21,78.41
79.56,79.32,79.73,78.89
79.79,79.15,79.86,78.86
79.29,78.07,79.64,78.02
78.18,80.01,80.22,77.78
79.36,78.45,79.36,77.84
77.78,77.05,78.39,76.66
76.77,76.33,77.72,73.67
76.25,75.95,78.02,75.48
77.34,79.45,79.53,77.34
78.52,79.48,80.49,78.41
79.81,80.42,80.53,79.78
80.04,78.22,80.23,77.97
77.88,77.74,78.45,77.07
78.19,79.12,79.24,77.40
79.59,78.08,79.67,77.77
77.25,77.93,78.20,76.39
76.55,75.40,76.84,75.04
74.82,75.72,76.28,74.00
74.05,75.88,77.05,74.03
74.60,75.52,75.88,73.79
76.41,75.06,76.91,74.78
76.26,77.10,77.12,75.45
76.98,76.63,77.24,75.99
76.01,76.40,78.23,76.01
76.55,77.25,77.48,76.12
77.37,76.88,77.79,76.32
75.83,74.91,76.10,74.67
74.82,73.60,75.26,73.60
73.56,73.87,73.97,72.78
74.47,74.09,75.23,73.82
75.07,76.17,76.30,74.70
75.80,76.64,76.64,75.40
76.79,76.63,77.98,76.58
77.09,77.92,77.92,76.87
77.69,77.24,78.40,76.85
