UNXL,Uni-Pixel,NASDAQ
0.38,0.40,0.40,0.38
0.40,0.50,0.50,0.40
0.50,0.42,0.50,0.40
0.45,0.44,0.45,0.44
0.40,0.44,0.44,0.40
0.44,0.40,0.44,0.40
0.42,0.41,0.42,0.41
0.49,0.43,0.49,0.40
0.43,0.43,0.43,0.42
0.43,0.43,0.43,0.43
0.35,0.39,0.39,0.35
0.39,0.39,0.39,0.39
0.38,0.44,0.44,0.38
0.38,0.40,0.40,0.37
0.40,0.35,0.40,0.35
0.39,0.35,0.40,0.35
0.40,0.37,0.40,0.35
0.40,0.43,0.43,0.40
0.40,0.41,0.41,0.35
0.40,0.40,0.40,0.40
0.35,0.40,0.40,0.35
0.40,0.40,0.40,0.40
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.35,0.40,0.40,0.35
0.40,0.40,0.40,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.32,0.32,0.32,0.32
0.32,0.33,0.33,0.29
0.30,0.30,0.32,0.30
0.28,0.30,0.30,0.26
0.30,0.31,0.32,0.30
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.22,0.25,0.25,0.15
0.28,0.28,0.28,0.28
0.28,0.28,0.28,0.28
0.28,0.27,0.28,0.25
0.27,0.27,0.27,0.27
0.26,0.25,0.26,0.23
0.20,0.24,0.24,0.20
0.19,0.22,0.22,0.18
0.22,0.22,0.22,0.22
0.18,0.21,0.22,0.18
0.21,0.24,0.24,0.21
0.26,0.26,0.30,0.25
0.30,0.25,0.31,0.25
0.25,0.25,0.25,0.25
0.24,0.23,0.27,0.23
0.27,0.23,0.27,0.23
0.27,0.27,0.27,0.27
0.27,0.25,0.27,0.25
0.24,0.25,0.25,0.24
0.26,0.26,0.26,0.26
0.24,0.24,0.24,0.24
0.26,0.26,0.26,0.26
0.24,0.26,0.26,0.20
0.26,0.22,0.26,0.22
0.22,0.20,0.22,0.20
0.20,0.20,0.20,0.20
0.20,0.25,0.25,0.20
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.20
0.20,0.20,0.20,0.16
0.16,0.23,0.23,0.16
0.23,0.23,0.24,0.23
0.24,0.25,0.25,0.24
0.18,0.27,0.27,0.17
0.25,0.25,0.25,0.25
0.24,0.25,0.25,0.24
0.25,0.21,0.25,0.21
0.25,0.22,0.25,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.20,0.22,0.22,0.20
0.27,0.23,0.27,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.20
0.23,0.23,0.26,0.23
0.26,0.31,0.31,0.26
0.32,0.49,0.52,0.31
0.49,0.40,0.49,0.40
0.50,0.45,0.50,0.40
0.40,0.45,0.48,0.40
0.42,0.50,0.50,0.38
0.50,0.50,0.50,0.50
0.55,0.52,0.65,0.51
0.65,0.56,0.65,0.51
0.55,0.60,0.60,0.55
0.60,0.60,0.60,0.60
0.55,0.55,0.55,0.38
0.58,0.50,0.58,0.38
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.30
0.50,0.50,0.60,0.50
0.54,0.50,0.55,0.44
0.55,0.54,0.55,0.50
0.54,0.55,0.55,0.53
0.55,0.54,0.55,0.54
0.54,0.54,0.54,0.54
0.51,0.51,0.51,0.50
0.54,0.54,0.57,0.51
0.51,0.55,0.55,0.51
0.55,0.55,0.55,0.55
0.38,0.45,0.45,0.38
0.42,0.48,0.48,0.42
0.55,0.50,0.55,0.45
0.52,0.51,0.52,0.51
0.50,0.40,0.50,0.40
0.45,0.51,0.51,0.45
0.51,0.46,0.51,0.46
0.51,0.51,0.51,0.51
0.51,0.50,0.51,0.45
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.50,0.50,0.50,0.50
0.42,0.42,0.42,0.42
0.42,0.41,0.45,0.41
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.40,0.40,0.40,0.40
0.41,0.41,0.41,0.41
0.45,0.45,0.45,0.45
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.38,0.40,0.38
0.37,0.37,0.37,0.37
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.32,0.32,0.35,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.37,0.37,0.37,0.37
0.45,0.45,0.46,0.45
0.45,0.45,0.45,0.45
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.37,0.37,0.37,0.37
0.50,0.35,0.50,0.35
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.36,0.36,0.36,0.36
0.46,0.39,0.49,0.34
0.40,0.40,0.40,0.40
0.38,0.40,0.40,0.38
0.39,0.39,0.39,0.39
0.44,0.49,0.49,0.44
0.42,0.40,0.45,0.39
0.41,0.41,0.41,0.41
0.41,0.42,0.42,0.40
0.42,0.37,0.42,0.37
0.37,0.37,0.37,0.37
0.42,0.42,0.42,0.42
0.44,0.42,0.45,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.41,0.42,0.41
0.41,0.41,0.41,0.41
0.42,0.41,0.42,0.41
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.39,0.42,0.39
0.39,0.42,0.42,0.39
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.42,0.40,0.42,0.40
0.42,0.42,0.42,0.42
0.40,0.40,0.40,0.40
