DDP,DB Commodity Short ETN due April 1,NASDAQ
34.82,34.82,34.82,34.82
34.82,34.82,34.82,34.82
35.82,36.19,36.28,35.74
36.18,35.31,36.18,35.31
35.31,35.31,35.31,35.31
35.66,35.66,35.66,35.66
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
35.58,35.58,35.58,35.58
33.04,33.85,34.00,33.04
33.85,33.85,33.85,33.85
33.85,33.85,33.85,33.85
33.42,33.97,34.12,33.42
33.97,33.97,33.97,33.97
33.55,33.55,33.55,33.55
33.55,33.55,33.55,33.55
31.44,34.99,34.99,31.44
35.69,35.92,36.10,35.61
36.10,36.20,36.30,36.10
36.20,36.20,36.20,36.20
36.31,36.31,36.31,36.31
36.31,36.31,36.31,36.31
36.63,36.43,36.63,36.16
35.73,35.62,35.73,35.61
35.62,35.62,35.62,35.62
35.62,35.62,35.62,35.62
35.18,35.23,35.26,35.14
35.00,34.60,35.00,34.60
33.92,33.90,33.97,33.90
33.66,33.78,33.78,33.64
33.78,33.78,33.78,33.78
33.80,33.80,33.80,33.80
34.02,34.03,34.03,34.02
33.59,33.59,33.59,33.59
33.59,33.59,33.59,33.59
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.24,33.24,33.24,33.24
33.13,33.13,33.13,33.13
32.70,32.91,32.91,32.70
32.91,32.91,32.91,32.91
32.85,32.85,32.85,32.85
32.85,32.85,32.85,32.85
32.85,32.85,32.85,32.85
32.87,33.00,33.00,32.85
32.87,32.50,32.87,32.50
32.12,32.11,32.12,31.29
32.11,32.11,32.11,32.11
33.01,32.66,33.49,32.66
32.97,32.97,32.97,32.97
33.44,33.44,33.44,33.44
33.43,32.83,33.43,32.83
32.68,32.68,32.68,32.68
32.20,32.28,32.30,32.20
32.28,32.28,32.28,32.28
32.28,32.28,32.28,32.28
32.33,32.33,32.33,32.33
32.33,32.33,32.33,32.33
32.13,32.13,32.13,32.13
32.19,32.19,32.19,32.19
33.01,32.92,33.01,32.92
33.47,33.47,33.47,33.47
32.99,32.27,32.99,32.27
32.64,32.91,32.91,32.24
32.37,32.37,32.37,32.37
32.20,32.20,32.20,32.20
31.60,31.48,31.60,31.48
30.83,30.83,30.83,30.83
30.83,30.83,30.83,30.83
30.83,30.83,30.83,30.83
32.82,32.82,32.82,32.82
31.94,31.88,31.94,31.88
31.88,31.88,31.88,31.88
31.88,31.88,31.88,31.88
31.87,31.87,31.87,31.87
31.91,31.87,31.91,31.87
31.87,31.87,31.87,31.87
31.87,31.87,31.87,31.87
31.87,31.87,31.87,31.87
31.87,31.87,31.87,31.87
31.87,31.87,31.87,31.87
31.24,30.57,31.34,29.25
30.30,31.21,31.21,30.24
30.40,30.35,30.59,30.11
30.35,30.35,30.35,30.35
30.35,30.35,30.35,30.35
29.15,29.53,29.53,29.15
29.53,29.53,29.53,29.53
29.60,29.54,30.60,29.54
28.51,29.54,29.56,28.51
29.54,29.54,29.54,29.54
29.65,30.35,30.43,29.65
30.58,30.29,30.58,30.29
30.75,30.59,31.28,30.32
30.59,30.59,30.59,30.59
31.76,32.72,32.72,30.71
32.90,29.03,32.90,29.03
30.14,30.14,30.14,30.14
30.14,30.14,30.14,30.14
30.14,30.14,30.14,30.14
30.33,29.93,30.89,29.93
29.93,29.93,29.93,29.93
29.93,29.93,29.93,29.93
29.93,29.93,29.93,29.93
30.08,30.27,30.27,30.07
30.55,30.55,30.55,30.55
30.55,29.36,30.55,29.26
29.36,29.36,29.36,29.36
29.36,29.36,29.36,29.36
29.30,29.30,29.30,29.30
28.72,28.80,28.90,28.72
28.80,28.80,28.80,28.80
28.80,28.80,28.80,28.80
28.80,28.80,28.80,28.80
28.49,28.49,28.50,28.49
28.49,28.49,28.49,28.49
28.49,28.49,28.49,28.49
28.29,28.90,28.94,28.29
28.90,28.90,28.90,28.90
28.90,28.90,28.90,28.90
