DNBF,DNB Financial Corp - Common Stock,NASDAQ
6.05,6.35,6.35,6.01
6.08,6.08,6.08,6.08
6.08,6.08,6.08,6.08
6.09,6.09,6.10,6.08
6.38,6.39,6.39,6.38
6.39,6.39,6.39,6.39
6.01,5.93,6.38,5.87
5.93,5.93,5.93,5.93
5.93,5.93,5.93,5.93
5.93,5.93,5.93,5.93
6.31,5.87,6.31,5.87
5.90,5.80,5.90,5.75
5.80,5.80,5.80,5.80
5.80,5.80,5.80,5.80
6.27,6.33,6.33,6.27
6.32,6.50,6.50,6.32
6.50,6.50,6.50,6.50
6.50,6.50,6.50,6.50
6.48,6.50,6.50,6.30
5.81,6.49,6.49,5.50
6.43,6.50,6.50,6.43
6.50,6.50,6.50,6.50
5.79,6.00,6.00,5.70
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,5.51,6.00,5.50
5.25,4.69,5.25,4.52
5.97,5.98,5.98,5.97
6.35,5.50,6.35,5.14
5.50,5.50,5.50,5.50
6.17,6.17,6.17,6.17
6.17,6.17,6.17,6.17
6.00,6.00,6.00,6.00
5.75,5.75,5.75,5.75
5.75,5.75,5.75,5.75
5.51,5.50,5.51,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.61,5.55,5.61,5.55
5.55,5.55,5.55,5.55
5.55,5.55,5.55,5.55
5.75,5.75,5.75,5.75
5.75,5.70,5.77,5.70
5.70,5.70,5.70,5.70
5.70,5.70,5.70,5.70
5.70,5.70,5.70,5.70
5.55,5.44,5.55,4.80
5.26,5.40,5.82,5.26
5.74,5.25,5.74,5.25
5.57,5.30,5.60,5.30
5.30,5.35,5.44,5.30
5.35,5.35,5.35,5.35
5.35,5.45,5.60,5.33
5.71,5.75,6.23,5.71
6.19,6.11,6.20,6.11
6.05,6.10,6.15,6.05
5.60,5.56,5.60,5.56
5.56,5.56,5.56,5.56
5.59,5.23,5.59,5.15
5.24,5.15,5.25,5.13
6.06,5.50,6.06,5.50
5.31,5.38,5.40,5.26
5.38,5.38,5.38,5.38
6.08,5.34,6.10,5.34
5.34,5.34,5.34,5.34
6.04,6.63,6.81,5.29
6.50,6.50,6.50,6.50
6.78,6.73,6.78,6.73
6.73,6.73,6.73,6.73
6.73,6.73,6.73,6.73
6.85,6.85,6.85,6.78
6.99,6.99,6.99,6.99
6.75,6.93,6.93,6.75
6.93,6.93,6.93,6.93
6.93,6.93,6.93,6.93
6.61,6.61,6.61,6.61
6.59,6.79,6.95,6.59
6.79,6.79,6.79,6.79
7.03,7.41,7.50,7.03
7.25,7.25,7.25,7.25
7.45,7.25,7.45,7.25
7.04,7.00,7.04,7.00
6.81,7.06,7.11,6.81
6.98,7.00,7.00,6.90
7.00,6.90,7.03,6.90
6.90,6.90,6.90,6.90
7.27,7.07,7.40,7.04
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
7.50,7.50,7.50,7.50
6.71,7.00,7.00,6.71
6.82,6.94,7.00,6.80
6.91,7.20,7.20,6.91
6.60,6.60,6.65,6.60
6.60,6.60,6.60,6.60
6.50,6.50,6.50,6.50
6.98,6.65,7.41,6.63
6.51,6.57,6.64,6.46
6.57,6.57,6.57,6.57
6.75,7.05,7.15,6.75
7.12,6.62,7.14,6.40
7.25,7.30,7.35,7.25
7.30,7.30,7.30,7.30
7.24,7.35,7.35,7.24
6.68,6.68,6.68,6.62
6.65,6.61,6.65,6.61
6.61,6.61,6.61,6.61
6.58,6.58,6.58,6.58
6.79,7.28,7.28,6.79
7.28,7.28,7.28,7.28
7.28,7.28,7.28,7.28
7.28,7.28,7.28,7.28
7.00,7.00,7.00,7.00
7.00,6.70,7.00,6.70
