GEOS,Geospace Technologies Corporation - Common Stock,NASDAQ
43.01,43.00,43.24,42.73
43.03,41.94,43.03,41.94
41.86,41.70,42.80,40.80
41.55,42.26,42.42,41.55
42.19,41.92,42.51,41.18
42.00,41.33,42.00,41.07
40.87,40.65,41.53,40.37
40.70,41.00,41.45,40.11
40.68,41.00,41.20,40.30
41.20,40.30,41.57,40.00
40.10,41.14,41.62,40.10
40.58,40.85,41.09,39.68
40.99,40.00,40.99,39.81
39.77,38.86,41.20,37.89
38.74,39.26,39.62,37.69
39.01,38.75,39.80,37.82
38.35,39.12,39.83,38.17
39.01,38.25,40.58,38.01
38.51,37.47,39.16,36.21
37.77,38.74,38.88,36.01
39.49,38.15,39.80,37.46
38.17,38.33,39.57,37.98
37.95,36.02,38.05,35.00
36.20,37.96,38.45,33.85
37.96,38.93,41.00,37.81
39.54,40.79,41.10,38.17
40.03,40.73,41.35,39.60
40.41,42.20,42.31,39.92
41.54,44.59,44.70,39.05
44.77,44.85,45.41,44.00
44.93,46.08,46.16,44.93
46.19,46.00,46.19,44.97
46.09,45.77,46.09,44.83
45.79,46.93,46.93,45.79
46.92,45.94,46.92,45.10
45.96,45.12,45.96,44.80
44.28,43.89,44.30,43.48
44.00,43.06,44.00,42.80
43.10,45.90,45.95,43.09
46.10,47.81,48.58,45.27
47.47,47.11,48.57,46.76
46.99,48.01,48.18,45.80
48.43,49.40,49.40,48.33
49.70,49.78,50.00,48.23
49.78,49.72,50.47,49.32
49.48,49.49,50.00,47.02
49.37,49.71,49.79,48.86
49.49,49.14,49.50,48.22
48.43,48.59,49.27,47.59
49.15,49.12,49.40,48.53
49.02,49.40,49.97,48.95
49.61,48.85,49.68,48.74
48.89,45.49,49.10,44.76
44.97,45.20,45.51,43.94
45.12,47.35,48.42,45.12
47.23,46.95,48.74,46.56
46.80,46.70,47.40,46.65
46.75,45.77,47.18,45.46
45.85,46.94,47.02,45.85
47.46,47.74,48.49,47.05
47.47,47.81,47.96,47.13
47.79,47.61,48.00,47.41
47.60,45.26,48.32,44.30
45.06,47.09,47.12,45.06
47.10,47.16,47.96,46.26
46.20,47.77,47.89,46.15
47.97,47.98,48.16,47.24
48.03,48.32,48.95,47.81
47.66,48.00,48.32,47.50
48.21,48.85,48.92,47.02
48.73,49.42,49.81,48.50
49.10,48.24,50.00,47.96
48.09,47.81,48.61,47.49
48.49,50.00,50.00,48.43
49.99,49.90,50.00,49.81
49.39,50.48,50.49,49.39
49.29,50.46,50.46,48.50
50.13,51.56,52.00,50.13
51.36,50.23,51.36,49.69
50.60,51.72,52.00,50.60
52.00,51.66,52.00,51.36
51.66,49.70,52.25,49.21
49.24,50.08,51.40,49.20
49.08,48.82,49.08,47.45
48.22,47.01,48.22,45.12
44.11,46.02,49.00,44.11
46.13,46.68,48.20,44.47
48.43,51.13,51.38,48.22
50.64,51.97,52.00,49.30
52.00,52.00,52.50,50.91
51.68,51.43,52.05,50.97
51.00,50.42,51.21,50.04
51.00,51.00,51.37,50.39
51.92,50.03,51.94,49.96
49.69,48.59,49.85,48.54
47.08,44.03,47.08,44.02
43.37,44.52,45.61,42.63
44.48,44.79,45.40,44.42
44.00,43.87,44.27,41.23
44.21,45.05,45.56,44.21
46.18,47.05,47.52,45.27
45.99,45.63,46.97,45.32
45.17,44.62,47.44,44.35
45.05,47.98,48.00,45.05
47.78,48.41,48.78,46.55
45.50,45.58,48.17,45.29
45.89,45.04,47.47,44.88
45.17,45.19,46.37,44.43
46.79,45.12,47.10,44.93
45.85,47.41,47.69,45.26
46.94,48.79,48.90,46.94
49.23,49.70,51.10,48.93
