JJS,iPath Bloomberg Softs Subindex Total Return SM Index ETN,NASDAQ
52.30,52.30,52.30,52.30
52.60,51.61,52.60,51.61
52.08,52.60,52.60,51.92
52.40,52.20,52.40,52.20
52.15,52.15,52.15,52.15
51.50,51.47,51.50,51.47
51.38,51.95,51.95,51.38
52.48,52.48,52.48,52.48
52.48,52.48,52.48,52.48
51.81,51.43,51.81,51.17
51.79,52.30,52.30,51.79
51.92,51.95,51.95,51.92
52.74,52.74,52.74,52.74
51.48,51.88,51.89,51.45
52.42,52.18,52.42,52.18
51.85,51.68,51.85,51.68
51.26,50.30,51.26,50.24
50.66,50.71,50.76,50.66
51.51,50.96,51.51,50.96
51.09,51.09,51.09,51.09
51.00,51.67,51.68,50.95
51.00,50.51,51.00,48.91
50.15,49.59,50.20,49.50
48.24,48.03,48.24,48.03
48.41,48.56,48.56,48.41
49.43,49.42,49.43,49.39
49.61,49.61,49.61,49.61
49.61,49.61,49.61,49.61
49.61,49.61,49.61,49.61
49.61,49.61,49.61,49.61
49.79,50.31,50.31,49.79
50.31,50.31,50.31,50.31
50.31,50.31,50.31,50.31
49.85,49.85,49.85,49.85
49.06,48.67,49.09,48.67
48.67,48.67,48.67,48.67
48.30,49.12,49.12,48.30
49.22,49.22,49.22,49.22
49.67,48.51,49.67,48.51
48.17,47.65,48.17,47.64
48.44,48.44,48.44,48.44
47.64,47.43,47.64,47.43
48.15,48.15,48.15,48.15
48.07,47.63,48.07,47.63
46.48,46.48,46.48,46.48
46.16,46.19,46.25,45.74
45.96,45.74,45.96,45.74
46.19,46.03,46.29,46.03
45.70,45.70,45.70,45.70
45.70,45.70,45.70,45.70
44.96,44.96,44.96,44.96
46.05,46.31,46.31,46.05
46.31,46.31,46.31,46.31
46.14,45.68,46.14,45.24
45.09,44.82,45.09,44.82
44.98,45.20,45.20,44.60
45.40,45.43,45.43,45.40
44.40,44.39,44.40,44.39
45.22,45.20,45.22,45.20
45.12,45.12,45.12,45.12
44.91,44.67,44.91,44.67
44.26,44.35,44.35,44.03
45.32,45.37,45.37,45.32
45.32,45.32,45.32,45.32
45.32,45.32,45.32,45.32
45.32,45.32,45.32,45.32
44.32,43.23,44.32,43.23
43.22,43.76,43.99,43.22
44.00,44.19,44.19,44.00
44.26,44.26,44.26,44.26
43.80,44.15,44.15,43.80
42.88,42.88,42.88,42.88
43.31,43.44,43.45,43.31
43.96,43.93,43.96,43.93
43.93,43.93,43.93,43.93
43.74,43.74,43.74,43.74
43.92,43.70,43.92,43.70
43.70,43.70,43.70,43.70
42.90,42.90,42.90,42.90
42.95,42.95,42.95,42.95
43.11,43.11,43.11,43.11
43.09,43.09,43.09,43.09
43.23,43.23,43.23,43.23
42.70,42.70,42.70,42.70
42.70,42.70,42.70,42.70
41.73,41.44,41.73,41.44
41.28,41.22,41.28,41.22
41.22,41.22,41.22,41.22
41.55,41.55,41.55,41.55
42.33,42.47,42.47,42.33
42.50,42.41,42.50,42.41
41.93,41.77,41.93,41.77
41.77,41.77,41.77,41.77
42.36,42.36,42.36,42.36
42.29,42.84,42.84,42.17
42.44,42.31,42.44,42.15
42.47,42.47,42.47,42.47
42.81,42.36,42.81,42.36
41.94,41.94,41.94,41.94
42.90,42.62,42.90,42.62
42.62,42.62,42.62,42.62
42.62,42.62,42.62,42.62
41.86,41.86,41.86,41.86
41.86,41.86,41.86,41.86
41.37,41.37,41.37,41.37
41.37,41.37,41.37,41.37
41.37,41.37,41.37,41.37
41.37,41.37,41.37,41.37
42.41,42.62,42.62,42.36
43.15,43.14,43.30,43.14
44.21,44.09,44.27,43.94
44.60,44.98,44.98,44.60
44.82,45.92,45.92,44.81
45.92,45.92,45.92,45.92
45.68,45.68,45.68,45.68
45.93,45.93,45.93,45.93
46.45,45.77,46.45,45.77
45.77,45.77,45.77,45.77
45.77,45.77,45.77,45.77
45.77,45.77,45.77,45.77
45.77,45.77,45.77,45.77
45.77,45.77,45.77,45.77
45.77,45.77,45.77,45.77
46.08,46.08,46.08,46.08
45.97,46.12,46.12,45.97
46.60,46.61,46.61,46.60
46.46,46.46,46.46,46.46
46.46,46.46,46.46,46.46
46.46,46.46,46.46,46.46
46.46,46.46,46.46,46.46
46.05,46.05,46.05,46.05
46.05,46.05,46.05,46.05
46.05,46.05,46.05,46.05
46.05,46.05,46.05,46.05
46.58,46.58,46.58,46.58
46.65,46.60,46.65,46.60
46.60,46.60,46.60,46.60
46.10,45.94,46.11,45.94
46.34,46.34,46.34,46.34
46.34,46.34,46.34,46.34
46.34,46.34,46.34,46.34
46.34,46.34,46.34,46.34
48.54,48.52,48.57,48.52
49.28,49.78,49.78,49.28
50.00,50.66,50.66,50.00
