MLSS,Milestone Scientific,NASDAQ
1.85,1.72,1.85,1.72
1.72,1.72,1.80,1.72
1.72,1.72,1.72,1.65
1.66,1.80,1.80,1.66
1.65,1.65,1.75,1.65
1.60,1.60,1.65,1.60
1.60,1.60,1.65,1.55
1.52,1.50,1.52,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.55,1.55,1.50
1.51,1.55,1.55,1.51
1.51,1.51,1.51,1.51
1.51,1.53,1.55,1.51
1.51,1.50,1.51,1.50
1.51,1.50,1.51,1.50
1.50,1.45,1.50,1.40
1.60,1.80,1.80,1.60
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.70,1.45,1.70,1.33
1.45,1.45,1.45,1.45
1.80,1.80,1.80,1.80
1.80,1.80,1.80,1.80
1.45,1.75,1.79,1.45
1.75,1.75,1.75,1.75
1.45,1.45,1.45,1.45
1.49,1.49,1.49,1.49
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.55,1.55,1.55,1.55
1.60,1.60,1.60,1.60
1.70,1.70,1.70,1.70
1.65,1.70,1.70,1.65
1.70,1.70,1.70,1.65
1.70,1.70,1.70,1.70
1.70,1.75,1.75,1.70
1.50,1.50,1.50,1.50
1.55,1.55,1.55,1.55
1.65,1.65,1.65,1.65
1.65,1.55,1.65,1.55
1.55,1.55,1.55,1.55
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.56,1.60,1.60,1.56
1.75,1.60,1.75,1.60
1.60,1.60,1.60,1.60
1.70,1.80,1.80,1.60
1.95,1.84,1.95,1.75
1.70,1.55,1.70,1.55
1.55,1.60,1.60,1.55
1.60,1.61,1.61,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.61,1.60,1.65,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.80,1.80,1.60
1.53,1.70,1.75,1.53
1.70,1.70,1.70,1.70
1.53,1.53,1.53,1.53
1.53,1.55,1.55,1.53
1.55,1.55,1.55,1.55
1.51,1.51,1.51,1.51
1.55,1.55,1.55,1.55
1.51,1.51,1.51,1.51
1.51,1.54,1.54,1.50
1.50,1.50,1.50,1.50
1.50,1.53,1.53,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.51,1.48,1.51,1.48
1.48,1.40,1.48,1.17
1.24,1.50,1.50,1.24
1.30,1.40,1.40,1.24
1.40,1.40,1.40,1.40
1.24,1.33,1.33,1.24
1.33,1.33,1.33,1.33
1.33,1.65,1.65,1.33
1.50,1.30,1.60,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.65,1.65,1.65,1.65
1.45,1.45,1.45,1.45
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.64,1.45,1.64,1.35
1.55,1.55,1.55,1.55
1.31,1.50,1.50,1.31
1.40,1.49,1.50,1.31
1.49,1.49,1.49,1.49
1.31,1.30,1.31,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.40,1.40,1.30
1.30,1.40,1.40,1.30
1.30,1.25,1.30,1.25
1.28,1.30,1.40,1.22
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.55,1.40,1.55,1.28
1.35,1.40,1.40,1.35
1.28,1.25,1.28,1.10
1.30,1.27,1.30,1.20
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.20
1.15,1.12,1.18,1.12
1.12,1.20,1.20,1.10
1.24,1.20,1.24,1.11
1.20,1.20,1.20,1.20
1.20,1.15,1.20,1.10
1.18,1.24,1.24,1.15
1.24,1.11,1.25,1.05
1.20,1.25,1.25,1.20
1.25,1.25,1.25,1.25
1.10,1.05,1.10,1.05
1.25,1.25,1.25,1.25
1.20,1.15,1.25,1.15
1.10,1.10,1.10,1.10
1.24,1.20,1.24,1.20
1.20,1.20,1.20,1.20
1.20,1.24,1.24,1.15
1.15,1.20,1.20,1.15
1.20,1.20,1.20,1.20
1.20,1.20,1.21,1.19
1.19,1.19,1.19,1.19
1.25,1.25,1.25,1.25
1.25,1.25,1.25,1.25
1.18,1.18,1.18,1.18
1.18,1.18,1.18,1.18
1.18,1.18,1.18,1.18
1.05,1.05,1.05,1.05
1.05,1.20,1.20,1.05
1.20,1.20,1.20,1.20
1.05,1.20,1.20,1.04
1.19,1.19,1.19,1.19
1.19,1.18,1.19,1.15
1.04,1.16,1.16,1.04
1.08,1.10,1.10,1.04
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.09
1.04,1.10,1.10,1.04
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.05,1.10,1.14,1.00
1.00,1.00,1.10,1.00
1.14,1.14,1.14,1.14
1.14,1.14,1.14,1.14
1.14,1.14,1.14,1.00
1.00,1.00,1.00,1.00
1.01,1.20,1.20,1.01
1.20,1.20,1.20,1.20
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.08,1.09,1.09,1.08
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.08,1.08,1.08,1.08
1.09,1.08,1.09,1.08
1.06,1.07,1.08,1.06
1.08,1.10,1.10,1.08
1.06,1.12,1.12,1.06
1.06,1.12,1.12,1.06
1.06,1.06,1.06,1.06
1.06,1.13,1.13,1.06
1.13,1.07,1.13,0.95
1.00,0.95,1.05,0.95
1.10,1.02,1.10,1.00
1.00,1.12,1.20,0.95
0.95,1.05,1.05,0.95
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.05,1.05,1.08,1.05
0.95,1.01,1.01,0.95
1.01,1.01,1.01,1.01
1.06,1.10,1.10,1.06
1.10,1.01,1.12,1.01
1.12,1.12,1.12,1.12
1.12,1.12,1.12,1.12
1.03,1.10,1.10,1.03
1.00,1.00,1.00,1.00
1.03,1.03,1.03,1.03
1.03,1.03,1.03,1.03
