DRWI,DragonWave Inc - Common Shares,NASDAQ
290.25,282.75,293.75,274.75
285.00,289.00,294.50,283.25
291.50,298.00,303.00,288.12
306.50,303.75,310.50,298.08
337.50,338.25,346.75,320.25
342.25,316.25,348.25,316.00
313.75,331.25,335.25,309.25
334.50,335.00,340.75,322.75
337.00,345.50,349.25,333.25
346.00,337.75,346.00,336.00
339.25,350.50,352.50,337.75
346.75,339.00,347.08,333.25
346.25,324.00,346.25,320.00
323.75,301.25,323.75,292.00
306.00,308.50,316.00,301.75
305.25,295.00,308.50,284.25
291.25,297.25,297.75,282.75
303.00,298.70,305.50,291.00
301.50,279.75,304.50,277.50
285.50,293.50,297.25,281.25
297.25,292.75,298.75,290.00
295.75,293.00,297.25,290.50
290.00,275.25,290.50,263.50
273.25,289.50,290.00,268.25
291.75,291.75,295.75,289.00
298.25,293.25,299.50,291.75
295.75,302.50,304.50,291.75
300.75,312.00,317.25,300.75
303.75,312.75,312.75,300.00
318.75,324.25,324.25,318.75
324.50,321.00,327.50,318.00
318.00,326.75,327.25,313.75
326.75,325.25,330.00,319.25
326.00,317.50,328.00,316.75
316.25,300.75,316.50,300.25
308.00,318.50,324.25,295.75
317.50,307.50,318.00,299.25
307.50,306.25,310.75,304.75
311.25,302.00,311.25,299.75
303.50,291.25,305.50,290.00
290.75,284.50,293.00,279.00
284.50,259.25,285.00,253.50
266.25,261.75,275.00,259.25
262.00,247.75,262.25,238.75
254.00,253.25,261.25,244.50
258.50,255.00,265.75,254.50
252.75,234.75,257.25,232.50
236.00,231.25,238.75,219.25
239.25,239.00,240.50,233.25
242.25,255.00,255.00,242.25
260.00,271.00,272.75,260.00
274.50,261.75,277.00,258.00
264.00,251.25,265.00,248.75
252.50,254.50,259.25,245.25
261.50,265.00,265.50,255.00
266.00,249.50,267.75,236.00
253.75,253.50,261.20,251.00
254.25,245.75,257.25,241.75
245.00,238.75,248.75,235.00
235.00,225.00,238.75,223.75
225.50,231.25,236.25,222.75
N/A,N/A,N/A,N/A
237.25,231.75,237.50,227.75
233.00,234.25,236.00,228.75
234.50,228.25,234.50,227.25
228.25,238.25,240.50,225.50
244.00,257.00,259.50,243.50
256.50,249.00,258.50,248.75
252.75,246.00,252.75,239.00
250.00,251.25,253.75,244.00
250.75,250.00,253.75,248.25
250.00,245.98,250.00,240.00
246.75,245.25,246.75,236.25
248.50,241.25,250.00,241.00
243.75,230.50,244.72,230.00
228.75,230.50,233.75,226.50
233.25,228.25,233.25,226.25
227.50,224.25,229.25,224.00
223.75,206.75,224.00,204.25
206.50,214.25,216.00,195.50
218.75,218.00,223.50,212.50
217.00,212.50,220.50,211.00
213.75,214.75,219.75,210.00
213.00,203.00,213.25,199.50
200.50,201.00,204.00,192.50
205.75,199.25,205.75,183.75
177.50,150.25,177.50,148.75
157.50,137.75,158.75,135.75
137.00,151.25,152.25,137.00
153.25,153.75,156.00,146.50
155.00,157.00,162.00,151.25
158.50,153.25,158.50,146.75
148.75,149.50,153.25,146.25
150.25,149.25,153.25,148.00
147.00,140.75,148.25,140.75
135.75,133.50,138.25,130.25
131.25,137.50,144.00,127.75
140.50,144.75,150.75,137.00
141.25,145.00,145.25,136.25
148.75,145.00,153.00,142.50
149.50,151.00,151.00,147.25
153.00,149.25,153.00,147.75
148.50,151.75,156.50,147.75
153.75,152.25,153.75,150.00
154.75,152.50,154.75,148.75
150.00,149.75,152.75,146.50
148.75,150.50,151.25,145.50
150.25,142.25,150.75,140.75
143.75,134.25,144.26,134.25
138.50,144.00,145.00,136.25
143.25,148.50,148.50,140.75
152.50,153.25,154.50,150.25
154.50,161.25,161.50,153.22
160.00,155.25,162.25,155.00
157.50,154.00,158.75,152.00
153.25,157.50,158.50,152.00
162.50,159.25,164.75,156.88
161.25,152.50,162.00,151.00
151.00,150.00,151.50,146.50
152.00,148.75,152.00,147.50
151.25,151.00,152.25,147.50
151.75,156.75,156.75,151.00
153.75,150.50,154.50,149.75
151.25,149.75,151.75,147.75
149.50,148.50,150.00,143.75
150.25,147.75,151.25,147.50
145.00,134.25,146.50,133.48
