AMP,Ameriprise Financial,NASDAQ
39.10,39.88,39.97,38.92
39.77,40.81,40.81,39.73
41.37,41.38,41.55,40.86
41.30,41.69,41.95,41.10
41.38,41.84,41.90,41.34
41.98,42.38,42.98,41.91
42.06,41.70,42.43,41.32
41.91,42.21,42.28,41.42
41.99,42.02,42.19,41.59
41.80,41.62,41.85,41.45
41.49,42.06,42.20,41.29
41.75,41.90,41.95,41.32
41.88,40.75,42.15,40.34
40.68,39.76,40.92,39.67
40.28,40.43,40.96,40.07
40.18,40.10,40.88,39.89
40.14,40.91,40.93,39.88
41.18,39.97,41.28,39.22
40.10,38.24,40.15,38.01
38.50,39.76,39.83,38.41
39.97,39.98,40.52,39.57
39.75,39.19,40.00,39.03
39.36,37.62,39.55,37.62
37.52,37.93,38.10,36.14
37.62,37.23,38.02,37.23
37.65,37.93,38.07,36.99
37.55,38.54,38.76,37.55
38.41,38.06,38.50,37.91
37.70,38.26,38.32,37.14
38.61,39.26,39.27,38.32
39.45,39.82,39.97,39.21
39.76,39.78,39.89,39.53
39.61,40.14,40.38,39.56
40.19,40.48,40.77,40.11
40.31,39.77,40.49,39.59
39.92,40.65,40.69,39.75
39.90,40.17,40.26,39.58
40.36,40.03,40.36,39.84
40.18,40.29,40.50,39.82
40.42,40.50,40.63,40.28
40.74,40.66,40.99,40.47
40.73,41.26,41.30,40.65
41.59,42.90,43.00,41.58
43.01,43.04,43.13,42.44
42.80,42.80,43.03,42.38
42.92,42.85,43.23,42.59
42.71,42.85,42.85,42.24
43.03,43.33,43.58,43.00
43.17,43.45,43.54,42.81
43.56,43.97,44.04,43.36
44.28,44.88,45.05,44.05
44.71,44.82,45.10,44.54
45.06,44.18,45.22,44.06
43.75,44.39,44.45,43.16
44.28,44.69,44.84,44.05
44.44,44.68,44.91,44.25
45.00,44.70,45.88,44.68
44.56,43.96,44.76,43.72
44.18,44.50,44.55,43.95
44.50,45.27,45.45,44.34
44.96,45.36,45.63,44.90
45.91,46.17,46.17,45.55
46.27,46.24,46.60,45.82
46.02,45.99,46.09,45.55
45.73,45.29,45.97,45.05
45.18,46.01,46.07,45.03
46.32,46.16,46.32,45.85
46.12,46.72,46.79,46.12
46.53,47.59,47.67,46.42
47.89,48.33,48.40,47.60
