AHPI,Allied Healthcare Products,NASDAQ
10.68,10.00,10.72,10.00
nan,10.00,nan,nan
10.08,10.00,10.08,9.76
10.42,10.00,10.42,9.68
10.00,10.00,10.10,10.00
10.50,10.00,10.52,10.00
10.00,10.00,10.00,10.00
nan,10.00,nan,nan
10.48,10.46,10.48,10.10
10.30,10.20,10.30,10.00
10.00,10.52,10.52,10.00
10.04,10.04,10.04,10.04
10.52,10.52,10.52,10.52
nan,10.52,nan,nan
nan,10.52,nan,nan
10.38,10.38,10.38,10.36
10.06,10.00,10.06,10.00
10.36,10.40,10.40,10.28
10.22,10.00,10.40,9.60
10.02,9.30,10.02,9.30
9.32,9.98,10.43,9.32
9.96,9.84,9.96,9.84
nan,9.84,nan,nan
nan,9.84,nan,nan
10.00,10.00,10.00,10.00
9.98,9.90,9.98,9.90
nan,9.90,nan,nan
10.00,9.98,10.02,9.98
nan,9.98,nan,nan
nan,9.98,nan,nan
9.57,10.36,10.36,9.57
10.36,9.92,10.36,9.92
9.06,9.06,9.06,9.05
nan,9.06,nan,nan
8.50,8.00,8.50,7.56
8.10,8.10,8.10,8.02
7.92,8.00,8.00,7.92
7.84,7.84,7.84,7.84
7.84,7.52,7.96,7.50
7.50,8.68,8.68,6.80
nan,8.68,nan,nan
7.02,8.00,9.92,7.02
8.00,7.82,8.06,7.82
7.00,8.14,8.16,6.56
7.96,7.94,8.00,7.94
7.94,8.00,8.00,7.37
7.98,8.18,8.36,6.84
7.11,8.00,8.00,7.11
7.98,7.96,8.36,7.96
8.00,7.90,8.00,7.90
7.96,7.93,7.96,7.93
7.96,8.22,8.86,7.94
8.60,7.80,8.60,7.80
7.80,8.00,8.30,7.80
8.00,7.80,8.06,7.80
7.84,7.84,7.84,7.84
7.60,7.64,7.98,6.98
7.82,7.82,7.82,7.82
nan,7.82,nan,nan
7.92,7.16,7.92,6.56
6.90,7.50,7.84,6.90
N/A,N/A,N/A,N/A
7.98,7.50,7.98,7.50
7.84,7.90,7.90,7.61
7.82,7.42,7.88,7.06
7.64,7.50,7.64,7.50
nan,7.50,nan,nan
7.54,7.50,7.54,7.50
7.78,7.52,7.92,7.34
7.51,7.51,7.60,7.51
7.50,7.50,7.50,7.50
7.40,7.50,7.50,7.40
7.36,7.36,7.36,7.36
7.30,7.94,7.96,7.30
7.94,7.94,7.94,7.34
nan,7.94,nan,nan
7.36,7.96,8.00,7.36
7.96,7.90,7.99,7.90
nan,7.90,nan,nan
7.88,7.80,7.90,7.80
7.51,7.52,7.52,7.51
7.06,7.70,7.90,7.06
nan,7.70,nan,nan
nan,7.70,nan,nan
7.70,7.35,7.70,7.35
7.36,7.36,7.74,7.24
7.48,7.24,7.50,7.24
nan,7.24,nan,nan
7.58,7.81,7.84,7.58
7.12,7.75,7.76,7.12
7.73,7.30,7.73,7.20
nan,7.30,nan,nan
7.32,7.50,7.88,7.32
7.48,7.56,7.56,7.48
7.32,7.24,7.42,7.18
7.40,7.44,7.50,7.04
7.08,7.58,7.68,7.08
nan,7.58,nan,nan
nan,7.58,nan,nan
7.60,7.30,7.60,7.04
7.32,7.70,7.70,7.04
7.62,7.18,7.63,7.18
7.31,7.32,7.32,7.30
nan,7.32,nan,nan
7.61,7.61,7.61,7.61
7.64,7.64,7.64,7.64
7.66,7.42,7.66,7.26
7.32,7.22,7.56,7.22
7.10,7.10,7.10,7.10
7.16,7.30,7.32,6.86
7.30,7.62,7.62,7.14
7.62,7.20,7.62,7.04
7.20,7.32,7.32,7.12
7.12,7.56,7.56,7.12
7.16,7.36,7.36,7.16
7.30,7.70,7.70,7.30
7.46,7.48,7.48,7.46
6.86,7.28,7.28,6.86
7.18,7.22,7.32,7.18
7.20,7.36,7.36,7.20
nan,7.36,nan,nan
7.16,7.28,7.35,7.00
nan,7.28,nan,nan
nan,7.28,nan,nan
6.90,7.00,7.00,6.90
6.96,7.10,7.10,6.60
7.10,7.26,7.26,7.06
6.68,6.76,6.78,6.68
6.76,6.76,6.76,6.76
6.76,6.76,6.76,6.76
6.80,6.96,6.97,6.80
nan,6.96,nan,nan
7.04,6.90,7.04,6.90
nan,6.90,nan,nan
6.64,6.64,6.64,6.64
6.94,6.80,6.98,6.76
nan,6.80,nan,nan
6.64,6.64,6.64,6.64
