HBP,Huttig Building Products,NASDAQ
0.65,0.74,0.75,0.65
0.74,0.70,0.74,0.70
0.72,0.70,0.74,0.70
0.70,0.70,0.70,0.70
0.75,0.71,0.75,0.70
0.71,0.74,0.74,0.71
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.69,0.70,0.69
0.69,0.66,0.74,0.66
0.74,0.75,0.75,0.69
0.75,0.69,0.75,0.69
0.75,0.69,0.75,0.69
0.75,0.69,0.75,0.69
0.71,0.66,0.71,0.66
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.70,0.66,0.70,0.66
0.70,0.66,0.70,0.65
0.66,0.69,0.69,0.65
0.66,0.65,0.70,0.65
0.66,0.69,0.69,0.66
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.66,0.69,0.66
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.66,0.66,0.66,0.66
0.66,0.70,0.70,0.66
0.70,0.67,0.73,0.67
0.71,0.74,0.74,0.71
0.74,0.80,0.80,0.67
0.80,0.80,0.87,0.79
0.76,0.80,0.80,0.76
0.66,0.66,0.66,0.66
0.71,0.71,0.71,0.71
0.71,0.85,0.85,0.71
0.70,0.70,0.70,0.70
0.85,0.88,0.88,0.70
0.88,0.88,0.88,0.71
0.71,0.71,0.71,0.71
0.84,0.80,0.84,0.80
0.80,0.87,0.91,0.80
0.87,0.81,0.87,0.81
0.83,0.87,0.87,0.80
0.80,0.89,0.89,0.80
0.81,0.81,0.81,0.81
0.86,0.90,0.90,0.86
0.80,0.83,0.83,0.80
0.84,0.80,0.84,0.80
0.85,0.87,0.88,0.85
0.81,0.89,0.89,0.81
0.80,0.80,0.86,0.80
0.80,0.80,0.80,0.80
0.82,0.82,0.85,0.82
0.83,0.83,0.83,0.83
0.80,0.89,0.90,0.80
0.85,0.85,0.85,0.85
0.85,0.90,0.90,0.85
0.85,0.85,0.90,0.85
0.80,0.85,0.85,0.80
0.81,0.81,0.81,0.81
0.80,0.91,0.95,0.80
0.91,0.88,0.92,0.88
0.94,0.89,0.95,0.89
0.89,1.01,1.01,0.89
1.05,1.15,1.30,1.01
1.20,1.20,1.20,1.15
1.20,1.10,1.20,1.05
1.10,1.20,1.20,1.10
1.19,1.19,1.25,1.11
1.20,1.12,1.20,1.03
1.25,1.08,1.25,1.08
1.25,1.40,1.50,1.20
1.39,1.40,1.40,1.10
1.21,1.41,1.50,1.21
1.35,1.45,1.48,1.35
1.40,1.50,1.50,1.35
1.45,1.50,1.55,1.45
1.40,1.55,1.55,1.40
1.42,1.77,1.90,1.42
1.70,1.70,1.76,1.70
1.75,1.90,1.90,1.75
1.90,1.75,1.90,1.50
1.75,1.74,1.75,1.52
1.55,1.74,1.74,1.50
1.56,1.55,1.85,1.55
1.90,1.63,1.90,1.55
1.62,1.80,1.80,1.62
1.65,1.80,1.80,1.65
1.66,1.66,1.66,1.66
1.67,1.76,1.80,1.67
1.75,1.75,1.75,1.75
1.66,1.80,1.87,1.66
1.55,1.84,1.84,1.55
1.75,1.70,1.90,1.50
1.60,1.88,1.88,1.56
1.56,1.84,1.85,1.56
1.70,1.55,1.80,1.55
1.58,1.74,1.74,1.58
1.55,1.75,1.75,1.52
1.52,1.55,1.80,1.52
1.52,1.80,1.80,1.52
1.55,1.70,1.85,1.55
1.70,1.70,1.70,1.70
1.70,1.70,1.70,1.70
1.75,1.80,1.81,1.55
1.52,1.75,1.75,1.52
1.56,1.56,1.56,1.56
1.60,1.70,1.70,1.56
1.56,1.55,1.70,1.55
1.55,1.56,1.56,1.55
1.60,1.60,1.60,1.60
1.60,1.60,1.60,1.60
1.60,1.52,1.60,1.52
1.52,1.52,1.52,1.52
1.60,1.51,1.68,1.50
1.53,1.53,1.65,1.52
1.50,1.65,1.65,1.40
1.40,1.50,1.51,1.38
1.38,1.63,1.63,1.38
1.36,1.36,1.36,1.36
1.35,1.36,1.36,1.35
1.53,1.36,1.55,1.36
1.60,1.36,1.60,1.36
1.60,1.60,1.60,1.60
1.60,1.36,1.60,1.36
1.35,1.37,1.38,1.35
1.34,1.35,1.35,1.34
1.35,1.35,1.35,1.35
1.34,1.34,1.35,1.34
1.38,1.35,1.38,1.35
1.35,1.30,1.40,1.26
1.27,1.15,1.27,1.05
1.10,1.25,1.35,1.10
1.15,1.20,1.20,1.01
1.20,1.20,1.20,1.01
1.05,1.20,1.20,1.05
1.05,1.05,1.05,1.05
1.10,1.10,1.10,1.10
1.05,1.05,1.05,1.05
1.10,1.05,1.15,1.05
1.05,1.05,1.10,1.05
1.05,1.05,1.05,1.05
1.05,1.01,1.07,1.01
1.01,1.00,1.01,1.00
1.04,1.10,1.10,1.02
1.02,1.10,1.10,1.02
1.10,1.11,1.20,1.10
1.05,1.10,1.10,1.05
1.05,1.05,1.10,1.05
1.10,1.07,1.20,1.07
1.07,1.10,1.10,1.04
1.04,1.05,1.05,1.04
1.05,1.05,1.05,1.05
1.20,1.05,1.20,1.05
1.04,1.05,1.05,1.04
1.05,1.20,1.20,1.05
1.05,1.05,1.05,1.05
1.04,1.05,1.05,1.04
1.03,1.05,1.05,1.03
1.20,1.20,1.20,1.20
1.01,1.05,1.06,1.01
1.05,1.05,1.05,1.05
1.00,1.15,1.15,0.99
1.01,1.04,1.04,1.01
1.04,1.04,1.04,1.04
1.01,0.98,1.04,0.98
0.98,1.00,1.05,0.98
0.98,0.98,0.98,0.98
0.84,0.89,1.00,0.84
0.89,0.95,0.95,0.89
0.89,1.10,1.10,0.89
0.89,0.89,0.89,0.89
1.10,0.85,1.10,0.60
0.88,1.05,1.05,0.85
0.79,0.79,0.79,0.79
0.98,0.97,0.98,0.88
0.98,0.95,0.98,0.75
0.75,0.78,0.78,0.75
0.83,0.77,0.90,0.77
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.90,0.90,0.90,0.90
0.90,0.95,0.95,0.84
0.95,1.00,1.01,0.95
1.00,1.00,1.00,1.00
0.91,0.90,1.01,0.90
0.91,0.90,0.91,0.90
0.90,0.90,0.90,0.89
0.95,0.95,0.95,0.90
0.95,0.95,0.95,0.95
0.85,0.90,0.90,0.85
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.97,0.97,0.97,0.97
0.85,0.97,0.97,0.85
0.97,0.97,0.97,0.97
0.90,0.90,0.91,0.90
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.95,0.97,0.97,0.95
0.85,0.95,0.96,0.85
0.85,0.90,0.90,0.85
0.90,0.85,0.90,0.85
0.85,0.85,0.87,0.85
0.85,0.97,0.97,0.85
0.85,0.85,0.97,0.85
0.90,0.97,0.97,0.90
0.85,0.85,0.85,0.85
0.90,0.85,0.90,0.85
0.85,0.85,0.85,0.85
0.85,0.92,0.92,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.92,0.92,0.85
0.90,0.90,0.90,0.90
0.92,0.92,0.92,0.85
0.87,0.85,0.87,0.82
0.92,0.92,0.92,0.82
0.82,0.89,0.89,0.82
0.82,0.81,0.82,0.81
0.81,0.83,0.83,0.81
0.85,0.85,0.85,0.85
0.85,0.83,0.85,0.81
0.80,0.86,0.95,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.81,0.86,0.86,0.81
0.81,0.84,0.92,0.81
0.80,0.84,0.92,0.80
0.76,0.78,0.78,0.76
0.80,0.80,0.82,0.80
0.80,0.81,0.81,0.80
0.81,0.81,0.81,0.81
0.81,0.82,0.85,0.81
0.82,0.90,0.90,0.82
0.82,0.85,0.85,0.79
0.82,0.80,0.82,0.80
0.85,0.85,0.85,0.85
0.80,0.80,0.80,0.80
0.80,0.83,0.89,0.80
0.80,0.83,0.90,0.80
0.80,0.88,0.90,0.80
0.88,0.88,0.88,0.88
0.88,0.88,0.92,0.88
0.88,0.85,0.88,0.83
0.85,0.80,0.85,0.80
0.80,0.83,0.83,0.80
0.80,0.88,0.88,0.80
0.83,0.95,1.01,0.83
0.88,0.88,0.98,0.88
0.88,0.88,0.90,0.88
0.88,1.01,1.01,0.88
1.00,0.99,1.00,0.92
0.99,1.00,1.00,0.99
1.00,1.00,1.00,1.00
0.92,0.92,0.92,0.92
0.92,1.00,1.00,0.90
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.01,0.90,1.03,0.88
0.90,0.99,1.00,0.90
0.89,0.95,0.99,0.89
0.90,0.90,0.90,0.90
0.89,0.89,0.89,0.89
0.89,0.89,0.89,0.89
0.99,0.95,1.00,0.95
0.90,0.95,0.95,0.90
1.00,1.00,1.00,1.00
0.95,0.95,0.95,0.95
0.90,0.90,0.90,0.90
1.00,0.95,1.00,0.95
1.00,0.95,1.00,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.90,1.00,1.00,0.90
1.00,0.91,1.00,0.91
0.95,1.00,1.00,0.95
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
0.95,0.95,1.00,0.95
0.95,0.94,0.95,0.94
0.94,0.95,0.95,0.94
0.94,1.00,1.00,0.94
1.00,1.04,1.04,1.00
1.00,1.04,1.04,1.00
1.00,1.00,1.00,1.00
1.04,1.05,1.05,1.04
0.98,1.02,1.03,0.98
0.98,1.03,1.03,0.98
0.98,0.98,0.98,0.98
1.03,0.97,1.04,0.94
1.00,1.00,1.00,1.00
0.98,1.00,1.00,0.98
1.00,1.00,1.00,1.00
1.00,1.01,1.01,0.98
1.02,1.08,1.08,1.02
1.01,1.01,1.01,1.01
1.01,1.05,1.05,1.01
1.08,1.01,1.08,1.01
1.05,1.01,1.05,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.01,1.00,1.01,1.00
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.00,1.04,1.04,1.00
1.00,1.02,1.02,0.98
1.05,0.98,1.05,0.98
1.00,0.98,1.00,0.98
0.98,1.05,1.05,0.98
0.98,0.98,0.99,0.95
0.99,0.98,0.99,0.98
0.98,0.98,0.98,0.98
1.02,0.98,1.02,0.98
0.98,0.98,0.98,0.98
0.99,0.96,0.99,0.96
0.95,1.02,1.02,0.95
0.98,0.95,0.99,0.95
0.96,0.95,0.96,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.97,0.97,0.95
0.94,0.94,0.94,0.94
0.90,0.95,0.95,0.90
0.90,0.91,0.94,0.90
0.94,0.90,0.94,0.90
0.94,0.90,0.94,0.90
0.90,0.90,0.90,0.90
0.90,0.95,0.95,0.87
0.87,0.93,0.95,0.75
0.93,0.90,0.95,0.75
0.80,0.80,0.95,0.80
0.93,0.80,0.93,0.80
0.80,0.80,0.80,0.80
0.88,0.88,0.88,0.88
0.81,0.83,0.89,0.81
0.83,0.83,0.83,0.80
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.78,0.77,0.85,0.77
0.77,0.89,0.89,0.77
0.77,0.83,0.83,0.77
0.85,0.77,0.85,0.77
0.89,0.83,0.89,0.83
0.83,0.77,0.84,0.77
0.81,0.89,0.89,0.81
0.82,0.82,0.82,0.82
0.90,0.86,0.90,0.86
0.86,0.85,0.90,0.85
0.89,0.85,0.90,0.85
0.85,0.81,0.86,0.81
0.85,0.81,0.90,0.81
0.77,0.84,0.84,0.77
0.81,0.81,0.81,0.81
0.84,0.85,0.85,0.84
0.81,0.81,0.81,0.81
0.85,0.81,0.86,0.81
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.79,0.85,0.85,0.79
0.80,0.78,0.80,0.78
0.78,0.77,0.78,0.76
0.76,0.70,0.78,0.70
0.71,0.52,0.71,0.50
0.55,0.50,0.70,0.50
0.57,0.65,0.65,0.55
0.65,0.65,0.65,0.55
0.60,0.60,0.60,0.60
0.60,0.70,0.70,0.60
0.60,0.65,0.70,0.60
0.65,0.65,0.65,0.65
0.55,0.55,0.55,0.55
0.56,0.68,0.68,0.56
0.68,0.68,0.68,0.68
0.66,0.70,0.70,0.66
0.66,0.66,0.66,0.66
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.68,0.70,0.70,0.68
0.70,0.70,0.70,0.70
0.70,0.69,0.70,0.69
0.69,0.70,0.70,0.69
0.71,0.69,0.71,0.69
0.69,0.70,0.70,0.69
0.70,0.70,0.70,0.70
0.70,0.68,0.70,0.68
0.70,0.70,0.70,0.70
0.68,0.52,0.68,0.52
0.68,0.57,0.68,0.57
0.62,0.60,0.62,0.60
0.63,0.60,0.63,0.60
0.63,0.70,0.70,0.60
0.61,0.65,0.65,0.61
0.70,0.75,0.75,0.70
0.70,0.70,0.70,0.70
0.70,0.70,0.80,0.70
