COWN,Cowen Group,NASDAQ
96.16,95.52,96.32,93.60
94.88,94.88,95.84,93.76
93.92,95.04,95.20,93.76
94.40,94.08,94.56,92.16
93.44,92.96,94.08,92.48
93.60,91.04,94.24,90.56
90.56,88.96,92.32,88.16
88.80,88.64,89.12,87.20
87.84,88.80,90.08,87.84
88.32,86.56,88.80,85.60
85.92,87.68,87.84,85.92
86.72,86.40,87.04,85.60
86.24,84.80,86.56,84.32
84.80,82.72,84.80,82.24
81.92,82.40,83.52,81.75
82.40,81.92,83.84,80.80
81.60,83.68,84.16,81.60
84.00,82.24,86.40,80.80
82.40,79.20,83.52,79.20
79.68,83.52,83.52,78.08
83.84,82.40,84.64,81.60
82.40,80.00,83.52,80.00
77.44,78.24,80.00,77.44
78.40,78.72,79.04,77.92
79.20,78.56,83.04,78.40
79.52,78.24,80.48,77.44
78.24,82.24,82.40,77.60
82.24,79.84,82.40,79.20
79.52,81.12,81.60,79.04
81.60,80.80,81.60,79.78
80.80,80.80,81.44,79.68
80.80,82.40,84.80,80.32
82.56,81.44,82.56,81.12
81.60,82.40,83.04,80.96
82.56,80.96,82.56,80.48
80.96,80.16,80.96,79.84
79.84,83.68,84.16,79.84
84.16,87.04,90.40,84.16
87.68,88.00,90.08,86.08
89.12,83.52,89.12,79.52
84.16,81.60,84.96,81.28
82.40,83.20,84.80,80.16
83.52,86.40,86.88,83.20
88.00,91.04,91.36,86.56
91.20,92.00,92.96,90.24
91.52,90.56,92.16,89.60
89.92,91.20,91.20,89.60
91.20,90.24,91.20,89.28
89.60,88.32,90.40,87.52
88.96,88.16,88.96,87.20
88.48,88.48,89.12,88.00
88.32,87.68,88.80,86.40
88.16,86.56,88.16,84.80
85.76,85.28,86.24,84.64
85.60,85.76,85.92,84.64
85.60,84.64,85.92,83.84
84.64,87.36,88.48,84.64
88.00,90.72,90.72,85.44
91.20,91.68,92.64,89.28
92.16,91.84,92.32,89.44
91.20,90.56,91.68,89.12
N/A,N/A,N/A,N/A
88.64,90.56,90.88,88.64
90.08,92.00,92.32,89.60
91.52,90.40,91.84,90.08
89.76,94.88,96.32,89.76
94.88,93.60,95.20,92.96
94.08,91.20,94.08,90.88
90.24,87.04,90.24,86.56
87.68,90.88,91.04,87.68
90.56,92.00,93.28,90.40
92.16,90.88,93.28,88.32
90.24,89.92,91.52,89.12
89.92,90.88,92.00,89.44
91.36,89.44,91.36,88.96
88.96,88.00,88.96,87.04
88.00,90.24,90.40,88.00
90.88,91.04,94.24,90.24
90.56,86.72,91.36,86.56
