KALU,Kaiser Aluminum Corporation - Common Stock,NASDAQ
42.00,42.89,43.16,42.00
42.70,41.74,42.93,41.66
41.63,42.93,42.94,41.63
42.76,43.08,43.20,42.68
42.81,43.94,43.96,42.81
43.97,44.26,44.40,42.49
43.61,41.60,44.18,41.16
41.89,41.85,42.56,41.04
41.60,41.55,41.75,41.10
41.76,40.25,42.12,39.49
40.28,41.29,41.32,40.28
40.82,40.15,41.08,39.95
40.12,38.50,40.72,38.33
38.46,37.08,38.97,37.05
37.27,36.93,37.57,36.62
36.72,36.29,37.66,36.01
36.02,35.84,37.03,35.48
36.00,34.92,36.36,34.29
35.12,35.15,35.78,34.65
35.25,36.91,36.91,35.25
36.90,37.45,37.55,36.90
37.13,36.66,38.31,36.65
36.26,34.50,36.80,34.41
34.56,34.96,35.45,33.75
34.82,33.84,35.00,33.68
34.10,34.50,34.95,33.85
34.27,34.12,34.72,33.73
33.93,35.31,35.34,33.91
34.84,35.59,35.78,34.58
35.91,36.08,36.18,35.47
36.31,35.96,36.31,35.41
35.94,35.90,36.19,35.16
35.90,36.20,36.93,35.13
36.44,35.90,36.44,35.77
35.85,34.90,36.30,34.56
34.99,35.51,36.21,34.72
34.92,33.56,36.49,33.03
33.42,33.39,33.65,32.83
33.63,34.53,35.13,33.41
34.53,34.46,35.15,34.27
34.69,34.95,35.25,34.41
35.16,34.92,35.27,34.52
35.14,36.94,37.14,34.93
37.04,36.61,37.33,36.39
36.58,36.58,36.83,36.11
36.47,36.05,36.62,35.61
35.71,36.43,36.48,35.63
36.55,35.79,37.07,35.60
35.70,35.46,35.71,35.33
35.70,35.50,35.80,35.06
35.68,36.29,36.98,35.59
36.46,36.58,36.88,35.92
37.00,37.00,38.29,36.36
36.86,37.07,37.31,36.71
37.01,38.35,38.43,37.01
38.18,38.10,38.50,37.76
38.25,38.00,38.90,37.84
38.07,38.18,38.84,37.96
38.29,38.62,38.75,38.00
38.75,39.80,40.47,38.65
39.38,38.57,39.64,38.52
38.90,39.71,39.71,38.57
39.99,39.81,40.52,39.42
39.51,39.83,40.55,39.51
39.80,39.30,40.16,38.84
39.02,39.59,39.67,38.77
39.58,39.77,39.83,39.46
39.85,39.37,39.97,39.20
39.35,39.42,39.42,38.81
39.68,40.64,40.68,39.29
40.59,40.64,40.93,40.51
40.95,39.93,40.98,39.81
39.86,40.01,40.08,38.79
40.06,40.03,40.32,39.85
40.04,40.60,40.60,39.64
40.01,40.27,40.53,39.80
40.45,41.49,41.49,40.27
41.50,40.40,41.63,40.40
40.32,39.01,40.38,38.95
39.41,39.09,39.54,38.02
40.00,40.14,40.48,39.49
40.36,40.19,40.72,39.98
38.89,39.77,41.00,38.85
39.07,37.67,39.58,37.24
37.03,37.14,38.08,36.64
36.93,36.17,38.32,34.81
36.14,36.00,37.56,35.19
37.85,37.50,38.31,37.04
37.11,37.57,38.16,36.58
37.68,38.35,38.36,37.38
38.12,38.40,39.19,38.11
