CADC,China Advanced Construction Materials Group,NASDAQ
45.00,48.24,48.36,45.00
48.48,48.48,48.48,46.80
49.20,49.56,50.28,48.48
49.56,50.40,50.40,49.19
50.88,48.60,50.88,47.40
49.32,47.88,49.56,46.92
48.00,48.60,49.56,48.00
48.96,51.36,51.48,48.60
51.60,54.48,55.20,50.04
54.72,57.24,58.08,54.72
56.88,57.00,58.20,52.20
56.76,57.00,58.80,52.08
56.40,57.36,57.60,54.00
56.40,59.04,59.04,55.20
59.16,61.28,61.80,57.60
61.20,59.04,61.20,58.45
59.04,58.80,59.64,56.64
59.28,60.00,61.44,58.93
60.24,59.76,61.80,58.93
58.92,58.80,59.76,58.80
58.80,56.16,59.40,54.60
58.32,52.08,59.40,51.72
52.20,53.04,55.20,50.16
52.56,51.48,53.40,51.00
53.04,54.60,56.76,53.04
54.84,52.92,54.84,51.96
52.80,50.28,52.80,50.28
49.68,48.96,49.83,48.00
48.96,49.44,51.00,48.96
49.44,48.72,49.44,48.00
48.24,47.40,48.48,46.20
47.40,47.28,47.76,46.44
48.60,46.32,49.08,46.08
46.08,46.44,46.80,45.60
46.20,47.16,48.36,45.60
47.40,47.40,48.84,45.96
47.28,48.84,48.96,47.28
49.44,49.32,52.80,49.08
49.08,49.92,51.79,48.61
49.80,48.60,50.28,48.24
48.36,48.36,49.20,47.64
48.12,46.08,48.24,45.72
46.32,49.20,50.64,45.72
49.56,48.96,51.24,47.52
49.08,48.12,49.08,46.20
48.00,47.52,48.35,46.44
48.24,47.88,49.08,47.16
47.52,46.32,47.88,46.20
46.32,46.20,47.40,45.96
46.56,48.24,50.40,46.20
49.20,50.64,51.00,48.96
51.00,51.00,52.32,50.76
51.60,54.84,55.20,51.24
56.52,56.16,57.48,55.20
60.00,59.40,60.00,58.03
59.76,60.48,61.44,59.52
60.24,61.44,61.80,60.00
62.04,63.12,64.68,61.20
63.84,60.00,63.84,59.52
60.12,60.00,60.72,58.20
59.64,55.44,59.64,52.80
55.20,59.16,59.88,54.00
58.20,56.40,58.56,54.84
56.88,56.28,59.88,54.72
55.92,55.68,57.48,55.32
55.32,55.20,55.80,55.20
55.20,55.44,56.40,54.24
56.04,54.00,56.88,53.40
53.88,53.93,54.66,53.40
53.76,54.84,55.20,53.40
55.68,54.72,56.87,54.72
55.20,55.68,56.64,54.62
57.00,54.00,57.00,53.76
53.52,51.96,53.86,51.24
52.68,55.80,55.80,51.72
56.40,55.80,56.40,54.72
56.40,54.72,56.40,54.12
54.48,54.12,55.08,52.44
56.28,56.76,58.08,55.68
58.08,57.72,58.32,57.12
57.60,58.80,59.40,57.60
58.80,57.24,58.80,56.52
59.76,56.40,59.76,56.16
56.16,55.80,57.00,55.20
56.04,56.64,59.88,56.04
57.48,57.60,58.56,56.52
59.40,57.36,59.40,56.52
58.08,55.92,58.08,55.80
56.76,56.40,58.20,55.80
57.00,54.84,57.00,54.60
54.84,54.36,56.03,54.00
55.44,56.04,57.24,54.00
57.72,58.20,58.44,56.28
58.80,57.72,58.80,56.88
57.24,55.56,57.36,55.32
55.92,54.84,56.40,54.36
55.32,54.36,55.32,54.00
54.36,52.02,54.96,51.72
52.08,53.04,53.76,51.72
52.20,51.84,53.28,51.72
51.84,50.04,51.84,48.72
49.44,49.44,50.04,49.08
49.20,47.52,49.44,47.28
46.80,48.84,49.44,45.00
49.68,46.20,50.62,46.20
46.92,47.40,49.20,46.92
49.92,48.48,49.92,46.80
49.56,47.64,49.80,47.40
48.00,46.68,48.00,46.56
46.32,47.04,48.00,46.32
