JXSB,Jacksonville Bancorp Inc. - Common Stock,NASDAQ
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.01,9.01,9.01,9.01
9.01,9.01,9.01,9.01
10.00,9.00,10.00,9.00
9.00,9.00,9.00,9.00
9.25,10.00,10.00,9.25
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,10.00,10.00,10.00
10.00,9.99,10.00,9.99
10.00,10.00,10.00,10.00
10.00,10.54,10.54,10.00
10.54,10.54,10.54,10.54
10.75,10.75,10.75,10.75
11.00,11.89,11.89,11.00
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.89,11.89,11.89,11.89
11.26,11.88,11.88,11.25
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.88,11.88,11.88,11.88
11.08,11.50,11.50,11.08
11.50,11.50,11.50,11.50
11.06,11.05,11.06,11.05
11.05,11.05,11.05,11.05
11.05,11.05,11.05,11.05
11.05,11.05,11.05,11.05
11.10,11.10,11.10,11.10
11.10,11.10,11.10,11.10
11.10,11.10,11.10,11.10
11.10,11.10,11.10,11.10
11.10,11.10,11.10,11.10
11.10,11.10,11.10,11.10
11.30,11.25,11.51,11.25
11.25,11.25,11.25,11.25
11.25,11.25,11.25,11.25
11.25,11.25,11.25,11.25
11.25,11.25,11.25,11.25
13.00,13.01,13.50,12.99
13.50,16.00,16.00,13.50
14.35,13.86,14.35,12.85
13.31,13.30,13.31,13.30
13.00,13.04,13.04,13.00
13.50,12.92,13.50,11.52
12.92,12.92,12.92,12.92
11.63,12.57,12.91,11.63
11.80,13.95,13.95,11.80
12.96,12.10,13.41,12.10
11.62,11.73,11.73,11.56
11.73,11.73,11.73,11.73
11.73,11.73,11.73,11.73
11.76,11.70,12.56,11.70
11.56,11.50,11.56,11.50
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
12.10,13.85,13.90,12.10
13.00,12.09,13.00,11.66
12.86,12.75,12.86,12.64
12.75,12.84,12.84,12.75
12.75,12.47,12.75,12.37
12.47,12.47,12.47,12.47
12.47,12.47,12.47,12.47
12.97,12.97,12.97,12.97
12.97,12.97,12.97,12.97
12.97,12.97,12.97,12.97
11.53,11.88,11.88,11.53
11.88,11.88,11.88,11.88
11.55,11.57,11.62,11.40
11.52,11.47,11.56,11.47
11.47,11.47,11.47,11.47
11.53,11.42,11.53,11.42
11.52,11.52,11.52,11.52
11.52,11.52,11.52,11.52
