CJJD,China Jo-Jo Drugstores,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
4.61,4.78,5.00,4.13
4.76,4.65,4.80,4.60
4.55,4.79,4.80,4.36
4.79,4.72,4.80,4.72
4.85,4.80,4.97,4.80
4.96,4.83,4.96,4.80
4.76,4.75,4.80,4.75
4.75,4.80,4.83,4.75
4.84,4.74,4.90,4.70
4.88,4.60,4.88,4.60
4.65,4.50,4.65,4.25
4.70,4.40,4.85,4.14
4.50,4.70,4.88,4.50
4.70,4.76,4.81,4.70
4.50,4.75,4.84,3.80
4.80,4.85,4.88,4.80
4.71,4.66,5.49,4.50
4.65,4.65,4.77,4.65
4.76,4.70,4.85,4.70
4.71,4.51,4.80,4.51
4.87,4.20,4.87,4.20
4.20,4.20,4.33,4.11
4.47,4.31,4.73,4.29
4.20,4.20,4.20,4.19
4.20,4.35,4.40,4.20
4.50,4.54,4.75,4.50
4.60,4.38,4.60,4.30
nan,4.38,nan,nan
4.61,4.30,4.61,4.30
nan,4.30,nan,nan
4.25,4.30,4.30,4.25
4.34,4.35,4.35,4.34
4.27,4.37,4.37,4.27
4.35,4.26,4.35,4.26
4.25,4.25,4.25,4.24
4.03,4.16,4.16,4.03
4.24,4.25,4.25,4.24
4.25,4.25,4.25,4.25
4.25,4.11,4.25,4.11
4.16,4.20,4.21,4.16
4.39,4.20,4.39,4.15
4.28,4.19,4.28,4.19
4.13,3.95,4.13,3.95
3.95,3.95,4.00,3.95
3.95,4.00,4.00,3.95
3.99,4.00,4.03,3.95
4.00,3.95,4.03,3.95
3.90,3.87,4.00,3.87
4.30,4.20,4.38,4.10
4.20,4.11,4.33,4.11
4.15,4.15,4.15,4.15
4.20,4.15,4.20,4.10
4.15,4.15,4.20,3.98
4.15,4.30,4.30,4.11
4.30,4.24,4.30,4.24
4.30,4.25,4.30,4.11
4.25,4.30,4.30,4.17
4.30,4.35,4.43,4.25
4.35,4.11,4.35,3.95
4.38,3.92,4.38,3.92
4.00,4.00,4.00,3.98
4.04,4.04,4.04,4.04
4.15,4.25,4.25,4.15
4.16,4.16,4.18,4.13
4.22,4.75,4.75,4.22
4.79,4.44,4.79,4.44
4.50,4.49,4.50,4.38
4.49,4.47,4.57,4.47
5.86,4.82,5.86,4.71
5.00,4.92,5.00,4.75
5.00,5.00,5.05,4.97
5.04,5.13,5.15,5.02
5.19,5.24,5.25,5.14
5.29,5.46,5.55,5.28
5.32,5.62,5.62,5.32
5.79,5.73,5.79,5.56
5.78,5.73,5.84,5.60
5.79,5.57,5.80,5.23
5.59,5.45,5.76,5.44
5.50,5.27,5.56,5.25
5.34,5.28,5.41,5.10
5.46,5.40,5.46,5.29
5.26,5.74,5.86,5.25
5.89,5.68,5.89,5.60
5.71,5.53,5.80,5.50
5.69,5.75,5.84,5.60
5.70,5.35,5.70,5.35
5.35,6.13,6.14,5.35
6.41,6.16,6.94,6.13
6.25,6.02,6.25,5.87
6.20,5.86,6.20,5.80
5.78,5.66,5.89,5.55
5.66,5.75,5.98,5.66
6.10,5.37,6.10,5.15
5.30,5.21,5.34,5.21
5.28,5.27,5.45,5.21
5.36,5.24,5.40,5.23
5.40,5.35,5.40,5.25
5.32,5.40,5.45,5.25
5.50,5.40,5.51,5.30
5.45,5.10,5.45,5.10
5.07,4.98,5.10,4.61
4.88,4.85,4.88,4.62
4.82,4.78,4.97,4.67
4.96,4.79,4.96,4.75
4.85,4.76,4.92,4.60
4.75,4.60,4.84,4.60
4.55,4.46,4.55,4.46
4.42,4.45,4.64,4.42
4.50,4.54,4.75,4.50
4.70,4.84,5.02,4.70
4.82,5.13,5.27,4.82
5.35,5.15,5.35,5.14
5.29,5.08,5.29,5.08
5.13,4.93,5.25,4.91
4.93,5.05,5.19,4.93
5.02,5.00,5.06,5.00
5.09,4.72,5.09,4.65
4.75,4.85,4.98,4.75
4.94,5.08,5.08,4.90
5.10,5.22,5.28,5.10
5.35,5.22,5.35,5.18
5.22,5.07,5.31,5.02
5.00,5.26,5.33,5.00
5.34,5.25,5.34,5.22
5.20,5.11,5.20,5.02
5.18,5.08,5.25,5.01
5.16,4.99,5.20,4.80
5.00,5.08,5.08,4.94
5.10,5.04,5.13,4.99
5.01,4.76,5.03,4.73
4.91,5.01,5.01,4.78
5.00,4.87,5.00,4.80
4.97,4.95,5.00,4.82
5.10,5.00,5.10,4.95
5.07,5.00,5.10,4.95
4.96,5.07,5.10,4.96
5.10,5.31,5.49,5.07
5.38,5.19,5.38,5.06
5.25,5.25,5.40,5.13
5.50,5.73,5.82,5.30
5.79,6.04,6.07,5.64
6.10,5.91,6.10,5.83
5.90,5.77,5.90,5.55
5.64,5.03,5.64,5.00
5.72,5.06,5.72,5.05
5.50,5.26,5.50,5.13
5.44,5.32,5.44,5.28
5.33,5.03,5.33,5.02
5.00,4.69,5.01,4.53
4.60,4.58,4.64,4.54
4.70,4.75,4.90,4.66
4.84,4.76,4.84,4.73
4.86,4.51,4.86,4.40
4.50,4.50,4.62,4.48
4.52,4.36,4.63,4.25
4.40,4.33,4.40,4.30
4.36,4.45,4.48,4.33
4.50,4.68,4.70,4.50
4.60,4.49,4.72,4.45
4.54,4.34,4.54,4.28
4.36,4.27,4.38,4.25
4.28,4.35,4.35,4.22
4.35,4.20,4.35,4.20
4.35,4.24,4.35,4.22
4.26,4.23,4.31,4.22
4.26,4.28,4.30,4.20
4.25,4.28,4.32,4.23
4.16,4.20,4.35,4.16
4.24,4.27,4.33,4.24
4.35,4.25,4.35,4.25
4.25,4.18,4.25,4.18
4.30,4.20,4.30,4.20
4.20,4.24,4.27,4.20
4.29,4.18,4.29,4.18
4.26,4.21,4.38,4.15
4.18,4.20,4.35,4.15
4.25,4.14,4.25,4.14
4.17,4.23,4.31,4.15
4.23,4.35,4.38,4.23
4.50,4.20,4.50,4.16
4.40,4.25,4.40,4.17
4.35,4.40,4.49,4.33
4.47,4.65,4.75,4.45
4.70,4.92,4.96,4.70
5.60,4.80,5.60,4.80
4.76,4.87,4.90,4.75
4.93,4.72,4.93,4.70
4.70,4.52,4.70,4.50
4.52,4.45,4.52,4.40
4.55,4.63,4.65,4.45
4.63,4.27,4.63,4.25
4.30,4.45,4.52,4.30
4.46,4.50,4.54,4.46
4.60,4.58,4.68,4.45
4.68,4.58,4.68,4.50
4.60,4.38,4.60,4.27
4.64,4.50,4.64,4.41
4.50,4.50,4.54,4.40
4.45,4.37,4.45,4.35
4.35,4.38,4.45,4.35
4.55,4.36,4.55,4.30
4.36,4.35,4.40,4.30
4.37,4.26,4.38,4.25
4.26,4.27,4.30,4.26
4.26,4.29,4.35,4.26
4.26,4.43,4.43,4.26
4.32,3.98,4.32,3.88
4.00,3.97,4.05,3.90
3.91,3.95,4.09,3.90
4.00,3.95,4.05,3.95
3.95,3.90,4.00,3.90
3.90,3.99,4.00,3.90
4.03,3.87,4.03,3.86
3.98,3.88,3.98,3.85
3.88,3.95,4.00,3.88
3.95,3.88,3.95,3.88
3.95,3.94,4.00,3.89
3.90,4.00,4.00,3.90
3.94,3.93,4.00,3.93
3.90,3.93,3.99,3.89
3.90,4.00,4.00,3.87
3.91,3.86,3.97,3.80
3.80,3.51,3.85,3.48
3.52,3.76,3.77,3.52
3.50,3.59,3.71,3.50
3.50,3.55,3.59,3.50
3.55,3.55,3.65,3.53
3.50,3.55,3.55,3.50
3.50,3.25,3.51,3.25
3.42,3.25,3.42,3.25
3.20,3.00,3.21,2.80
3.00,3.06,3.06,3.00
3.11,3.16,3.18,3.10
3.15,3.13,3.15,3.10
3.16,3.00,3.18,3.00
2.98,2.86,2.98,2.75
2.75,2.75,2.82,2.50
2.65,2.61,2.65,2.51
2.56,2.47,2.58,2.42
2.50,2.76,2.76,2.50
2.80,2.72,2.81,2.66
2.68,2.60,2.70,2.56
2.65,2.52,2.70,2.50
2.53,2.55,2.75,2.50
2.65,2.58,2.65,2.52
2.56,2.49,2.56,2.45
2.56,2.50,2.56,2.42
2.50,2.42,2.50,2.40
2.40,2.37,2.40,2.26
2.30,2.54,2.54,2.30
2.55,2.53,2.60,2.47
2.50,2.55,2.56,2.50
2.57,2.65,2.66,2.57
2.68,2.71,2.75,2.65
2.71,2.71,2.74,2.70
2.71,2.71,2.71,2.60
2.69,2.71,2.71,2.62
2.71,2.71,2.73,2.71
2.65,2.60,2.75,2.60
2.71,2.67,2.72,2.60
2.65,2.38,2.65,2.38
2.40,2.34,2.55,2.34
2.42,2.37,2.58,2.29
2.48,2.42,2.53,2.41
2.42,2.48,2.48,2.40
2.45,2.45,2.45,2.35
2.43,2.36,2.48,2.20
2.35,2.12,2.44,2.12
2.21,2.12,2.24,2.11
2.17,2.16,2.17,2.10
2.11,2.18,2.24,2.11
2.18,2.24,2.24,2.18
2.17,2.15,2.17,2.13
2.15,2.12,2.19,2.12
2.11,2.15,2.24,2.11
2.20,2.13,2.20,2.13
2.15,2.13,2.16,2.13
2.15,2.09,2.19,2.06
2.10,2.14,2.19,2.08
2.19,2.10,2.19,2.10
2.12,2.13,2.20,2.11
2.13,2.15,2.16,2.13
2.13,2.13,2.16,2.13
2.12,1.79,2.12,1.79
1.75,1.73,1.85,1.58
