NTN,NTN Buzztime,NASDAQ
0.45,0.45,0.46,0.44
0.45,0.42,0.46,0.40
0.41,0.42,0.43,0.41
0.44,0.44,0.45,0.41
0.45,0.45,0.46,0.41
0.46,0.45,0.46,0.45
0.45,0.49,0.50,0.45
0.48,0.50,0.51,0.48
0.51,0.51,0.51,0.50
0.56,0.49,0.56,0.48
0.47,0.46,0.48,0.44
0.46,0.45,0.47,0.44
0.45,0.47,0.49,0.45
0.47,0.48,0.48,0.47
0.48,0.48,0.48,0.48
0.48,0.48,0.48,0.48
0.45,0.47,0.47,0.45
0.47,0.47,0.47,0.40
0.46,0.46,0.47,0.45
0.45,0.46,0.47,0.45
0.45,0.48,0.48,0.45
0.48,0.47,0.51,0.47
0.47,0.47,0.48,0.45
0.46,0.46,0.46,0.45
0.46,0.45,0.46,0.44
0.46,0.45,0.46,0.42
0.45,0.44,0.45,0.44
0.44,0.45,0.46,0.44
0.45,0.45,0.45,0.45
0.26,0.43,0.44,0.26
0.43,0.42,0.43,0.42
0.43,0.42,0.45,0.42
0.42,0.42,0.43,0.42
0.42,0.42,0.42,0.41
0.43,0.43,0.43,0.43
0.44,0.44,0.45,0.44
0.43,0.45,0.45,0.43
0.44,0.46,0.46,0.44
0.46,0.49,0.50,0.46
0.49,0.49,0.50,0.49
0.50,0.50,0.50,0.47
0.49,0.49,0.50,0.48
0.48,0.46,0.48,0.46
0.47,0.49,0.49,0.47
0.49,0.48,0.50,0.47
0.48,0.47,0.49,0.47
0.47,0.46,0.47,0.46
0.45,0.46,0.47,0.44
0.45,0.46,0.50,0.45
0.48,0.49,0.49,0.47
0.48,0.48,0.49,0.47
0.47,0.49,0.50,0.47
0.49,0.49,0.50,0.48
0.49,0.47,0.49,0.47
0.49,0.48,0.49,0.47
0.47,0.48,0.48,0.47
0.47,0.48,0.48,0.47
0.49,0.47,0.49,0.45
0.47,0.49,0.49,0.47
0.49,0.48,0.49,0.46
0.48,0.50,0.50,0.48
0.50,0.50,0.50,0.50
0.49,0.49,0.49,0.47
0.48,0.49,0.50,0.48
0.50,0.50,0.51,0.49
0.50,0.50,0.50,0.48
0.49,0.49,0.50,0.49
0.49,0.48,0.50,0.45
0.50,0.48,0.50,0.47
0.47,0.54,0.55,0.47
0.53,0.55,0.58,0.52
0.57,0.57,0.58,0.53
0.57,0.62,0.62,0.56
0.62,0.62,0.64,0.59
0.62,0.64,0.65,0.61
0.63,0.67,0.69,0.61
0.68,0.69,0.72,0.64
0.74,0.70,0.74,0.68
0.58,0.68,0.69,0.58
0.66,0.66,0.67,0.64
0.65,0.65,0.66,0.64
0.65,0.64,0.65,0.62
0.64,0.67,0.67,0.64
0.65,0.66,0.66,0.61
0.66,0.60,0.66,0.57
0.59,0.62,0.62,0.59
0.62,0.64,0.64,0.59
0.64,0.64,0.64,0.61
0.62,0.61,0.62,0.59
0.59,0.64,0.66,0.57
0.62,0.65,0.66,0.61
0.63,0.64,0.65,0.58
0.62,0.57,0.62,0.55
0.58,0.48,0.58,0.48
0.48,0.48,0.51,0.48
0.49,0.46,0.52,0.43
0.46,0.48,0.49,0.46
0.49,0.56,0.71,0.48
0.57,0.58,0.59,0.56
0.59,0.57,0.59,0.56
0.56,0.55,0.56,0.55
0.55,0.58,0.58,0.53
0.56,0.51,0.56,0.49
0.51,0.53,0.53,0.50
0.51,0.52,0.52,0.50
0.52,0.52,0.54,0.52
0.51,0.50,0.51,0.50
0.50,0.49,0.51,0.49
0.49,0.50,0.50,0.48
0.49,0.52,0.52,0.48
0.53,0.52,0.53,0.50
0.51,0.48,0.52,0.47
0.48,0.50,0.50,0.47
0.51,0.52,0.52,0.50
0.51,0.49,0.51,0.48
0.51,0.52,0.52,0.51
