PH,Parker-Hannifin Corporation Common Stock,NASDAQ
54.66,54.52,55.04,54.17
54.35,54.26,54.82,53.94
54.14,54.03,54.47,53.80
53.75,54.67,54.90,53.75
54.47,56.22,56.23,54.12
57.10,57.82,58.03,56.57
57.45,57.94,58.09,57.38
58.09,58.25,58.59,57.09
58.03,58.79,58.94,57.56
58.66,58.56,59.15,57.94
61.74,61.42,62.85,60.58
61.13,60.61,61.18,59.40
60.40,59.52,61.43,58.76
59.44,57.62,59.44,57.59
58.52,57.37,59.04,56.37
56.90,56.60,57.30,56.07
56.49,57.40,57.74,56.15
57.71,56.32,57.80,55.68
56.83,55.91,57.86,55.67
56.20,57.14,57.40,56.06
57.55,58.14,58.21,57.20
57.80,57.30,58.62,57.13
56.52,54.93,56.74,54.93
54.96,54.97,55.32,53.50
54.95,54.54,55.17,53.95
55.33,55.75,56.40,54.88
55.70,55.55,55.98,54.86
55.59,56.76,56.79,55.15
55.91,56.08,57.65,55.21
57.24,57.25,57.30,56.41
57.75,58.19,58.33,57.26
58.04,58.76,58.87,57.97
58.59,59.00,59.29,58.20
59.18,58.92,59.24,58.63
58.72,58.31,59.06,57.76
58.58,58.87,58.91,58.13
57.55,58.90,59.06,57.46
59.31,60.31,60.45,59.17
60.17,61.71,62.58,60.15
62.02,62.07,62.41,61.87
63.20,62.41,63.66,62.30
62.44,62.07,62.76,61.52
62.86,62.93,63.23,62.51
62.91,63.02,63.31,62.54
62.89,63.33,63.60,62.68
63.46,63.82,63.96,63.18
63.84,63.69,63.85,63.03
63.99,63.61,64.20,63.31
63.65,63.84,63.89,63.27
63.96,64.44,64.67,63.89
64.74,65.37,65.74,64.46
65.26,65.60,65.91,65.11
65.11,65.11,66.41,64.89
64.53,65.55,65.62,64.21
65.78,66.57,66.71,65.16
66.49,65.34,66.55,65.26
66.16,64.79,66.42,64.70
65.01,64.61,65.93,64.44
64.92,65.24,65.31,64.77
65.57,65.52,66.23,65.34
65.33,64.74,65.55,64.69
65.12,65.27,65.69,64.80
65.40,66.42,66.56,65.40
66.16,66.32,66.32,65.70
66.05,66.50,67.06,65.90
66.37,67.59,67.75,65.84
67.77,68.48,68.67,67.51
69.54,69.48,69.66,68.50
69.27,69.76,69.85,69.03
70.22,70.54,70.81,70.17
70.30,70.21,70.72,70.01
69.78,69.07,70.02,68.87
69.04,69.39,69.74,67.99
71.75,67.80,72.50,67.12
68.37,71.00,71.17,68.37
70.52,70.44,70.80,69.70
70.13,70.99,70.99,69.75
71.00,71.16,71.73,70.89
70.64,68.75,71.36,68.50
69.26,69.06,69.43,68.09
69.65,71.23,71.29,69.65
71.22,69.18,71.78,69.09
69.87,70.82,70.98,69.41
69.47,67.98,69.47,67.47
67.00,67.24,67.63,66.64
66.79,64.50,67.56,59.47
64.39,62.25,64.83,61.91
65.76,67.69,68.02,64.62
66.89,67.05,68.02,66.48
67.45,69.06,69.46,67.45
68.71,68.18,69.69,68.02
68.04,66.46,68.04,65.81
66.54,66.27,67.46,64.50
66.82,64.95,67.13,64.69
64.70,63.63,65.18,62.40
61.86,59.70,62.18,59.42
58.24,60.57,60.58,58.24
60.45,59.56,60.92,59.37
58.01,59.85,60.00,57.32
60.53,60.27,61.74,60.03
61.75,62.73,62.73,60.96
62.86,61.46,62.86,60.92
60.66,59.50,62.12,59.48
59.74,61.68,61.68,59.74
62.14,61.98,62.36,61.41
60.04,58.52,60.66,58.08
59.04,57.08,59.04,56.96
57.51,58.12,58.23,56.68
58.94,58.42,60.28,58.20
59.63,60.85,60.97,59.63
60.07,61.06,61.38,59.83
61.99,60.89,62.54,60.69
61.82,63.47,63.55,61.54
62.88,61.74,63.20,61.31
62.20,61.50,62.52,60.68
61.66,60.86,61.84,60.67
61.86,61.03,62.18,60.65
60.98,58.53,61.21,58.43
58.61,58.64,59.37,57.63
58.30,56.64,58.62,56.60
56.50,58.21,58.26,56.22
58.31,57.99,58.88,57.57
56.84,56.16,56.93,55.18
55.92,55.46,56.98,55.34
55.70,55.23,55.93,54.26
55.44,55.02,55.78,54.60
55.79,54.80,56.42,54.40
55.14,56.87,56.96,54.89
57.40,57.27,57.64,56.29
57.34,57.32,57.61,56.75
56.97,56.44,57.22,56.10
57.36,58.27,58.63,57.12
57.91,57.40,57.94,56.95
57.45,58.08,58.18,57.05
57.61,56.26,57.73,56.11
56.52,56.88,56.98,56.09
55.78,57.97,58.09,55.63
58.66,58.29,59.80,57.84
59.35,60.60,60.71,59.21
60.33,62.19,62.21,60.12
62.13,62.36,62.66,61.56
62.92,61.09,62.93,60.74
60.98,61.81,61.99,60.95
62.39,61.56,63.29,60.91
61.10,62.12,62.39,60.20
63.36,63.85,64.31,62.68
64.14,64.18,64.68,62.32
63.67,64.44,64.89,63.02
63.98,65.39,65.49,63.79
64.36,65.48,65.67,64.36
65.83,65.31,65.92,64.67
64.00,65.04,65.14,63.84
62.75,62.35,63.81,62.10
61.10,62.83,62.92,61.06
62.67,63.52,63.81,62.48
62.99,63.40,63.47,62.06
63.95,65.51,65.99,63.93
65.42,65.87,66.25,64.91
64.75,63.80,64.90,63.41
63.23,63.23,63.85,62.61
63.69,61.98,64.41,61.91
60.84,60.30,61.15,60.26
59.56,59.66,60.18,58.71
59.97,59.85,60.62,59.46
60.52,60.69,60.93,59.29
60.59,59.36,60.93,59.34
58.90,59.16,59.85,58.72
60.19,62.20,62.31,60.19
62.53,63.70,63.78,62.30
64.84,64.97,65.48,64.01
64.29,64.15,64.70,64.01
64.32,65.04,65.59,64.25
66.03,64.96,66.03,64.62
65.30,65.05,65.80,64.95
66.10,67.75,67.89,65.96
67.64,66.98,67.69,66.97
66.64,67.21,67.34,66.21
66.98,67.22,67.35,66.70
67.76,68.53,68.83,67.09
68.77,69.84,70.00,68.23
69.55,69.46,70.30,69.24
69.46,69.38,70.10,69.04
68.57,67.76,68.70,67.55
69.06,69.88,70.21,68.83
69.68,69.42,69.94,69.30
69.63,70.11,70.34,68.57
69.64,70.45,71.13,69.53
70.80,70.06,72.12,69.79
70.56,70.41,70.91,69.33
69.98,68.28,70.37,67.52
69.23,71.02,71.65,69.03
70.72,70.19,71.27,69.64
70.57,70.71,70.88,69.96
70.73,71.18,71.50,69.96
70.65,70.94,71.40,69.91
70.89,70.53,70.92,69.36
71.14,71.79,72.41,70.88
71.46,71.17,71.76,70.75
72.02,71.03,72.02,70.45
71.21,72.42,72.64,71.11
78.26,75.08,78.71,74.23
75.56,75.49,76.41,75.02
76.05,75.95,77.25,74.77
76.16,76.31,76.39,75.55
76.87,77.19,77.95,76.84
76.51,76.50,76.88,74.79
75.76,75.98,76.08,74.91
76.49,75.87,77.11,75.27
75.59,76.55,77.16,75.40
77.31,77.30,78.47,76.74
78.06,78.51,78.83,77.70
78.78,77.86,79.18,76.63
79.39,80.38,80.49,79.03
79.98,81.68,81.81,79.93
81.04,80.82,81.21,80.28
80.96,79.83,80.96,79.45
79.93,80.46,80.63,79.25
79.84,81.31,81.31,79.66
80.54,79.39,80.60,78.80
80.08,80.40,81.27,79.20
79.68,78.46,79.83,77.49
76.27,78.05,78.84,76.27
79.00,79.83,80.64,78.91
80.07,81.18,81.28,79.61
80.50,81.37,81.60,80.05
80.30,79.93,80.41,79.00
80.45,82.29,82.30,80.45
81.46,81.46,82.20,81.16
81.00,80.50,81.02,79.42
79.47,80.23,80.60,79.02
81.80,83.19,83.37,81.80
83.16,83.99,84.52,82.84
83.52,84.22,84.40,83.51
83.78,84.70,84.93,83.69
84.81,84.99,85.92,84.81
85.33,85.09,85.73,84.76
85.58,85.04,85.77,84.72
85.17,86.14,86.35,85.12
86.66,86.39,87.36,85.95
86.38,86.10,86.71,85.75
86.02,85.32,86.93,85.27
85.46,85.35,85.85,84.92
85.09,84.82,85.48,84.81
85.03,84.97,85.42,84.48
85.31,85.99,86.25,84.79
85.91,85.60,86.30,85.41
85.61,85.30,86.18,85.03
