OPXA,Opexa Therapeutics,NASDAQ
1.96,1.99,2.03,1.82
1.99,1.93,2.00,1.87
1.89,1.92,2.07,1.89
1.92,2.18,2.34,1.92
2.15,2.38,2.86,2.11
2.43,2.26,2.43,2.21
2.38,2.18,2.38,2.11
2.18,2.24,2.26,2.10
2.26,2.32,2.39,2.20
2.28,2.40,2.58,2.24
2.44,2.37,2.52,2.36
2.40,2.32,2.40,2.27
2.38,2.19,2.38,2.15
2.18,2.07,2.18,1.99
2.11,1.96,2.11,1.93
1.90,1.89,1.97,1.88
1.91,2.02,2.05,1.86
2.03,1.94,2.04,1.92
1.94,1.90,2.02,1.88
1.92,1.92,1.98,1.89
2.00,2.03,2.11,1.92
2.01,2.05,2.11,1.97
2.10,1.96,2.10,1.96
1.93,1.92,2.00,1.88
1.99,1.93,2.06,1.85
1.96,1.95,1.97,1.85
1.95,1.94,2.04,1.87
1.92,1.93,2.00,1.91
1.99,2.10,2.16,1.90
2.10,2.12,2.17,2.06
2.17,2.00,2.19,1.97
2.01,2.00,2.08,1.98
1.95,2.02,2.03,1.92
2.08,2.00,2.08,1.92
2.02,1.92,2.02,1.91
1.92,1.88,1.98,1.87
1.90,1.93,2.09,1.87
1.93,1.93,1.98,1.92
1.93,2.02,2.03,1.93
2.02,1.98,2.02,1.94
1.98,2.16,2.24,1.97
2.16,2.03,2.17,1.98
2.06,2.08,2.09,1.97
2.08,1.99,2.10,1.95
2.02,1.99,2.06,1.96
2.02,2.03,2.14,2.02
2.10,1.99,2.10,1.99
1.99,2.03,2.04,1.99
2.03,1.99,2.05,1.98
1.99,1.96,2.02,1.96
1.96,1.98,2.02,1.95
1.97,1.95,1.99,1.92
1.93,1.93,2.00,1.93
1.95,1.93,1.95,1.90
1.95,1.97,2.00,1.90
2.00,1.99,2.00,1.92
1.99,1.95,1.99,1.95
1.94,1.96,1.99,1.92
2.01,1.93,2.01,1.93
2.18,2.27,2.54,2.15
2.19,2.09,2.26,2.05
2.09,2.11,2.15,2.07
2.15,2.21,2.23,2.15
2.28,2.52,2.53,2.22
2.52,2.60,2.79,2.38
2.71,2.60,2.89,2.51
2.60,2.41,2.69,2.37
2.40,2.39,2.49,2.33
2.40,2.88,3.06,2.40
2.96,2.67,3.07,2.59
2.56,2.42,2.56,2.34
2.42,2.37,2.49,2.29
2.33,2.33,2.45,2.33
2.33,2.30,2.37,2.25
2.30,2.35,2.42,2.30
2.48,2.42,2.48,2.37
2.40,2.35,2.42,2.35
2.39,2.31,2.39,2.31
2.31,2.18,2.35,2.12
2.19,2.17,2.22,2.16
2.18,2.31,2.33,2.15
2.35,2.25,2.35,2.23
2.30,2.42,2.52,2.30
2.39,2.25,2.39,2.20
2.26,2.16,2.26,2.11
2.20,2.04,2.20,1.98
2.09,1.96,2.09,1.86
2.08,2.02,2.25,2.00
2.20,2.19,2.27,2.08
2.18,2.20,2.20,2.11
2.16,2.15,2.23,2.05
2.13,2.01,2.14,2.00
2.00,1.97,2.01,1.95
1.96,2.03,2.11,1.93
2.00,1.95,2.02,1.90
1.91,1.79,1.91,1.79
1.75,1.81,1.84,1.70
1.85,1.74,1.86,1.70
1.70,1.69,1.73,1.62
1.70,1.69,1.80,1.66
1.75,1.73,1.75,1.70
1.71,1.76,1.84,1.71
1.75,1.56,1.76,1.56
1.53,1.67,1.68,1.53
1.66,1.68,1.72,1.66
1.70,1.69,1.73,1.65
1.72,1.58,1.77,1.58
1.62,1.52,1.63,1.50
1.53,1.61,1.75,1.51
1.63,1.57,1.65,1.54
1.51,1.65,1.66,1.50
1.70,1.62,1.70,1.56
1.76,1.71,1.76,1.67
1.74,1.80,1.97,1.74
1.80,1.81,1.83,1.80
1.81,1.78,1.81,1.65
1.86,1.76,1.86,1.73
1.73,1.74,1.80,1.73
1.72,1.66,1.72,1.65
1.66,1.65,1.67,1.61
1.63,1.69,1.69,1.61
1.66,1.61,1.69,1.58
1.57,1.48,1.59,1.45
1.50,1.44,1.55,1.43
1.45,1.39,1.46,1.36
1.39,1.46,1.58,1.39
1.52,1.48,1.57,1.47
1.47,1.56,1.56,1.42
1.51,1.58,1.58,1.51
1.53,1.65,1.65,1.52
1.68,1.63,1.68,1.58
1.64,1.63,1.66,1.60
1.60,1.62,1.63,1.60
1.61,1.57,1.62,1.46
1.55,1.49,1.55,1.45
1.51,1.46,1.51,1.42
1.43,1.45,1.46,1.42
1.45,1.53,1.53,1.45
1.55,1.70,1.70,1.53
1.62,1.73,1.77,1.62
1.75,1.75,1.76,1.69
1.75,1.64,1.75,1.64
1.60,1.51,1.60,1.50
1.55,1.52,1.59,1.51
1.51,1.50,1.55,1.48
1.52,1.55,1.58,1.52
1.54,1.51,1.56,1.51
1.52,1.53,1.54,1.52
1.53,1.53,1.58,1.52
1.53,1.53,1.57,1.53
1.58,1.52,1.58,1.50
1.52,1.47,1.52,1.47
1.46,1.31,1.51,1.11
1.28,1.23,1.30,1.23
1.24,1.14,1.32,1.11
1.15,1.15,1.17,1.13
1.19,1.05,1.19,1.02
1.05,1.17,1.30,1.03
1.23,1.16,1.24,1.12
1.16,1.16,1.17,1.12
1.16,1.17,1.20,1.13
1.10,1.19,1.21,1.10
1.19,1.19,1.23,1.18
1.21,1.24,1.30,1.15
1.24,1.12,1.30,1.11
1.15,1.15,1.15,1.12
1.14,1.13,1.14,1.11
1.12,1.12,1.15,1.11
1.13,1.08,1.13,1.06
1.12,1.10,1.12,1.05
1.10,1.09,1.15,1.09
1.09,1.09,1.13,1.05
1.13,1.06,1.14,1.05
1.09,1.10,1.10,1.06
1.11,1.58,2.10,1.11
1.59,1.79,1.95,1.50
1.65,1.61,1.73,1.58
1.61,1.63,1.65,1.46
1.63,1.54,1.63,1.53
1.57,1.42,1.58,1.38
1.46,1.37,1.48,1.35
1.46,1.50,1.58,1.35
1.47,1.40,1.55,1.40
1.40,1.41,1.46,1.40
1.44,1.59,1.59,1.44
1.57,1.63,1.72,1.47
1.62,1.56,1.65,1.52
1.53,1.53,1.61,1.52
1.56,1.57,1.60,1.52
1.60,1.56,1.65,1.54
1.54,1.54,1.60,1.52
1.55,1.52,1.61,1.50
1.51,1.51,1.55,1.50
1.55,1.53,1.55,1.48
1.51,1.51,1.54,1.46
1.51,1.59,1.63,1.51
1.62,1.55,1.63,1.51
1.54,1.51,1.58,1.50
1.50,1.51,1.59,1.50
1.49,1.53,1.59,1.48
1.51,1.50,1.54,1.50
1.52,1.51,1.58,1.50
1.51,1.59,1.59,1.50
1.58,1.53,1.58,1.51
1.52,1.51,1.58,1.47
1.50,1.49,1.51,1.47
1.49,1.47,1.51,1.47
1.47,1.47,1.50,1.46
1.46,1.51,1.51,1.46
1.49,1.46,1.49,1.45
1.46,1.46,1.49,1.45
1.45,1.43,1.50,1.41
1.44,1.40,1.45,1.40
1.40,1.41,1.43,1.37
1.42,1.45,1.48,1.41
1.48,1.44,1.53,1.36
1.45,1.48,1.48,1.40
1.48,1.48,1.53,1.40
1.52,1.40,1.52,1.39
1.43,1.43,1.45,1.38
1.38,1.36,1.44,1.36
1.36,1.32,1.41,1.31
1.32,1.33,1.40,1.30
1.36,1.30,1.36,1.30
1.32,1.41,1.41,1.29
1.41,1.34,1.41,1.32
1.40,1.34,1.41,1.34
1.34,1.38,1.38,1.33
1.36,1.45,1.49,1.36
1.41,1.39,1.48,1.38
1.42,1.39,1.47,1.36
1.41,1.38,1.45,1.36
1.40,1.39,1.44,1.35
1.41,1.36,1.44,1.35
1.41,1.31,1.41,1.31
1.33,1.38,1.38,1.33
1.37,1.32,1.37,1.32
1.32,1.44,1.45,1.32
1.44,1.42,1.45,1.40
1.41,1.42,1.45,1.38
1.41,1.38,1.43,1.38
1.38,1.43,1.43,1.38
1.43,1.38,1.43,1.38
1.38,1.39,1.42,1.38
1.38,1.37,1.41,1.37
1.37,1.38,1.40,1.35
1.36,1.66,1.66,1.35
1.66,1.55,1.66,1.54
1.57,1.50,1.61,1.50
1.48,1.47,1.55,1.42
1.46,1.50,1.56,1.43
1.44,1.47,1.55,1.44
1.47,1.52,1.55,1.42
1.56,1.56,1.56,1.50
2.63,2.40,2.90,2.26
2.52,2.52,2.55,2.14
2.41,2.36,2.47,2.31
2.39,2.33,2.41,2.25
2.36,2.28,2.40,2.25
2.28,2.27,2.34,2.25
2.26,2.26,2.32,2.16
2.23,2.16,2.29,2.15
2.15,2.10,2.16,2.02
2.08,2.54,2.71,2.03
2.50,2.51,2.55,2.37
2.55,2.65,2.86,2.45
2.65,2.80,2.99,2.65
2.79,2.69,2.83,2.65
2.88,2.71,2.88,2.60
2.81,2.63,2.81,2.62
2.65,2.54,2.65,2.36
2.55,2.39,2.55,2.37
2.63,2.47,2.63,2.42
2.46,2.31,2.54,2.30
2.30,2.37,2.43,2.25
2.35,2.36,2.42,2.26
2.40,2.37,2.49,2.36
2.00,1.94,2.00,1.91
1.94,1.90,1.95,1.90
1.92,2.03,2.08,1.90
2.03,2.01,2.05,1.95
2.00,2.00,2.09,2.00
2.00,1.97,2.04,1.97
1.96,2.00,2.00,1.93
1.98,1.92,2.01,1.92
1.91,1.89,1.95,1.87
1.88,1.73,1.88,1.70
1.75,1.77,1.86,1.68
1.79,1.85,1.87,1.69
1.90,1.91,1.93,1.85
1.90,1.85,1.90,1.81
1.84,1.79,1.84,1.75
1.81,1.83,1.85,1.70
1.83,1.81,1.87,1.76
1.87,1.76,1.87,1.72
1.74,1.73,1.78,1.72
1.83,1.78,1.83,1.70
1.77,1.75,1.84,1.72
1.74,1.74,1.78,1.71
1.72,1.73,1.74,1.70
1.72,1.66,1.75,1.65
1.64,1.62,1.67,1.51
1.60,1.59,1.67,1.58
1.63,1.61,1.63,1.57
1.61,1.73,1.78,1.61
1.77,1.90,1.90,1.77
1.90,1.75,1.92,1.75
