AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,NASDAQ
40.70,40.38,41.04,40.36
40.30,40.14,40.31,39.72
40.05,40.49,40.78,40.05
39.55,40.48,40.54,39.55
40.25,40.64,40.82,40.11
40.72,40.24,40.80,40.09
39.43,39.54,39.72,38.82
39.50,40.09,40.15,39.41
39.94,39.56,39.94,39.25
39.34,39.31,39.66,39.17
39.30,39.50,39.52,39.05
38.75,39.16,39.38,38.38
39.34,39.23,39.65,38.95
39.13,39.74,40.64,39.13
40.01,40.50,40.60,40.00
40.48,40.55,41.00,40.26
40.59,40.59,40.74,39.95
40.50,39.77,40.50,39.67
39.99,39.45,40.40,39.42
39.55,40.49,40.51,39.50
40.46,41.19,41.35,40.46
41.19,41.19,41.38,40.93
41.06,40.93,41.73,40.69
41.01,40.72,41.13,40.02
41.01,40.81,41.74,40.62
41.15,41.57,41.72,40.77
41.39,42.33,42.85,41.37
42.41,42.55,43.10,42.13
42.37,42.81,42.81,42.00
42.90,42.63,42.98,42.37
42.68,42.88,43.08,42.16
39.88,40.15,40.35,39.08
39.79,40.00,40.34,39.51
39.97,40.24,40.46,39.88
40.18,40.22,40.51,40.05
40.34,40.46,40.53,40.15
40.08,40.73,40.90,40.05
40.73,40.80,40.91,40.40
40.87,41.30,41.45,40.65
41.42,41.34,41.71,41.14
41.35,41.49,41.76,41.23
41.63,41.78,42.00,41.60
41.97,42.29,42.29,41.78
42.33,42.10,42.34,41.70
42.04,41.94,42.36,41.79
41.91,42.13,42.28,41.88
42.14,42.38,42.42,41.92
42.44,42.18,42.55,42.04
42.25,42.08,42.29,41.76
41.87,42.30,42.65,41.85
42.47,42.35,42.59,42.11
42.38,42.50,42.55,42.06
42.67,43.26,43.27,42.47
43.17,43.64,43.85,43.02
43.77,43.96,44.11,43.66
43.71,43.39,43.90,43.36
43.61,43.02,43.75,43.02
42.91,42.48,43.21,42.03
42.65,42.19,42.65,42.00
42.17,42.23,42.48,42.03
42.22,41.92,42.50,41.89
42.12,42.36,42.46,41.97
42.46,42.67,42.98,42.42
42.53,42.56,42.81,42.42
42.48,42.10,42.76,41.94
41.99,42.25,42.49,41.76
42.34,42.13,42.38,41.84
42.31,42.41,42.52,42.09
42.32,42.26,42.62,42.09
43.23,45.28,45.33,43.19
45.61,45.38,46.34,45.33
45.12,45.04,45.27,44.77
44.36,44.45,44.67,43.69
44.64,44.46,44.86,44.27
44.52,44.97,45.16,43.80
44.59,45.49,45.60,44.41
45.53,46.11,46.17,45.19
45.92,46.32,46.46,45.59
46.28,45.24,46.50,45.11
45.49,45.53,45.96,45.14
46.05,45.88,46.88,45.75
46.02,45.10,46.25,44.96
45.13,46.32,46.46,45.09
45.92,45.67,45.92,45.31
45.20,45.12,46.49,45.02
44.87,44.20,45.10,42.19
44.17,43.76,44.55,42.89
45.11,45.11,45.16,44.43
44.86,45.41,45.64,44.74
45.46,45.96,46.00,45.15
45.82,45.25,46.17,45.09
44.99,44.90,45.10,44.35
45.00,45.75,45.86,44.86
46.16,45.75,46.78,45.65
45.76,46.09,46.48,45.13
48.23,48.99,50.21,48.16
48.67,49.47,50.98,48.29
49.08,49.55,50.26,48.30
48.94,51.03,51.22,48.83
51.28,50.20,51.28,50.18
50.88,51.33,51.37,50.48
50.52,51.76,52.01,47.79
51.74,50.37,51.74,50.20
50.41,51.35,51.36,50.41
51.03,51.49,51.93,50.74
50.73,50.16,51.07,50.01
50.42,48.60,50.44,48.52
48.53,49.46,49.63,47.76
49.73,49.69,50.57,49.49
49.95,50.23,50.30,49.40
49.87,50.51,50.66,49.61
50.85,50.80,51.35,50.76
51.06,52.14,52.27,50.86
52.14,51.98,52.33,51.58
52.12,51.89,52.34,51.55
51.99,51.59,52.33,51.47
51.99,51.34,52.13,51.00
51.35,50.32,51.95,50.05
50.08,50.87,51.21,50.05
50.68,50.94,51.11,50.11
50.99,50.90,51.09,50.25
51.19,50.47,51.19,50.20
50.10,50.28,50.58,49.20
50.29,50.18,50.96,50.00
50.38,51.70,51.92,50.10
51.72,51.01,51.99,50.68
51.80,50.50,52.38,49.76
50.67,50.89,50.98,50.12
51.08,50.82,51.88,50.17
50.93,51.27,51.51,50.77
51.28,51.46,51.72,50.93
51.65,52.65,52.77,51.63
52.69,52.60,52.99,52.26
52.63,53.06,53.21,52.08
52.96,51.34,52.99,51.23
51.30,51.96,52.19,51.30
51.53,53.00,53.17,51.39
53.25,51.69,53.31,51.58
52.27,53.10,53.45,52.27
53.15,54.17,54.24,53.00
54.61,54.85,54.87,53.92
55.01,54.54,55.78,54.44
54.36,53.64,54.62,53.32
53.99,53.18,54.49,52.47
52.65,53.53,53.72,52.35
54.13,53.43,54.15,52.96
53.21,52.61,53.28,52.15
52.75,53.36,53.53,52.59
53.26,53.87,54.06,52.60
53.56,52.75,53.89,52.41
52.76,53.26,53.42,52.76
52.81,53.05,53.49,52.52
52.46,51.91,52.48,51.69
52.75,54.62,55.78,52.72
54.61,54.26,54.78,53.94
53.95,54.30,54.73,53.82
54.37,54.50,54.94,54.12
54.57,55.19,55.36,54.24
55.08,55.28,55.52,54.75
55.28,55.89,55.92,54.76
55.90,54.75,56.21,54.74
54.12,54.26,54.92,53.65
53.88,54.86,55.15,53.88
54.87,54.68,55.21,54.34
55.02,55.58,55.94,54.24
55.32,54.16,55.51,54.15
53.78,54.47,54.75,53.72
55.08,55.48,55.98,55.08
55.43,56.29,56.49,55.43
56.72,56.54,57.63,55.85
56.38,56.28,56.88,56.04
56.28,56.56,56.80,56.05
57.15,56.04,57.26,55.81
56.12,56.07,56.49,55.88
56.70,56.56,57.02,56.37
56.58,57.36,57.58,56.42
57.32,57.41,57.45,56.66
57.25,57.99,58.00,57.20
57.37,58.15,58.24,57.27
58.35,59.16,59.70,58.26
59.28,58.41,59.28,58.00
58.24,59.81,59.89,58.04
59.61,58.86,60.21,58.86
59.27,59.61,59.90,58.97
59.49,59.38,59.75,59.17
59.69,59.46,59.74,58.86
59.25,59.66,59.78,59.25
59.29,58.68,59.51,58.08
59.22,58.70,59.61,57.96
58.40,57.78,58.64,57.22
58.21,58.67,58.95,57.98
58.58,58.45,58.85,57.87
58.76,58.79,59.06,58.10
58.92,58.55,59.45,58.32
58.49,59.27,59.45,58.28
59.21,59.86,60.20,58.89
60.21,59.98,60.60,59.49
60.08,59.79,60.39,59.55
60.21,60.96,61.15,60.14
61.28,60.36,61.30,60.04
59.81,60.39,60.97,59.80
60.56,61.15,61.16,60.21
60.81,61.01,61.38,60.53
60.93,61.40,61.45,60.52
61.77,62.08,62.43,61.53
62.01,61.86,62.22,61.54
61.54,61.42,61.75,60.79
62.19,63.88,64.31,62.04
63.90,64.98,65.01,63.49
65.29,64.76,65.34,64.46
65.11,64.57,65.19,64.48
64.57,64.94,65.09,64.19
65.62,65.81,65.81,65.08
65.99,65.63,66.11,65.37
64.90,65.97,66.79,64.90
66.20,66.01,66.30,65.52
66.42,66.72,67.27,66.08
67.97,66.34,68.88,64.75
66.09,64.53,66.31,64.38
64.63,65.21,66.01,64.58
64.76,65.29,65.80,64.71
65.29,65.50,65.91,64.77
65.99,65.51,66.65,65.36
65.30,65.07,65.50,64.87
65.00,66.46,66.92,64.92
66.12,66.27,66.34,65.41
66.44,67.00,67.21,66.43
66.93,67.11,67.73,66.56
66.91,66.91,67.21,66.05
66.33,65.99,67.25,65.94
66.62,66.15,66.98,65.74
66.16,67.54,67.58,65.87
67.43,68.23,68.40,67.13
68.28,68.54,69.08,68.28
69.38,67.20,69.51,67.11
67.24,67.71,68.10,67.24
67.90,67.87,68.24,67.64
67.90,67.92,68.40,67.63
68.10,68.00,68.30,67.46
68.15,68.03,68.36,67.54
67.83,67.78,68.50,67.67
67.90,67.88,68.02,66.88
67.75,66.79,67.77,66.54
66.69,67.39,67.57,66.31
67.52,66.73,67.72,66.52
66.77,66.56,67.11,66.37
66.46,66.57,66.83,66.39
66.26,66.42,66.73,65.95
66.42,66.25,66.66,66.01
66.15,66.45,66.81,66.15
66.56,66.72,67.00,66.37
66.60,66.15,66.92,66.14
66.50,65.50,66.74,65.47
65.46,62.24,65.50,61.86
62.32,62.32,63.21,61.96
61.99,60.27,62.29,60.09
60.45,61.88,62.11,60.30
61.55,62.34,62.77,61.00
62.44,61.97,62.61,61.44
62.23,62.80,63.64,62.11
62.85,62.99,63.40,62.40
62.92,63.18,63.53,62.80
63.20,62.91,63.62,62.36
62.64,63.46,64.21,62.39
63.27,63.16,64.34,62.85
63.56,63.51,63.94,62.52
63.72,63.44,63.90,63.16
63.46,64.02,64.14,62.94
63.90,64.25,64.55,62.68
64.29,64.15,64.73,63.79
