WYNN,Wynn Resorts,NASDAQ
61.24,63.96,64.15,60.92
65.18,67.85,68.33,64.95
67.07,66.96,68.16,66.40
66.48,68.39,68.48,66.08
67.69,67.90,68.39,67.13
68.02,67.68,69.11,67.40
67.47,67.98,68.88,66.78
68.42,69.40,69.70,67.44
69.02,72.11,72.38,69.02
71.98,70.50,72.85,69.67
70.20,71.32,71.55,70.08
70.32,68.16,70.72,67.20
68.16,65.37,68.98,65.25
65.21,63.95,66.10,63.60
65.00,63.59,65.51,62.75
62.85,62.85,64.09,62.69
62.75,62.76,63.21,60.82
63.37,61.77,64.37,61.60
62.60,61.88,64.08,61.66
62.30,65.54,65.64,62.30
65.12,64.84,65.64,63.55
64.08,64.24,64.28,63.14
63.42,60.84,63.76,60.75
61.39,61.37,62.13,59.70
61.65,60.76,62.76,60.03
62.03,61.63,62.59,60.60
61.50,61.40,62.39,60.85
61.28,64.96,65.35,60.99
63.74,63.04,63.88,62.24
63.98,64.91,65.12,63.78
65.48,64.41,65.75,63.54
63.29,62.01,63.33,61.46
61.66,62.25,63.13,61.35
62.61,63.02,63.56,62.52
63.10,63.68,63.87,62.24
63.91,63.35,64.60,62.76
62.39,62.80,63.01,61.54
62.49,63.57,64.50,61.18
64.52,66.22,66.80,64.03
67.00,66.87,67.25,66.27
66.98,66.37,67.55,66.16
66.57,65.89,66.77,65.29
66.55,67.74,68.06,66.33
68.08,68.99,69.94,67.56
68.70,69.77,71.47,68.35
69.93,70.96,71.89,69.06
70.28,71.19,71.23,69.81
71.79,71.47,72.44,70.70
70.42,70.47,71.19,69.29
70.96,73.63,73.80,70.28
74.15,72.81,75.33,72.47
72.52,72.01,72.78,71.71
72.73,71.75,72.80,71.39
70.90,76.54,76.89,70.26
76.91,76.33,77.41,74.69
75.85,75.81,77.25,75.30
76.31,74.41,77.19,74.30
75.02,76.63,77.95,74.81
77.15,76.85,77.63,75.86
76.87,77.25,77.93,76.11
76.52,75.83,76.94,75.39
76.21,77.40,77.84,75.25
77.80,82.28,82.35,77.79
82.08,81.74,83.20,81.32
81.27,81.66,83.15,80.68
81.35,86.23,86.91,80.86
86.67,87.17,87.41,84.55
87.30,86.90,88.35,86.53
87.05,88.04,88.68,86.59
88.36,86.41,88.97,85.54
85.48,86.01,87.42,84.81
85.84,83.82,86.58,82.90
83.50,82.91,85.50,80.80
85.50,86.57,86.89,84.23
87.11,85.93,87.19,84.26
84.74,89.92,90.08,84.20
89.81,89.50,92.64,89.00
90.82,92.12,92.33,89.64
91.63,88.40,91.82,87.89
90.47,88.77,90.75,87.26
89.92,93.15,93.48,89.63
91.49,88.24,93.99,87.87
89.35,91.88,92.00,88.00
90.41,87.67,90.47,86.57
85.98,85.57,88.97,83.80
85.01,80.55,86.67,71.00
82.46,76.98,83.47,75.90
82.64,82.86,83.62,81.60
81.22,84.28,86.11,80.71
85.49,85.78,86.21,84.75
85.43,84.72,87.84,84.53
83.44,82.21,83.86,81.12
81.75,81.36,83.20,78.65
83.15,80.77,85.75,80.32
79.82,80.41,82.82,78.17
77.54,74.80,78.77,74.00
73.08,78.68,79.18,72.53
79.47,76.70,80.73,76.49
73.72,79.57,79.97,72.78
80.95,78.58,81.89,78.01
81.28,84.49,84.62,80.38
84.22,83.88,85.99,81.88
82.58,81.53,84.88,81.41
82.58,83.19,83.22,81.00
83.52,84.16,85.00,82.37
81.81,79.81,84.10,79.00
80.65,75.60,81.00,75.37
76.76,77.96,78.25,74.57
78.90,77.14,80.55,76.45
78.84,81.34,81.42,78.52
80.06,82.83,82.85,79.66
83.82,82.57,85.44,82.20
83.10,84.90,85.23,82.60
84.03,85.55,86.85,84.03
86.00,85.55,86.52,84.20
85.53,85.03,86.30,84.55
86.97,86.86,88.50,86.05
87.43,84.45,88.00,84.33
84.85,85.77,86.57,83.63
86.74,86.03,88.42,85.82
86.31,89.04,89.13,85.42
89.10,85.10,89.64,85.00
82.74,78.55,83.00,78.14
79.37,76.27,80.93,75.83
77.00,76.13,77.84,73.29
76.94,74.79,76.96,73.12
76.20,74.96,77.48,74.03
75.88,78.50,78.70,75.17
79.34,78.85,80.10,76.91
78.95,79.60,80.43,78.70
79.32,77.81,80.00,76.60
78.99,81.22,82.05,77.00
81.37,83.27,83.35,80.55
83.28,83.02,84.00,81.35
83.02,79.57,83.27,79.20
80.00,80.01,80.53,77.37
78.06,83.25,83.34,78.00
83.98,81.96,84.95,81.52
83.58,85.48,86.00,83.21
85.00,87.68,88.48,84.67
87.54,88.64,89.17,86.25
89.10,87.53,89.35,86.84
87.45,87.87,89.20,86.72
88.73,87.85,89.83,85.75
84.50,87.68,87.69,83.26
89.00,89.23,90.33,87.98
88.76,91.50,91.65,87.71
91.86,91.97,92.36,90.50
91.14,90.31,92.44,89.74
89.21,91.52,91.72,88.72
92.00,93.76,93.98,90.92
92.06,91.44,92.72,90.30
88.50,87.19,89.58,87.00
85.98,86.93,88.12,85.55
86.76,87.26,88.24,86.70
86.10,87.29,87.93,85.82
88.39,89.55,91.21,88.04
89.37,89.92,91.00,88.81
89.40,86.53,89.65,86.03
86.54,87.60,87.86,85.05
88.58,86.08,88.74,86.03
85.15,82.40,86.10,82.05
81.66,84.30,84.61,80.50
84.71,81.86,85.10,81.35
82.76,84.34,85.11,80.50
84.31,81.76,84.31,81.76
81.38,80.61,83.12,80.00
81.28,82.57,82.92,79.89
82.75,84.67,84.86,82.19
86.28,87.81,88.58,86.20
87.13,86.67,87.94,86.28
87.35,88.42,89.50,87.10
89.83,88.84,90.58,88.46
89.11,89.55,89.84,88.42
91.00,90.88,91.33,90.27
90.98,90.13,91.50,89.95
89.80,90.28,90.75,89.37
90.27,89.81,90.61,89.12
90.48,91.91,92.23,90.01
92.70,94.93,95.13,91.28
95.00,92.73,95.88,92.00
92.65,91.18,93.79,90.60
90.28,87.05,91.00,86.06
89.09,90.20,90.44,87.17
89.49,87.12,89.60,87.00
88.08,87.64,88.87,86.08
87.06,86.48,87.54,85.72
87.35,86.77,88.69,85.91
87.60,87.09,87.94,85.80
87.66,90.51,92.16,87.61
91.95,92.71,93.20,91.00
92.05,90.17,92.49,89.56
90.73,89.27,91.00,88.55
89.50,93.85,94.22,88.88
95.34,101.78,102.75,95.05
100.13,102.36,104.58,99.81
101.69,102.19,103.86,100.00
102.30,101.59,102.74,100.32
102.50,101.94,103.13,100.30
101.23,102.04,102.47,100.96
100.48,97.89,100.64,97.30
98.89,101.16,102.49,98.55
103.00,103.24,107.36,101.70
102.94,104.42,105.28,102.59
104.25,103.35,106.20,103.25
102.70,105.12,105.72,102.20
104.61,104.54,104.89,102.73
108.97,107.05,109.00,105.69
106.40,107.16,108.46,106.01
108.87,109.26,111.11,108.19
111.73,112.57,113.96,108.84
109.18,111.14,112.45,108.50
110.00,112.52,113.58,108.27
112.52,113.07,115.44,112.52
112.97,116.54,116.93,112.13
117.50,113.87,117.50,113.00
114.14,114.25,115.19,112.06
112.98,114.56,115.14,112.89
114.07,111.00,114.31,110.12
112.00,111.74,114.60,111.64
110.92,108.06,113.07,107.35
108.33,105.50,109.20,105.27
107.91,108.95,110.41,106.90
101.33,102.99,103.70,101.25
103.27,105.21,105.96,102.21
103.11,101.65,103.34,101.00
103.42,103.16,104.49,102.37
102.08,102.09,103.50,102.00
101.99,102.23,102.79,100.39
101.05,101.10,103.50,100.90
104.50,104.79,106.34,103.30
105.06,103.47,106.12,101.71
102.50,103.34,104.96,102.37
102.93,102.96,103.58,102.46
104.93,101.47,105.00,101.33
101.79,101.45,102.28,100.47
101.81,101.36,103.49,101.21
101.97,101.00,101.97,100.27
102.27,100.26,102.56,100.16
100.28,99.60,101.68,99.21
99.74,100.74,101.93,99.46
103.37,105.59,107.00,103.02
105.97,104.95,107.25,104.45
106.00,105.77,107.00,105.20
106.73,105.91,106.95,105.15
106.22,104.00,106.25,103.62
104.11,103.00,104.60,102.51
102.56,102.12,102.60,100.51
102.46,101.69,102.95,100.99
102.21,102.61,103.13,101.63
102.19,101.71,102.58,101.02
101.58,103.84,104.20,100.85
106.25,108.99,109.09,106.08
109.41,112.39,112.50,109.34
111.55,113.84,114.69,111.55
113.92,114.67,115.05,112.55
115.66,118.73,119.33,115.38
118.07,118.70,119.67,116.63
119.75,117.09,119.90,116.34
117.75,116.78,118.21,115.55
118.41,116.72,119.18,116.35
116.39,118.82,118.82,116.25
120.50,118.86,121.74,118.27
118.49,118.18,121.19,117.26
117.54,116.24,118.09,114.00
116.56,115.95,118.08,115.39
116.13,115.38,116.86,114.50
114.74,114.82,115.12,112.46
115.70,118.66,119.24,114.85
118.70,118.87,119.99,116.90
119.44,114.51,120.75,114.40
114.76,116.33,117.42,114.71
117.00,119.18,119.50,115.50
119.48,118.87,119.70,117.64
119.06,119.40,121.00,117.88
118.07,118.06,119.25,117.38
116.81,118.01,119.25,115.55
119.84,120.18,122.89,118.75
119.56,121.53,122.41,118.62
120.82,120.15,122.39,119.76
119.51,129.10,129.37,118.50
128.98,127.95,129.28,127.02
127.53,128.20,129.50,127.00
129.13,127.88,129.60,127.17
128.16,128.46,129.49,127.55
128.46,127.70,128.94,126.55
126.04,123.07,126.94,122.70
123.15,120.34,124.00,116.36
120.12,119.29,120.80,117.33
120.82,121.84,123.45,120.13
123.13,122.93,124.07,121.00
123.76,125.83,126.06,122.59
125.75,126.08,126.99,124.54
126.75,130.53,131.08,126.75
130.53,130.81,132.25,129.09
131.44,126.40,131.54,124.50
126.62,127.06,128.48,125.84
126.71,128.09,128.88,125.53
126.55,123.09,126.55,122.40
121.74,123.79,124.30,120.64
122.48,123.99,124.36,120.60
120.17,121.17,121.97,117.21
119.68,117.04,121.06,116.55
119.91,118.18,119.97,117.79
120.20,116.46,120.20,116.39
117.85,121.76,122.64,117.38
122.26,118.41,123.43,118.21
118.65,120.97,121.24,116.51
121.99,124.24,124.82,121.73
126.19,127.03,128.57,125.03
127.68,125.12,127.72,124.64
125.19,125.88,127.00,124.00
126.50,127.66,127.72,125.54
126.62,127.16,127.97,125.09
130.00,133.01,135.85,129.71
135.28,132.96,136.43,132.31
132.50,133.14,134.31,131.67
135.00,134.30,137.10,132.35
134.63,135.38,136.34,133.13
135.76,132.57,136.08,131.80
133.08,131.97,133.75,130.88
130.48,130.14,131.31,129.05
132.11,135.15,135.71,131.63
134.02,134.96,135.58,133.36
135.00,138.46,140.37,134.54
136.60,140.50,141.20,134.30
141.25,138.93,141.34,136.93
143.76,147.92,149.80,143.00
146.50,147.71,149.27,145.27
148.25,147.17,148.74,145.58
147.69,146.19,147.73,145.08
