PII,Polaris Industries Inc. Common Stock,NASDAQ
44.06,44.23,44.51,43.74
44.25,44.25,44.94,43.59
44.25,45.66,46.29,44.22
45.64,45.05,45.98,44.77
44.98,45.19,45.28,44.83
45.25,45.19,45.25,44.74
44.86,44.83,45.20,44.34
44.82,45.54,45.70,44.60
45.29,45.22,45.55,44.73
45.07,44.69,45.32,43.60
44.85,45.08,45.61,44.36
44.77,44.72,44.83,44.00
44.93,44.22,45.71,43.86
44.17,42.58,44.37,42.20
42.61,42.77,43.16,42.22
42.67,42.66,43.19,42.35
42.50,43.30,43.43,42.04
43.51,45.23,45.66,43.51
45.67,44.21,46.07,44.00
44.31,44.66,45.37,44.05
44.57,44.79,45.43,44.31
44.68,45.06,45.27,44.46
44.65,43.85,44.81,43.77
44.04,43.76,44.06,42.85
43.57,42.96,43.97,42.89
43.49,43.50,43.78,42.88
43.41,42.94,43.44,42.39
42.89,43.58,43.70,42.27
43.13,43.81,43.99,43.01
44.00,44.41,44.48,43.28
44.79,44.46,44.91,44.25
44.27,44.68,44.73,43.85
44.68,44.83,45.15,44.23
45.00,44.68,45.00,44.52
44.70,44.67,45.10,44.34
44.72,45.45,45.62,44.57
44.82,45.87,46.03,44.61
46.08,45.74,46.08,45.15
46.07,46.89,47.09,45.70
47.11,47.53,47.80,47.11
47.84,47.67,47.98,47.33
47.75,48.14,48.20,47.63
48.49,49.89,50.00,48.27
49.73,50.27,50.50,47.88
50.02,51.43,52.25,50.02
51.18,51.42,52.13,51.18
51.16,51.42,51.53,50.85
51.68,51.25,51.73,50.92
51.26,51.63,51.76,51.13
51.85,53.39,53.44,51.64
53.51,53.57,53.87,53.16
53.78,52.75,53.78,52.52
52.01,52.01,52.94,51.64
51.62,52.53,52.75,51.48
52.60,52.34,52.78,52.07
52.20,51.75,52.38,51.19
52.05,51.38,52.59,51.32
51.76,51.22,52.05,51.10
51.55,51.98,52.09,51.55
51.93,52.41,52.82,51.62
52.33,51.16,52.36,51.10
51.64,51.67,52.04,51.08
52.05,53.80,53.85,51.74
53.59,53.79,54.26,53.04
53.88,53.15,54.02,52.74
52.87,52.97,53.09,52.40
53.00,54.64,54.76,52.72
54.65,54.53,54.77,53.94
54.23,54.59,54.81,53.62
55.00,55.96,56.04,54.78
55.81,56.25,56.71,55.64
56.45,56.18,57.06,55.22
55.85,56.88,56.96,55.45
57.35,59.89,60.53,57.35
62.94,64.86,65.00,62.26
63.90,63.99,64.44,63.13
62.53,62.84,64.31,62.53
62.44,62.33,63.28,62.10
62.19,60.13,62.37,59.94
60.57,61.02,61.90,60.57
60.96,61.86,62.08,60.48
61.86,59.17,62.12,59.14
59.58,61.05,61.39,59.45
59.73,58.54,59.96,58.24
57.94,57.50,59.39,57.33
57.22,56.37,58.45,52.13
56.10,54.57,57.00,53.77
57.43,58.39,58.99,56.89
57.49,58.19,59.00,56.89
58.49,59.92,60.00,58.18
59.56,58.05,59.99,57.60
57.66,56.90,57.73,56.13
57.46,57.97,58.03,55.48
58.64,57.00,59.28,56.87
56.61,57.38,57.68,56.05
55.83,56.62,57.80,55.82
55.50,57.34,57.76,54.93
58.71,58.36,60.73,58.17
58.28,57.99,58.28,55.62
58.28,57.64,59.48,56.93
59.22,60.06,60.09,59.01
60.05,58.70,60.10,58.08
58.01,57.88,59.39,57.61
58.23,60.06,60.06,58.00
60.23,60.02,60.40,59.49
58.51,57.50,59.13,57.31
57.86,54.42,57.87,54.31
54.52,56.24,56.52,54.00
56.14,57.96,60.24,56.14
59.26,59.27,59.78,58.12
58.69,60.20,60.43,57.97
61.88,60.80,62.97,60.67
61.55,62.07,62.23,60.94
61.63,60.89,61.96,60.80
61.59,61.58,61.78,60.08
61.70,60.85,61.71,60.63
61.57,60.04,61.77,59.75
60.25,58.44,60.66,58.16
58.33,58.09,58.83,57.10
57.49,56.64,58.09,56.53
57.06,57.51,58.21,56.44
57.62,58.15,58.90,57.20
57.19,56.16,57.25,55.70
56.23,54.62,57.12,54.42
54.75,53.97,54.85,51.79
54.46,53.06,54.46,52.69
54.12,52.64,55.10,52.11
52.68,55.16,55.37,52.64
55.93,55.12,56.15,54.50
54.88,56.18,56.18,54.88
55.92,57.85,58.45,55.92
58.31,61.01,61.31,58.31
60.66,60.83,61.43,60.54
60.90,60.29,60.92,59.59
59.88,57.58,60.44,57.54
57.80,59.94,60.06,57.79
61.85,60.25,63.36,59.72
60.78,58.98,61.21,58.96
59.62,61.20,61.88,59.62
60.82,62.02,62.10,60.41
62.40,63.03,63.03,62.02
63.47,61.45,63.75,61.31
61.25,60.26,61.77,59.90
60.59,59.72,60.89,58.73
58.79,59.70,60.31,58.71
60.46,60.81,61.33,60.19
60.81,59.65,60.81,59.46
60.03,60.26,60.51,59.65
59.69,59.57,60.20,59.40
58.89,58.52,59.24,57.65
59.46,59.51,59.89,59.07
58.89,57.82,58.94,57.56
56.86,55.29,56.86,55.15
54.11,56.00,56.40,54.11
55.80,54.47,55.93,54.38
54.21,54.55,54.97,53.60
55.13,55.83,56.81,54.92
55.86,56.08,56.87,55.00
55.78,54.50,55.78,53.92
54.29,54.74,54.93,53.80
55.04,53.58,55.31,53.50
52.77,53.34,54.11,51.81
52.84,54.65,54.83,52.62
54.85,53.68,55.30,53.61
54.38,55.21,55.33,52.84
54.98,53.16,55.24,53.12
53.00,53.33,54.05,52.62
54.32,55.92,56.31,54.20
55.78,57.26,57.42,55.51
58.00,57.54,58.33,57.00
57.15,56.31,57.24,55.97
56.64,57.87,58.19,56.44
58.75,58.80,59.00,58.25
59.02,59.07,59.22,58.21
59.95,60.33,61.14,59.90
60.14,59.37,60.29,59.25
59.18,59.96,60.18,58.73
59.84,60.06,60.32,59.02
60.51,60.72,60.96,59.44
60.98,62.41,62.74,60.77
62.16,61.53,62.33,61.32
61.41,60.64,61.82,60.37
60.35,60.65,61.65,59.94
61.54,64.40,64.83,61.32
64.60,65.21,65.71,64.24
65.18,65.34,65.45,64.30
65.06,65.84,66.36,64.50
66.10,65.10,66.82,64.53
65.62,65.55,66.20,64.83
65.56,64.34,66.32,63.83
65.19,66.80,67.03,64.61
66.77,65.39,67.08,65.07
66.03,65.77,66.31,65.04
65.92,66.90,67.40,65.49
66.64,66.56,67.37,66.25
66.55,66.56,67.15,65.48
67.00,67.44,68.00,66.34
67.75,67.31,68.00,66.61
67.88,67.94,68.36,66.90
68.13,69.52,69.53,67.85
68.10,72.34,73.24,68.10
72.54,72.28,73.14,71.23
69.94,70.13,71.69,69.17
70.48,70.21,70.92,70.05
70.71,70.56,71.50,70.33
70.37,70.15,71.05,70.00
69.91,69.73,70.17,68.76
70.06,70.28,70.50,68.94
70.54,71.09,71.83,70.24
71.26,70.82,71.90,70.15
71.51,71.50,72.00,70.72
71.58,71.06,71.58,70.17
72.00,73.84,73.86,71.54
74.20,73.21,75.00,73.00
72.99,73.86,74.03,71.98
73.79,73.06,74.10,72.63
72.86,73.00,73.16,71.70
72.23,73.11,73.54,72.23
72.45,72.21,73.40,71.77
72.56,71.70,73.24,71.57
71.08,70.51,71.69,69.79
70.73,71.63,72.09,70.50
72.50,72.82,73.87,72.12
72.67,72.64,72.91,72.20
72.35,73.70,73.89,71.87
72.49,72.12,72.97,71.31
73.00,74.14,74.69,73.00
73.61,73.69,73.87,73.20
73.05,72.95,73.34,71.92
72.12,72.69,73.15,71.80
73.80,74.01,74.62,73.72
74.01,75.43,75.65,73.58
75.00,76.40,76.59,74.66
76.32,76.32,76.66,75.52
76.98,77.13,77.93,76.32
77.40,76.60,77.87,76.48
77.26,76.45,77.28,75.89
76.88,77.50,77.88,76.59
77.77,76.80,78.14,76.68
76.90,78.11,78.30,76.80
78.04,78.04,78.83,77.81
78.24,79.36,79.51,78.03
79.33,79.58,79.69,78.09
79.80,78.87,79.89,78.80
79.32,80.70,81.39,79.25
80.57,79.37,80.73,79.25
79.56,79.63,80.23,79.35
79.55,79.66,80.19,79.06
79.56,79.39,79.62,78.88
79.49,79.37,79.95,79.32
79.26,79.59,80.51,79.26
79.56,78.02,79.68,77.94
78.87,77.59,78.87,76.81
77.64,74.89,77.64,74.11
74.95,76.72,77.15,74.95
76.78,73.25,76.89,73.07
73.67,71.85,74.00,69.95
71.66,71.50,72.40,71.30
71.87,73.18,73.89,71.60
73.68,73.16,73.68,70.88
73.23,72.74,73.40,72.31
72.51,73.82,74.00,72.22
73.72,74.60,74.60,73.56
74.65,73.31,74.81,73.23
73.03,73.59,74.27,72.81
74.21,73.95,74.68,73.72
74.11,75.87,76.84,73.95
75.56,75.94,76.04,74.58
76.34,77.71,79.13,76.34
78.20,75.88,78.20,74.24
75.62,74.99,75.97,74.50
75.32,76.92,77.30,75.03
77.38,77.68,78.57,77.22
77.00,77.11,77.92,76.84
77.06,77.16,77.85,76.35
77.19,77.98,78.33,76.51
78.19,79.08,79.55,77.52
79.16,78.90,79.16,78.38
78.78,79.09,79.50,78.15
78.92,79.15,79.99,78.42
79.03,79.74,79.91,78.88
79.60,79.56,79.87,79.21
79.20,78.86,79.38,78.60
79.00,77.97,79.37,77.93
77.95,78.31,78.62,77.83
78.37,77.86,78.69,77.21
77.00,73.81,77.00,72.15
73.74,73.30,74.11,72.06
73.16,73.67,74.11,72.43
73.61,75.33,75.46,73.61
75.68,75.45,76.01,74.75
75.86,74.03,75.86,73.34
73.90,74.64,75.11,73.67
75.47,77.24,77.36,75.47
77.45,78.65,78.77,77.14
79.13,79.80,80.00,78.27
79.62,80.65,81.64,79.22
80.15,81.20,81.88,80.00
80.56,80.33,80.99,79.55
79.99,80.23,80.93,79.00
79.76,80.12,80.48,78.82
78.73,79.99,80.49,77.80
79.69,80.50,81.07,78.86
