XOMA,XOMA Corporation - Common Stock,NASDAQ
0.70,0.70,0.70,0.68
0.69,0.69,0.70,0.68
0.70,0.70,0.70,0.69
0.70,0.69,0.71,0.69
0.70,0.70,0.71,0.69
0.70,0.71,0.71,0.70
0.71,0.72,0.78,0.70
0.73,0.73,0.74,0.70
0.73,0.72,0.73,0.72
0.73,0.72,0.73,0.70
0.72,0.70,0.73,0.70
0.70,0.70,0.72,0.70
0.70,0.68,0.71,0.68
0.70,0.66,0.70,0.66
0.68,0.67,0.70,0.67
0.68,0.67,0.69,0.67
0.67,0.66,0.68,0.64
0.66,0.64,0.66,0.63
0.66,0.62,0.66,0.62
0.64,0.65,0.65,0.62
0.44,0.43,0.45,0.40
0.44,0.45,0.46,0.43
0.46,0.43,0.46,0.41
0.44,0.42,0.45,0.41
0.44,0.43,0.44,0.42
0.45,0.42,0.45,0.42
0.43,0.41,0.43,0.41
0.42,0.42,0.42,0.41
0.42,0.43,0.43,0.41
0.44,0.46,0.47,0.43
0.47,0.47,0.48,0.46
0.48,0.46,0.48,0.45
0.46,0.46,0.46,0.45
0.48,0.47,0.48,0.47
0.47,0.46,0.47,0.45
0.46,0.46,0.47,0.45
0.46,0.47,0.47,0.45
0.47,0.48,0.49,0.46
0.48,0.49,0.49,0.47
0.51,0.55,0.56,0.49
0.56,0.51,0.58,0.48
0.52,0.50,0.52,0.50
0.51,0.50,0.51,0.50
0.53,0.55,0.56,0.52
0.56,0.56,0.56,0.52
0.56,0.55,0.56,0.53
0.55,0.56,0.57,0.53
0.62,0.56,0.62,0.54
0.57,0.57,0.59,0.56
0.57,0.55,0.58,0.55
0.54,0.53,0.55,0.51
0.52,0.53,0.53,0.51
0.53,0.53,0.53,0.51
0.52,0.54,0.54,0.51
0.54,0.55,0.55,0.54
0.55,0.59,0.59,0.55
0.60,0.57,0.60,0.56
0.57,0.60,0.60,0.56
0.60,0.60,0.60,0.57
0.59,0.58,0.60,0.57
0.58,0.57,0.60,0.57
0.59,0.58,0.60,0.58
0.59,0.60,0.60,0.58
0.59,0.59,0.60,0.58
0.58,0.58,0.59,0.58
0.59,0.60,0.60,0.57
0.60,0.61,0.65,0.59
0.64,0.68,0.68,0.63
0.79,0.79,0.83,0.75
0.83,0.75,0.84,0.71
0.79,0.71,0.79,0.68
0.73,0.73,0.74,0.69
0.73,0.71,0.73,0.69
0.78,0.73,0.78,0.72
0.71,0.72,0.74,0.71
0.72,0.71,0.72,0.70
0.70,0.70,0.71,0.69
0.72,0.70,0.72,0.69
0.70,0.66,0.71,0.66
0.66,0.67,0.68,0.66
0.69,0.66,0.69,0.65
0.67,0.66,0.69,0.66
0.69,0.68,0.70,0.67
0.69,0.66,0.69,0.66
0.66,0.68,0.68,0.65
0.69,0.60,0.69,0.56
0.57,0.54,0.59,0.51
0.58,0.58,0.60,0.56
0.57,0.56,0.57,0.55
0.57,0.58,0.60,0.56
0.59,0.58,0.60,0.58
0.60,0.57,0.60,0.56
0.57,0.58,0.58,0.56
0.58,0.57,0.59,0.56
0.56,0.55,0.57,0.53
0.53,0.51,0.54,0.50
0.50,0.54,0.54,0.49
0.53,0.50,0.54,0.50
0.50,0.49,0.51,0.48
0.51,0.45,0.53,0.45
0.45,0.43,0.46,0.41
0.44,0.44,0.45,0.43
0.45,0.47,0.48,0.45
0.47,0.51,0.54,0.47
0.52,0.48,0.52,0.48
0.48,0.48,0.49,0.47
0.50,0.46,0.50,0.46
0.48,0.44,0.48,0.44
0.43,0.43,0.45,0.42
0.44,0.43,0.45,0.42
0.44,0.44,0.45,0.43
0.45,0.45,0.46,0.45
0.47,0.49,0.49,0.46
0.49,0.47,0.49,0.45
0.50,0.48,0.52,0.47
0.49,0.50,0.50,0.48
0.49,0.48,0.50,0.45
0.48,0.45,0.48,0.45
0.45,0.44,0.46,0.44
0.42,0.43,0.44,0.42
0.43,0.42,0.43,0.41
0.43,0.44,0.45,0.43
0.44,0.41,0.44,0.41
0.41,0.41,0.44,0.41
0.42,0.41,0.43,0.38
0.42,0.40,0.42,0.39
0.40,0.38,0.40,0.38
0.38,0.37,0.39,0.36
0.36,0.37,0.37,0.36
0.37,0.37,0.38,0.36
0.38,0.37,0.39,0.37
0.39,0.39,0.39,0.37
0.39,0.40,0.40,0.39
0.40,0.39,0.40,0.39
0.39,0.39,0.40,0.39
0.40,0.38,0.40,0.38
0.38,0.37,0.38,0.36
0.38,0.35,0.38,0.34
0.36,0.36,0.36,0.34
0.35,0.34,0.36,0.32
0.34,0.34,0.35,0.33
0.35,0.31,0.35,0.30
0.33,0.30,0.33,0.30
0.32,0.30,0.33,0.30
0.31,0.29,0.31,0.29
0.30,0.29,0.31,0.29
0.30,0.28,0.30,0.28
0.30,0.32,0.40,0.29
0.34,0.29,0.34,0.29
0.29,0.29,0.30,0.26
0.30,0.30,0.30,0.27
0.28,0.28,0.29,0.28
0.28,0.27,0.28,0.27
0.28,0.27,0.28,0.27
0.25,0.26,0.27,0.25
0.26,0.28,0.29,0.26
0.29,0.28,0.29,0.28
3.65,3.65,3.65,3.65
3.56,3.33,3.60,3.28
3.28,3.20,3.34,3.02
3.17,3.13,3.31,3.08
3.05,2.84,3.05,2.79
2.75,2.69,2.80,2.45
2.66,2.63,2.82,2.62
2.69,2.93,3.00,2.64
2.96,2.75,2.96,2.75
2.95,2.89,2.95,2.76
2.96,2.87,2.96,2.83
2.88,2.88,2.92,2.85
2.92,2.92,2.97,2.87
2.92,3.26,3.56,2.91
3.34,3.15,3.40,3.07
3.21,3.26,3.32,3.17
3.29,3.30,3.39,3.24
3.31,3.30,3.36,3.24
3.33,3.30,3.33,3.24
3.37,3.24,3.38,3.20
3.21,3.20,3.25,3.07
3.25,3.03,3.25,3.03
3.03,2.99,3.10,2.92
2.95,2.93,2.98,2.88
2.83,2.84,2.90,2.82
2.84,3.00,3.00,2.77
3.00,3.00,3.05,2.93
3.10,3.07,3.12,2.90
3.09,3.26,3.34,3.04
3.26,3.15,3.39,3.15
3.17,3.05,3.17,3.03
3.15,3.07,3.15,3.04
3.06,3.25,3.25,3.06
3.30,3.33,3.35,3.17
3.34,3.33,3.39,3.29
3.33,3.30,3.40,3.10
3.27,3.15,3.27,3.14
3.27,3.20,3.27,3.16
3.18,3.30,3.30,3.16
3.30,3.27,3.35,3.20
3.30,3.24,3.30,3.20
3.29,3.15,3.29,3.10
3.13,3.10,3.15,3.08
3.08,3.03,3.08,2.98
3.02,2.94,3.02,2.93
2.96,2.90,2.97,2.88
2.92,2.89,2.96,2.88
2.91,2.84,2.95,2.80
2.81,2.78,2.81,2.75
2.70,2.53,2.70,2.45
2.53,2.35,2.53,2.32
2.36,2.31,2.40,2.25
2.35,2.41,2.52,2.33
2.39,2.34,2.41,2.33
2.36,2.38,2.41,2.34
2.38,2.39,2.48,2.38
2.43,2.63,2.70,2.43
2.66,2.42,2.67,2.40
2.46,2.45,2.65,2.43
2.55,2.55,2.56,2.45
2.58,2.49,2.58,2.44
2.48,2.46,2.48,2.42
2.46,2.44,2.47,2.42
2.42,2.34,2.42,2.30
2.32,2.36,2.40,2.30
2.38,2.40,2.43,2.36
2.40,2.39,2.44,2.29
2.40,2.32,2.43,2.30
2.31,2.33,2.36,2.27
2.33,2.34,2.38,2.30
2.31,2.36,2.39,2.30
2.29,2.28,2.33,2.25
2.26,2.38,2.44,2.24
2.39,2.34,2.41,2.30
2.35,2.34,2.40,2.32
2.36,2.34,2.40,2.32
2.35,2.38,2.43,2.35
2.38,2.38,2.42,2.36
2.37,2.32,2.45,2.32
2.35,2.35,2.36,2.30
2.37,2.35,2.40,2.31
2.38,2.35,2.40,2.35
2.34,2.41,2.41,2.33
2.41,2.35,2.41,2.33
2.38,2.38,2.47,2.31
2.38,2.40,2.40,2.33
2.40,2.38,2.41,2.38
2.40,4.05,4.25,2.39
3.88,4.50,4.83,3.60
4.54,7.16,7.48,4.40
6.83,6.14,7.25,6.00
6.03,4.75,6.03,4.71
4.82,5.10,5.35,4.63
5.30,5.33,5.84,5.10
5.41,5.13,5.41,5.13
5.18,5.30,5.64,5.17
6.15,7.31,7.71,6.11
