KONE,Kingtone Wirelessinfo Solution Holding Ltd - American Depositary Shares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.97,3.53,3.97,3.25
3.59,3.30,3.66,3.25
3.49,3.18,3.49,3.16
3.18,2.95,3.18,2.95
2.90,3.20,3.30,2.90
3.29,2.92,3.29,2.92
3.13,2.96,3.13,2.92
3.21,3.04,3.45,2.99
3.21,3.00,3.33,2.94
2.91,3.11,3.30,2.91
3.19,3.00,3.19,2.95
3.00,2.94,3.04,2.79
2.95,2.96,3.00,2.86
3.00,2.75,3.05,2.75
3.04,2.77,3.04,2.77
2.75,2.66,2.75,2.53
2.53,2.46,2.56,2.46
2.42,2.60,2.79,2.42
2.74,2.65,2.74,2.60
2.75,2.57,2.75,2.50
2.75,2.82,2.99,2.74
2.87,2.80,2.92,2.62
2.79,2.64,2.79,2.64
2.69,2.94,2.97,2.65
2.81,2.86,2.87,2.70
2.80,2.77,2.80,2.74
2.84,2.81,2.84,2.76
3.04,2.80,3.51,2.70
2.81,2.78,2.89,2.78
2.80,2.75,2.80,2.72
2.71,2.62,2.76,2.60
2.61,2.56,2.86,2.50
2.58,2.42,2.78,2.23
2.48,2.37,2.80,2.37
2.47,2.37,2.47,2.37
2.54,2.41,2.54,2.31
2.45,2.50,2.55,2.41
2.41,2.63,2.70,2.40
2.60,2.60,2.64,2.60
2.60,2.60,2.60,2.55
2.61,2.65,2.75,2.61
2.72,2.58,2.72,2.58
2.56,2.50,2.56,2.45
2.47,2.48,2.59,2.47
2.45,2.49,2.50,2.45
2.44,2.43,2.50,2.43
2.45,2.35,2.55,2.35
2.40,2.39,2.42,2.26
2.43,2.45,2.50,2.42
2.41,2.45,2.52,2.41
2.40,2.38,2.40,2.35
2.45,2.44,2.52,2.38
2.39,2.42,2.55,2.39
2.42,2.56,2.56,2.42
2.67,2.62,2.80,2.62
2.63,2.62,2.69,2.61
2.62,2.56,2.65,2.56
2.56,2.52,2.65,2.52
2.51,2.48,2.54,2.47
2.42,2.42,2.62,2.41
2.43,2.37,2.43,2.37
2.37,2.21,2.37,2.16
2.24,2.26,2.46,2.24
2.29,2.41,2.49,2.29
2.41,2.42,2.45,2.41
2.45,2.42,2.50,2.37
2.37,2.38,2.42,2.31
2.33,2.35,2.50,2.33
2.30,2.24,2.32,2.24
2.24,2.25,2.26,2.21
2.25,2.29,2.35,2.22
2.26,2.20,2.33,2.20
2.20,2.17,2.25,2.15
2.20,2.16,2.20,2.15
2.24,2.25,2.27,2.20
2.25,2.20,2.25,2.18
2.20,2.25,2.30,2.20
2.35,2.35,2.35,2.30
2.30,2.39,2.39,2.28
2.30,2.25,2.30,2.25
2.30,2.42,2.46,2.30
2.45,2.40,2.46,2.40
2.38,2.29,2.38,2.29
2.37,2.32,2.40,2.26
2.40,2.35,2.40,2.35
2.32,2.31,2.35,2.25
2.23,2.31,2.31,2.15
2.34,2.28,2.34,2.20
2.30,2.41,2.49,2.30
2.33,2.31,2.33,2.30
2.33,2.31,2.42,2.31
2.41,2.35,2.41,2.31
2.35,2.31,2.46,2.31
2.31,2.31,2.35,2.30
2.31,2.35,2.35,2.31
2.40,2.35,2.41,2.35
2.36,2.41,2.41,2.35
2.35,2.41,2.44,2.35
2.36,2.35,2.37,2.35
2.41,2.53,2.54,2.41
2.54,2.50,2.54,2.45
2.50,2.72,2.74,2.44
2.80,3.01,3.13,2.75
3.06,3.25,3.29,2.89
3.25,3.35,3.50,3.25
3.44,3.71,3.79,3.35
3.94,3.80,3.97,3.73
3.80,3.54,3.80,3.50
3.50,3.20,3.50,3.17
3.16,3.32,3.49,3.16
3.50,3.45,3.50,3.35
3.46,3.39,3.54,3.31
3.50,3.41,3.50,3.33
3.45,3.47,3.65,3.40
3.39,3.33,3.39,3.33
3.35,3.42,3.50,3.35
3.43,3.33,3.43,3.33
3.50,3.40,3.55,3.39
3.33,3.35,3.47,3.30
3.37,3.47,3.56,3.37
3.37,3.25,3.43,3.25
3.30,3.30,3.50,3.30
3.31,3.35,3.55,3.31
3.38,3.34,3.45,3.30
3.40,3.23,3.43,3.23
3.44,3.35,3.44,3.33
3.34,3.51,3.51,3.34
3.55,3.62,3.94,3.55
3.65,3.45,3.65,3.45
3.67,3.54,3.90,3.50
3.79,3.58,3.79,3.50
3.59,3.64,3.67,3.59
3.60,3.55,3.65,3.55
3.60,3.52,3.70,3.45
3.66,3.60,3.67,3.46
3.73,4.30,4.49,3.70
4.43,4.47,4.68,4.21
4.55,4.30,4.55,3.90
4.45,4.19,4.45,4.02
4.35,4.67,4.85,4.32
4.65,4.64,4.95,4.50
4.60,4.90,4.90,4.60
5.18,5.05,5.47,4.90
5.10,5.05,5.20,4.76
5.10,4.50,5.10,4.32
4.48,4.52,4.54,4.38
4.51,4.24,4.51,4.15
3.96,4.04,4.11,3.88
4.02,3.78,4.02,3.70
3.70,3.61,3.81,3.38
3.45,3.47,3.54,3.40
3.41,3.64,3.73,3.41
3.70,3.56,3.87,3.55
3.59,3.44,3.59,3.31
3.39,3.37,3.49,3.30
3.38,3.13,3.39,3.03
3.07,3.04,3.12,2.93
3.10,3.49,3.49,3.04
3.43,3.60,3.60,3.33
3.55,3.40,3.55,3.35
3.41,3.32,3.51,3.32
3.26,3.20,3.40,3.15
3.19,3.16,3.34,3.13
3.22,3.08,3.22,2.92
3.19,3.09,3.21,2.99
3.09,3.28,3.30,3.09
3.30,3.36,3.60,3.30
3.34,3.22,3.59,3.13
3.21,3.23,3.38,3.10
3.21,3.17,3.21,3.15
3.17,3.17,3.20,3.10
3.20,3.19,3.20,3.12
3.28,3.57,3.89,3.28
3.49,3.23,3.49,3.21
3.19,3.10,3.26,3.09
3.07,2.88,3.07,2.79
2.89,3.10,3.13,2.88
3.13,3.14,3.31,3.13
3.13,2.91,3.18,2.81
2.86,2.91,2.94,2.85
2.92,3.11,3.19,2.92
3.02,3.04,3.09,3.00
3.06,2.98,3.06,2.94
2.97,3.01,3.04,2.97
2.98,2.97,3.01,2.93
2.94,2.90,2.94,2.88
2.90,2.84,2.90,2.83
2.83,2.85,2.85,2.72
2.83,2.79,2.84,2.73
2.81,2.89,2.90,2.81
2.86,2.86,2.87,2.81
2.87,2.87,2.91,2.86
2.88,2.82,2.88,2.81
2.83,2.76,2.83,2.71
2.74,2.64,2.74,2.53
2.63,2.64,2.70,2.61
2.60,2.61,2.67,2.59
2.60,2.62,2.64,2.55
2.56,2.59,2.62,2.46
2.55,2.59,2.61,2.55
2.56,2.60,2.60,2.53
2.56,2.60,2.62,2.53
2.64,2.59,2.65,2.57
2.56,2.52,2.61,2.51
2.53,2.58,2.58,2.52
2.56,2.50,2.57,2.50
2.47,2.50,2.50,2.45
2.47,2.43,2.47,2.39
2.30,2.30,2.32,2.21
2.10,2.17,2.19,2.05
2.17,2.19,2.22,2.17
2.19,2.25,2.28,2.19
2.20,2.18,2.20,2.13
2.16,2.10,2.20,2.10
2.10,2.08,2.16,2.05
2.06,2.13,2.19,2.00
2.17,2.18,2.18,2.15
2.18,2.20,2.25,2.18
2.18,2.17,2.22,2.17
2.16,2.10,2.17,2.10
2.10,2.09,2.14,2.09
2.08,2.06,2.09,2.05
2.04,2.13,2.14,2.04
2.14,2.10,2.15,2.10
2.09,1.99,2.09,1.92
2.00,2.05,2.23,2.00
2.06,2.10,2.10,2.04
2.10,2.07,2.13,2.07
2.07,1.99,2.07,1.93
1.97,2.00,2.03,1.97
1.92,1.83,1.94,1.43
1.78,1.63,1.78,1.62
1.62,1.70,1.80,1.62
1.73,1.57,1.73,1.55
1.59,1.49,1.59,1.47
1.51,1.46,1.51,1.43
1.44,1.54,1.55,1.44
1.57,1.74,1.75,1.54
1.81,1.79,1.92,1.76
1.79,1.82,1.83,1.67
1.80,1.79,1.80,1.66
1.76,1.80,1.82,1.74
1.80,1.81,1.84,1.76
1.80,1.70,1.80,1.69
1.69,1.78,1.78,1.63
1.85,1.63,1.85,1.62
1.63,1.61,1.67,1.60
1.63,1.64,1.67,1.62
1.65,1.68,1.68,1.65
1.69,1.94,2.07,1.69
2.02,1.97,2.25,1.93
1.98,1.88,1.98,1.76
1.93,1.74,1.93,1.68
1.71,1.71,1.82,1.63
1.70,1.56,1.70,1.56
1.50,1.45,1.50,1.37
1.43,1.42,1.93,1.33
1.37,1.38,1.39,1.33
1.34,1.10,1.34,0.97
1.01,0.99,1.02,0.98
0.99,1.00,1.08,0.94
1.00,0.99,1.02,0.96
0.79,0.71,0.79,0.61
0.69,0.71,0.74,0.66
0.72,0.71,0.72,0.70
0.71,0.75,0.81,0.64
0.75,0.76,0.80,0.75
