BPL,Buckeye Partners L.P. Common Stock,NASDAQ
54.51,55.60,55.63,54.51
55.85,56.93,56.93,55.20
56.81,56.22,57.38,56.16
56.10,56.14,56.64,55.55
56.09,56.48,56.59,55.95
56.54,56.70,56.89,56.38
56.79,56.18,56.89,56.04
56.61,55.25,56.61,55.00
55.87,56.28,56.40,55.30
56.70,56.35,56.80,55.85
56.35,57.57,57.60,56.35
57.41,58.24,58.32,57.24
57.93,58.05,58.24,57.13
58.20,57.11,58.20,56.75
57.95,57.33,57.95,56.98
57.51,57.58,58.20,57.34
57.91,55.50,57.91,55.09
55.52,55.89,57.48,55.52
56.55,55.50,57.10,55.00
55.42,55.80,56.03,55.08
56.45,56.26,56.45,55.29
55.95,56.28,56.57,55.58
56.55,55.50,56.55,55.48
55.50,53.54,55.96,51.68
53.34,55.27,55.67,53.34
55.51,56.25,56.50,55.51
56.50,56.60,57.50,56.27
55.58,55.37,55.74,54.79
54.86,55.73,55.73,54.82
55.85,56.07,56.31,55.41
56.65,56.97,57.11,56.18
57.04,56.89,57.36,56.79
57.04,56.54,57.04,56.51
57.45,57.32,57.48,56.83
56.85,57.20,57.34,56.66
57.35,57.30,57.80,57.00
57.23,57.51,57.51,56.72
57.55,58.79,58.83,57.54
59.61,59.72,59.93,58.75
59.81,60.00,60.00,59.38
60.65,58.69,60.65,58.58
58.58,58.74,59.00,58.02
58.88,58.99,59.52,58.47
59.60,59.35,59.73,58.79
59.18,58.91,59.25,58.69
58.75,60.76,60.87,58.74
60.50,60.14,60.54,60.00
60.35,61.50,61.50,60.14
61.26,60.62,61.50,60.17
61.17,60.14,61.17,60.14
60.14,61.02,61.20,60.02
60.75,60.99,61.24,60.28
61.25,60.00,61.25,59.76
59.50,59.71,59.79,59.01
58.31,59.85,59.96,58.31
59.85,59.39,59.94,59.15
60.04,58.70,60.04,58.60
58.87,58.15,58.90,58.00
58.00,58.88,59.16,58.00
59.09,59.44,59.52,58.88
58.98,60.07,60.52,58.98
