GVI,iShares Intermediate Government/Credit Bond ETF,NASDAQ
105.47,105.56,105.56,105.19
105.76,105.76,105.81,105.52
105.56,105.68,105.97,105.56
105.87,105.75,105.90,105.71
105.90,105.99,106.01,105.81
106.15,106.05,106.15,105.85
106.08,106.30,106.30,105.97
106.04,106.11,106.34,105.90
106.41,106.29,106.41,105.84
106.20,106.43,106.50,106.20
106.37,106.18,106.37,106.14
106.48,106.50,106.58,106.28
106.32,106.49,106.73,106.32
106.39,106.52,106.79,106.39
106.88,106.65,106.88,106.40
106.58,106.64,106.92,106.43
106.62,106.43,107.00,106.43
106.44,106.32,106.57,106.08
106.50,106.77,106.79,106.32
106.43,106.35,106.58,106.11
106.55,106.20,106.55,106.17
106.33,106.19,106.36,106.02
106.48,106.39,106.62,106.03
106.36,106.62,106.77,106.26
106.60,106.57,106.74,106.44
106.54,106.46,106.54,106.29
106.42,106.15,106.42,105.98
106.21,106.14,106.21,105.94
106.23,106.35,106.41,106.19
106.23,106.27,106.40,106.04
106.33,106.18,106.40,106.04
106.30,106.14,106.30,105.88
106.08,105.94,106.13,105.86
105.94,106.15,106.16,105.91
106.02,106.27,106.43,106.02
106.31,106.52,106.58,106.29
106.58,106.47,106.73,106.45
106.73,106.84,106.94,106.60
106.59,106.64,106.69,106.36
106.34,106.68,106.70,106.34
106.62,106.66,106.69,106.55
106.58,106.68,106.70,106.43
106.53,106.40,106.53,106.23
106.40,106.34,106.50,106.25
106.41,106.41,106.60,106.38
106.55,106.50,106.55,105.98
106.39,106.43,106.46,106.15
106.38,106.39,106.44,106.21
106.44,106.46,106.46,106.16
106.49,106.66,106.76,106.32
106.40,106.76,106.99,106.40
106.74,106.63,106.74,106.42
106.37,106.37,106.59,106.35
106.70,106.41,106.70,106.33
106.67,106.56,106.69,106.45
106.35,105.95,106.38,105.86
106.00,105.81,106.08,105.78
105.97,106.14,106.14,105.73
106.19,106.07,106.19,105.84
106.13,106.17,106.17,105.93
106.29,106.13,106.32,106.08
105.80,105.74,105.99,105.74
105.40,105.41,105.51,105.16
105.41,105.40,105.63,105.30
105.70,105.74,105.94,105.52
106.06,105.75,106.06,105.70
105.85,105.68,105.96,105.58
106.00,105.99,106.06,105.79
106.18,106.00,106.29,105.91
106.27,106.00,106.29,106.00
106.00,106.08,106.24,106.00
106.18,106.35,106.54,106.15
106.50,106.33,106.50,106.21
106.45,106.23,106.45,106.18
106.30,106.47,106.48,106.15
106.48,106.30,106.67,106.29
106.12,106.09,106.29,106.06
106.35,106.15,106.39,106.09
106.39,106.50,106.70,106.27
106.55,106.35,106.59,106.32
106.61,106.60,106.71,106.31
106.71,106.79,106.86,106.45
106.46,106.36,106.46,106.21
106.68,106.67,106.68,106.46
106.84,106.79,106.90,106.45
106.73,105.78,106.99,102.18
107.06,106.75,107.16,106.46
106.93,106.61,107.27,106.18
106.97,106.65,106.97,106.45
106.55,106.66,106.77,106.45
106.91,106.86,106.91,106.67
107.00,106.99,107.10,106.96
106.89,106.95,107.19,106.84
107.01,107.14,107.28,106.74
107.11,107.28,107.42,107.08
107.52,107.49,107.58,107.24
107.85,107.61,107.99,107.31
107.83,107.72,107.83,107.43
107.82,107.62,107.85,107.62
107.53,107.52,107.60,107.31
107.25,107.11,107.25,106.88
107.39,107.44,107.44,107.19
106.98,107.23,107.24,106.98
107.16,107.07,107.30,106.95
106.62,106.95,107.02,106.62
107.27,107.33,107.37,107.15
107.04,107.47,107.54,107.04
107.43,107.30,107.50,107.27
107.32,107.39,107.40,107.15
107.02,106.87,107.21,106.87
106.76,107.25,107.27,106.76
106.83,107.12,107.12,106.76
107.25,106.97,107.25,106.96
107.23,107.28,107.28,107.15
107.23,107.44,107.52,107.23
107.33,107.46,107.47,107.31
107.34,107.51,107.51,107.31
107.54,107.63,107.66,107.33
107.84,108.01,108.01,107.68
107.84,107.80,108.08,107.69
107.87,108.04,108.12,107.82
108.04,108.24,108.36,108.02
108.37,108.49,108.50,108.27
108.62,108.59,108.64,108.23
108.45,108.25,108.45,108.13
108.21,108.10,108.27,107.96
108.18,108.41,108.41,107.99
108.20,108.35,108.48,108.20
108.01,108.23,108.33,108.01
108.05,108.19,108.25,108.03
108.23,108.22,108.31,108.06
108.19,108.14,108.19,108.01
108.06,108.26,108.53,108.06
108.49,108.54,108.69,108.43
108.48,108.84,108.93,108.48
108.83,108.84,109.00,108.60
108.93,108.88,108.99,108.76
108.79,109.23,109.23,108.79
109.00,109.11,109.11,108.90
108.93,108.92,109.07,108.90
108.85,108.68,108.93,108.68
108.70,108.72,108.83,108.58
108.66,108.92,108.97,108.66
109.00,109.27,109.27,108.87
109.13,109.50,109.52,109.13
108.85,109.12,109.20,108.85
109.36,109.29,109.38,109.03
109.27,109.07,109.36,109.05
109.07,109.21,109.37,109.07
109.58,109.46,109.66,109.41
109.39,109.61,109.66,109.39
109.30,109.72,109.72,109.30
109.89,109.81,109.90,109.78
109.75,109.65,109.84,109.61
109.47,109.81,109.81,109.47
110.05,110.10,110.16,109.92
110.09,109.95,110.09,109.77
110.10,109.79,110.12,109.79
110.06,110.00,110.22,109.99
110.07,110.01,110.16,109.88
110.02,110.12,110.14,109.92
109.96,110.27,110.41,109.96
110.48,110.19,110.50,110.01
110.25,110.33,110.33,110.07
109.92,109.79,110.19,109.74
109.80,110.21,110.27,109.80
110.44,110.15,110.44,110.14
109.90,109.89,110.10,109.63
109.71,109.74,109.84,109.62
109.33,109.40,109.57,109.27
109.46,109.73,109.82,109.46
109.81,109.52,109.81,109.51
109.40,109.41,109.56,109.30
109.21,109.37,109.40,109.10
109.05,109.43,109.64,109.05
109.67,109.78,109.86,109.58
109.81,109.76,109.88,109.64
109.73,109.60,109.73,109.43
109.81,109.75,109.82,109.49
109.88,109.90,109.90,109.55
110.00,110.32,110.36,109.86
110.43,110.33,110.51,110.19
110.33,110.39,110.50,110.23
109.89,110.06,110.26,109.89
110.38,110.54,110.54,110.21
110.55,110.45,110.70,110.40
110.44,110.61,110.68,110.44
110.50,110.61,110.61,110.17
110.23,110.18,110.41,110.16
110.12,110.36,110.62,110.12
110.36,110.49,110.70,110.36
110.76,110.85,111.07,110.76
111.06,110.95,111.08,110.77
111.18,111.10,111.25,110.97
111.13,111.25,111.25,110.90
111.15,110.89,111.24,110.77
110.92,110.99,110.99,110.64
110.97,110.54,111.01,110.49
110.40,110.47,110.72,110.40
110.42,110.61,110.94,110.42
110.75,110.77,110.87,110.60
110.90,110.88,110.96,110.61
110.63,110.60,110.84,110.60
110.75,110.69,110.75,110.60
111.00,110.66,111.01,110.53
110.60,110.43,110.64,110.27
110.40,110.38,110.49,110.18
110.39,110.66,110.79,110.04
110.76,110.58,110.89,110.45
110.63,110.35,110.63,110.30
110.38,110.61,110.79,110.38
110.63,110.75,111.10,110.63
110.85,110.99,111.17,110.85
111.14,110.94,111.14,110.72
110.96,110.71,111.03,110.68
110.97,110.47,110.97,110.39
110.17,110.41,110.59,110.09
110.44,110.22,110.45,110.17
110.00,109.97,110.40,109.87
109.63,109.19,109.72,109.19
109.34,109.63,109.63,109.14
109.70,109.60,109.76,109.43
109.47,109.52,109.55,109.32
109.47,109.53,109.66,109.47
109.73,109.69,109.84,109.55
110.10,109.97,110.10,109.82
109.79,109.45,109.79,109.33
109.22,109.34,109.54,109.22
109.72,109.53,109.72,109.34
109.58,109.55,109.70,109.50
109.06,108.80,109.07,108.59
108.58,108.66,108.86,108.50
109.14,108.90,109.14,108.65
109.21,109.25,109.25,108.97
108.88,108.55,109.00,108.36
107.95,107.88,108.24,107.70
107.95,108.03,108.18,107.86
107.94,107.54,108.06,107.54
107.48,107.85,107.90,107.47
107.55,107.43,107.65,107.12
107.65,107.31,107.65,107.08
107.17,107.30,107.33,106.91
107.38,107.75,107.85,107.36
108.00,107.91,108.08,107.69
107.77,107.81,108.05,107.67
107.93,107.81,107.98,107.66
107.74,107.72,107.76,107.46
107.35,107.64,107.71,107.35
107.13,106.90,107.48,106.89
106.99,107.52,107.65,106.95
107.40,107.63,107.63,107.31
107.65,107.88,107.88,107.40
107.73,107.82,107.87,107.42
107.97,107.72,108.03,107.70
107.60,107.25,107.60,107.15
107.83,107.45,107.83,107.27
107.95,107.83,108.09,107.61
108.14,107.99,108.16,107.94
108.25,107.84,108.25,107.78
107.97,107.89,108.03,107.59
107.92,108.17,108.17,107.80
108.29,107.98,108.37,107.93
108.11,108.00,108.15,107.79
108.17,108.09,108.17,107.94
107.95,107.78,107.98,107.56
107.84,107.90,107.97,107.54
108.13,107.98,108.13,107.80
108.25,108.05,108.27,107.92
108.14,107.85,108.14,107.12
107.88,108.10,108.10,107.83
108.02,108.21,108.33,107.92
108.36,108.20,108.36,108.05
107.80,107.69,107.83,107.55
107.61,107.42,107.82,107.37
107.33,107.17,107.44,107.14
107.05,106.88,107.17,106.79
106.82,106.96,106.99,106.58
106.93,106.55,106.96,106.55
107.00,106.83,107.00,106.61
107.07,106.50,107.07,106.50
107.06,106.77,107.06,106.74
106.86,106.84,106.94,106.68
106.91,106.99,107.00,106.74
107.06,106.88,107.06,106.77
107.28,107.11,107.28,107.06
107.15,107.33,107.33,106.94
107.56,107.75,107.75,107.36
107.76,107.59,107.90,107.57
107.82,107.74,107.91,107.62
107.85,107.92,107.93,107.75
107.77,108.02,108.06,107.77
107.50,107.92,107.92,107.48
107.79,107.53,108.00,107.53
107.34,107.20,107.44,107.16
107.35,107.65,107.70,107.24
107.62,107.34,107.75,107.34
107.46,107.52,107.57,107.28
107.72,107.60,107.79,107.42
108.13,107.99,108.13,107.68
108.35,108.00,108.35,107.83
108.51,108.28,108.51,108.07
108.59,108.36,108.59,108.08
108.51,108.70,108.92,108.44
108.52,108.60,108.65,108.32
108.37,108.57,108.57,108.30
108.35,108.24,108.35,108.10
108.09,108.19,108.19,108.02
108.15,108.04,108.52,108.04
108.07,107.92,108.20,107.92
108.08,107.82,108.11,107.69
