WBC,Wabco Holdings Inc. Common Stock,NASDAQ
25.80,26.24,26.48,25.66
26.08,26.67,26.78,26.03
26.86,26.90,27.23,26.60
27.07,27.83,27.94,26.95
27.84,28.73,28.79,27.43
28.70,29.39,29.43,28.70
29.34,28.89,29.57,28.68
29.12,29.10,29.19,28.67
29.13,29.41,29.65,28.98
29.28,28.71,29.44,28.49
28.91,29.07,29.33,28.35
28.67,28.46,28.83,28.10
28.58,28.13,28.75,27.97
28.00,27.61,28.20,27.58
27.73,27.87,27.95,27.53
27.85,27.59,27.97,27.35
27.60,26.82,27.76,26.52
26.79,26.28,27.15,26.14
26.33,25.85,26.74,25.78
25.93,26.84,27.04,25.93
26.84,27.27,27.29,26.61
27.21,27.80,27.92,27.17
27.37,25.24,28.17,25.20
26.08,25.06,26.67,24.09
25.06,25.56,26.04,24.63
27.02,26.53,28.13,26.34
26.58,26.13,26.66,25.84
26.23,26.42,26.44,25.81
26.18,26.40,26.40,25.98
26.70,26.47,26.70,26.15
26.37,26.65,26.71,26.24
26.37,27.04,27.10,26.37
27.04,27.37,27.45,26.77
27.33,27.76,27.85,27.24
27.54,27.33,28.17,27.32
27.53,26.97,27.53,26.84
26.51,26.64,26.79,26.14
26.74,26.74,27.03,26.29
26.69,27.18,27.33,26.69
27.39,27.79,28.09,27.19
27.74,27.75,28.20,27.50
27.93,28.07,28.14,27.63
28.29,28.84,28.84,28.19
28.74,28.58,28.82,28.30
28.26,28.67,28.72,28.11
28.77,28.70,28.86,28.59
28.51,28.50,28.87,28.31
28.55,29.21,29.24,28.44
29.06,29.12,29.39,28.82
29.10,29.99,30.10,29.10
30.12,29.90,31.04,29.73
30.00,29.61,30.18,29.58
29.30,29.30,29.75,29.23
29.10,29.99,30.08,28.87
30.03,30.01,30.23,29.55
29.62,29.22,29.80,28.97
29.32,29.05,29.59,28.99
29.27,29.09,29.41,28.92
29.35,29.83,29.89,29.25
29.81,30.23,30.40,29.72
29.96,29.92,30.38,29.83
30.05,30.11,30.36,29.74
30.13,30.50,30.55,30.12
30.60,30.50,30.65,30.18
30.56,30.38,30.56,30.00
30.11,30.19,30.53,29.99
30.32,30.56,30.56,30.03
30.71,31.79,31.85,30.71
31.80,32.13,32.31,31.73
32.42,32.31,32.91,32.21
32.08,32.02,32.27,31.93
31.91,31.32,32.00,30.83
31.28,31.34,31.42,30.60
31.38,31.70,32.08,31.38
31.89,32.12,32.18,31.76
31.74,32.34,32.45,31.61
32.44,33.21,33.25,32.44
33.25,32.85,33.53,32.68
32.56,31.93,32.77,31.76
32.01,31.30,32.51,31.11
31.62,33.36,33.44,31.62
33.24,33.19,33.92,32.95
33.19,34.49,34.50,33.04
33.66,33.19,33.97,33.07
36.92,35.00,36.92,33.54
35.11,33.04,35.72,31.70
32.78,30.83,33.31,30.44
32.62,33.71,33.76,32.04
33.06,33.89,34.36,32.77
34.00,34.76,34.96,33.81
34.43,34.02,34.76,33.85
33.60,32.32,33.67,31.51
32.56,32.14,32.82,31.25
32.55,31.55,32.74,31.47
31.29,30.74,31.71,30.21
29.81,28.48,29.88,28.48
28.09,28.79,29.14,27.77
28.43,28.06,28.86,28.00
27.12,28.44,28.61,26.64
28.82,28.64,29.57,28.41
29.55,29.99,29.99,29.32
29.88,30.40,30.93,29.88
30.07,29.85,30.63,29.75
30.18,31.00,31.00,30.00
31.11,31.89,31.92,31.00
30.95,29.94,31.41,29.81
30.00,28.78,30.31,28.76
29.04,28.61,29.28,28.17
28.98,28.19,29.60,28.14
28.88,29.61,29.67,28.68
29.32,30.00,30.14,29.06
30.53,30.72,31.23,30.48
30.98,31.94,31.95,30.93
31.57,32.38,32.65,31.38
32.38,32.63,32.97,31.85
32.61,34.70,35.17,32.44
35.25,34.60,35.66,34.19
34.80,34.45,35.42,34.16
34.83,34.25,35.50,33.82
33.95,33.63,33.99,33.33
34.08,33.69,34.20,32.88
34.00,33.10,34.00,33.01
32.46,31.64,32.66,31.42
31.70,31.48,32.50,31.25
31.35,31.86,32.05,30.74
32.01,31.62,32.31,31.37
32.15,31.31,32.54,30.94
31.26,33.09,33.10,31.26
33.43,34.15,34.24,33.28
34.11,35.00,35.02,34.11
34.72,35.47,35.86,34.72
36.02,35.97,36.22,35.52
36.06,36.35,36.43,35.77
36.39,36.31,36.39,35.77
36.14,35.53,36.28,35.34
35.86,35.35,36.35,35.00
33.90,36.18,36.35,33.89
36.40,36.02,36.95,35.85
36.74,37.66,37.68,36.53
37.25,38.65,38.74,37.25
38.71,38.60,39.10,38.40
38.77,38.09,38.80,37.74
38.75,38.30,39.00,37.41
38.40,38.02,38.88,37.64
37.87,38.68,38.70,37.50
38.49,38.88,39.37,37.94
38.97,38.26,38.97,37.89
38.34,39.41,39.55,38.34
39.28,39.33,39.90,39.06
38.68,38.84,39.33,38.22
39.16,39.03,39.35,38.75
38.51,38.43,38.66,37.99
37.60,37.10,37.65,36.78
36.09,36.65,36.92,35.94
36.35,36.17,36.76,36.15
35.80,36.82,36.87,35.69
37.22,38.52,38.58,37.19
38.06,38.27,38.56,37.79
38.03,37.16,38.32,37.05
36.90,36.46,36.90,35.91
36.86,36.06,36.96,35.98
35.46,34.77,35.55,34.59
34.38,34.94,35.10,33.74
35.23,34.16,35.80,34.05
34.39,35.71,35.78,34.02
35.40,35.10,35.63,35.10
34.95,35.26,35.90,34.55
35.87,36.84,36.84,35.75
36.90,38.70,38.75,36.90
39.48,39.34,39.58,38.74
39.00,38.92,39.33,38.68
38.96,39.17,39.20,38.88
39.57,39.34,39.71,39.22
39.40,39.44,39.66,39.30
39.70,39.93,40.31,39.70
39.95,40.11,40.31,39.84
39.76,40.38,40.50,39.61
40.26,40.45,40.50,40.15
40.61,40.83,40.87,40.27
40.82,40.84,41.40,40.74
40.96,40.66,41.14,40.42
40.58,40.75,41.00,40.21
40.18,40.18,40.71,39.86
40.76,41.75,41.81,40.76
41.86,42.09,42.44,41.37
42.00,42.73,42.84,41.35
42.34,42.77,42.99,42.33
42.73,41.94,43.29,41.51
42.27,42.54,42.74,41.84
42.21,41.69,42.86,41.19
42.23,42.76,43.02,42.13
42.81,42.35,42.96,41.98
42.35,42.43,42.58,41.47
42.45,42.87,43.02,42.45
42.87,43.54,43.75,42.78
43.25,43.71,43.85,42.84
43.45,43.22,43.89,42.67
43.00,43.00,43.24,42.90
43.48,42.91,43.48,42.26
42.94,42.65,43.22,42.49
42.04,41.70,42.40,41.36
41.77,42.45,42.88,41.77
42.64,42.92,43.38,42.54
42.93,42.48,43.28,42.41
42.37,42.80,43.08,42.21
42.12,42.94,43.09,41.94
42.61,42.40,42.90,42.24
42.49,42.86,43.28,42.32
45.23,46.42,46.90,43.62
46.96,46.95,47.19,46.41
47.24,48.91,49.10,46.97
48.75,48.65,48.90,47.65
49.22,49.76,49.93,48.77
49.70,49.93,50.00,49.09
49.74,50.44,50.62,49.58
50.10,50.02,50.57,49.65
49.94,49.77,49.96,49.01
49.13,49.21,49.57,48.95
48.84,47.79,48.91,47.39
47.98,48.10,48.72,47.75
47.82,48.07,48.25,47.16
48.07,48.42,48.65,47.76
48.92,49.66,50.22,48.69
49.49,49.59,49.66,49.00
49.39,50.18,50.34,49.17
49.69,49.30,49.78,48.77
49.66,51.18,51.25,49.66
50.72,51.11,51.40,50.13
50.78,50.36,50.78,49.85
49.93,49.70,50.11,49.23
50.40,51.76,52.02,49.95
51.85,53.07,53.37,51.65
52.85,53.25,53.38,52.67
53.05,53.35,53.40,52.91
53.78,53.34,54.10,53.21
53.24,53.95,54.19,53.13
54.29,53.83,54.34,53.72
54.00,53.98,54.24,53.50
54.00,52.95,54.28,52.94
53.14,53.59,54.44,53.01
53.55,53.21,53.94,53.10
53.45,53.11,53.47,52.81
53.22,52.64,53.43,52.59
52.88,53.77,54.22,52.35
55.48,58.77,59.90,55.48
58.79,59.38,59.62,57.93
59.41,59.48,59.83,59.02
59.39,59.51,59.82,58.76
59.74,59.65,59.84,59.60
59.76,60.43,60.83,59.73
60.48,60.74,60.90,60.21
60.67,60.93,60.95,60.43
61.38,61.69,61.89,60.51
62.00,60.93,62.26,60.62
61.04,62.00,62.54,60.84
62.56,62.50,63.71,62.00
62.55,61.39,63.17,61.01
61.31,62.44,62.61,60.70
62.87,63.29,63.60,62.64
63.71,63.54,63.97,63.21
63.95,62.28,63.96,61.94
62.16,61.27,62.16,61.03
61.01,62.13,62.41,60.61
62.40,61.19,62.77,61.11
60.69,57.77,60.76,57.72
58.07,57.34,58.39,56.12
57.32,58.34,58.63,57.19
58.24,58.36,59.00,57.53
58.38,58.78,59.26,58.26
58.87,58.91,59.53,58.56
58.95,57.28,59.01,56.70
57.50,58.40,59.20,57.28
59.22,58.17,59.77,58.14
58.00,56.55,58.12,56.29
56.83,58.14,58.33,56.60
58.29,58.57,59.16,57.92
58.69,59.49,59.85,58.69
59.46,59.87,60.05,59.34
59.85,57.89,59.88,57.69
57.62,57.22,58.41,56.80
60.70,62.23,62.90,60.07
62.43,65.38,65.53,62.43
65.08,65.01,65.39,64.36
65.04,64.92,65.25,64.69
64.42,63.19,64.47,62.66
63.19,62.72,63.59,62.46
61.62,59.26,61.65,59.13
59.20,57.99,59.20,56.56
57.96,57.48,58.46,56.50
58.04,58.62,58.95,57.68
58.92,58.43,59.09,57.37
58.59,57.51,58.98,57.03
57.23,58.86,59.05,57.01
60.66,59.99,61.27,59.80
60.13,60.14,60.37,59.49
60.34,58.90,60.49,58.26
58.47,58.46,59.35,58.25
58.36,58.06,58.58,57.63
57.05,57.66,58.28,55.73
56.79,58.04,58.33,56.51
57.50,58.16,58.44,57.29
56.44,57.61,58.10,55.75
57.71,57.13,58.60,56.66
58.43,57.14,58.43,57.02
57.83,57.08,57.90,56.66
58.10,58.97,59.30,58.10
59.05,58.13,59.05,57.23
58.00,58.61,58.64,57.50
58.83,60.19,60.19,58.51
60.49,60.27,61.42,60.22
60.46,59.58,60.46,59.52
59.64,60.65,61.25,59.06
