V,Visa Inc.,NASDAQ
88.00,88.14,88.77,87.46
87.30,87.13,87.53,86.00
87.01,85.96,87.08,85.90
85.97,86.76,87.00,85.55
86.82,87.00,87.39,86.23
87.51,86.75,87.94,86.17
86.58,86.34,87.05,85.85
86.46,87.14,87.20,85.95
86.97,87.44,87.53,86.50
87.48,86.14,87.54,85.92
86.17,87.85,88.41,85.70
87.68,87.42,87.74,86.31
87.45,84.45,87.90,84.12
84.03,82.73,84.39,81.64
83.40,82.03,83.81,81.41
81.35,81.15,82.54,80.99
80.88,83.91,84.13,80.61
84.36,82.65,84.48,81.41
82.60,82.03,84.98,81.87
82.29,83.66,84.75,82.20
84.26,84.01,84.47,83.50
84.24,83.52,84.49,82.10
85.25,83.05,86.18,82.80
83.32,82.56,83.86,80.54
82.90,83.05,84.38,82.56
83.69,83.27,84.13,82.70
83.49,83.64,83.91,82.89
83.79,85.14,85.21,83.25
84.50,84.78,84.94,83.65
85.23,85.88,85.94,85.20
86.01,86.42,86.54,85.76
86.00,86.96,87.45,86.00
86.00,86.81,86.98,85.49
87.05,86.91,87.76,86.81
87.02,86.12,87.59,86.06
86.22,85.63,86.61,84.75
84.75,85.23,85.44,83.74
85.58,85.28,85.72,85.02
85.50,86.82,86.94,85.28
86.82,86.45,86.98,86.25
86.60,86.80,87.21,86.24
87.00,87.04,87.45,86.13
87.40,88.51,88.56,87.10
88.45,90.63,90.93,88.09
90.25,90.15,91.67,89.86
89.74,91.52,91.81,89.55
90.97,92.74,93.28,90.80
93.17,93.25,93.63,92.65
92.87,92.41,93.15,91.12
92.68,91.65,92.91,91.35
92.12,91.51,92.41,91.24
91.50,90.13,91.82,90.08
88.84,88.84,90.75,88.69
88.39,89.24,89.75,88.18
89.50,89.98,90.30,89.25
89.60,88.75,89.94,88.59
89.68,90.41,91.78,89.49
90.73,90.25,91.25,89.65
90.57,90.24,91.16,90.14
90.47,91.00,91.84,90.34
90.70,91.03,92.20,90.52
91.68,92.55,92.58,91.31
93.05,92.47,93.20,92.10
92.03,92.40,93.33,91.81
92.50,90.71,92.50,90.63
90.66,91.49,92.08,90.50
91.94,92.52,92.61,91.65
93.05,93.19,93.49,92.50
93.41,92.79,93.79,92.16
93.16,94.26,94.44,92.86
94.36,94.45,95.26,93.93
94.08,93.85,94.91,92.80
93.20,93.12,94.18,92.08
93.65,94.05,94.09,92.50
94.35,93.13,94.38,92.86
92.82,95.14,95.20,92.46
96.20,96.59,96.82,95.23
97.03,96.00,97.19,95.54
95.95,92.95,96.23,92.89
93.72,93.61,94.06,92.30
93.77,92.82,94.60,92.10
93.28,90.23,93.37,90.02
90.55,89.27,91.27,88.42
89.34,88.37,90.95,88.12
86.76,86.43,87.95,84.00
85.85,82.92,86.56,75.91
83.06,82.29,84.17,80.75
86.25,85.99,87.20,85.93
85.13,84.16,85.25,83.14
85.04,85.68,87.55,84.75
85.88,85.73,87.98,84.52
78.67,77.26,79.89,75.92
78.77,74.71,79.24,73.67
75.08,70.09,76.01,68.29
70.71,72.97,74.20,70.71
72.00,72.82,75.42,71.11
72.01,74.20,76.00,72.01
75.44,74.55,76.20,73.75
73.06,72.97,73.85,71.77
74.14,73.40,75.19,73.36
75.00,73.69,75.19,72.91
