AGU,Agrium Inc. Common Stock,NASDAQ
86.46,87.05,87.26,85.84
86.41,86.13,86.84,85.83
83.40,83.39,84.72,81.21
83.73,86.86,87.35,83.72
88.12,87.15,88.34,86.24
87.37,86.87,88.00,86.67
88.27,87.22,88.70,87.06
86.82,88.53,89.16,86.65
87.81,87.50,87.81,85.73
88.45,86.09,88.69,85.92
86.43,88.51,88.67,86.35
89.27,88.38,89.69,87.80
89.32,87.22,89.32,86.62
86.55,84.92,87.27,82.76
84.96,85.14,85.57,82.77
85.82,85.15,88.37,84.85
85.33,84.79,85.50,84.00
86.70,84.47,87.30,83.85
84.95,84.11,85.35,83.28
83.34,84.56,84.82,83.06
83.94,80.81,84.11,80.07
81.37,79.41,81.43,78.55
78.27,78.32,78.70,76.33
78.44,78.31,79.50,77.97
79.62,80.46,80.81,79.26
80.43,80.53,80.83,79.77
81.27,80.99,83.19,80.68
79.74,80.33,80.86,79.32
81.07,81.26,81.85,80.33
80.50,80.76,81.35,80.08
80.42,80.75,81.01,78.56
79.85,80.23,80.36,79.03
81.55,83.06,83.18,80.30
83.50,83.38,84.68,83.24
83.05,84.31,84.89,81.83
84.35,84.77,85.40,84.24
86.16,83.22,86.78,83.05
83.27,81.59,83.45,80.57
81.97,81.15,82.20,80.61
81.56,81.87,82.25,80.06
82.74,82.37,83.81,81.90
82.11,80.97,82.71,80.61
81.46,80.72,81.69,80.55
80.83,81.55,81.55,79.64
81.26,82.22,82.31,80.91
82.30,81.68,82.73,81.28
81.63,84.29,84.46,81.63
84.59,84.09,85.09,83.56
84.00,86.09,86.65,83.86
86.28,85.49,86.28,84.60
86.03,86.26,87.50,85.57
86.84,90.16,91.32,86.65
90.79,91.68,92.00,90.24
91.77,91.75,92.56,91.12
93.45,92.32,95.00,92.10
93.25,90.68,93.45,89.74
91.98,91.62,92.94,91.12
92.53,92.47,93.42,91.25
93.27,92.13,93.55,91.30
91.87,90.71,91.87,89.01
91.64,90.91,92.45,90.78
92.87,93.75,94.95,91.86
94.16,92.79,94.73,92.40
93.15,93.35,94.13,92.38
93.68,94.78,95.80,93.43
94.42,91.13,94.59,90.57
90.35,87.62,90.66,86.02
88.98,88.04,90.47,87.54
88.15,88.05,89.21,87.48
87.73,86.84,87.94,84.88
87.54,88.69,89.17,86.32
90.11,89.21,91.16,87.59
89.57,87.90,89.79,86.65
88.27,88.39,89.50,87.16
89.50,90.76,91.30,89.11
91.28,92.45,93.69,90.03
92.92,92.02,93.00,90.56
92.06,91.70,92.59,90.79
92.41,93.56,94.88,92.12
93.68,93.43,94.13,92.05
95.10,96.12,98.03,95.09
95.59,96.54,97.16,94.67
96.62,97.84,98.49,95.70
98.13,98.14,99.14,97.91
97.91,95.35,98.35,94.66
96.24,96.75,97.19,95.30
96.68,97.05,97.56,95.79
96.99,93.28,97.02,92.46
92.20,90.47,94.39,90.02
90.29,91.13,91.56,87.12
92.31,91.60,93.80,90.44
93.15,94.50,94.77,92.84
95.34,95.08,95.76,94.00
94.73,94.15,95.37,93.16
93.58,94.57,95.10,92.80
95.34,96.74,96.88,94.59
