VMI,Valmont Industries,NASDAQ
79.90,79.31,80.60,79.10
79.51,79.09,79.62,78.18
77.61,75.69,77.84,75.37
75.75,77.06,77.25,75.29
77.06,77.59,77.91,76.44
78.36,76.86,78.39,76.70
76.69,75.69,76.70,75.09
75.62,75.33,75.67,74.73
74.78,75.44,76.37,74.78
75.58,73.54,75.76,73.31
73.92,74.26,74.88,73.49
73.91,72.83,73.91,72.50
73.05,71.00,73.05,70.12
70.61,70.89,72.28,69.30
71.30,70.64,71.96,69.00
70.37,71.50,71.94,69.77
71.23,72.61,72.69,70.56
72.87,71.84,73.32,71.65
71.86,69.46,72.02,68.91
69.87,70.70,71.52,69.87
70.48,72.85,73.36,70.48
72.50,72.04,73.34,71.50
71.23,69.69,71.56,69.47
69.69,69.53,70.17,67.43
69.49,68.48,69.85,68.43
68.64,69.24,70.33,68.63
69.01,68.17,69.52,67.40
68.16,69.59,70.40,67.81
68.58,70.69,70.74,68.39
71.42,71.00,71.92,70.83
66.77,68.69,70.40,65.30
69.24,70.78,71.66,68.20
70.35,71.50,72.23,70.35
71.82,71.51,72.16,71.22
71.19,69.88,71.69,69.52
70.21,70.31,71.07,69.83
69.36,71.00,71.15,68.60
71.15,71.20,71.34,69.76
71.28,71.90,72.18,71.26
72.29,72.88,73.75,72.02
73.00,73.44,74.13,72.82
73.81,81.56,84.00,73.81
81.81,81.96,82.85,81.58
81.90,80.80,82.40,80.31
80.81,81.96,82.50,80.81
81.69,82.59,82.82,81.60
82.37,82.36,82.38,81.44
82.26,82.89,82.96,81.76
83.09,82.67,83.20,81.76
82.61,82.54,82.92,82.08
83.13,83.36,83.95,83.10
83.56,83.32,84.45,83.18
82.50,82.50,83.98,82.29
81.97,83.35,83.53,81.70
83.64,84.50,84.60,83.11
81.82,82.15,83.03,81.22
83.40,81.91,83.70,81.86
81.91,82.00,83.32,81.38
82.60,83.23,83.43,82.18
83.13,83.00,83.45,82.00
82.60,82.83,83.43,81.60
83.35,84.33,84.35,83.35
84.83,86.35,86.67,84.74
84.15,83.13,85.34,81.99
82.78,83.28,83.80,82.51
82.77,83.41,83.55,82.04
83.79,85.12,85.76,83.46
85.54,86.58,87.10,85.54
86.56,85.74,87.06,85.42
86.45,86.82,87.12,86.13
86.88,86.44,86.88,85.21
84.71,83.00,85.00,82.74
82.29,82.49,83.39,80.91
82.99,84.54,84.54,82.99
84.35,84.90,85.83,84.02
84.14,86.66,86.88,82.63
86.94,87.73,87.82,86.24
87.59,85.47,88.08,85.20
85.42,82.81,85.63,82.43
83.13,83.27,83.64,82.49
84.45,85.73,85.83,84.26
85.93,83.29,87.28,83.26
