CBPO,China Biologic Products,NASDAQ
12.16,12.80,12.80,12.06
12.96,13.00,13.09,12.89
13.02,12.60,13.02,12.25
12.70,12.80,12.90,12.60
13.00,12.92,13.04,12.66
13.10,13.48,13.70,13.10
13.50,12.89,13.50,12.75
12.88,12.75,13.18,12.63
12.75,12.97,13.19,12.63
13.16,12.56,13.17,12.45
12.60,12.24,12.80,11.75
12.05,11.79,12.10,11.50
11.80,10.99,12.00,10.20
11.49,11.04,11.50,10.73
10.86,11.76,11.79,10.80
11.66,8.71,11.70,8.44
8.50,10.06,10.15,8.13
10.14,9.80,10.30,8.62
9.87,9.91,10.00,9.21
10.00,9.82,10.00,9.63
10.00,10.19,10.30,9.91
10.27,10.66,10.80,10.20
10.52,10.41,10.58,10.12
10.39,10.02,10.39,9.80
9.98,9.82,9.98,9.51
9.55,9.60,9.70,9.00
9.55,9.50,9.59,9.30
9.42,8.91,9.42,8.90
8.76,8.92,8.92,8.69
9.00,8.02,9.00,7.85
7.78,7.62,7.92,7.50
7.55,8.11,8.19,7.55
8.19,9.12,9.16,7.91
9.09,8.87,9.17,8.80
8.87,9.05,9.07,8.67
9.08,8.74,9.26,8.61
8.90,8.85,9.13,8.77
9.05,9.33,9.48,8.95
9.39,9.54,9.72,9.02
9.53,9.36,9.55,9.20
9.33,9.53,9.80,9.30
9.60,9.70,9.78,9.55
9.80,9.59,9.80,9.54
9.74,9.74,9.75,9.38
9.80,9.80,9.80,9.49
9.74,9.98,9.98,9.54
9.95,9.76,9.99,9.71
9.75,9.57,9.76,9.50
9.52,9.44,9.52,9.07
9.41,9.40,9.62,9.16
9.42,9.30,9.46,9.06
9.42,9.30,9.62,9.11
9.27,9.16,9.46,9.15
9.03,9.17,9.20,8.00
9.30,9.08,9.30,8.91
10.13,11.26,11.38,10.10
11.37,11.35,11.70,10.95
11.39,11.50,12.14,11.39
11.35,11.09,11.59,10.90
11.09,11.35,11.56,11.03
11.20,11.04,11.30,10.95
N/A,N/A,N/A,N/A
11.30,10.95,11.30,10.77
10.88,10.96,11.01,10.51
11.00,11.08,11.10,10.75
11.18,10.97,11.18,10.95
10.97,10.85,11.01,10.68
10.73,10.90,11.22,10.73
11.14,11.00,11.18,10.91
11.25,11.18,11.28,10.96
11.22,11.35,11.45,11.20
11.30,11.40,11.42,11.30
11.40,11.29,11.50,11.15
11.21,11.00,11.26,10.95
10.85,10.85,10.98,10.71
10.70,10.96,11.00,10.70
10.92,11.07,11.29,10.86
11.07,11.76,12.00,11.03
11.76,11.43,11.76,11.26
11.59,11.64,11.89,11.50
11.80,12.46,12.67,11.79
12.68,12.41,12.81,12.41
12.55,12.29,12.55,12.15
12.25,11.71,12.25,11.38
11.74,12.04,12.09,11.25
12.08,12.04,12.25,11.88
11.90,11.83,12.25,11.50
12.25,12.29,12.74,12.15
12.25,12.19,12.34,11.98
12.40,13.95,14.32,12.37
13.95,13.76,13.97,13.50
13.90,13.30,13.90,12.89
13.01,12.96,13.20,12.61
14.00,13.45,14.00,13.24
13.99,13.80,14.38,13.73
13.71,12.47,13.96,12.00
12.40,12.70,12.95,11.82
12.95,12.97,13.33,12.86
12.70,13.09,13.19,12.45
13.25,13.55,13.79,13.14
14.00,13.50,14.00,13.02
13.45,12.89,13.45,12.89
12.69,12.76,13.00,12.50
13.00,12.95,13.19,12.56
13.00,13.25,13.29,12.90
13.22,12.78,13.25,12.61
12.90,10.44,12.90,10.38
10.88,11.01,11.33,10.53
11.09,11.32,11.50,11.00
10.81,11.00,11.15,10.51
10.82,11.34,11.39,10.80
11.50,11.75,11.89,11.46
12.00,11.74,12.00,11.63
11.58,11.16,11.58,10.92
11.12,11.10,11.29,10.85
11.04,10.79,11.04,10.55
10.92,11.14,11.45,10.83
11.15,10.73,11.45,10.69
10.78,10.64,10.78,10.51
10.59,10.70,10.74,10.50
10.69,10.59,10.91,10.50
10.63,10.54,10.80,10.51
10.50,10.28,10.52,10.01
10.32,10.99,11.11,10.26
10.95,10.59,11.02,10.41
10.58,10.91,11.01,10.44
11.12,10.89,11.45,10.56
10.89,11.78,11.78,10.11
11.87,12.08,12.11,11.60
12.10,12.26,12.70,11.62
12.15,12.08,12.44,11.90
12.05,12.04,12.10,11.90
12.29,12.00,12.29,11.95
12.10,12.08,12.20,11.85
12.00,11.64,12.10,11.36
11.75,11.71,12.15,11.46
11.53,11.62,11.95,11.45
11.61,10.92,11.61,10.55
11.00,11.00,11.10,10.92
10.98,11.07,11.14,10.95
11.07,11.88,11.88,11.07
11.87,12.04,12.08,11.56
12.30,12.25,12.40,12.00
12.40,12.57,12.78,12.32
12.79,12.78,12.80,12.57
12.81,13.95,13.95,12.80
14.00,13.62,14.00,13.52
13.83,13.40,13.99,13.40
13.40,13.36,13.56,13.18
13.14,12.81,13.15,12.62
12.90,13.08,13.42,12.90
12.89,12.58,12.89,12.45
12.29,12.52,12.85,12.25
12.44,12.87,13.24,12.44
13.03,12.90,13.50,12.89
13.58,12.78,13.58,12.56
12.78,12.45,13.00,12.33
12.52,11.99,12.53,11.90
11.94,11.90,11.96,11.60
11.88,11.70,11.98,11.55
11.80,11.69,11.87,11.65
11.57,11.80,11.86,11.35
11.31,11.20,11.53,10.85
11.50,11.44,11.69,11.30
11.50,11.21,11.50,10.95
11.15,10.69,11.27,10.69
10.70,10.34,10.91,10.23
10.57,11.00,11.09,10.21
11.00,11.00,11.04,10.80
10.89,10.97,11.44,10.86
11.00,10.92,11.02,10.77
11.00,10.85,11.00,10.81
10.93,10.77,10.94,10.52
10.79,10.56,10.79,10.50
10.56,10.48,10.60,10.30
10.44,10.52,10.73,10.30
10.33,9.96,10.50,9.80
9.86,9.61,9.86,9.34
9.90,9.61,9.90,9.40
9.61,9.72,10.00,9.42
9.45,9.89,9.93,9.45
9.89,10.23,10.23,9.89
10.06,10.17,10.29,9.65
10.24,10.11,10.34,9.81
10.07,10.00,10.11,9.90
9.96,10.02,10.09,9.92
10.03,10.00,10.08,9.95
10.03,9.88,10.05,9.73
10.01,9.79,10.01,9.64
9.73,9.38,9.90,9.31
9.66,9.88,10.00,9.46
10.00,10.09,10.12,9.52
10.08,10.33,10.33,9.82
10.33,10.79,10.79,10.16
10.90,10.89,10.90,10.78
10.85,10.80,10.98,10.74
10.80,10.79,11.05,10.79
11.59,10.81,11.59,10.81
10.85,10.95,11.08,10.78
10.88,11.26,11.69,10.40
11.66,11.40,11.82,11.10
11.70,11.92,12.23,11.54
12.03,11.54,12.03,11.40
11.34,11.22,11.34,11.00
11.00,10.75,11.40,10.70
10.79,10.65,10.95,10.50
10.51,10.34,10.56,10.29
10.36,10.05,10.50,9.50
10.30,9.79,10.31,9.61
9.96,9.75,10.06,9.63
9.93,10.05,10.20,9.69
10.22,10.23,10.40,9.98
10.72,10.21,10.72,10.05
10.27,10.19,10.50,10.00
10.10,10.16,10.49,10.03
10.61,10.05,10.61,10.01
