IYY,iShares Dow Jones U.S. ETF,NASDAQ
55.92,56.29,56.35,55.78
56.22,56.51,56.52,56.16
56.39,56.55,56.67,56.39
56.43,56.82,56.85,56.29
56.69,56.99,56.99,56.54
57.17,57.06,57.20,56.90
56.71,56.46,56.78,56.30
56.61,57.06,57.13,56.35
56.96,57.12,57.23,56.89
57.00,56.53,57.11,56.31
56.47,57.20,57.22,56.47
56.77,56.67,56.93,56.20
56.67,55.64,56.85,55.57
55.39,54.39,55.53,54.34
54.81,54.67,54.94,54.47
54.39,54.42,54.98,54.27
54.30,54.64,54.75,53.95
54.79,54.03,54.86,53.68
54.23,53.50,54.58,53.34
53.68,54.20,54.20,53.68
54.27,54.90,54.98,54.15
54.67,54.59,54.91,54.48
54.27,52.89,54.27,52.89
52.89,53.06,53.06,51.95
52.97,52.59,53.29,52.59
53.29,53.25,53.73,52.84
53.24,53.19,53.49,52.75
53.08,53.76,53.81,52.95
53.17,53.77,53.77,53.00
54.20,54.61,54.68,54.03
54.96,54.88,55.00,54.71
54.83,55.29,55.36,54.83
55.11,55.39,55.56,55.04
55.53,55.34,55.58,55.28
55.21,54.67,55.36,54.62
54.89,55.17,55.24,54.74
54.45,55.15,55.15,54.20
55.14,55.18,55.31,54.99
55.42,55.78,55.79,55.39
56.08,55.99,56.23,55.91
56.11,55.99,56.37,55.95
56.10,56.19,56.25,55.91
56.61,56.99,57.02,56.52
57.07,57.01,57.14,56.95
56.81,57.12,57.39,56.81
57.12,57.42,57.51,57.12
57.24,57.67,57.67,57.24
57.94,57.69,57.94,57.52
57.51,57.65,57.68,57.20
57.76,58.17,58.17,57.69
58.25,58.46,58.66,58.25
58.40,58.38,58.49,58.22
58.04,58.04,58.55,57.85
57.67,58.41,58.50,57.67
58.56,58.89,58.90,58.30
58.60,58.56,58.79,58.47
58.69,58.14,58.94,58.14
58.32,58.19,58.52,57.95
58.41,58.52,58.60,58.35
58.60,58.61,58.76,58.33
58.39,58.36,58.63,58.25
58.75,58.79,58.97,58.50
59.00,59.31,59.36,58.95
59.17,59.49,59.60,59.15
59.36,59.15,59.49,58.93
58.93,59.32,59.42,58.74
59.47,59.72,59.73,59.37
59.77,59.85,59.97,59.71
59.75,59.88,59.95,59.46
60.11,60.61,60.61,60.08
60.54,60.64,60.78,60.51
60.43,59.74,60.52,59.44
59.53,59.88,59.88,59.22
60.19,60.39,60.44,60.07
60.44,60.38,60.60,60.06
59.91,60.62,60.67,59.67
60.56,61.05,61.06,60.46
61.03,60.82,61.21,60.77
60.48,59.38,60.79,59.28
59.71,59.72,59.92,59.32
60.10,60.59,60.70,60.10
60.59,59.48,60.61,59.48
59.68,60.25,60.43,59.68
59.54,58.82,59.54,58.53
58.37,58.36,58.84,57.93
58.10,56.50,58.45,28.22
56.39,55.58,56.79,54.70
57.91,57.96,58.38,57.37
57.51,57.87,58.59,57.35
58.03,58.76,58.83,58.03
58.65,58.13,58.95,58.04
57.60,56.97,57.61,56.49
57.16,56.99,57.26,55.92
57.53,56.25,57.63,56.03
55.87,55.83,56.38,55.15
54.78,53.69,54.81,53.69
52.77,54.42,54.60,52.69
54.25,53.77,54.62,53.77
52.47,53.85,53.85,52.08
54.23,53.56,54.68,53.48
54.63,55.45,55.45,54.49
55.44,54.78,55.45,54.58
54.18,53.71,54.98,53.65
53.91,55.10,55.10,53.88
55.36,55.43,55.50,54.86
54.43,53.43,54.73,53.26
53.61,52.65,53.76,52.65
52.73,53.19,53.19,52.19
53.53,52.94,54.06,52.75
53.74,54.50,54.56,53.74
54.14,54.80,54.82,53.95
55.18,54.76,55.60,54.75
55.14,56.05,56.09,55.14
55.71,55.98,56.25,55.66
56.14,56.06,56.25,55.56
56.10,56.12,56.33,55.97
56.87,55.87,56.92,55.62
55.89,54.95,56.18,54.92
54.97,54.75,55.18,54.53
54.36,53.61,54.36,53.52
53.82,53.93,54.12,53.35
53.92,53.71,54.17,53.64
52.97,51.97,53.08,51.71
51.83,51.48,52.41,51.36
51.47,51.27,51.61,50.41
51.48,51.04,51.58,50.75
51.79,51.22,52.04,50.83
51.40,52.86,52.94,51.35
53.38,53.42,53.47,52.83
53.40,53.84,53.84,53.35
53.72,53.80,53.91,53.43
54.46,54.71,54.89,54.33
54.61,54.69,54.93,54.35
54.65,54.75,54.84,53.97
54.38,53.16,54.39,53.11
53.40,53.45,53.63,52.91
52.79,54.09,54.14,52.79
54.44,53.40,54.44,53.20
54.00,54.62,54.80,54.00
54.54,55.12,55.18,54.37
55.14,55.80,55.80,55.08
56.11,55.72,56.16,55.50
55.66,55.25,55.75,55.15
55.71,55.03,55.78,54.60
54.43,55.07,55.28,54.25
56.00,56.25,56.36,55.70
56.08,55.93,56.26,55.79
56.17,56.40,56.45,56.00
56.05,56.24,56.33,55.93
55.68,56.07,56.16,55.41
56.26,56.43,56.51,56.07
56.00,55.98,56.31,55.63
55.05,54.46,55.05,54.39
53.51,54.14,54.31,53.35
53.91,53.93,54.23,53.88
53.56,53.93,54.13,53.48
54.34,54.68,55.01,54.28
54.60,54.78,55.04,54.35
54.47,53.83,54.60,53.61
53.63,53.63,53.69,53.21
53.94,53.38,54.18,53.37
52.73,52.57,53.03,52.36
52.26,52.82,53.00,52.01
53.00,52.44,53.14,52.40
52.84,53.33,53.37,52.20
53.22,52.57,53.32,52.57
52.41,52.55,52.82,52.16
53.26,54.13,54.16,53.24
54.21,54.65,54.68,54.19
55.26,55.42,55.43,54.96
55.10,54.73,55.17,54.73
54.89,55.08,55.27,54.89
55.65,55.33,55.70,55.21
55.41,55.61,55.67,55.41
56.20,56.26,56.35,56.05
56.23,56.26,56.54,55.98
56.07,56.45,56.54,55.97
56.30,56.42,56.43,56.14
56.77,56.48,56.80,56.35
56.65,57.36,57.46,56.65
57.38,57.24,57.64,57.06
57.11,56.94,57.35,56.82
56.15,56.18,56.73,56.09
56.76,57.37,57.40,56.76
57.37,57.14,57.50,57.11
57.24,57.44,57.55,56.66
57.34,57.34,57.54,57.15
57.66,57.20,57.89,56.94
57.63,57.41,57.68,57.12
57.33,56.98,57.51,56.73
57.48,58.11,58.24,57.48
58.07,58.05,58.25,57.83
58.35,57.98,58.35,57.64
58.04,58.35,58.50,57.91
58.49,58.40,58.57,58.30
58.28,58.64,58.75,57.94
58.99,59.07,59.39,58.85
59.10,58.86,59.13,58.53
59.31,58.97,59.31,58.57
58.90,59.29,59.41,58.89
58.66,58.41,59.00,58.11
58.52,59.04,59.30,58.52
59.27,59.11,59.62,58.69
59.25,59.30,59.30,59.10
59.55,59.45,60.00,59.44
59.23,59.45,59.57,59.12
59.16,59.38,59.38,58.79
59.73,59.41,59.73,59.11
59.26,59.45,59.52,59.25
59.79,59.41,60.00,59.16
59.91,59.95,60.06,59.79
60.01,60.17,60.19,59.50
60.84,61.33,61.37,60.77
61.28,61.59,61.65,61.28
61.36,61.49,61.55,61.19
61.63,61.02,61.70,60.83
60.99,61.32,61.33,60.73
60.78,61.12,61.21,60.68
60.73,60.33,60.91,60.09
60.54,60.29,60.78,60.27
59.89,59.34,59.92,59.04
59.29,59.41,59.58,59.25
60.06,60.26,60.46,60.04
60.25,60.45,60.48,59.94
60.25,60.43,60.48,59.86
59.84,59.62,59.84,59.39
60.05,60.55,60.55,60.05
60.00,60.14,60.32,60.00
59.75,60.08,60.19,59.35
59.46,59.69,60.01,59.39
60.58,60.93,61.00,60.58
61.09,61.72,61.76,61.04
61.47,61.94,61.99,61.47
61.76,61.90,62.04,61.76
62.57,61.95,62.57,61.93
62.13,62.11,62.15,61.74
62.51,62.34,62.51,62.09
62.48,62.75,62.77,62.37
63.04,62.73,63.04,62.73
62.88,62.75,63.04,62.68
62.63,62.49,62.96,62.45
62.52,62.86,62.91,62.37
62.85,63.00,63.08,62.77
63.11,63.13,63.27,62.87
63.34,63.55,63.61,63.33
63.39,63.48,63.51,63.29
63.44,63.33,63.44,63.24
63.20,63.36,63.45,63.06
63.50,63.42,63.50,63.30
63.56,63.55,63.67,63.52
63.51,63.48,63.60,63.41
63.38,63.40,63.50,63.28
63.88,64.09,64.35,63.88
64.31,63.96,64.31,63.58
63.75,64.33,64.36,63.75
64.41,64.23,64.41,64.09
64.32,64.12,64.33,63.56
63.91,64.11,64.15,63.61
64.38,64.25,64.46,64.15
64.74,64.87,64.91,64.58
64.94,64.76,64.94,64.63
64.65,65.16,65.19,64.63
65.12,65.41,65.41,65.08
65.45,64.65,65.45,64.52
64.42,64.42,64.64,64.04
64.92,64.60,65.00,64.53
64.50,64.98,65.03,64.50
64.89,65.00,65.01,64.52
65.21,65.41,65.49,65.08
65.49,65.66,65.66,65.33
65.66,64.34,65.66,64.29
64.59,64.84,64.94,64.49
65.34,65.95,66.01,65.21
65.75,65.76,65.97,65.74
