OESX,Orion Energy Systems,NASDAQ
4.42,4.48,4.55,4.37
4.46,4.65,4.73,4.45
4.65,5.21,5.55,4.65
5.41,6.24,6.25,5.25
6.35,5.94,6.35,5.78
5.94,5.44,6.00,5.40
5.43,5.63,5.86,5.36
5.63,5.46,5.73,5.42
5.46,5.56,5.85,5.39
5.64,5.49,5.69,5.39
5.50,5.67,5.80,5.50
5.64,5.58,5.74,5.58
5.57,5.22,5.57,5.22
5.23,5.16,5.38,5.08
5.22,5.13,5.26,4.84
5.12,4.99,5.13,4.96
4.97,4.76,5.00,4.75
4.79,4.68,4.97,4.65
4.72,4.76,5.02,4.72
4.87,4.70,4.87,4.60
4.78,5.14,5.31,4.70
5.14,5.05,5.35,4.46
4.86,5.32,5.44,4.64
5.32,5.44,5.57,5.00
5.45,5.36,5.69,5.32
5.44,5.17,5.45,5.14
5.15,5.05,5.18,4.99
5.03,5.25,5.25,5.00
5.09,5.09,5.15,4.98
5.14,5.36,5.50,5.12
5.39,5.36,5.42,5.26
5.33,5.45,5.45,5.21
5.44,5.67,5.67,5.37
5.67,5.53,5.68,5.45
5.53,5.47,5.54,5.40
5.51,5.49,5.52,5.26
5.40,5.32,5.43,5.21
5.40,5.16,5.40,5.14
5.16,5.44,5.45,5.00
5.46,5.44,5.60,5.27
5.43,5.29,5.46,5.25
5.27,5.22,5.30,5.06
5.24,5.40,5.41,5.19
5.43,5.37,5.45,5.34
5.37,5.50,5.59,5.35
5.50,5.56,5.60,5.50
5.56,5.58,5.60,5.36
5.59,5.50,5.59,5.46
5.44,5.35,5.48,5.30
5.36,5.38,5.40,5.23
5.40,5.46,5.48,5.36
5.47,5.80,6.00,5.46
5.08,5.08,6.00,4.98
5.09,5.03,5.25,4.92
5.02,5.17,5.20,5.01
5.15,5.01,5.23,5.00
5.03,4.97,5.10,4.95
4.99,4.91,5.10,4.89
4.91,4.75,5.00,4.71
4.66,4.85,4.86,4.52
4.84,4.90,4.99,4.79
4.93,4.75,4.93,4.69
4.83,4.95,4.98,4.80
4.88,5.09,5.15,4.88
5.04,5.08,5.16,5.03
5.08,4.99,5.08,4.95
4.96,4.74,4.96,4.66
4.73,4.62,4.75,4.55
4.70,4.70,4.70,4.58
4.70,4.82,4.95,4.70
4.83,4.98,4.99,4.75
4.96,4.76,4.96,4.76
4.73,4.77,4.83,4.73
4.80,4.93,4.93,4.73
4.91,4.95,4.96,4.87
4.94,4.99,5.02,4.86
4.07,5.10,5.11,4.07
5.06,5.25,5.27,5.06
5.25,5.22,5.30,5.20
5.26,5.26,5.29,5.21
5.29,5.37,5.39,5.09
5.43,5.33,5.43,5.27
5.33,5.30,5.34,5.25
5.03,5.10,5.25,5.01
4.90,4.91,5.02,4.87
4.92,4.50,4.92,3.00
4.50,4.30,4.83,4.16
4.60,4.52,4.71,4.36
4.51,4.64,4.64,4.38
4.70,4.84,4.84,4.67
4.28,4.84,4.92,4.01
4.02,3.87,4.50,3.75
3.94,3.66,3.96,3.60
3.76,3.46,3.80,3.45
3.35,3.36,3.45,3.28
3.30,3.18,3.45,3.18
3.19,3.30,3.43,3.15
3.33,3.22,3.33,3.21
3.22,3.44,3.45,3.09
3.58,3.41,3.58,3.40
3.57,3.58,3.79,3.50
3.64,3.71,3.74,3.55
3.64,3.37,3.71,3.37
3.31,3.46,3.46,3.27
3.46,3.44,3.47,3.39
3.40,3.15,3.44,3.10
3.15,3.04,3.21,3.02
3.10,2.90,3.11,2.84
2.91,2.96,3.05,2.86
3.00,3.06,3.06,2.94
3.01,3.07,3.09,2.97
3.03,3.08,3.10,3.02
3.10,3.07,3.10,3.02
3.05,3.05,3.09,3.00
3.07,3.19,3.22,3.05
3.25,3.38,3.43,3.14
3.43,3.10,3.45,3.08
3.12,3.11,3.25,3.07
3.12,3.35,3.38,3.11
3.45,3.14,3.45,3.12
3.16,3.00,3.21,3.00
3.00,3.10,3.15,3.00
3.08,3.10,3.18,3.00
3.16,3.16,3.20,3.13
3.16,3.05,3.21,3.03
3.05,3.05,3.10,3.02
3.20,2.94,3.25,2.94
2.99,2.91,2.99,2.90
2.91,2.83,2.94,2.83
