NSAT,Norsat International Inc. (NEW) Common Stock,NASDAQ
0.66,0.66,0.66,0.65
0.66,0.66,0.66,0.66
0.62,0.69,0.69,0.62
0.65,0.67,0.67,0.62
0.67,0.67,0.67,0.67
0.69,0.68,0.69,0.68
0.65,0.67,0.67,0.65
0.65,0.65,0.65,0.65
0.67,0.68,0.68,0.67
0.66,0.66,0.66,0.66
0.62,0.66,0.66,0.62
0.66,0.66,0.66,0.66
0.63,0.65,0.65,0.63
0.65,0.64,0.65,0.64
0.65,0.67,0.67,0.65
0.65,0.65,0.65,0.65
0.65,0.65,0.68,0.65
0.68,0.65,0.68,0.65
0.62,0.67,0.67,0.62
0.67,0.72,0.72,0.67
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.70,0.66,0.70,0.66
0.66,0.66,0.66,0.66
0.65,0.65,0.65,0.63
0.62,0.65,0.65,0.62
0.65,0.65,0.65,0.65
0.62,0.66,0.66,0.62
0.68,0.68,0.68,0.68
0.68,0.71,0.71,0.67
0.69,0.68,0.69,0.68
0.62,0.68,0.68,0.62
0.68,0.69,0.69,0.68
0.62,0.62,0.62,0.62
0.62,0.70,0.71,0.62
0.62,0.67,0.67,0.62
0.66,0.66,0.66,0.66
0.66,0.64,0.66,0.64
0.63,0.70,0.70,0.63
0.69,0.71,0.71,0.69
0.71,0.71,0.71,0.71
0.78,0.79,0.79,0.78
0.63,0.79,0.79,0.63
0.63,0.80,0.80,0.63
0.80,0.80,0.80,0.78
0.63,0.80,0.80,0.63
0.82,0.81,0.82,0.79
0.80,0.80,0.80,0.80
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.78,0.76,0.78,0.75
0.75,0.76,0.76,0.75
0.76,0.76,0.76,0.76
0.63,0.77,0.77,0.63
0.75,0.76,0.76,0.75
0.63,0.74,0.74,0.63
0.74,0.74,0.74,0.74
0.74,0.74,0.74,0.74
0.72,0.72,0.72,0.72
0.68,0.67,0.69,0.66
0.68,0.68,0.68,0.66
0.68,0.68,0.68,0.67
0.68,0.68,0.68,0.68
0.69,0.72,0.75,0.67
0.74,0.77,0.77,0.72
0.79,0.80,0.80,0.78
0.72,0.78,0.80,0.72
0.78,0.80,0.80,0.78
0.79,0.77,0.79,0.76
0.76,0.77,0.78,0.76
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.80,0.77,0.80,0.77
0.77,0.77,0.77,0.77
0.76,0.77,0.77,0.75
0.76,0.74,0.76,0.74
0.74,0.74,0.74,0.74
0.73,0.72,0.73,0.72
0.72,0.72,0.72,0.72
0.72,0.76,0.76,0.72
