VTI,Vanguard Total Stock Market ETF,NASDAQ
56.86,57.31,57.38,56.84
57.34,57.53,57.54,57.11
57.50,57.61,57.72,57.41
57.55,57.85,57.89,57.29
57.70,58.04,58.05,57.56
58.30,58.12,58.35,57.85
57.75,57.52,57.82,57.30
57.71,58.06,58.18,57.36
58.02,58.16,58.28,57.94
58.10,57.50,58.15,57.30
57.55,58.26,58.29,57.52
57.90,57.72,57.90,57.21
57.72,56.66,57.91,56.57
56.40,55.41,56.60,55.31
55.88,55.65,55.97,55.46
55.45,55.40,55.99,55.27
55.30,55.67,55.75,54.87
55.89,55.01,55.89,54.65
55.24,54.36,55.65,54.28
54.72,55.19,55.24,54.70
55.34,55.90,56.03,55.13
55.67,55.62,55.92,55.43
55.17,53.89,55.18,53.86
53.88,53.98,54.07,52.82
54.02,53.56,54.30,53.54
54.16,54.27,54.70,53.75
54.20,54.19,54.46,53.70
54.07,54.77,54.84,53.76
54.22,54.77,54.81,54.00
55.24,55.69,55.77,55.04
55.99,56.00,56.08,55.74
55.94,56.32,56.44,55.87
56.15,56.52,56.67,56.06
56.71,56.43,56.72,56.32
56.31,55.75,56.48,55.61
55.93,56.25,56.34,55.79
55.46,56.23,56.24,55.29
56.22,56.23,56.41,55.91
56.49,56.90,56.94,56.47
57.17,57.08,57.37,57.00
57.28,57.15,57.52,57.04
57.28,57.30,57.40,57.01
57.74,58.21,58.23,57.56
58.22,58.22,58.35,58.11
58.05,58.34,58.61,58.02
58.41,58.65,58.78,58.34
58.44,58.87,58.88,58.27
59.14,58.87,59.15,58.70
58.81,58.85,58.90,58.42
58.98,59.33,59.39,58.86
59.53,59.71,59.93,59.51
59.74,59.64,59.80,59.42
59.25,59.25,59.83,59.04
58.91,59.67,59.74,58.86
59.76,60.09,60.13,59.53
59.90,59.74,60.05,59.68
59.93,59.40,60.17,59.31
59.49,59.39,59.78,59.10
59.65,59.74,59.84,59.55
59.85,59.77,60.00,59.53
59.59,59.59,59.88,59.41
60.01,60.02,60.23,59.63
60.26,60.60,60.61,60.10
60.46,60.77,60.87,60.36
60.69,60.45,60.79,60.14
60.19,60.59,60.70,60.02
60.76,61.00,61.05,60.61
61.14,61.14,61.27,61.01
61.12,61.20,61.29,60.75
61.44,61.95,61.95,61.35
61.90,62.03,62.15,61.84
61.81,61.06,61.91,60.71
60.88,61.22,61.27,60.52
61.60,61.80,61.83,61.39
61.85,61.75,61.98,61.38
61.40,62.05,62.10,60.95
62.02,62.47,62.49,61.82
62.55,62.25,62.65,62.18
61.95,60.75,62.20,60.62
61.07,61.15,61.33,60.62
61.59,61.95,62.07,61.52
61.99,60.89,62.05,60.85
61.15,61.71,61.82,61.05
61.02,60.21,61.02,59.87
59.62,59.72,60.27,59.30
59.46,57.71,59.82,29.76
57.67,56.62,58.10,55.84
59.14,59.22,59.50,58.59
58.73,59.17,59.92,58.62
59.41,60.12,60.20,59.37
60.03,59.40,60.30,59.36
58.97,58.33,59.06,57.77
58.44,58.37,58.69,57.17
58.84,57.54,59.02,57.33
57.17,57.13,57.72,56.40
55.87,54.91,56.09,54.82
53.99,55.71,55.85,53.83
55.39,55.01,55.85,54.94
53.70,55.01,55.06,53.19
55.45,54.78,55.97,54.60
55.88,56.70,56.70,55.65
56.66,56.09,56.66,55.72
55.43,54.93,56.28,54.87
55.25,56.36,56.38,54.99
56.53,56.66,56.80,56.05
55.55,54.67,55.93,54.41
54.78,53.78,54.98,53.76
53.87,54.24,54.36,53.26
54.60,53.99,55.18,53.81
54.93,55.65,55.69,54.88
55.17,55.99,56.02,55.10
56.45,56.00,56.83,55.93
56.35,57.26,57.33,56.27
57.00,57.20,57.50,56.85
57.38,57.30,57.45,56.74
57.42,57.34,57.55,57.14
58.08,57.12,58.13,56.84
57.17,56.14,57.41,56.06
56.19,55.92,56.38,55.54
55.44,54.77,55.48,54.61
54.93,55.05,55.29,54.43
55.10,54.87,55.33,54.70
54.08,53.14,54.15,52.79
53.03,52.56,53.50,52.42
52.50,52.33,52.72,51.46
52.55,52.08,52.69,51.76
52.78,52.24,53.14,51.79
52.37,53.94,53.99,52.31
54.42,54.47,54.57,53.85
54.53,54.89,54.93,54.38
54.86,54.91,55.13,54.50
55.54,55.81,56.03,55.40
55.70,55.80,56.06,55.44
55.85,55.85,55.99,55.04
55.54,54.23,55.55,54.13
54.46,54.54,54.67,53.94
53.85,55.17,55.21,53.73
55.56,54.48,55.56,54.24
55.10,55.69,55.91,55.10
55.64,56.26,56.33,55.43
56.46,56.95,57.01,56.25
57.37,56.88,57.38,56.69
56.79,56.48,56.96,56.28
56.88,56.19,56.97,55.68
55.66,56.25,56.49,55.46
57.16,57.46,57.55,56.86
57.35,57.15,57.45,56.91
57.36,57.60,57.62,57.14
57.24,57.48,57.51,57.12
56.91,57.27,57.32,56.49
57.57,57.57,57.65,57.20
56.99,57.21,57.49,56.70
56.22,55.52,56.26,55.43
54.71,55.21,55.38,54.54
54.97,55.00,55.33,54.94
54.55,54.95,55.16,54.41
55.46,55.73,56.12,55.32
55.64,55.86,56.14,55.37
55.52,54.88,55.70,54.62
54.66,54.69,54.74,54.23
54.96,54.40,55.22,54.40
53.84,53.62,54.03,53.26
53.22,53.79,54.03,52.98
54.08,53.46,54.23,53.34
53.83,54.38,54.42,53.02
54.28,53.59,54.42,53.58
53.34,53.60,53.90,53.13
54.25,55.17,55.25,54.25
55.29,55.75,55.78,55.21
56.32,56.49,56.58,56.04
56.28,55.88,56.31,55.79
55.95,56.17,56.40,55.90
56.78,56.45,56.90,56.28
56.57,56.69,56.78,56.42
57.28,57.41,57.49,57.12
57.30,57.40,57.72,57.09
57.19,57.59,57.67,57.03
57.42,57.57,57.62,57.25
57.89,57.60,57.90,57.39
57.85,58.55,58.65,57.67
58.57,58.41,58.86,58.22
58.27,58.10,58.64,57.91
57.61,57.60,58.24,57.47
57.98,58.52,58.55,57.92
58.61,58.27,58.66,58.24
58.34,58.60,58.72,57.74
58.47,58.50,58.72,58.27
58.87,58.37,59.20,58.10
58.85,58.63,58.88,58.27
58.51,58.11,58.75,57.85
58.65,59.32,59.46,58.58
59.30,59.26,59.46,59.02
59.48,59.18,59.51,58.84
59.26,59.58,59.74,59.06
59.76,59.67,59.82,59.49
59.54,59.88,60.03,59.12
60.17,60.35,60.68,60.06
60.34,60.19,60.42,59.78
60.50,60.24,60.64,59.79
60.29,60.57,60.71,60.17
59.95,59.69,60.32,59.34
59.77,60.29,60.58,59.77
60.61,60.39,60.90,59.90
60.53,60.57,60.60,60.33
60.93,60.77,61.30,60.71
60.43,60.76,60.86,60.30
60.37,60.64,60.68,60.06
60.95,60.64,61.02,60.33
60.59,60.72,60.80,60.47
61.04,60.73,61.34,60.37
61.21,61.21,61.34,60.96
61.35,61.46,61.48,60.71
62.19,62.66,62.68,62.11
62.74,62.94,63.03,62.64
62.75,62.86,62.91,62.53
63.00,62.37,63.10,62.10
62.32,62.64,62.65,61.89
62.13,62.47,62.57,61.94
62.00,61.68,62.30,61.39
61.87,61.59,62.12,61.57
61.23,60.61,61.31,60.32
60.61,60.71,60.92,60.47
61.29,61.56,61.78,61.29
61.57,61.81,61.84,61.22
61.52,61.82,61.82,61.09
61.14,60.94,61.20,60.69
61.35,61.92,61.92,61.35
61.42,61.50,61.73,61.33
61.09,61.41,61.54,60.66
60.80,61.03,61.39,60.71
61.92,62.34,62.45,61.92
62.42,63.14,63.16,62.40
62.92,63.34,63.43,62.88
63.26,63.32,63.46,63.15
63.94,63.39,64.02,63.34
63.52,63.57,63.68,63.17
63.96,63.80,63.96,63.52
64.03,64.21,64.25,63.81
64.49,64.23,64.57,64.20
64.35,64.25,64.56,64.08
64.20,63.97,64.46,63.87
64.04,64.35,64.41,63.81
64.35,64.47,64.58,64.22
64.69,64.64,64.80,64.33
64.91,65.03,65.14,64.81
64.81,64.93,65.02,64.77
64.90,64.84,64.98,64.71
64.65,64.88,64.93,64.54
65.00,64.94,65.03,64.77
65.08,65.04,65.16,64.99
64.95,64.96,65.12,64.88
64.82,64.93,65.00,64.74
65.36,65.60,65.88,65.36
65.82,65.47,65.86,65.04
65.30,65.83,65.86,65.19
65.91,65.68,65.96,65.54
65.79,65.53,65.92,65.04
65.32,65.58,65.67,65.06
65.82,65.84,65.97,65.57
66.26,66.43,66.46,66.09
66.44,66.33,66.48,66.13
66.25,66.76,66.77,66.17
66.74,66.93,66.95,66.63
66.89,66.13,66.91,65.99
65.95,65.93,66.10,65.47
66.30,66.04,66.45,65.95
66.00,66.41,66.49,65.94
66.23,66.45,66.45,65.91
66.59,66.83,66.97,66.48
66.86,67.03,67.13,66.72
67.11,65.83,67.18,65.72
65.92,66.26,66.38,65.83
66.72,67.35,67.48,66.69
67.20,67.27,67.47,67.18
67.21,67.42,67.50,66.76
67.50,67.61,67.65,67.17
67.81,68.06,68.28,67.76
68.16,68.40,68.42,67.94
68.23,68.22,68.41,67.91
67.88,68.30,68.37,67.73
68.09,68.75,68.82,68.03
68.76,68.93,68.98,68.67
68.72,68.71,68.83,68.54
68.96,69.16,69.24,68.83
68.96,69.41,69.50,68.93
69.50,69.54,69.63,69.26
68.78,68.05,69.13,67.86
67.98,67.48,68.14,67.03
67.35,67.49,67.76,66.82
67.82,68.34,68.35,67.70
68.65,68.71,68.82,68.30
68.94,67.55,68.99,67.53
67.48,67.69,68.03,67.37
68.36,68.92,69.00,68.32
68.94,68.46,68.96,68.02
68.70,67.84,68.81,67.46
67.96,68.45,68.67,67.62
68.36,68.35,68.56,67.96
67.65,67.04,67.65,66.98
66.71,67.49,67.72,66.71
67.07,67.08,67.30,66.55
65.29,66.37,66.74,65.16
66.15,65.22,66.40,64.75
66.14,65.97,66.30,65.64
66.79,66.28,66.84,66.11
67.00,67.32,67.42,67.00
67.35,67.10,67.41,67.01
66.92,67.26,67.43,66.55
67.66,67.90,68.00,67.23
67.83,67.86,68.20,67.66
68.03,67.70,68.21,67.69
67.72,68.20,68.21,67.42
68.58,68.71,68.89,68.46
68.70,68.71,68.87,68.59
69.18,69.04,69.33,68.86
69.15,69.10,69.30,68.91
69.01,69.14,69.45,68.97
69.47,69.32,69.55,69.04
69.20,69.12,69.48,68.80
69.39,68.83,69.49,68.53
68.92,68.58,69.09,68.38
68.15,68.00,68.28,67.75
68.32,68.04,68.39,67.77
67.64,68.08,68.17,67.41
68.23,68.41,68.54,68.01
67.61,67.59,67.72,67.07
67.75,67.98,67.99,67.54
68.83,68.97,69.07,68.77
69.25,69.31,69.32,69.00
69.31,69.24,69.36,69.02
69.50,69.85,70.00,69.40
70.00,70.31,70.41,69.71
70.26,70.52,70.62,70.20
70.58,70.70,70.80,70.46
71.04,70.58,71.11,70.43
70.43,70.19,70.51,69.82
70.18,69.67,70.21,69.35
69.27,69.11,69.79,68.80
69.79,69.41,70.14,69.14
69.50,69.78,69.96,69.37
70.02,70.40,70.53,69.96
70.35,69.68,70.37,69.35
69.47,70.01,70.14,69.07
70.06,69.37,70.12,69.18
69.09,68.89,69.68,68.80
68.56,68.83,68.92,68.27
68.88,69.49,69.56,68.73
69.75,69.66,69.86,69.27
69.46,69.14,69.58,68.95
68.25,68.26,68.49,68.06
68.47,68.19,68.61,68.05
67.95,68.47,68.75,67.89
68.31,68.88,68.99,68.20
69.11,69.20,69.37,69.03
69.88,69.95,69.95,69.36
69.77,68.36,69.81,68.30
68.37,68.23,68.54,67.86
67.43,67.53,68.05,67.36
67.36,66.75,67.50,66.66
67.04,66.72,67.29,66.70
66.61,66.37,66.80,66.27
66.56,66.84,67.14,66.38
66.58,65.89,66.60,65.73
66.01,65.88,66.25,65.55
66.51,66.79,67.02,66.48
66.25,65.60,66.48,65.43
65.62,65.71,66.08,65.18
66.36,65.92,66.38,65.69
65.72,66.23,66.38,65.67
66.57,67.24,67.34,66.51
67.08,66.87,67.46,66.84
66.06,66.76,66.77,65.60
66.50,65.72,66.52,65.63
65.75,66.28,66.53,65.61
66.57,67.20,67.20,66.47
67.45,67.79,67.87,67.22
67.98,68.40,68.49,67.90
68.43,69.38,69.47,68.28
69.35,69.37,69.53,69.16
69.21,69.51,69.60,69.03
70.15,70.26,70.42,69.99
69.50,69.76,69.78,69.21
68.88,68.47,69.14,68.29
68.24,68.17,68.84,68.10
68.52,68.43,69.12,68.25
68.59,67.85,68.89,67.72
68.17,68.28,68.31,67.77
67.97,67.65,68.04,67.14
68.03,68.79,68.84,68.03
68.98,68.75,69.00,68.58
69.08,69.59,69.78,68.96
69.60,69.71,69.77,69.25
69.00,69.26,69.63,68.91
69.22,68.97,69.30,68.82
68.56,67.45,68.59,67.38
67.43,67.22,68.08,67.14
66.57,66.85,67.43,66.22
67.66,66.55,67.76,65.93
66.12,64.79,66.48,64.79
64.84,65.15,65.21,63.67
64.26,61.88,64.28,61.84
62.66,61.62,62.82,60.00
59.87,57.35,60.59,57.29
58.30,60.22,60.25,56.42
59.08,57.66,59.72,57.52
58.10,60.30,61.06,57.88
60.82,60.70,61.21,60.21
61.22,62.02,62.07,61.14
61.44,61.43,62.02,60.79
61.80,61.44,62.25,60.94
59.78,58.70,59.84,58.11
57.82,57.65,59.36,57.57
58.96,57.66,58.98,57.50
57.91,59.64,59.67,57.55
59.55,60.49,60.56,59.36
60.87,59.48,61.16,59.29
59.17,60.47,60.71,58.26
61.27,62.36,62.38,61.23
62.08,62.53,62.94,61.62
63.00,62.78,63.51,62.32
62.81,62.07,63.39,61.98
60.74,60.37,61.10,60.18
58.53,59.99,60.04,58.51
60.92,61.78,61.79,60.72
61.35,61.04,62.10,60.93
60.35,59.45,60.63,59.12
58.67,59.87,59.87,58.51
60.07,60.47,60.69,59.64
60.82,61.33,62.07,59.87
61.95,62.40,62.41,61.43
62.63,62.70,62.96,62.10
61.64,62.04,62.36,61.20
62.26,61.82,62.86,61.78
61.80,59.81,62.00,59.31
58.14,57.97,58.73,57.15
57.29,58.00,58.34,57.13
58.63,59.37,59.45,57.66
60.54,60.12,61.18,59.76
60.27,58.75,60.57,58.66
59.81,59.18,60.02,58.08
58.36,57.72,58.89,57.65
57.38,55.81,58.07,55.77
55.08,57.21,57.35,54.58
57.40,58.38,58.53,56.87
58.30,59.51,59.56,57.90
59.85,58.97,59.87,58.66
60.00,61.00,61.00,59.99
60.60,61.05,61.27,60.54
61.57,61.63,62.36,61.46
61.29,61.55,61.75,60.79
62.32,62.67,62.67,61.55
62.38,61.40,62.40,61.25
61.33,62.64,63.08,60.80
62.56,61.81,62.90,61.67
62.03,62.09,62.30,61.08
62.83,63.26,63.38,62.67
63.44,64.32,64.44,63.39
63.96,63.01,64.00,62.87
63.73,63.69,63.89,62.50
65.43,65.89,66.35,64.88
65.65,65.95,66.06,65.55
65.15,64.28,65.25,64.28
62.40,62.57,63.28,62.16
63.50,63.60,63.78,62.91
64.28,64.84,64.93,63.35
64.30,64.49,64.61,63.67
64.44,64.82,64.84,63.75
65.17,65.60,65.66,64.43
64.04,63.10,64.34,63.00
63.95,63.66,63.99,63.00
64.45,64.92,65.05,64.39
64.69,64.28,64.75,64.00
64.08,64.67,64.97,63.86
63.99,63.59,64.78,63.48
63.48,62.55,63.65,62.16
62.80,62.46,62.86,62.21
61.53,61.30,61.59,60.75
61.12,61.01,61.49,60.68
60.43,59.65,60.51,59.62
59.49,59.46,60.18,59.45
61.09,61.25,61.46,60.77
61.46,61.44,61.83,61.20
63.21,64.04,64.15,63.11
63.95,64.04,64.41,63.76
64.65,64.01,64.87,63.96
64.94,64.71,65.25,64.35
64.77,64.74,65.14,64.46
64.52,64.91,65.16,63.98
64.50,63.44,64.62,63.28
63.70,64.57,64.71,63.63
63.95,63.58,64.00,63.07
63.97,62.90,64.30,62.61
62.60,62.18,62.85,62.05
62.91,62.41,62.92,62.27
62.85,62.62,63.29,62.44
62.91,61.89,63.01,61.76
62.91,63.83,63.92,62.81
63.46,63.59,63.71,62.82
63.86,64.25,64.26,63.76
64.42,64.74,64.74,64.23
64.64,64.75,64.94,64.52
64.78,63.96,64.82,63.81
64.04,64.59,64.62,64.00
64.47,64.30,64.65,64.29
65.41,65.21,65.72,65.14
65.15,65.24,65.35,64.77
64.94,65.53,65.60,64.58
65.56,65.38,65.60,65.10
65.53,65.53,65.62,65.19
66.20,66.18,66.39,66.06
65.96,66.30,66.34,65.88
66.48,66.46,66.51,65.90
65.98,66.15,66.15,65.50
66.73,66.30,66.82,66.18
66.33,67.10,67.11,66.17
67.37,67.51,67.57,67.16
67.36,67.53,67.53,67.21
67.53,67.55,67.91,67.19
67.16,67.54,67.57,67.01
67.48,68.16,68.29,67.21
68.48,67.81,68.60,67.53
67.48,67.86,68.00,67.44
67.22,67.59,67.68,66.95
68.00,67.56,68.04,67.27
68.13,68.34,68.62,68.03
68.49,68.46,68.63,68.19
69.19,69.48,69.50,69.06
69.24,69.44,69.47,69.10
69.30,69.60,69.71,69.03
69.66,69.75,69.85,69.29
69.88,69.86,69.96,69.42
69.23,69.31,69.38,69.04
69.82,69.84,69.91,69.51
69.70,69.74,69.78,69.29
70.00,69.44,70.10,69.28
69.45,70.27,70.32,69.35
70.48,70.37,70.52,70.18
70.58,70.34,70.68,70.13
70.21,70.12,70.41,69.99
70.08,70.51,70.53,69.82
70.65,70.61,70.78,70.47
70.14,70.67,70.89,69.97
70.74,70.87,70.95,70.57
70.98,70.41,71.19,70.40
70.67,70.95,71.09,70.61
70.90,70.60,70.97,70.44
70.44,70.28,70.50,70.03
69.61,69.15,69.62,68.97
69.40,69.75,69.83,69.30
70.22,70.47,70.60,69.98
70.60,70.82,71.01,70.52
70.86,70.77,70.94,70.55
71.18,72.08,72.08,71.05
72.10,71.93,72.25,71.71
72.04,72.35,72.39,71.83
72.50,72.46,72.54,72.30
72.41,72.73,72.99,72.33
72.34,72.48,72.58,72.08
72.51,72.40,72.61,72.21
71.85,71.82,72.02,71.57
71.84,72.11,72.18,71.45
72.34,72.80,72.80,72.34
72.85,72.56,72.94,72.54
72.50,72.20,72.66,71.73
71.80,72.07,72.17,71.44
72.47,72.26,72.48,71.96
72.26,72.87,73.06,72.09
72.79,72.63,72.94,72.20
72.08,71.82,72.09,71.55
71.62,71.77,71.97,71.50
70.80,70.93,71.21,70.70
70.78,69.60,70.96,69.57
70.37,70.18,70.50,70.10
70.32,71.24,71.28,70.27
71.05,70.37,71.05,70.33
70.75,70.30,70.85,70.04
70.78,71.37,71.56,70.72
71.13,71.12,71.35,70.98
71.08,70.71,71.47,70.37
71.06,70.82,71.29,70.80
70.12,70.21,70.25,69.71
70.32,70.44,70.64,70.18
71.14,71.48,71.50,71.10
71.38,72.00,72.09,71.30
72.15,72.17,72.35,71.77
72.00,71.80,72.10,71.65
71.80,72.26,72.79,71.73
71.87,72.10,72.16,71.59
72.13,71.47,72.15,71.29
71.08,70.28,71.13,70.23
70.09,70.33,70.56,70.00
69.94,70.07,70.17,69.15
69.30,69.65,70.08,68.99
70.19,69.83,70.22,69.67
69.35,69.64,70.24,69.32
69.01,68.85,69.32,68.73
68.80,68.48,69.20,68.34
68.75,68.16,69.07,68.14
68.16,66.98,68.25,66.98
67.22,66.42,67.38,66.30
66.62,67.65,67.65,66.46
67.76,67.67,68.26,67.28
67.23,67.79,67.89,66.56
67.99,67.92,68.07,67.33
67.93,67.76,68.08,67.59
68.26,68.58,68.69,68.06
68.00,67.50,68.03,67.38
67.51,67.33,67.83,66.75
66.24,65.60,66.47,65.57
65.64,65.54,65.88,64.94
65.39,66.04,66.15,65.34
66.56,67.58,67.58,66.51
68.38,67.50,68.40,67.42
67.34,68.09,68.09,67.11
68.65,67.14,68.71,67.04
67.25,67.87,67.92,66.97
67.65,67.37,68.08,67.16
67.50,68.07,68.32,67.32
68.28,68.77,68.85,68.23
68.55,68.97,69.14,68.33
69.36,69.70,69.99,69.25
69.72,69.57,69.93,69.09
69.64,68.00,69.72,67.94
68.35,68.55,68.67,68.10
67.48,67.09,67.50,66.84
67.26,67.41,67.63,66.88
67.60,68.06,68.16,67.58
67.61,67.92,67.98,67.11
69.19,69.70,69.70,68.97
69.87,69.89,69.95,69.38
69.95,70.46,70.49,69.84
70.22,70.17,70.49,69.88
69.54,69.51,69.64,69.14
69.40,69.34,69.49,69.04
69.70,68.72,69.82,68.48
68.76,68.67,68.95,68.30
68.25,68.40,68.66,67.82
68.54,69.47,69.54,68.52
69.33,69.30,69.50,69.01
69.58,69.76,69.88,68.81
69.56,70.26,70.45,69.54
70.41,70.38,70.63,70.14
70.02,69.74,70.08,69.67
68.66,68.97,69.17,68.35
69.04,68.35,69.06,67.90
68.51,68.36,68.68,68.03
69.37,69.40,69.57,68.97
69.82,70.77,70.94,69.67
70.71,70.70,71.05,70.49
70.63,70.31,70.82,70.31
70.67,70.03,70.69,69.98
69.56,69.55,70.03,69.03
70.59,70.96,71.13,70.50
71.13,71.14,71.42,71.08
