COP,ConocoPhillips Common Stock,NASDAQ
51.77,52.58,52.68,51.53
52.65,52.63,52.77,52.21
52.67,53.01,53.07,52.33
52.71,52.80,53.09,52.50
52.61,53.26,53.28,52.43
53.54,53.57,53.74,53.06
53.00,52.43,53.01,52.28
52.21,52.76,52.96,51.98
52.66,52.98,53.15,52.50
52.83,53.02,53.06,52.46
52.45,53.71,53.80,52.45
52.81,53.06,53.16,52.51
53.03,52.24,53.27,52.06
52.00,50.60,52.19,50.51
50.96,50.75,51.58,50.66
50.33,50.43,51.02,49.96
50.43,49.81,51.04,48.99
50.04,48.35,50.24,47.77
48.65,48.00,48.87,47.78
48.45,49.07,49.32,48.26
49.36,50.15,50.24,49.00
49.83,49.99,50.51,49.72
49.59,48.16,49.60,47.91
47.89,47.98,48.10,46.63
47.91,47.37,48.25,47.30
47.95,48.49,50.32,47.40
48.51,48.26,48.65,47.80
48.28,48.90,49.11,47.96
48.36,48.67,48.83,47.94
49.08,49.92,50.13,49.08
49.91,49.30,50.25,48.99
48.62,48.87,49.16,48.53
48.70,48.90,49.22,48.46
49.29,48.70,49.29,48.53
48.43,47.85,48.66,47.56
47.86,48.35,48.52,47.63
47.60,48.30,48.36,47.15
48.38,48.00,48.53,47.95
48.37,48.91,48.99,48.27
49.33,49.71,49.92,49.20
49.88,49.38,49.98,49.34
49.37,49.34,49.54,49.09
49.85,50.41,50.51,49.73
50.56,50.73,50.87,50.41
50.46,50.85,51.09,50.36
50.87,51.47,51.62,50.85
51.47,51.30,51.51,50.95
51.54,51.68,51.77,51.17
51.43,51.65,52.08,51.16
51.93,52.17,52.30,51.76
52.38,52.98,53.18,52.31
52.90,52.71,52.91,52.17
52.94,52.37,52.98,51.70
51.44,52.10,52.26,51.34
52.07,52.51,52.60,51.72
52.91,52.53,52.94,52.21
52.80,51.53,52.84,51.49
51.79,51.02,51.81,50.66
51.41,51.15,51.54,50.86
51.09,51.26,51.39,50.92
51.21,51.17,51.43,50.97
51.60,52.02,52.09,51.50
52.36,53.28,53.31,52.02
53.17,53.30,53.43,52.90
53.18,52.91,53.18,52.42
52.65,53.94,54.16,52.52
54.22,55.32,55.47,54.21
55.41,55.96,56.17,55.26
56.38,55.67,56.78,55.43
55.91,56.89,56.95,55.70
56.89,57.06,57.49,56.66
56.82,56.05,57.07,55.54
55.52,56.64,56.76,55.39
57.07,57.40,57.61,56.94
57.54,57.22,57.64,56.57
56.74,56.98,57.02,55.96
56.90,58.09,58.13,56.58
58.16,58.30,58.47,58.06
57.50,57.54,58.49,54.26
57.59,58.55,58.80,57.42
59.00,59.10,60.15,59.00
59.29,59.19,59.45,57.81
59.52,59.70,60.53,59.42
59.07,58.01,59.11,57.23
56.75,56.76,57.10,55.86
56.27,55.09,56.83,52.00
54.56,54.68,55.72,53.79
56.37,56.67,57.00,55.93
56.07,57.28,58.41,56.00
57.20,57.68,57.96,57.01
57.42,56.94,57.78,56.79
56.45,55.84,56.55,55.24
56.09,55.19,56.19,54.26
55.85,54.67,56.10,54.55
54.29,53.91,54.79,53.35
52.13,50.93,52.41,50.77
49.93,51.47,51.51,49.74
51.36,50.11,51.51,50.04
49.03,49.92,50.00,48.51
50.25,49.57,50.69,49.40
50.90,52.21,52.23,50.31
52.46,51.86,52.58,51.58
51.77,50.33,52.20,50.26
51.24,52.49,52.49,50.77
52.75,51.98,52.80,51.52
50.94,50.06,51.35,49.68
50.32,49.59,50.53,49.55
49.55,50.84,51.00,49.52
51.32,50.72,51.91,50.57
52.07,53.37,53.59,51.76
