INVT,Inventergy Global,NASDAQ
1.83,1.83,1.83,1.83
1.76,1.76,1.88,1.75
1.70,1.78,1.78,1.55
1.78,1.76,1.78,1.73
1.75,1.74,1.75,1.69
1.68,1.70,1.70,1.68
1.70,1.71,1.84,1.70
1.82,1.82,1.84,1.82
1.76,1.76,1.76,1.76
1.89,1.68,1.89,1.68
1.61,1.63,1.68,1.61
1.60,1.67,1.68,1.60
1.65,1.58,1.68,1.55
1.58,1.58,1.58,1.55
1.51,1.57,1.57,1.51
1.53,1.53,1.53,1.53
1.53,1.41,1.53,1.40
1.41,1.48,1.48,1.41
1.52,1.34,1.52,1.31
1.35,1.36,1.42,1.32
1.39,1.36,1.39,1.36
1.37,1.40,1.40,1.37
1.35,1.36,1.40,1.33
1.37,1.40,1.43,1.37
1.39,1.43,1.45,1.39
1.43,1.43,1.43,1.43
1.45,1.46,1.65,1.45
1.50,1.48,1.50,1.45
1.44,1.41,1.53,1.41
1.40,1.38,1.40,1.38
1.54,1.44,1.62,1.44
1.58,1.45,1.58,1.44
1.44,1.50,1.50,1.42
1.50,1.50,1.51,1.50
1.44,1.45,1.45,1.43
1.49,1.50,1.50,1.49
1.51,1.53,1.54,1.50
1.50,1.44,1.50,1.42
1.44,1.44,1.44,1.44
1.23,1.40,1.43,1.23
1.40,1.40,1.40,1.38
1.39,1.41,1.41,1.39
1.53,2.60,2.64,1.45
2.60,1.88,2.60,1.85
1.90,1.67,1.90,1.62
1.70,1.88,2.09,1.69
1.92,2.25,2.55,1.91
2.37,2.58,2.98,2.11
2.96,2.82,3.44,2.56
2.81,2.52,2.81,2.38
2.49,2.35,2.49,2.35
2.35,2.14,2.65,2.08
2.25,2.38,2.40,2.18
2.40,2.27,2.44,2.25
2.24,2.18,2.24,2.09
2.14,2.10,2.15,2.09
2.10,2.09,2.14,2.00
2.14,2.22,2.22,2.05
2.24,2.32,2.33,2.24
2.29,2.23,2.31,2.21
2.32,2.27,2.32,2.17
2.31,2.25,2.31,2.19
2.31,2.16,2.31,2.09
2.20,2.30,2.38,2.12
2.28,2.25,2.31,2.22
2.30,2.65,2.82,2.25
2.77,3.18,3.19,2.68
3.27,3.05,3.32,2.86
3.09,3.26,3.47,3.08
3.30,3.02,3.42,3.00
3.02,2.78,3.02,2.75
2.74,3.20,3.24,2.74
3.20,3.18,3.35,3.11
3.19,3.15,3.31,3.14
3.11,3.11,3.25,3.10
3.23,3.03,3.23,3.00
2.99,2.93,3.09,2.90
3.08,2.97,3.08,2.90
3.01,2.29,3.01,2.09
2.26,2.22,2.30,2.22
2.25,2.31,2.42,2.20
2.31,2.23,2.31,2.21
2.22,1.97,2.22,1.97
1.95,1.89,2.00,1.85
1.80,1.82,1.97,1.80
1.97,2.00,2.10,1.82
2.10,1.97,2.10,1.90
1.93,1.91,1.95,1.90
1.87,1.93,1.95,1.87
1.94,1.95,2.00,1.90
1.92,2.00,2.02,1.90
2.00,1.93,2.00,1.90
1.95,1.96,1.99,1.91
1.90,1.85,1.94,1.84
1.85,1.93,2.00,1.85
1.97,1.93,1.97,1.88
1.92,1.96,1.98,1.91
1.95,1.95,1.95,1.93
1.97,1.89,1.98,1.89
1.88,1.96,1.98,1.88
1.95,1.91,1.98,1.91
1.87,2.10,2.22,1.87
2.07,1.90,2.07,1.90
1.90,1.86,1.91,1.86
1.90,1.84,1.90,1.81
1.84,1.90,1.90,1.80
1.85,1.80,1.86,1.80
1.86,1.84,1.86,1.81
1.80,1.77,1.88,1.77
1.77,1.90,1.92,1.77
1.94,1.89,1.94,1.81
1.83,1.90,1.98,1.83
1.86,1.88,1.88,1.83
1.84,2.00,2.00,1.83
1.98,1.88,1.98,1.86
1.88,1.92,1.92,1.84
1.99,1.91,1.99,1.91
1.91,1.91,1.91,1.91
1.91,1.94,1.95,1.91
1.92,1.92,1.93,1.92
1.91,1.91,2.00,1.84
1.97,1.97,1.97,1.97
1.90,1.88,1.90,1.88
1.88,1.93,1.93,1.86
1.87,1.86,1.89,1.86
1.93,1.82,1.93,1.82
1.81,1.88,1.88,1.81
1.86,1.81,1.88,1.81
1.86,1.83,1.88,1.83
1.81,1.88,1.88,1.81
1.88,1.86,1.90,1.86
1.85,1.85,1.85,1.85
1.90,1.95,1.99,1.90
1.96,1.96,1.96,1.96
1.87,1.85,1.97,1.85
1.87,1.82,1.87,1.82
1.84,1.84,1.84,1.84
