ASR,Grupo Aeroportuario del Sureste,NASDAQ
52.83,55.26,55.47,52.72
55.18,55.70,56.73,55.18
55.61,57.33,57.48,55.61
57.30,57.13,57.60,57.12
57.27,56.78,57.40,56.52
56.90,55.59,57.54,54.86
54.60,54.02,55.35,53.89
53.74,53.95,54.36,53.74
53.74,54.62,54.75,53.74
54.73,54.30,54.91,53.26
54.18,54.39,54.80,54.03
53.87,53.58,54.31,52.89
53.73,52.47,53.73,51.81
52.60,51.32,52.70,50.88
51.67,51.36,52.29,51.11
51.18,50.64,51.77,50.49
50.02,49.33,50.76,49.20
49.39,49.45,49.76,48.17
49.55,48.32,50.46,48.06
48.30,49.39,49.50,47.70
49.61,50.97,51.16,49.38
50.61,49.87,51.05,49.63
49.38,47.74,49.48,47.70
47.70,47.37,47.87,45.94
47.63,47.16,47.63,46.74
47.42,49.46,49.54,47.42
49.72,49.83,50.11,49.54
49.83,50.65,0.00,49.23
50.56,50.80,50.80,49.80
50.87,51.00,51.16,50.37
51.50,51.09,51.87,50.83
50.69,51.24,52.14,50.69
51.72,51.18,51.72,50.20
51.35,51.37,51.88,51.13
51.28,51.00,51.59,50.74
51.40,51.86,51.98,50.86
51.00,51.96,52.10,51.00
51.96,53.37,53.65,51.52
53.37,53.31,53.46,52.18
53.48,53.52,54.12,53.32
53.35,52.30,53.50,51.86
52.09,53.13,53.38,52.09
53.61,53.77,54.55,53.43
53.54,54.47,54.54,53.45
54.60,54.55,54.75,53.91
54.51,55.22,55.75,54.51
54.76,54.54,54.96,54.28
54.79,55.77,56.02,54.79
55.87,55.60,56.74,55.08
56.20,53.94,56.20,53.58
53.97,52.97,54.30,52.53
53.00,51.94,53.05,51.41
51.68,51.22,52.11,50.86
50.89,50.98,51.40,50.82
50.98,49.85,51.10,49.75
49.74,49.59,49.92,49.06
49.79,52.08,53.50,49.79
51.61,52.57,53.20,51.61
53.05,54.31,54.80,52.83
54.04,53.10,54.83,53.00
52.71,51.85,54.14,51.85
51.99,51.55,52.50,50.44
52.21,52.86,53.12,51.55
52.80,52.86,53.20,52.69
52.50,52.51,53.46,52.01
52.43,53.15,53.43,52.24
52.99,53.48,53.56,52.83
53.24,54.10,54.22,53.16
53.89,53.98,54.28,53.45
53.87,54.42,54.50,53.87
54.00,55.90,55.90,54.00
55.90,54.55,56.34,54.55
54.06,53.89,54.51,53.34
54.33,55.00,55.51,53.54
54.73,55.10,55.39,54.73
54.03,55.39,55.70,53.99
55.84,58.07,58.12,55.76
58.28,57.71,58.28,57.34
57.05,55.01,57.33,54.87
55.50,56.01,56.41,54.61
56.81,57.03,57.15,56.16
56.87,55.34,57.39,54.98
55.54,54.88,56.23,54.76
54.04,53.48,54.11,53.00
52.69,52.05,52.79,51.23
52.02,50.06,52.02,48.64
49.95,49.08,50.41,48.26
52.76,52.76,53.64,51.44
51.98,52.79,52.84,51.83
53.66,52.51,53.79,52.50
52.82,53.56,53.80,52.75
50.61,51.37,52.33,50.10
51.17,51.20,51.34,50.01
51.48,51.10,52.22,50.39
51.10,50.42,51.12,49.36
48.64,46.16,48.64,46.06
45.77,48.40,48.60,45.56
48.01,48.45,49.52,48.01
47.10,48.68,49.41,46.28
48.92,49.33,50.79,48.92
50.19,52.59,52.59,50.16
52.26,51.17,52.80,50.92
50.68,50.29,52.43,50.03
50.58,50.01,51.13,49.15
50.82,49.39,50.82,48.96
48.69,46.38,48.69,46.35
47.33,46.36,47.36,46.16
46.36,46.02,46.95,45.59
46.79,47.04,48.35,46.57
47.67,50.10,50.15,47.67
49.04,50.89,51.00,49.01
51.62,51.09,51.90,50.50
51.58,51.03,51.62,50.67
50.27,50.40,50.99,50.10
50.91,50.60,50.91,49.91
50.30,50.90,51.24,50.30
51.39,51.43,52.57,51.18
51.39,50.61,52.12,50.31
50.29,50.30,50.82,49.90
49.72,48.59,49.83,48.44
48.43,49.41,49.41,48.43
49.25,49.04,50.33,48.84
48.05,45.67,48.25,45.38
45.48,45.54,46.86,45.19
45.54,44.80,45.75,43.59
44.69,44.66,45.11,44.40
45.76,46.00,46.69,45.49
45.63,47.43,47.48,45.63
48.76,48.40,48.76,47.61
48.33,48.77,49.04,48.12
48.92,48.69,49.32,48.56
49.05,49.68,50.18,49.05
49.70,50.87,50.87,49.18
50.62,50.49,50.73,50.08
50.23,49.62,50.36,49.26
49.50,50.21,50.57,49.48
50.00,50.32,50.71,49.57
50.87,50.04,50.95,49.49
50.90,50.30,50.90,50.29
50.79,52.05,52.23,50.50
52.41,54.36,54.49,52.24
54.69,53.87,54.92,53.84
54.17,52.76,54.17,52.27
52.73,51.03,52.88,50.94
50.75,53.16,53.62,50.75
54.06,53.13,54.06,53.11
53.25,52.32,53.25,52.31
52.50,51.90,52.50,51.74
51.83,51.50,51.83,51.31
51.25,51.45,52.13,51.11
51.42,50.76,52.19,50.75
50.48,48.00,50.48,47.94
46.42,45.73,47.17,45.50
44.59,44.90,45.23,44.25
44.51,44.89,45.03,44.51
44.80,46.48,46.60,44.74
47.00,47.45,47.67,46.86
47.45,47.54,47.90,47.41
47.43,46.47,47.67,46.08
46.05,46.31,46.50,45.91
46.87,44.80,46.87,44.73
44.49,44.27,44.61,43.92
44.25,43.95,44.29,43.23
44.23,42.80,44.23,42.76
42.87,43.56,43.91,42.75
43.38,41.95,44.20,41.78
41.61,41.53,41.68,40.56
42.35,41.99,42.58,41.39
41.96,42.82,42.98,41.76
43.23,43.07,43.81,43.02
42.96,43.17,43.51,42.88
43.57,43.59,43.95,43.44
43.64,43.43,43.82,43.00
43.34,43.59,43.85,43.05
43.90,44.37,44.45,43.65
44.37,44.85,45.43,44.25
44.70,45.77,45.80,44.61
45.39,45.70,45.75,45.23
46.04,47.00,47.59,46.04
46.58,46.57,46.90,46.28
46.38,47.08,47.11,46.31
46.84,47.72,47.77,46.84
47.13,46.43,47.45,46.37
47.34,47.32,47.39,46.87
47.17,46.86,47.45,46.85
46.92,48.09,48.32,46.14
47.92,48.56,48.72,47.92
48.72,47.48,48.72,47.30
47.47,47.88,48.39,47.47
47.55,48.00,48.61,47.45
48.49,48.57,48.91,48.17
48.35,48.73,49.56,48.35
49.19,48.29,49.19,48.29
48.42,48.74,48.98,48.25
48.87,49.12,49.18,48.65
48.78,48.36,48.89,48.13
48.62,49.08,49.95,48.62
49.23,49.37,49.45,48.81
49.91,49.63,49.94,49.39
49.83,50.27,50.30,49.40
49.79,48.96,49.81,48.55
48.72,49.34,49.66,48.72
49.46,49.26,50.22,48.89
49.27,49.27,49.64,49.14
49.80,49.95,50.15,49.38
49.50,50.10,50.29,49.29
50.00,49.59,50.28,49.06
49.63,49.44,49.76,49.03
49.10,50.40,50.40,49.00
50.50,50.13,50.74,49.80
50.59,51.39,51.66,50.55
51.02,50.27,51.34,49.80
50.85,50.52,51.17,50.25
50.75,50.68,51.54,50.53
50.58,50.88,50.99,50.38
50.28,50.60,51.42,50.25
50.88,50.60,51.27,50.17
50.31,49.99,50.33,49.73
49.50,48.71,50.14,48.69
49.13,48.23,49.13,47.81
48.15,46.85,48.29,46.76
46.73,47.35,47.78,46.73
48.14,48.60,49.24,48.01
48.49,49.16,49.34,48.49
49.11,50.03,50.15,48.95
49.40,48.81,49.70,48.62
49.13,49.61,50.78,49.13
49.23,49.29,49.72,49.09
48.85,51.60,51.64,48.84
51.31,51.71,51.76,50.81
52.44,52.71,52.97,52.07
52.58,53.21,53.40,52.43
52.59,53.30,53.36,52.21
52.96,54.53,54.93,52.96
55.00,54.12,55.48,53.88
54.00,54.88,54.88,53.80
54.98,54.84,55.10,54.15
55.30,56.10,56.20,55.10
56.55,55.33,56.55,53.99
55.79,55.47,56.57,55.39
55.12,54.12,55.44,53.97
53.98,55.03,55.03,53.88
55.00,54.91,55.27,54.66
55.27,54.85,55.30,54.74
55.17,55.40,55.62,55.13
55.67,55.65,55.71,55.41
55.85,56.27,56.38,55.26
55.87,55.52,55.96,55.17
55.62,54.61,55.66,54.50
54.94,55.93,55.94,54.68
56.10,56.18,56.53,55.86
56.25,56.45,56.63,55.88
56.69,57.13,57.25,56.38
57.57,58.06,58.08,57.26
58.10,59.12,60.02,57.94
59.37,58.09,59.37,57.76
58.34,57.68,59.02,57.53
57.63,56.84,57.73,56.84
56.91,56.91,57.52,56.46
57.52,57.00,58.05,56.69
57.23,56.35,57.32,55.81
56.46,56.46,57.52,56.41
56.66,56.28,57.08,55.56
56.54,56.20,56.90,55.70
56.02,57.38,57.52,55.48
57.80,56.21,58.52,56.16
56.56,56.89,57.04,55.19
56.44,55.18,56.59,55.11
55.53,56.19,56.62,54.87
56.54,54.41,56.69,54.23
54.22,51.87,54.85,51.50
51.89,52.28,52.28,51.17
52.88,54.00,54.26,52.34
53.97,54.24,54.50,53.63
54.37,54.22,54.81,53.93
54.38,53.77,54.38,53.43
53.86,53.97,54.12,53.57
53.65,53.22,53.93,52.45
52.88,54.20,54.28,52.88
54.20,54.07,54.54,53.42
53.96,55.25,56.13,53.60
55.06,54.88,55.44,54.61
54.87,54.78,55.13,54.00
55.22,54.62,55.90,54.42
54.65,54.42,55.29,53.04
54.26,54.33,54.93,53.37
52.93,52.03,53.71,51.45
51.87,53.11,53.53,51.71
52.83,53.21,54.30,52.70
53.77,53.95,55.11,53.62
54.40,54.68,55.81,53.74
54.92,54.82,55.75,54.06
54.52,53.29,54.99,52.94
53.80,55.52,55.56,53.45
55.83,55.20,56.02,54.32
55.53,54.97,55.67,54.53
54.75,55.83,55.90,54.07
55.48,56.60,56.86,55.28
55.79,56.00,56.37,55.16
55.65,56.64,56.69,54.72
56.34,56.29,56.51,55.24
54.68,56.21,56.51,54.68
56.23,55.10,56.38,54.50
56.44,55.17,56.44,55.13
56.30,55.73,56.30,55.21
56.82,57.45,57.74,56.63
57.72,56.30,57.88,56.11
56.27,55.81,56.75,55.77
56.45,56.34,56.53,56.08
56.68,56.30,57.06,56.22
56.55,56.51,56.55,55.87
56.79,56.72,57.30,56.19
57.33,58.37,58.44,57.33
58.55,58.77,59.03,58.45
59.58,59.20,59.60,58.62
59.53,58.86,59.53,58.72
58.91,58.52,58.91,57.67
59.22,57.91,59.22,57.86
58.00,57.19,58.34,57.10
57.25,57.04,57.26,56.87
56.88,58.04,58.11,55.55
57.65,57.34,58.31,56.97
57.98,56.71,57.99,56.25
56.58,56.85,57.21,56.32
56.74,57.12,57.23,56.10
56.34,56.41,56.83,55.58
56.74,57.08,57.20,56.30
58.00,58.28,59.00,57.78
58.85,58.26,59.01,58.18
58.65,58.38,58.82,58.28
58.92,58.19,58.92,57.51
58.15,58.13,58.42,56.86
58.36,58.91,59.00,57.69
59.26,59.16,59.58,58.35
59.22,59.12,60.28,59.02
59.00,59.20,59.40,57.92
59.40,58.88,59.57,58.54
58.57,58.53,59.19,58.43
59.31,59.36,59.78,59.20
59.59,60.61,61.11,59.59
60.99,62.21,62.68,60.99
62.21,61.97,63.43,61.75
59.69,59.72,60.63,58.86
59.89,57.98,60.14,57.62
57.47,57.45,58.30,57.09
56.51,58.03,58.17,56.34
58.21,57.67,58.49,57.60
58.08,57.60,58.08,57.33
57.62,57.05,57.62,56.90
56.36,59.00,60.00,56.36
