ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ
3.15,3.20,3.29,3.10
3.20,3.25,3.25,3.10
3.15,3.18,3.18,3.10
3.12,3.25,3.25,3.05
3.28,3.29,3.29,3.22
3.29,3.11,3.29,3.00
3.15,3.29,3.29,3.10
3.26,3.25,3.30,3.15
3.01,3.25,3.27,3.01
3.25,3.27,3.27,3.15
3.27,3.10,3.27,3.05
3.05,3.00,3.10,2.96
3.05,2.95,3.05,2.90
2.99,2.84,3.00,2.80
2.89,2.80,2.89,2.70
2.70,2.75,2.75,2.66
2.70,2.75,2.78,2.70
2.78,2.85,2.85,2.60
2.80,2.79,2.80,2.70
2.80,2.79,2.80,2.75
2.75,2.75,2.81,2.60
2.70,2.79,2.79,2.65
2.80,2.78,2.80,2.65
2.70,2.75,2.75,2.65
2.77,2.75,2.85,2.75
2.75,2.75,2.75,2.70
2.70,2.70,2.71,2.66
2.70,2.75,2.75,2.66
2.70,2.75,2.75,2.70
2.70,2.75,2.75,2.50
2.67,2.75,2.75,2.65
2.75,2.75,2.75,2.65
2.65,2.69,2.70,2.60
2.62,2.70,2.70,2.60
2.60,2.70,2.70,2.58
2.69,2.60,2.69,2.40
2.50,2.59,2.59,2.50
2.51,2.68,2.70,2.50
2.88,2.70,2.88,2.51
2.70,2.70,2.70,2.60
2.61,2.61,2.70,2.61
2.58,2.65,2.65,2.55
2.57,2.65,2.65,2.55
2.69,2.59,2.69,2.50
2.60,2.55,2.65,2.52
2.50,2.50,2.54,2.45
2.51,2.50,2.55,2.45
2.55,2.55,2.60,2.50
2.47,2.55,2.55,2.46
2.46,2.55,2.55,2.46
2.39,2.55,2.60,2.39
2.50,2.55,2.55,2.50
2.39,2.59,2.60,2.39
2.46,2.55,2.59,2.46
2.55,2.55,2.55,2.46
2.47,2.44,2.48,2.40
2.40,2.55,2.55,2.40
2.47,2.51,2.55,2.45
2.51,2.50,2.55,2.40
2.50,2.48,2.50,2.45
2.48,2.51,2.55,2.45
N/A,N/A,N/A,N/A
2.28,2.43,2.50,2.26
2.43,2.38,2.43,2.32
2.30,2.31,2.39,2.28
2.29,2.48,2.50,2.28
2.45,2.50,2.50,2.40
2.44,2.60,2.65,2.40
2.60,2.58,2.60,2.31
2.51,2.55,2.55,2.51
2.51,2.75,2.80,2.50
2.75,2.80,2.80,2.70
2.70,2.80,2.80,2.57
2.85,2.69,2.85,2.60
2.65,2.61,2.70,2.61
2.70,2.65,2.70,2.63
2.61,2.76,2.80,2.58
2.66,2.71,2.78,2.66
2.75,2.66,2.76,2.66
2.65,2.65,2.70,2.58
2.70,2.66,2.70,2.60
2.70,2.64,2.70,2.60
2.60,2.65,2.65,2.51
2.60,2.52,2.64,2.51
2.52,2.60,2.60,2.50
2.46,2.39,2.50,2.28
2.40,2.25,2.40,2.25
2.30,2.51,2.51,2.26
2.50,2.48,2.50,2.30
2.69,2.40,2.69,2.30
2.40,2.45,2.50,2.39
2.39,2.30,2.40,2.30
2.30,2.45,2.45,2.30
2.44,2.40,2.44,2.25
2.21,2.45,2.50,2.21
2.48,2.25,2.48,2.25
2.20,2.19,2.35,2.19
2.06,2.40,2.40,2.00
2.35,2.30,2.35,2.25
2.40,2.45,2.50,2.35
2.49,2.30,2.49,2.25
2.50,2.35,2.50,2.25
2.40,2.30,2.45,2.30
2.30,2.30,2.36,2.25
2.30,2.35,2.35,2.23
2.25,2.29,2.30,2.25
2.32,2.39,2.39,2.29
2.39,2.39,2.39,2.25
2.39,2.30,2.39,2.23
2.35,2.45,2.64,2.25
2.26,2.45,2.45,2.26
2.45,2.46,2.46,2.35
2.35,2.45,2.50,2.35
2.36,2.45,2.45,2.30
2.45,2.35,2.45,2.35
2.35,2.35,2.35,2.30
2.40,2.43,2.45,2.30
2.40,2.24,2.40,2.14
2.23,2.35,2.40,2.16
2.35,2.16,2.40,2.16
2.16,2.13,2.35,2.11
2.10,2.20,2.20,2.05
2.10,2.05,2.10,2.05
2.00,1.96,2.03,1.90
1.95,2.05,2.19,1.90
2.00,2.00,2.00,1.85
1.88,2.00,2.00,1.80
1.90,1.90,1.90,1.82
1.88,1.88,1.88,1.80
1.89,1.90,1.95,1.80
1.80,1.90,1.90,1.80
1.90,1.90,1.95,1.75
1.90,1.90,1.90,1.82
1.90,2.10,2.25,1.90
2.05,2.15,2.15,2.00
2.10,2.09,2.20,1.90
2.30,2.00,2.30,1.85
2.00,2.00,2.00,1.85
1.95,1.90,1.96,1.85
1.90,1.85,1.90,1.80
2.00,1.85,2.00,1.75
2.00,1.80,2.00,1.80
1.80,1.85,1.90,1.79
1.90,1.95,1.95,1.85
1.90,1.95,1.95,1.90
1.97,1.98,2.00,1.90
1.98,2.00,2.00,1.95
2.10,2.10,2.10,2.00
2.05,2.09,2.09,2.05
2.00,2.10,2.10,2.00
2.10,2.10,2.25,2.00
2.10,2.05,2.10,1.95
1.95,2.00,2.00,1.90
1.90,1.98,2.00,1.90
2.00,1.99,2.02,1.85
1.95,1.85,1.95,1.80
1.90,1.85,1.90,1.78
1.85,1.84,1.85,1.75
1.84,2.00,2.00,1.84
2.00,2.10,2.10,1.96
2.10,2.15,2.20,2.10
2.10,2.08,2.15,2.00
2.08,2.10,2.10,1.80
1.98,2.05,2.05,1.98
1.95,2.10,2.10,1.95
2.05,2.10,2.10,1.95
2.00,2.04,2.04,1.96
2.00,1.98,2.00,1.95
2.05,1.95,2.05,1.93
2.00,1.95,2.10,1.92
2.00,2.00,2.00,1.95
1.94,1.98,2.00,1.94
1.92,1.92,2.00,1.92
1.95,1.93,2.00,1.91
1.95,1.95,1.95,1.91
2.00,2.00,2.10,1.97
2.05,1.95,2.10,1.92
1.93,2.00,2.00,1.93
2.00,2.20,2.20,1.95
2.19,2.16,2.24,2.05
2.19,2.10,2.25,2.10
2.15,2.12,2.25,2.11
2.12,2.20,2.22,2.10
2.18,2.19,2.20,2.10
2.15,2.10,2.15,2.10
2.15,1.98,2.15,1.95
1.90,2.00,2.00,1.90
2.00,1.95,2.10,1.95
2.04,2.16,2.18,1.95
2.16,2.15,2.16,2.10
2.16,2.37,2.40,2.16
2.40,2.60,2.65,2.37
2.55,2.50,2.63,2.45
2.50,2.63,2.65,2.50
2.63,2.63,2.68,2.55
2.63,2.68,2.75,2.61
2.68,2.72,2.75,2.68
2.72,2.70,2.80,2.65
2.79,2.80,2.80,2.71
2.86,2.95,2.95,2.82
2.95,2.85,3.00,2.80
2.88,2.95,2.95,2.87
3.00,2.95,3.10,2.93
3.02,3.04,3.04,2.95
3.04,3.03,3.04,2.95
2.96,3.03,3.03,2.96
3.03,3.00,3.03,2.96
3.03,3.00,3.03,2.96
2.96,3.00,3.03,2.96
2.95,2.95,3.00,2.90
2.93,3.02,3.02,2.93
3.02,2.94,3.02,2.90
2.90,2.92,2.94,2.90
2.97,3.01,3.10,2.93
3.01,3.17,3.18,3.01
3.03,3.10,3.10,3.02
3.02,3.08,3.14,3.00
3.12,3.10,3.19,3.00
3.10,3.05,3.10,2.99
3.05,3.09,3.10,2.99
2.99,2.90,2.99,2.80
3.00,2.95,3.00,2.80
2.95,3.00,3.00,2.95
2.95,3.00,3.00,2.95
2.95,2.95,3.04,2.90
2.90,3.00,3.00,2.73
2.75,2.95,2.95,2.75
N/A,N/A,N/A,N/A
2.93,2.85,2.93,2.79
2.85,2.90,2.90,2.77
2.80,2.85,2.90,2.80
2.89,2.90,2.90,2.80
2.80,2.90,2.90,2.80
2.90,2.85,2.90,2.25
2.75,2.80,2.80,2.75
2.75,2.85,2.91,2.75
2.55,3.29,3.38,2.55
2.51,2.52,2.80,2.50
2.60,2.52,2.60,2.50
2.50,2.49,2.50,2.45
2.48,2.49,2.52,2.48
2.49,2.53,2.55,2.40
2.50,2.45,2.53,2.40
2.49,2.48,2.49,2.40
2.40,2.44,2.44,2.40
2.40,2.43,2.43,2.35
2.40,2.51,2.60,2.40
2.75,2.58,2.75,2.50
2.54,2.49,2.54,2.41
2.40,2.47,2.49,2.40
2.40,2.45,2.47,2.40
2.40,2.48,2.48,2.40
2.48,2.47,2.55,2.41
2.41,2.45,2.45,2.40
2.45,2.45,2.45,2.40
2.45,2.45,2.45,2.40
2.45,2.45,2.45,2.40
2.45,2.44,2.45,2.40
2.40,2.42,2.44,2.40
2.41,2.42,2.42,2.40
2.42,2.44,2.44,2.40
2.40,2.45,2.47,2.40
2.41,2.45,2.47,2.40
2.40,2.45,2.45,2.40
2.40,2.45,2.45,2.40
2.48,2.50,2.55,2.42
2.43,2.54,2.54,2.40
2.40,2.56,2.56,2.40
2.43,2.59,2.60,2.41
2.57,2.51,2.57,2.45
2.45,2.49,2.51,2.44
2.49,2.49,2.50,2.45
2.54,2.47,2.56,2.46
2.45,2.50,2.50,2.45
2.45,2.42,2.45,2.40
2.40,2.47,2.53,2.35
N/A,N/A,N/A,N/A
2.40,2.48,2.48,2.40
2.40,2.41,2.45,2.40
2.41,2.45,2.45,2.32
2.40,2.40,2.45,2.30
2.40,2.40,2.41,2.29
2.35,2.45,2.45,2.35
2.40,2.47,2.47,2.40
2.47,2.40,2.47,2.35
2.30,2.35,2.35,2.22
2.20,2.34,2.35,2.20
2.34,2.39,2.40,2.30
2.35,2.31,2.35,2.10
2.25,2.25,2.25,2.16
2.20,2.20,2.20,1.70
2.20,2.15,2.20,2.00
2.05,2.18,2.18,2.05
2.15,2.15,2.15,2.11
2.10,2.10,2.14,2.05
2.06,2.03,2.10,1.96
2.05,2.04,2.09,2.00
1.92,2.01,2.03,1.91
1.92,2.10,2.10,1.91
1.95,2.00,2.04,1.94
1.94,1.99,1.99,1.94
1.95,1.99,1.99,1.91
1.99,1.99,1.99,1.87
1.99,2.00,2.00,1.91
2.00,2.00,2.00,1.87
2.00,2.00,2.12,1.86
1.87,1.95,1.95,1.81
1.90,2.09,2.09,1.90
2.00,2.09,2.09,1.95
2.00,2.01,2.08,1.95
2.05,2.15,2.18,2.01
2.15,2.24,2.24,2.10
2.24,2.24,2.24,2.15
2.22,2.21,2.22,2.16
2.22,2.22,2.22,2.20
2.23,2.20,2.23,2.15
2.15,2.09,2.20,1.90
2.00,2.19,2.19,2.00
2.05,2.18,2.18,2.05
2.18,2.15,2.19,1.95
1.95,2.19,2.19,1.95
2.05,2.15,2.20,2.05
2.18,2.15,2.18,2.06
2.10,2.15,2.15,2.05
2.15,2.25,2.25,2.15
2.26,2.30,2.35,2.15
2.05,2.30,2.30,2.05
2.29,2.30,2.30,2.20
2.15,2.30,2.30,2.15
2.00,2.25,2.30,1.99
2.30,2.20,2.30,2.20
2.19,2.18,2.20,2.03
2.10,2.30,2.33,2.10
2.20,2.30,2.30,2.10
2.20,2.30,2.30,2.13
2.10,2.30,2.30,2.10
2.30,2.30,2.30,2.15
2.13,2.30,2.30,2.13
2.10,2.30,2.30,2.10
2.12,2.15,2.25,2.01
2.14,2.14,2.15,2.08
2.05,2.12,2.14,2.04
2.04,2.05,2.05,2.02
2.04,2.25,2.25,2.04
2.10,2.25,2.25,2.10
2.20,2.25,2.25,2.05
2.15,2.25,2.25,2.15
2.15,2.25,2.25,2.06
2.20,2.20,2.20,2.08
2.20,2.14,2.20,2.05
2.05,2.25,2.29,2.00
2.23,2.29,2.29,2.06
2.25,2.27,2.27,2.23
2.27,2.27,2.27,2.07
2.20,2.25,2.25,2.07
2.11,2.24,2.25,2.11
2.12,2.27,2.27,2.07
2.10,2.24,2.25,2.10
2.12,2.20,2.20,2.11
2.12,2.23,2.24,2.10
2.10,2.20,2.23,2.10
2.10,2.17,2.19,2.07
2.07,2.15,2.17,2.05
2.08,2.10,2.15,2.04
2.04,2.02,2.08,1.93
1.80,1.79,1.97,1.75
1.80,1.87,1.90,1.79
1.88,1.79,1.90,1.72
1.70,1.75,1.95,1.66
1.95,1.93,1.95,1.67
1.90,1.88,1.90,1.65
1.80,1.80,1.80,1.75
1.87,1.75,1.87,1.66
1.70,1.78,1.80,1.66
1.77,1.88,1.90,1.77
1.87,1.87,1.87,1.80
1.87,2.05,2.05,1.80
2.00,2.00,2.00,2.00
1.94,1.90,2.00,1.90
1.88,1.80,1.89,1.67
1.73,1.75,1.78,1.67
1.70,1.74,1.74,1.67
1.74,1.94,1.98,1.74
1.90,1.95,1.95,1.76
1.76,1.98,2.20,1.66
1.98,2.09,2.10,1.90
2.09,2.05,2.10,1.90
1.88,2.05,2.10,1.88
1.95,2.24,2.24,1.95
2.20,2.40,2.45,2.20
2.30,2.45,2.50,2.30
2.45,2.44,2.49,2.35
2.38,2.38,2.38,2.11
2.37,2.25,2.45,2.06
2.40,2.25,2.40,2.07
2.09,2.30,2.32,2.09
