USLM,United States Lime & Minerals,NASDAQ
35.08,33.94,35.32,33.86
33.90,34.88,35.20,33.81
34.69,36.27,36.57,34.69
36.44,37.23,37.72,36.18
36.80,37.21,37.32,36.33
36.78,37.66,37.90,36.51
36.94,37.50,37.70,36.74
37.43,38.21,38.67,36.90
37.80,38.94,39.60,37.50
39.01,38.20,39.35,38.18
38.29,38.05,38.29,37.58
37.55,37.65,38.65,36.92
37.16,36.42,37.17,36.25
36.56,36.92,37.64,36.00
37.51,39.80,39.85,36.94
39.52,40.30,40.51,38.38
40.36,39.99,40.36,39.44
39.84,39.28,39.84,38.16
40.20,39.45,40.23,38.66
39.46,38.10,39.89,37.39
37.95,38.20,38.95,36.54
38.21,38.22,39.99,37.70
38.12,36.10,38.12,35.96
36.48,35.01,37.44,34.42
35.01,34.49,35.02,33.70
34.70,34.51,34.70,34.15
34.26,34.61,34.61,34.05
34.40,35.44,35.53,34.40
34.50,37.09,37.16,34.37
37.05,37.32,37.40,36.61
37.29,37.37,37.64,35.85
37.42,37.95,38.05,37.42
38.06,38.24,38.24,38.06
38.13,38.00,38.24,36.83
38.25,38.71,39.10,37.19
37.97,38.23,38.47,37.77
38.18,39.03,39.06,37.40
39.07,39.48,39.65,38.31
39.50,38.96,39.73,38.39
39.04,39.57,39.90,39.01
39.74,39.40,39.99,38.83
38.08,39.61,39.94,38.08
39.63,41.02,41.02,39.63
40.89,40.47,40.89,39.81
40.13,40.26,40.29,40.01
39.90,39.78,40.20,38.70
39.73,41.18,41.57,38.80
41.40,39.29,42.15,38.30
39.14,38.69,39.14,38.31
38.89,38.92,38.92,38.50
39.00,39.20,39.20,38.87
39.35,39.71,41.50,39.35
39.98,39.00,39.98,37.95
39.82,39.77,40.62,39.43
39.62,39.16,40.01,39.00
38.70,38.34,38.74,37.66
38.40,38.39,38.40,38.39
38.39,38.39,38.39,38.39
38.04,38.07,38.25,37.05
38.11,38.86,39.39,38.11
38.86,38.67,39.31,38.40
38.92,37.96,39.16,37.96
38.88,39.17,39.20,38.44
37.84,38.55,38.75,37.84
37.59,38.05,38.48,37.59
37.79,38.05,38.32,37.79
37.60,37.78,38.13,37.20
37.50,38.49,38.79,37.33
38.50,37.72,38.88,37.50
38.56,38.10,38.56,37.30
38.21,38.04,38.21,38.00
38.05,37.90,38.06,37.62
37.84,38.13,38.83,37.37
37.93,38.85,39.00,37.60
38.73,37.90,38.96,37.83
37.93,38.01,38.40,37.43
37.70,41.33,41.67,37.20
41.42,40.85,41.42,39.94
40.62,39.73,40.62,39.48
40.57,39.25,40.59,37.46
40.49,40.52,40.82,39.92
40.74,40.75,41.48,40.33
40.88,40.69,41.00,39.50
40.39,40.15,40.39,39.76
39.66,39.95,40.14,39.66
39.82,39.75,40.88,39.52
39.00,39.52,40.94,38.17
40.14,41.10,41.80,39.30
41.03,40.91,41.03,40.03
41.18,41.92,41.95,39.71
39.93,41.16,41.30,39.93
41.84,39.35,41.84,38.10
39.43,39.78,40.23,39.31
40.20,39.33,40.25,38.53
39.45,38.50,39.80,38.45
38.08,36.38,38.08,36.38
35.88,35.57,36.88,35.04
35.57,36.03,37.38,35.42
35.74,35.12,35.75,33.71
35.51,36.16,36.77,33.82
36.06,39.07,39.89,36.06
39.06,39.00,40.46,37.58
38.72,37.51,38.72,37.51
38.26,38.27,38.27,37.02
38.40,38.84,39.94,38.40
38.13,36.71,38.13,36.71
36.01,35.78,36.85,35.78
35.84,37.07,37.40,35.14
36.00,35.82,36.37,35.27
36.13,36.27,36.49,35.72
35.72,35.96,35.96,35.32
36.89,37.06,37.35,36.60
