PSMT,PriceSmart,NASDAQ
20.55,20.72,20.78,20.45
20.65,20.31,20.65,20.25
20.35,20.10,20.59,20.00
20.05,20.13,20.32,20.00
20.02,20.10,20.47,20.00
20.10,19.99,20.10,19.66
19.77,20.12,20.26,19.77
20.03,20.45,20.50,20.03
20.33,20.11,20.33,20.06
20.21,20.06,20.21,19.81
19.98,20.22,20.35,19.98
20.10,20.22,20.35,19.96
20.36,20.01,20.36,19.94
20.03,20.01,20.10,19.97
20.03,20.02,20.09,19.97
19.89,20.01,20.23,19.89
20.00,20.24,20.33,20.00
20.33,20.01,20.33,19.97
20.03,20.01,20.29,20.01
20.00,20.25,20.25,19.98
20.20,20.16,20.28,20.08
20.15,20.01,20.21,20.00
19.95,20.02,20.12,19.91
20.02,20.23,20.35,19.91
20.23,20.02,20.24,20.02
20.29,20.29,20.37,20.04
20.00,20.35,20.41,19.99
20.15,20.67,20.69,20.15
20.36,20.72,20.73,20.36
20.68,20.68,20.68,20.49
20.65,20.65,20.75,20.62
20.65,20.71,20.71,20.60
20.65,20.75,20.80,20.40
20.72,20.77,20.80,20.66
20.75,20.95,20.99,20.53
20.90,21.04,21.05,20.68
20.83,21.40,21.40,20.77
21.34,21.26,21.39,21.21
21.25,21.42,21.42,21.21
21.35,21.41,21.41,21.31
21.42,21.35,21.42,21.19
21.33,21.45,21.45,21.25
21.45,21.79,21.80,21.25
22.03,23.43,23.64,22.03
23.44,23.42,23.65,23.35
23.46,23.43,23.65,23.35
23.40,23.33,23.59,23.25
23.41,23.40,23.65,23.26
23.27,22.84,23.27,22.80
22.84,23.11,23.11,22.61
23.08,23.36,23.60,23.08
23.45,23.58,23.62,23.26
23.65,23.12,23.65,22.91
22.98,23.43,23.46,22.74
23.15,23.65,23.70,23.15
23.51,23.54,23.70,23.51
23.57,23.55,23.66,23.27
23.38,23.46,23.69,23.38
23.53,23.58,23.68,23.43
23.68,23.67,23.68,22.79
23.66,23.25,23.75,23.19
22.76,23.47,23.50,22.76
23.46,23.97,23.97,23.46
23.93,23.60,23.94,23.54
23.51,23.95,24.00,23.51
23.84,23.80,24.00,23.62
23.87,23.92,23.96,23.77
23.83,24.09,24.09,23.83
24.10,24.24,24.26,23.96
24.27,24.51,24.51,24.11
24.50,24.50,24.50,24.37
24.80,24.61,24.84,24.01
24.50,24.62,24.65,24.34
24.70,24.92,24.95,24.58
24.87,25.10,25.18,24.87
24.95,25.15,25.15,24.95
25.15,25.14,25.15,24.81
25.03,24.82,25.07,24.74
24.66,24.87,25.11,24.62
25.01,24.92,25.15,24.73
24.99,25.39,25.50,24.99
25.45,24.88,25.50,24.84
24.90,25.16,25.21,24.89
24.88,24.91,25.15,24.85
24.95,25.29,25.44,24.87
25.19,23.20,25.19,15.00
23.23,22.59,23.92,22.52
23.41,24.13,24.27,23.17
23.85,24.52,24.81,23.70
24.86,25.30,25.36,24.67
25.29,25.27,25.44,25.06
25.09,24.97,25.35,24.75
25.16,25.42,25.44,24.78
25.50,25.28,25.50,24.86
25.15,24.62,25.42,24.60
24.04,24.06,24.50,23.80
23.72,24.23,24.30,23.66
24.23,23.86,24.38,23.83
23.46,23.13,23.60,22.63
23.19,23.44,24.15,23.01
23.89,24.00,24.00,23.65
24.00,24.01,24.15,23.76
24.10,24.25,25.05,24.05
24.42,24.91,24.94,24.17
24.87,24.52,24.96,24.25
23.89,23.46,24.27,23.29
23.54,23.02,23.78,23.02
23.17,23.60,23.68,22.62
23.81,24.28,24.44,23.56
24.65,24.59,24.80,24.34
24.30,24.85,24.86,24.30
25.00,24.81,25.00,24.52
25.00,24.91,25.00,24.74
24.75,24.93,25.09,24.61
25.10,25.28,25.31,24.93
25.40,24.67,25.40,24.60
25.00,25.17,25.34,24.90
25.31,25.20,25.39,24.95
25.10,24.98,25.12,24.79
