TRCB,Two River Bancorp - Common Stock,NASDAQ
3.10,3.15,3.15,3.10
3.33,3.34,3.34,3.33
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.48,3.48,3.48,3.48
3.40,3.50,3.51,3.40
3.50,3.50,3.51,3.50
3.38,3.38,3.38,3.38
3.38,3.25,3.38,3.25
3.31,3.25,3.31,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.40,3.40,3.40,3.40
3.34,3.35,3.35,3.34
3.50,3.25,3.50,3.25
3.16,3.16,3.16,3.16
3.16,3.16,3.16,3.16
3.16,3.16,3.16,3.16
3.45,3.29,3.45,3.25
3.44,3.44,3.44,3.44
3.44,3.44,3.44,3.44
3.44,3.44,3.44,3.44
3.44,3.44,3.44,3.44
3.25,3.15,3.25,3.15
3.15,3.15,3.25,3.06
3.15,3.15,3.15,3.15
3.25,3.18,3.25,3.18
3.07,3.06,3.07,3.06
3.24,3.73,3.75,3.24
3.73,3.73,3.73,3.73
3.73,3.73,3.73,3.73
3.73,3.73,3.73,3.73
3.70,3.70,3.70,3.70
3.65,3.70,3.73,3.65
3.70,3.70,3.70,3.70
3.73,3.75,3.75,3.48
3.75,3.75,3.75,3.75
3.50,3.70,3.70,3.50
3.75,3.75,3.75,3.55
3.72,3.55,3.86,3.55
3.64,3.59,3.64,3.57
3.85,3.85,3.85,3.85
3.86,3.81,3.86,3.81
3.85,3.78,3.86,3.78
3.55,3.64,3.77,3.52
3.79,3.69,3.79,3.69
3.69,3.69,3.69,3.69
3.75,3.75,3.75,3.75
3.62,3.80,3.80,3.62
3.69,3.70,3.70,3.69
3.70,3.70,3.70,3.70
3.70,3.70,3.70,3.70
3.61,3.61,3.63,3.61
3.61,3.63,3.63,3.61
3.63,3.63,3.63,3.63
3.61,3.61,3.61,3.61
3.65,3.65,3.65,3.65
3.65,3.71,3.73,3.65
3.70,3.57,3.75,3.57
3.65,3.58,3.65,3.58
3.60,3.72,3.75,3.60
3.73,3.75,3.75,3.73
3.75,3.75,3.75,3.75
3.74,3.90,4.22,3.58
3.90,3.90,3.90,3.90
4.01,4.10,4.17,4.00
4.24,4.19,4.24,4.19
4.24,4.15,4.24,4.05
4.18,4.28,4.28,4.14
4.28,4.28,4.28,4.28
4.19,4.18,4.21,4.18
4.20,4.20,4.21,4.11
4.19,4.15,4.19,4.15
4.19,4.12,4.19,4.07
4.22,4.31,4.31,4.22
4.42,4.60,4.67,4.41
4.44,4.55,4.55,4.43
4.41,4.48,4.84,4.40
4.48,4.48,4.48,4.48
4.48,4.48,4.48,4.48
4.75,4.55,4.75,4.55
