ROM,ProShares Ultra Technology,NASDAQ
53.85,54.62,54.84,53.74
54.63,54.56,54.93,53.86
54.52,53.70,54.74,53.44
53.54,53.24,53.67,52.76
52.92,54.04,54.09,52.71
54.28,53.56,54.54,53.05
52.96,52.30,52.99,51.72
52.51,53.23,53.53,51.69
53.38,54.05,54.33,53.15
54.03,52.63,54.33,52.29
52.49,54.17,54.22,52.47
53.27,52.75,53.34,51.50
52.87,51.57,53.56,51.14
51.19,47.62,51.24,47.33
48.17,48.27,48.90,47.79
48.13,48.23,49.52,47.72
48.05,48.80,49.09,47.30
48.68,45.99,48.72,45.35
46.96,43.90,46.99,43.33
44.20,45.21,45.24,44.16
45.39,46.01,46.16,44.75
45.60,46.35,46.62,45.46
45.80,43.77,45.91,43.66
43.96,44.64,44.83,43.10
44.69,44.20,45.38,44.19
45.39,45.19,46.00,44.56
45.22,44.99,45.59,44.36
45.00,46.11,46.41,44.44
45.24,46.38,46.54,44.90
47.05,47.74,47.86,46.75
48.27,48.16,48.32,47.73
48.09,49.06,49.17,47.88
48.81,48.84,49.23,48.37
49.34,48.60,49.34,48.40
48.46,47.22,48.47,46.79
47.66,48.20,48.58,47.66
47.00,48.00,48.18,46.24
48.11,48.17,48.41,47.49
48.68,49.42,49.56,48.50
49.90,49.35,50.29,49.12
49.73,49.37,49.96,49.17
49.65,49.89,49.93,48.81
50.44,51.07,51.32,50.30
51.19,51.36,51.55,51.15
51.00,51.67,52.42,51.00
51.80,52.51,52.69,51.77
52.37,52.82,52.86,52.00
53.17,52.90,53.31,52.48
52.55,52.55,52.63,51.72
52.92,53.40,53.49,52.45
53.43,53.80,54.50,53.43
53.84,53.95,54.13,53.58
53.04,53.04,54.14,52.58
52.62,53.87,54.27,52.20
54.04,55.01,55.11,53.83
54.78,54.46,54.82,54.30
55.46,54.52,56.08,54.50
54.90,54.37,55.12,53.77
54.79,54.44,55.02,54.16
54.51,54.82,55.09,54.14
54.29,54.28,54.96,54.00
54.84,54.25,55.42,53.33
54.32,55.49,55.66,54.32
55.23,55.63,55.98,54.84
55.48,55.50,56.09,54.91
55.01,55.45,55.68,54.44
55.67,56.39,56.48,55.38
56.52,56.81,57.13,56.39
56.55,57.18,57.33,56.28
58.45,59.16,59.34,58.33
59.27,59.81,59.96,59.00
59.06,58.22,59.62,57.52
57.80,58.23,58.53,56.75
58.75,58.85,59.06,57.97
59.54,59.34,59.85,58.70
58.00,59.69,59.83,57.29
59.79,60.16,60.22,59.21
60.11,59.98,60.53,59.89
59.60,57.66,59.97,57.27
58.35,57.73,58.44,56.60
58.11,58.84,59.01,57.97
58.86,56.40,58.86,56.16
56.84,57.81,58.29,56.77
56.40,54.39,56.40,53.62
53.21,53.84,54.55,52.75
53.25,50.34,59.97,42.30
49.71,47.90,50.47,45.31
52.28,52.67,53.03,51.75
51.77,52.30,54.04,51.36
52.97,54.78,54.92,52.83
54.38,53.36,55.50,53.00
52.28,51.53,52.45,50.03
51.70,51.62,51.97,49.52
52.58,50.26,52.67,49.72
50.02,49.47,50.67,48.25
47.33,45.96,47.79,45.56
44.22,46.57,47.33,43.27
46.58,46.11,47.60,46.10
43.85,46.04,46.11,43.01
46.96,45.13,48.01,44.86
47.25,48.53,48.53,47.11
48.49,47.61,48.53,46.91
47.13,46.56,48.75,46.56
47.08,48.84,48.84,46.61
49.16,49.98,50.21,48.71
47.90,46.74,49.13,46.21
46.98,44.79,47.25,44.60
44.97,44.65,45.06,43.40
45.42,43.91,46.21,43.68
45.24,46.14,46.24,44.86
45.50,47.30,47.45,45.26
48.31,47.12,48.70,47.05
47.58,49.85,50.03,47.58
49.31,50.18,50.60,49.23
50.57,50.56,50.80,49.52
50.61,50.65,51.20,50.31
51.91,49.64,51.97,49.15
49.93,48.75,50.80,48.67
48.80,48.39,49.24,47.69
47.78,46.54,48.16,46.26
47.00,46.42,47.16,45.62
46.21,46.43,47.02,45.70
44.88,42.95,44.99,42.23
42.67,41.50,43.31,41.25
41.39,41.13,42.12,39.76
41.19,40.91,41.59,40.22
42.38,41.63,42.95,40.88
41.77,44.60,44.74,41.77
45.62,45.07,45.62,44.10
45.20,45.62,45.65,45.01
45.60,46.25,46.70,45.59
47.37,47.76,48.07,46.49
48.31,48.54,49.26,48.00
48.38,48.60,48.88,47.16
47.92,45.88,48.13,45.78
46.46,46.88,47.07,45.73
44.91,47.48,47.51,44.55
48.28,46.01,48.28,45.86
47.34,48.64,48.92,47.32
48.21,49.21,49.25,47.88
49.29,49.85,49.89,48.78
50.55,49.98,50.55,49.50
49.63,48.92,50.15,48.59
49.45,48.06,49.47,47.16
47.37,47.67,48.16,46.61
48.60,49.62,50.00,48.43
49.64,49.20,49.64,48.72
49.54,49.91,50.04,48.89
49.24,49.46,49.66,48.92
48.42,49.13,49.21,47.87
49.32,49.55,49.75,48.87
48.51,48.16,48.77,47.40
46.53,45.64,46.63,45.23
43.50,43.90,44.35,43.08
43.78,43.49,44.18,43.48
43.00,43.75,44.26,42.72
44.62,44.76,45.56,44.29
44.62,45.22,45.65,44.45
44.82,44.15,45.18,43.65
44.00,44.16,44.45,43.63
44.75,43.29,44.76,43.27
42.16,41.85,42.62,41.57
41.26,42.37,42.65,41.15
42.60,41.34,42.84,41.29
42.01,42.42,42.54,40.49
42.19,41.38,42.67,41.36
40.97,40.79,41.58,40.38
42.00,43.01,43.41,41.94
43.08,43.76,43.84,42.91
44.77,45.36,45.42,44.50
44.86,44.55,45.42,44.51
44.58,45.03,45.22,44.51
45.99,45.19,46.00,45.08
45.42,45.10,45.42,44.54
45.97,47.22,47.37,45.97
46.94,47.65,48.46,46.79
47.38,48.08,48.32,47.22
48.00,48.80,48.85,47.88
49.42,49.20,49.59,48.73
49.62,50.63,50.80,49.32
50.64,50.40,51.35,50.15
49.98,49.84,50.39,49.08
49.00,49.72,50.89,48.95
50.89,52.02,52.07,50.89
52.10,51.88,52.67,51.66
52.09,52.05,52.28,50.34
