Y,Alleghany Corporation Common Stock,NASDAQ
277.28,274.05,277.28,271.73
275.85,273.95,275.85,270.67
272.54,274.04,274.04,270.00
272.50,271.98,274.21,271.00
271.00,270.43,273.22,269.97
273.00,272.32,273.21,271.38
270.00,269.30,270.97,268.31
269.35,272.44,272.44,268.77
271.02,270.95,271.02,269.01
270.00,268.00,270.00,267.78
267.10,270.40,272.23,265.34
270.22,267.75,270.22,267.50
269.00,265.50,269.00,263.00
264.99,265.12,267.17,264.99
262.00,268.73,268.73,262.00
266.50,268.62,271.57,266.04
267.05,271.25,271.25,266.20
272.70,265.03,272.70,264.51
265.54,261.11,265.76,261.11
261.85,264.17,264.17,261.50
263.87,264.40,264.40,260.37
263.65,262.54,265.02,262.02
262.00,259.50,263.00,259.35
260.00,260.50,260.50,256.14
260.40,258.80,261.04,258.01
261.72,260.50,261.97,259.06
260.00,259.00,260.31,258.72
258.06,261.80,263.17,258.06
260.01,263.36,263.36,259.42
263.36,267.22,267.22,262.88
268.95,267.99,271.00,267.02
269.12,270.60,270.87,269.12
268.00,269.64,269.98,268.00
271.00,274.50,275.01,270.60
274.00,274.51,275.99,274.00
274.56,276.55,276.55,273.42
274.49,275.80,277.65,274.49
275.65,277.25,277.50,271.88
276.40,275.61,277.54,273.10
275.61,276.78,277.83,273.29
275.50,276.50,277.35,275.50
276.43,277.60,278.86,274.80
278.80,281.19,281.19,276.85
280.57,281.98,281.98,279.47
281.95,280.63,282.35,280.22
280.63,283.76,283.97,280.63
283.76,285.03,285.18,283.11
285.03,287.32,288.00,285.03
286.37,289.10,291.74,286.37
289.26,291.30,291.84,289.26
291.43,293.22,293.22,289.37
294.46,291.46,294.63,291.46
293.85,293.85,293.85,291.00
292.00,294.85,295.00,292.00
294.27,299.35,300.00,292.02
298.45,293.52,299.00,293.46
294.04,296.31,299.84,294.04
296.40,298.40,299.99,296.30
298.40,299.82,300.82,295.42
298.50,295.22,302.85,295.22
295.45,290.80,298.59,290.80
290.80,298.17,298.18,290.80
298.58,299.50,300.40,295.98
299.66,299.21,299.66,295.85
290.21,298.70,299.55,290.21
296.89,296.96,299.97,295.27
296.55,298.23,298.92,295.97
297.97,299.74,299.74,296.67
299.60,297.57,299.60,296.67
297.70,300.00,300.00,296.70
299.00,302.01,303.76,298.06
302.60,300.06,303.00,298.20
295.36,298.00,300.00,295.27
298.00,305.84,305.84,296.66
303.70,302.00,304.88,301.73
299.56,302.48,303.38,299.56
300.28,300.16,301.12,299.06
300.00,298.00,303.44,298.00
297.89,290.20,299.51,289.46
290.67,297.48,297.48,290.67
299.01,303.52,303.52,294.51
302.96,297.16,303.49,294.81
297.54,295.00,302.37,293.49
291.60,290.28,293.89,287.47
286.20,293.10,297.36,282.52
291.23,289.32,294.79,288.00
287.01,282.00,289.73,277.79
290.00,293.92,295.87,288.60
289.75,291.94,293.94,289.05
291.75,291.99,294.66,288.26
291.00,291.69,294.08,290.95
290.99,290.60,292.54,289.31
290.91,290.00,292.87,290.00
291.67,285.11,291.90,284.77
285.00,291.62,292.02,285.00
289.99,276.91,290.07,276.91
274.22,281.98,283.90,274.22
281.00,279.84,287.64,279.84
278.80,279.27,281.03,277.21
279.27,284.01,287.64,279.27
286.00,293.64,294.99,286.00
293.60,292.10,294.10,290.26
291.01,287.30,294.10,285.24
287.76,293.15,293.15,286.42
287.25,292.06,293.35,287.07
286.00,285.18,289.33,283.67
287.32,284.29,289.08,284.29
283.92,290.70,291.59,283.40
291.64,289.23,295.00,289.23
293.95,295.07,297.85,288.65
292.00,296.74,296.76,292.00
299.00,299.39,300.55,296.30
299.99,301.73,302.96,297.45
300.99,304.29,304.29,299.05
303.74,307.54,307.83,302.64
307.00,300.83,307.00,299.40
302.75,298.91,303.05,297.78
300.10,300.80,302.35,297.85
299.31,302.41,303.48,297.50
301.87,298.89,306.49,298.89
299.68,296.09,299.68,293.68
297.15,294.31,297.32,294.22
290.50,292.10,294.44,290.50
293.53,293.30,296.49,291.82
293.30,295.19,295.19,289.10
295.67,296.44,297.00,293.39
299.47,297.45,299.47,295.39
297.50,298.78,298.78,294.86
300.00,299.36,300.00,297.78
299.36,301.21,301.21,297.42
300.01,299.80,303.35,299.63
301.79,303.99,304.09,301.79
302.05,302.29,303.98,301.06
300.82,301.55,303.08,298.40
299.10,296.60,300.83,296.60
297.30,297.25,298.37,295.39
296.42,299.35,299.69,295.43
299.00,296.32,299.98,296.03
298.15,299.50,299.53,296.56
298.12,300.25,301.00,298.12
301.90,305.00,305.00,299.74
303.99,305.00,305.57,303.25
304.97,304.00,304.97,302.74
304.01,303.60,305.36,303.29
301.72,300.22,302.63,300.08
303.00,304.30,304.99,301.89
303.89,303.13,305.93,303.13
303.68,306.60,307.61,303.68
304.25,306.25,308.04,304.25
305.86,310.00,310.00,304.50
310.00,311.00,311.00,308.22
309.32,298.50,309.32,297.55
294.47,291.16,295.86,291.16
