RBPAA,Royal Bancshares of Pennsylvania,NASDAQ
1.27,1.25,1.27,1.25
1.25,1.24,1.27,1.24
1.30,1.30,1.35,1.28
1.28,1.36,1.38,1.28
1.40,1.46,1.50,1.40
1.47,1.37,1.54,1.37
1.44,1.45,1.51,1.44
1.45,1.40,1.45,1.40
1.51,1.53,1.55,1.47
1.49,1.62,1.70,1.49
1.55,1.90,1.95,1.51
1.90,2.34,2.54,1.90
2.68,2.77,2.85,2.33
2.79,2.59,2.80,2.44
2.40,2.56,2.74,2.39
2.78,2.54,2.78,2.50
2.55,2.58,2.63,2.55
2.65,2.59,2.65,2.46
2.54,2.38,2.54,2.25
2.37,2.36,2.49,2.31
2.36,2.30,2.39,2.30
2.43,2.35,2.47,2.32
2.31,2.25,2.41,2.17
2.19,2.21,2.24,2.18
2.21,2.22,2.25,2.18
2.25,2.25,2.25,2.25
2.21,2.26,2.34,2.21
2.22,2.58,2.58,2.19
2.55,2.44,2.55,2.42
2.74,2.22,2.74,2.22
2.34,2.30,2.43,2.30
2.43,2.62,2.62,2.30
2.61,2.58,2.61,2.58
2.58,2.58,2.60,2.58
2.58,2.51,2.58,2.50
2.50,2.37,2.50,2.37
2.45,2.42,2.45,2.42
2.36,2.42,2.42,2.36
2.34,2.42,2.42,2.34
2.36,2.44,2.44,2.35
2.45,2.40,2.45,2.40
2.40,2.33,2.42,2.33
2.28,2.31,2.42,2.28
2.28,2.37,2.38,2.28
2.33,2.53,2.60,2.30
2.55,2.53,2.58,2.51
2.49,2.51,2.52,2.44
2.57,2.57,2.57,2.57
2.52,2.44,2.52,2.44
2.35,2.45,2.48,2.35
2.38,2.35,2.47,2.35
2.35,2.36,2.37,2.30
2.33,1.84,2.34,1.84
2.13,2.37,2.73,2.09
2.39,2.39,2.53,2.35
2.74,2.48,2.74,2.44
2.50,2.43,2.50,2.32
2.43,2.43,2.43,2.43
2.39,2.32,2.39,2.32
2.40,2.45,2.45,2.40
2.45,2.47,2.47,2.42
2.39,2.46,2.51,2.39
2.40,2.47,2.47,2.40
2.45,2.46,2.47,2.45
2.45,2.47,2.48,2.45
2.46,2.49,2.49,2.46
2.36,2.48,2.48,2.36
2.83,2.60,2.83,2.50
2.60,2.99,3.00,2.60
3.00,3.67,3.67,3.00
3.68,4.10,4.25,3.68
4.64,4.17,4.86,4.06
4.25,3.97,4.25,3.82
4.06,3.40,4.06,3.35
3.48,3.80,3.95,3.48
3.77,3.91,3.95,3.22
3.90,3.94,4.04,3.74
3.88,3.83,4.00,3.63
3.71,3.61,4.04,3.57
3.72,3.66,3.88,3.61
3.78,3.75,3.85,3.69
3.85,3.80,3.88,3.80
3.65,3.62,3.72,3.62
3.62,3.43,3.63,3.43
3.44,3.29,3.44,3.29
3.22,3.21,3.30,3.15
3.17,3.15,3.23,3.15
3.29,3.07,3.29,3.03
3.29,3.00,3.29,3.00
3.03,3.07,3.09,3.02
3.09,3.03,3.16,3.03
3.00,3.48,3.66,3.00
3.53,3.15,3.53,3.10
3.14,3.11,3.20,3.10
3.25,3.10,3.25,3.06
3.11,3.00,3.11,3.00
3.00,3.03,3.04,2.91
3.01,3.00,3.01,3.00
3.06,3.05,3.06,3.00
3.05,3.20,3.22,3.00
3.19,3.02,3.19,3.01
3.00,3.15,3.15,3.00
3.14,3.08,3.14,3.08
3.01,3.00,3.01,3.00
3.00,3.01,3.01,3.00
3.00,3.00,3.11,3.00
3.00,3.00,3.07,3.00
3.00,3.00,3.02,3.00
3.00,3.00,3.00,3.00
3.04,2.99,3.04,2.99
3.04,3.03,3.04,3.00
3.05,3.03,3.05,3.00
3.14,3.05,3.14,3.05
3.16,3.06,3.18,3.00
3.00,3.03,3.03,2.97
3.02,3.04,3.04,3.02
3.11,3.00,3.11,3.00
3.00,3.02,3.03,3.00
3.10,3.10,3.10,3.04
3.10,3.10,3.10,3.05
3.07,3.01,3.07,3.01
3.00,3.00,3.00,3.00
3.00,3.26,3.26,3.00
3.19,3.00,3.19,3.00
3.00,3.00,3.08,3.00
3.00,3.00,3.00,3.00
2.96,3.00,3.05,2.96
3.00,3.01,3.01,2.99
3.00,3.00,3.00,3.00
3.00,3.01,3.01,3.00
3.15,3.00,3.15,3.00
3.02,3.00,3.02,3.00
3.00,3.00,3.00,3.00
2.97,3.01,3.01,2.96
2.95,2.92,2.99,2.90
2.92,2.92,2.92,2.92
2.99,2.60,2.99,2.56
2.58,2.63,2.67,2.58
2.78,2.67,2.78,2.65
2.68,2.67,2.68,2.67
2.72,2.93,3.00,2.60
3.01,2.65,3.02,2.56
2.66,2.60,2.73,2.60
2.60,2.63,2.66,2.60
2.62,2.52,2.64,2.49
2.51,2.51,2.53,2.51
2.56,2.75,2.85,2.53
2.88,2.65,2.90,2.65
2.63,2.63,2.63,2.63
2.60,2.62,2.63,2.60
2.71,2.71,2.71,2.71
2.69,2.68,2.77,2.68
2.60,2.60,2.60,2.60
2.50,2.60,2.60,2.50
2.80,2.70,2.80,2.70
2.66,2.73,2.73,2.64
2.73,2.77,2.77,2.73
2.79,2.79,2.79,2.79
2.90,2.70,2.90,2.70
2.70,2.61,2.70,2.47
2.61,2.60,2.62,2.60
2.60,2.60,2.60,2.60
2.60,2.60,2.60,2.60
2.61,2.64,2.90,2.60
2.71,2.72,2.74,2.69
2.72,2.65,2.74,2.60
2.66,2.70,2.70,2.65
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.70,2.70,2.70,2.70
2.60,2.60,2.60,2.60
2.60,2.60,2.60,2.60
2.60,2.60,2.60,2.60
2.52,2.54,2.54,2.52
2.51,2.60,2.62,2.51
2.60,2.60,2.60,2.60
2.61,2.61,2.61,2.61
