MCF,Contango Oil & Gas Company Common Stock,NASDAQ
47.00,50.82,51.36,47.00
51.17,50.85,51.43,50.65
50.81,51.23,51.49,50.01
51.33,52.07,52.19,50.93
52.11,52.07,52.12,51.50
52.59,52.09,53.49,51.90
51.80,51.54,51.91,51.25
51.85,51.74,52.00,51.15
52.09,52.01,52.20,51.73
52.20,52.51,52.60,52.00
53.04,53.09,53.26,52.59
52.85,52.44,52.92,52.05
52.28,52.23,52.73,51.92
52.34,51.51,52.34,51.36
51.72,51.80,52.21,51.71
51.80,50.01,51.85,49.95
49.70,49.97,50.08,49.22
50.27,49.21,50.27,48.81
49.31,48.75,49.80,48.50
48.86,50.27,50.29,48.86
50.27,50.40,50.84,49.82
50.36,50.20,50.42,49.55
49.68,47.64,49.80,47.62
47.60,48.09,48.09,46.55
47.92,47.07,48.00,47.07
47.77,47.85,48.11,46.66
47.55,50.45,50.46,47.25
50.60,52.00,52.50,49.95
51.24,52.15,52.15,50.78
52.73,52.83,53.05,52.64
53.16,53.41,53.41,52.30
53.41,54.04,54.12,53.15
54.71,54.26,54.71,52.70
54.38,52.22,54.49,51.95
52.22,51.49,52.44,51.32
51.49,52.26,52.47,51.37
51.73,52.41,52.44,50.91
52.27,51.56,52.38,51.56
51.31,52.31,52.49,51.31
52.53,54.18,54.44,52.51
54.47,54.79,55.22,53.89
54.91,54.94,55.35,54.63
54.92,55.00,55.00,54.65
54.89,54.90,55.05,54.45
53.11,54.92,55.26,53.11
54.82,54.60,55.03,53.98
54.10,54.50,54.87,53.87
54.96,54.63,54.96,53.99
54.00,53.50,54.30,53.13
53.53,53.83,53.83,52.73
53.91,53.75,54.26,53.70
54.16,53.06,54.26,52.67
51.05,51.05,53.01,50.90
50.54,51.26,51.26,50.30
51.14,51.57,51.87,50.91
51.07,50.73,51.29,50.57
50.89,49.71,51.34,49.52
49.42,49.29,50.44,46.95
49.28,49.68,49.95,49.26
50.25,50.91,51.36,49.86
51.00,51.15,51.19,50.41
51.60,51.82,51.97,50.09
52.00,53.96,54.64,51.92
54.00,54.69,54.91,53.70
54.83,54.98,55.00,54.45
55.10,54.67,55.10,54.22
55.25,55.38,56.38,54.99
55.55,56.25,56.81,55.31
56.65,56.82,57.10,55.73
57.19,57.68,58.25,57.00
58.04,58.46,58.64,57.60
58.29,57.56,58.79,57.56
56.92,57.23,57.66,55.96
57.52,59.72,60.07,57.52
59.99,60.03,60.20,59.12
59.16,58.89,60.39,57.01
59.50,59.93,59.93,58.31
59.71,59.76,60.36,59.40
58.88,54.42,58.88,53.80
54.62,55.56,55.75,54.29
56.05,55.54,56.05,54.26
55.94,54.90,56.60,54.59
55.41,56.41,56.72,55.01
55.57,55.72,56.96,55.21
54.03,54.60,55.36,53.71
54.05,53.10,54.58,50.76
51.61,51.02,52.78,50.01
52.55,53.41,53.46,52.50
52.85,54.00,55.10,52.85
54.50,54.73,55.37,53.71
54.75,55.00,55.22,53.96
54.61,54.63,55.18,52.93
54.89,53.85,55.18,52.52
54.43,53.54,55.16,52.83
52.93,52.09,53.00,50.50
50.57,49.58,50.91,49.05
47.87,50.00,50.95,47.80
50.00,49.30,50.22,49.01
48.49,47.66,48.60,47.01
48.65,48.07,49.43,48.00
48.55,49.91,50.03,48.51
49.80,50.28,50.67,49.44
50.00,48.00,51.84,48.00
47.76,50.84,51.00,47.36
50.49,52.03,53.02,46.56
52.24,51.06,53.07,51.05
50.51,50.46,52.48,50.40
52.40,50.47,52.42,49.80
50.60,50.55,51.09,49.85
49.75,47.48,50.02,46.21
46.61,47.12,47.86,46.01
47.00,45.41,47.18,44.75
45.70,46.42,46.53,45.40
45.81,46.82,47.48,45.81
46.78,47.11,47.28,46.67
47.00,47.50,47.65,46.66
47.76,46.42,48.40,46.18
46.40,45.19,46.49,45.13
45.20,45.25,45.51,44.51
45.25,44.75,45.49,44.48
44.80,44.72,45.11,44.40
44.87,45.16,45.60,44.15
44.58,44.28,44.85,43.85
44.28,44.75,45.76,44.24
44.71,43.91,44.98,42.60
44.00,43.35,44.02,43.14
43.90,42.77,44.10,42.55
42.53,43.94,43.94,42.53
44.17,43.48,44.56,42.96
43.35,43.43,43.68,43.35
43.34,42.82,43.62,42.80
43.07,43.81,43.96,42.81
43.60,43.45,43.76,43.12
43.30,43.24,43.46,42.77
43.01,42.28,43.01,41.87
41.83,41.40,42.62,41.33
41.29,42.82,42.82,41.01
43.55,43.93,44.75,43.55
44.45,44.75,44.90,44.15
44.34,45.73,46.18,44.34
46.03,45.50,46.04,45.35
46.19,44.77,46.19,44.34
44.62,44.39,45.09,43.91
45.03,44.39,45.32,43.82
43.73,43.84,44.70,43.73
44.33,43.97,45.02,43.77
43.92,44.72,45.33,43.81
44.89,45.13,45.58,44.69
44.98,45.26,45.66,44.52
45.29,45.99,46.07,44.68
46.08,46.22,46.42,45.60
45.84,46.55,47.06,45.30
45.75,45.00,45.95,44.81
44.79,44.16,44.85,44.00
43.97,44.20,44.31,43.93
43.90,43.61,44.20,43.55
43.94,43.44,44.05,43.36
43.36,43.36,43.59,42.63
42.60,42.84,43.27,42.60
42.75,42.91,42.93,42.02
43.30,42.91,43.34,42.79
42.42,43.06,43.44,42.35
42.63,43.26,43.34,42.08
43.31,42.42,43.78,42.17
42.92,42.62,43.40,42.32
42.40,43.31,43.85,42.36
43.40,43.85,44.25,42.27
44.44,45.70,45.70,43.69
45.19,45.84,45.85,44.71
46.22,46.45,46.62,44.94
46.43,45.94,46.43,45.50
46.20,46.85,47.12,46.08
47.24,46.97,47.45,46.24
46.99,46.99,47.61,46.80
47.70,47.66,47.83,47.02
47.67,47.87,48.22,47.16
47.56,47.59,48.01,47.29
47.66,47.53,47.87,47.21
47.84,47.22,48.27,47.10
47.46,48.56,48.72,46.74
48.51,47.97,49.35,47.97
47.87,48.51,48.51,47.85
48.11,48.25,48.65,47.31
48.73,49.63,49.65,48.56
49.47,49.20,49.91,48.84
49.10,50.54,51.33,48.68
50.37,51.28,51.84,50.35
51.80,50.16,51.89,49.77
50.36,50.98,51.07,50.30
50.92,50.30,50.97,49.54
50.62,51.09,51.65,50.40
50.95,51.74,52.00,50.95
52.00,51.12,52.00,50.92
51.23,51.66,51.96,50.81
51.73,52.02,52.40,51.67
52.00,53.17,54.69,51.96
53.44,52.72,53.44,52.26
52.36,52.29,52.71,51.97
52.90,52.11,53.31,51.69
52.20,52.92,53.18,52.20
52.42,52.12,53.00,52.02
52.31,52.27,52.70,52.02
52.48,53.13,53.20,52.15
53.13,53.22,53.46,52.91
53.13,52.82,54.34,52.54
52.45,52.41,53.07,51.87
52.00,52.32,52.55,51.50
52.67,52.17,52.67,52.06
52.10,52.59,53.00,51.79
53.15,52.90,53.50,52.39
53.30,53.93,54.09,53.30
53.97,54.10,54.15,53.25
54.65,55.00,55.28,54.64
54.85,55.01,55.05,54.48
55.07,55.56,56.00,54.83
56.11,56.16,57.90,55.60
56.52,57.00,57.50,56.28
56.50,57.04,57.30,56.28
56.45,56.41,56.72,56.00
57.04,56.68,57.05,56.47
57.02,57.86,59.00,56.99
58.26,58.39,58.81,58.05
59.27,59.01,59.27,58.75
59.07,58.35,59.07,58.12
56.68,58.33,58.50,56.68
57.75,57.60,58.17,56.76
58.12,57.94,58.31,57.60
57.63,57.56,58.32,57.48
57.47,57.40,57.77,56.90
56.77,55.76,56.77,55.65
56.44,57.17,57.69,56.20
57.17,57.61,57.87,57.01
57.18,58.16,58.38,57.05
57.99,58.57,58.62,57.83
58.90,58.51,59.10,58.17
58.64,58.66,58.93,58.01
58.84,59.20,59.26,58.50
59.57,59.30,59.57,58.70
59.19,58.53,59.46,58.46
58.81,58.14,59.13,57.80
58.25,58.43,59.21,58.05
58.51,59.19,59.26,58.51
59.25,58.95,59.50,58.52
58.59,58.66,59.04,57.62
58.75,59.50,59.58,58.31
59.64,59.13,59.64,59.10
59.17,59.91,59.97,59.17
59.61,59.63,60.48,59.00
59.23,59.11,59.59,58.09
59.04,59.40,59.77,59.00
59.40,58.80,59.51,58.71
58.69,57.93,58.80,57.93
58.29,58.64,58.78,58.00
58.63,57.94,58.65,57.74
57.72,58.12,58.19,57.45
58.19,57.72,58.33,57.44
57.69,57.36,57.74,56.38
57.36,57.35,57.58,56.69
57.44,57.28,57.89,57.08
57.71,57.44,57.71,56.70
57.37,57.79,57.84,57.25
57.63,58.96,58.96,57.63
59.07,59.12,59.14,58.39
59.36,58.81,59.66,58.37
58.61,57.68,58.61,56.92
56.81,58.20,58.29,56.81
57.97,58.32,58.97,57.60
58.51,57.35,58.91,57.20
57.40,58.67,59.00,57.40
58.18,58.01,58.55,57.74
57.90,57.27,58.15,56.80
57.34,58.00,58.20,57.34
58.20,58.37,58.86,57.87
58.37,58.12,58.88,57.88
58.01,58.75,58.90,57.38
58.80,58.65,59.64,57.61
58.76,58.93,59.36,58.63
58.75,58.61,58.76,57.68
57.60,57.09,58.46,56.72
57.00,56.70,57.00,55.50
56.33,57.06,57.10,56.33
57.09,58.07,58.24,57.09
58.03,57.44,58.50,57.44
57.51,58.84,59.26,57.51
58.74,59.17,59.50,58.55
59.29,59.33,59.61,58.90
59.08,59.35,60.83,58.81
59.50,60.42,61.00,58.44
60.42,60.61,61.68,60.05
61.00,61.40,61.40,60.92
61.65,61.28,61.71,60.76
61.34,60.14,61.46,59.93
59.98,60.78,60.78,59.53
61.10,61.52,61.52,60.79
61.52,61.39,61.57,60.54
61.39,60.01,61.80,59.42
60.12,59.29,60.12,58.63
59.22,59.09,59.62,58.93
58.33,57.95,58.60,57.50
57.50,57.95,58.32,57.00
57.60,58.07,58.35,57.31
57.01,57.11,57.96,57.01
56.91,55.02,57.75,54.60
55.72,57.41,57.69,55.35
59.25,58.29,59.25,57.68
59.00,59.84,59.84,58.92
59.88,59.32,59.92,59.18
59.98,58.78,59.98,58.48
58.85,58.06,59.29,57.87
58.26,59.29,59.67,57.57
59.64,59.57,60.26,59.30
59.17,59.74,60.20,58.96
59.93,61.46,61.50,59.93
61.70,63.24,63.48,61.65
64.44,64.07,64.44,63.80
64.19,63.94,64.88,63.71
64.02,64.19,65.00,63.94
64.15,63.09,64.61,62.86
63.18,63.05,63.80,62.80
63.56,63.35,63.98,63.04
63.55,62.61,63.58,62.49
62.40,60.75,62.54,60.35
61.26,60.36,61.90,60.32
60.16,61.01,61.01,60.00
60.70,60.27,61.11,59.71
59.38,60.51,60.62,59.09
60.59,60.30,60.74,59.76
61.00,61.43,61.96,60.56
61.50,61.33,61.78,60.39
61.41,60.32,61.47,59.85
60.00,60.88,61.18,59.68
62.33,60.34,62.34,59.07
60.00,60.87,60.87,59.53
60.97,61.92,62.00,60.65
62.00,60.23,62.00,59.86
59.94,59.60,60.15,59.05
59.01,58.31,59.44,57.75
57.84,57.43,58.27,56.57
59.12,57.21,59.12,56.10
57.44,58.15,58.55,56.78
58.63,59.31,59.31,57.38
59.02,58.44,59.22,55.73
58.24,59.46,60.72,57.00
59.54,59.39,60.34,58.52
59.03,58.11,59.94,57.07
57.39,58.38,59.69,57.19
58.58,60.97,61.07,58.58
60.96,60.71,62.00,59.55
60.41,61.06,61.88,60.11
59.25,60.46,60.74,59.25
60.49,60.75,61.71,60.05
60.64,62.40,62.74,60.56
62.38,62.59,62.86,61.51
62.94,61.76,63.25,60.61
62.72,61.96,62.72,61.47
61.66,59.93,61.90,59.92
60.00,60.18,60.82,59.86
59.20,59.72,60.30,59.01
59.56,57.95,59.75,57.89
58.34,57.39,58.80,57.00
57.38,57.38,58.95,57.13
58.00,57.98,58.68,57.19
57.59,57.16,57.64,56.93
57.01,55.58,57.29,54.33
58.62,57.27,58.62,56.15
56.78,56.05,58.42,55.67
56.25,56.48,56.95,55.58
56.71,55.71,56.80,54.95
55.13,55.12,56.48,55.00
55.48,55.90,56.42,55.48
55.73,55.80,56.13,55.55
54.90,55.88,56.46,54.85
56.05,56.00,56.50,55.88
55.81,56.00,56.29,55.50
55.80,57.11,57.11,55.80
57.11,57.95,58.99,56.82
57.98,58.44,58.89,57.98
58.44,60.01,60.01,58.02
60.01,61.55,62.00,60.01
61.48,62.08,62.27,60.85
63.27,62.79,63.59,62.22
61.93,62.16,62.73,61.44
61.01,61.21,61.70,61.01
60.97,61.55,62.73,60.77
61.85,63.06,63.79,61.85
63.24,61.44,64.50,61.37
62.20,64.22,64.44,62.01
64.00,63.16,64.00,62.51
63.93,64.77,64.98,63.54
64.99,65.53,65.89,64.28
