BXP,Boston Properties,NASDAQ
67.59,67.10,68.33,66.53
67.24,68.12,68.20,66.45
68.23,68.44,68.94,68.03
68.26,68.74,69.39,67.71
68.26,67.85,68.64,67.09
68.14,68.17,68.72,67.69
67.71,67.49,68.09,66.72
67.61,68.60,68.74,67.30
68.43,68.31,68.78,67.80
68.19,68.09,68.45,67.61
68.26,69.53,69.62,67.84
69.02,69.07,69.19,68.33
68.88,65.84,69.30,65.58
65.52,64.28,66.52,63.94
65.25,65.10,65.57,63.59
64.78,64.72,65.94,64.23
64.26,65.07,65.44,63.35
65.75,65.39,65.93,64.69
65.81,64.87,66.25,64.23
65.71,66.87,66.88,65.04
67.71,67.80,68.01,66.56
67.59,66.50,67.60,66.20
65.97,63.44,66.12,63.38
63.64,64.53,64.96,62.39
64.65,62.90,65.14,62.74
63.65,62.81,63.81,62.22
62.72,62.49,63.28,61.50
62.40,62.72,63.03,61.82
62.08,63.40,63.47,61.78
64.00,65.03,65.15,63.61
65.23,65.39,65.68,64.92
65.11,66.35,66.62,64.70
65.91,66.57,66.77,65.38
66.54,67.03,67.49,66.54
66.70,65.95,67.00,65.68
65.92,66.71,66.73,65.72
65.93,67.42,67.49,65.62
67.42,67.93,68.75,67.25
68.24,68.28,68.74,67.84
68.72,68.62,68.94,68.41
68.78,68.67,69.00,68.32
68.72,69.17,69.31,68.50
69.66,71.14,71.26,69.34
71.07,72.58,72.76,71.07
72.23,72.49,73.76,71.92
72.76,73.46,73.70,72.26
73.03,73.72,73.76,72.75
73.91,74.00,74.57,73.55
73.86,74.06,74.33,72.94
74.15,75.69,75.93,74.04
76.07,77.14,77.35,75.86
77.01,76.74,77.73,76.64
76.89,75.89,77.60,75.88
75.04,76.26,76.52,75.04
76.26,76.03,76.47,75.33
75.91,76.15,76.96,75.81
76.76,76.73,78.22,76.62
77.20,76.19,77.20,75.69
75.63,76.25,76.25,75.43
76.13,76.24,76.78,75.93
75.69,75.44,76.18,75.18
75.85,75.47,75.95,74.87
75.76,77.79,77.79,75.52
77.47,79.41,79.61,76.98
79.37,77.24,79.52,77.00
76.86,76.95,77.14,76.56
77.13,78.35,78.43,76.95
78.34,77.45,78.46,77.26
77.38,79.97,80.28,77.22
80.68,80.13,80.71,79.59
79.84,78.04,80.24,77.95
77.96,75.59,78.49,75.52
75.16,76.09,76.61,74.87
76.63,77.00,77.01,75.20
76.93,77.94,78.41,76.59
77.17,79.37,79.77,76.65
79.53,80.11,81.00,79.04
80.12,80.69,81.49,79.74
79.96,78.12,80.41,78.10
78.95,78.80,79.45,77.67
79.48,83.39,83.42,79.41
83.01,78.86,83.30,78.76
79.87,81.51,82.34,79.42
80.52,81.13,81.58,79.97
79.67,80.72,81.87,78.95
80.01,78.03,80.77,73.81
78.31,76.09,79.56,75.38
80.19,80.73,80.77,78.67
79.64,81.16,82.48,79.27
81.17,81.73,81.86,80.40
81.37,80.76,82.33,80.65
79.79,78.20,80.27,77.37
78.71,78.45,79.84,76.04
79.45,76.57,79.97,76.21
76.18,76.05,77.86,74.18
74.36,72.72,75.11,72.67
71.31,75.50,75.60,71.31
75.62,73.63,75.95,73.61
71.69,74.83,74.89,70.94
75.67,73.84,76.72,73.52
75.55,78.12,78.23,74.90
77.90,76.68,78.24,76.19
76.15,75.91,77.75,75.67
76.31,76.18,76.46,74.44
76.53,75.66,76.55,75.04
73.60,71.81,74.76,71.52
72.34,72.12,73.95,71.84
72.27,73.80,74.05,70.91
74.46,74.62,76.45,74.18
75.80,78.19,78.47,75.35
77.16,79.02,79.10,77.14
79.81,79.26,80.52,78.45
79.75,81.08,81.23,79.04
80.49,80.45,81.12,79.87
80.60,79.97,80.79,79.54
80.25,80.09,80.42,79.66
81.08,79.39,81.80,79.22
79.72,76.36,79.77,76.27
76.50,76.53,77.51,75.42
76.05,74.24,76.36,74.12
74.78,76.74,76.99,74.37
76.21,74.65,76.44,74.49
73.60,72.34,73.93,71.82
72.06,71.34,73.49,71.07
71.56,71.25,71.93,69.84
71.60,69.70,71.85,69.50
71.27,69.08,72.08,68.47
69.42,72.77,72.84,69.08
73.70,73.85,74.37,72.33
73.89,75.23,75.29,73.68
75.17,75.51,75.75,74.15
76.53,77.38,77.66,76.07
76.58,77.01,77.62,75.93
77.15,77.31,77.50,75.35
76.41,74.71,76.95,74.03
74.75,76.25,76.68,73.93
75.00,77.97,78.04,74.68
78.37,76.08,78.50,75.74
77.13,79.14,79.78,76.53
78.84,79.97,80.10,77.62
80.14,81.75,81.86,79.46
82.00,81.63,82.50,80.37
81.26,81.54,82.56,80.86
82.18,81.10,82.18,80.27
80.14,81.90,82.36,79.94
83.76,85.08,85.66,82.99
