CYAN,Cyanotech Corporation - Common Stock,NASDAQ
5.48,5.37,5.75,5.29
5.24,5.40,5.71,5.00
5.49,5.58,5.58,5.35
5.57,5.20,5.57,5.00
5.25,5.15,5.25,5.15
5.12,5.19,5.24,5.12
5.18,5.16,5.22,5.16
5.12,5.01,5.23,5.00
4.87,4.57,4.87,4.55
4.55,4.81,4.82,4.55
4.69,4.58,4.74,4.55
4.66,4.75,4.75,4.51
4.66,4.19,4.74,4.08
4.09,4.16,4.44,3.80
3.97,3.81,4.15,3.71
3.72,3.80,3.80,3.58
3.70,3.40,3.70,3.18
3.59,3.39,3.59,3.39
3.34,3.38,3.49,3.27
3.38,3.45,3.45,3.25
3.40,3.48,3.58,3.27
3.55,3.62,3.71,3.50
3.60,3.31,3.60,3.31
3.31,3.32,3.39,3.30
3.34,3.57,3.65,3.31
3.57,3.53,3.63,3.47
3.59,3.64,4.06,3.58
3.66,3.19,3.94,3.19
3.45,3.44,3.80,3.22
3.54,3.70,3.78,3.54
3.74,3.98,4.10,3.74
3.98,4.13,4.27,3.98
4.09,4.12,4.14,4.02
4.20,4.27,4.35,4.20
4.35,4.35,4.52,4.31
4.43,4.43,4.43,4.34
4.42,4.45,4.47,4.18
4.26,4.39,4.39,4.12
4.11,3.86,4.16,3.83
3.86,3.84,4.10,3.80
3.84,3.92,4.10,3.84
3.92,3.92,3.95,3.87
3.89,3.68,3.89,3.60
3.69,3.91,3.91,3.69
3.90,3.91,3.92,3.82
3.90,3.90,3.92,3.84
3.86,3.84,3.89,3.81
3.80,3.75,3.80,3.60
3.66,3.59,3.86,3.59
3.60,3.52,3.60,3.52
3.51,3.50,3.64,3.50
3.52,3.46,3.52,3.45
3.45,3.50,3.50,3.44
3.48,3.47,3.64,3.47
3.49,3.47,3.54,3.47
3.48,3.45,3.48,3.43
3.44,3.22,3.45,3.09
3.12,3.11,3.30,3.11
3.10,3.35,3.47,3.10
3.31,3.24,3.35,3.20
3.35,3.35,3.39,3.22
N/A,N/A,N/A,N/A
3.40,3.31,3.46,3.24
3.28,3.10,3.28,3.00
3.10,3.10,3.35,3.01
3.24,3.20,3.24,3.13
3.24,3.16,3.24,3.15
3.12,2.99,3.15,2.84
2.97,2.92,2.97,2.90
2.91,2.91,3.06,2.90
2.88,2.90,3.03,2.80
2.89,2.77,2.89,2.75
2.76,2.80,2.88,2.75
2.80,2.78,2.80,2.75
2.82,2.79,2.82,2.75
2.84,2.80,2.85,2.74
2.74,2.75,2.81,2.74
2.77,2.72,2.79,2.65
2.76,2.60,2.76,2.60
2.68,2.67,2.68,2.63
2.56,2.60,2.65,2.55
2.66,2.63,2.66,2.57
2.65,2.65,2.65,2.60
2.61,2.60,2.61,2.57
2.58,2.56,2.58,2.55
2.60,2.57,2.60,2.55
2.55,2.40,2.55,2.40
2.40,2.36,2.51,2.36
2.39,2.40,2.40,2.30
2.35,2.37,2.45,2.35
2.33,2.18,2.39,2.14
2.18,2.20,2.20,2.18
2.16,2.18,2.19,2.15
2.19,2.18,2.25,2.15
2.14,2.08,2.14,2.05
2.08,2.02,2.08,1.97
1.96,2.04,2.11,1.96
2.05,2.03,2.05,2.01
1.99,2.00,2.00,1.96
2.04,2.01,2.04,2.01
2.06,2.01,2.06,2.01
2.08,2.03,2.09,2.03
2.03,2.03,2.03,2.03
2.04,2.01,2.04,2.01
2.04,2.10,2.23,2.04
2.09,2.20,2.35,2.02
2.27,2.25,2.35,2.25
2.25,2.25,2.25,2.25
2.29,2.25,2.30,2.07
2.26,2.23,2.26,2.20
2.25,2.22,2.30,2.22
2.29,2.22,2.31,2.22
2.22,2.29,2.29,2.22
2.23,2.28,2.28,2.20
2.15,2.28,2.28,2.15
2.28,2.24,2.28,2.20
2.24,2.20,2.24,2.20
2.22,2.13,2.28,2.10
2.35,2.10,2.35,2.09
2.09,2.05,2.09,1.71
2.05,1.95,2.05,1.95
1.99,1.89,1.99,1.87
1.88,1.88,1.96,1.88
1.89,1.90,2.00,1.76
1.77,1.80,1.82,1.77
1.81,1.85,1.85,1.77
1.81,1.55,1.81,1.40
1.64,1.57,1.64,1.57
1.56,1.66,1.73,1.55
1.70,1.70,1.70,1.67
1.70,1.67,1.70,1.66
1.58,1.67,1.73,1.58
1.69,1.73,1.73,1.65
1.75,1.70,1.75,1.70
1.71,1.65,1.76,1.65
1.65,1.65,1.76,1.65
1.67,1.67,1.67,1.66
1.65,1.75,1.79,1.65
1.80,1.85,1.85,1.78
1.88,1.84,1.89,1.80
1.89,1.83,1.91,1.82
1.90,1.81,1.90,1.81
1.91,1.84,1.91,1.84
1.84,1.80,1.84,1.80
nan,1.80,nan,nan
1.81,1.81,1.81,1.81
1.81,1.89,1.92,1.81
1.84,1.81,1.84,1.81
1.89,1.85,1.94,1.82
1.86,1.94,1.94,1.86
2.00,2.06,2.09,1.95
2.11,2.10,2.16,1.96
2.07,2.04,2.12,2.04
2.00,2.15,2.16,2.00
2.19,2.08,2.26,2.02
2.05,2.01,2.05,2.00
2.19,2.19,2.35,2.08
2.16,2.16,2.16,2.16
2.14,2.36,2.36,2.11
2.37,2.50,2.50,2.37
2.50,2.50,2.53,2.27
2.53,2.83,2.87,2.53
2.87,2.53,2.92,2.53
2.66,2.58,2.66,2.53
2.80,2.79,2.83,2.55
2.84,2.79,2.84,2.79
2.60,2.68,2.70,2.60
2.80,2.62,2.80,2.62
2.55,2.57,2.76,2.55
2.80,2.66,2.80,2.55
2.68,2.58,2.74,2.55
2.61,2.68,2.77,2.59
2.70,2.60,2.70,2.56
2.80,2.64,2.81,2.64
2.64,2.55,2.64,2.55
2.59,2.57,2.59,2.55
2.56,2.53,2.57,2.53
2.48,2.35,2.50,2.35
2.34,2.20,2.37,2.20
2.25,2.36,2.46,2.25
2.36,2.45,2.57,2.36
2.45,2.37,2.45,2.34
2.36,2.36,2.45,2.36
2.34,2.35,2.35,2.34
2.35,2.40,2.40,2.35
2.44,2.40,2.44,2.40
2.43,2.37,2.45,2.27
2.40,2.41,2.41,2.38
2.37,2.45,2.45,2.35
2.36,2.43,2.43,2.36
2.34,2.38,2.56,2.34
2.38,2.28,2.39,2.27
2.27,2.23,2.27,2.18
2.17,2.12,2.45,2.01
2.12,2.19,2.19,2.10
2.16,2.22,2.22,2.11
2.14,2.12,2.18,2.11
2.06,2.11,2.11,2.06
2.07,2.11,2.16,2.07
2.11,2.07,2.11,2.06
2.04,2.05,2.05,2.04
2.03,2.07,2.09,2.02
2.05,2.07,2.07,2.05
2.10,2.23,2.23,2.10
2.29,2.21,2.30,2.19
2.21,2.13,2.21,2.12
2.12,2.06,2.13,2.02
2.08,2.05,2.08,2.04
2.03,2.08,2.09,2.03
2.06,2.06,2.06,2.05
2.07,2.07,2.07,2.07
2.06,2.06,2.06,2.06
2.06,2.01,2.11,2.00
2.01,2.08,2.11,2.01
2.11,2.12,2.26,2.11
2.34,2.40,3.00,2.25
2.56,2.46,2.56,2.46
2.46,2.42,2.58,2.37
2.43,2.33,2.46,2.28
2.35,2.55,2.58,2.35
2.53,2.90,3.20,2.53
2.91,2.77,3.01,2.75
2.75,3.12,3.12,2.70
3.10,3.38,3.40,3.10
3.50,3.66,4.06,3.35
3.86,3.78,3.99,3.71
3.98,3.32,3.98,3.29
3.29,2.90,3.29,2.87
2.98,2.88,2.98,2.86
2.88,2.91,3.05,2.87
3.00,3.18,3.20,2.90
3.21,3.20,3.29,3.14
3.10,3.05,3.15,3.01
2.92,2.87,2.92,2.86
2.84,3.05,3.06,2.81
2.99,3.05,3.15,2.82
2.95,3.06,3.11,2.90
3.19,3.20,3.22,3.10
3.15,3.32,3.40,3.14
3.39,3.31,3.39,3.29
3.34,3.30,3.34,3.30
3.27,3.15,3.27,3.11
3.26,3.30,3.30,3.18
3.28,3.20,3.28,3.20
3.29,3.33,3.37,3.14
3.31,3.51,3.52,3.31
3.46,3.46,3.47,3.45
3.52,3.42,3.52,3.40
3.42,3.38,3.52,3.38
3.41,3.45,3.52,3.40
3.40,3.38,3.53,3.38
3.41,3.38,3.42,3.38
3.33,3.14,3.36,3.08
3.20,3.14,3.20,3.11
3.14,3.11,3.14,2.98
3.02,3.13,3.20,3.01
3.04,3.23,3.23,3.04
3.04,3.11,3.14,3.04
3.12,3.11,3.16,3.11
3.11,3.04,3.11,3.04
3.01,3.13,3.13,3.01
3.11,3.15,3.20,3.10
3.06,3.15,3.20,3.06
3.15,3.19,3.19,3.15
3.19,3.24,3.33,3.15
N/A,N/A,N/A,N/A
3.17,3.07,3.17,3.07
3.04,3.02,3.05,2.99
3.00,3.00,3.02,2.81
3.05,3.00,3.05,2.91
3.01,2.93,3.01,2.91
2.96,2.95,3.00,2.93
2.92,2.71,2.94,2.70
2.94,2.66,3.00,2.61
2.68,2.60,2.78,2.60
2.75,2.65,2.76,2.57
2.66,2.70,2.76,2.66
2.66,2.71,2.80,2.65
2.71,2.64,2.71,2.64
2.70,2.83,2.84,2.70
2.73,2.73,2.84,2.68
2.65,2.64,2.65,2.55
2.63,2.62,2.68,2.61
