VDE,Vanguard Energy ETF,NASDAQ
84.48,85.97,85.99,84.48
86.04,86.85,86.88,85.74
86.77,87.85,88.00,86.63
87.56,87.64,87.79,86.82
87.38,88.30,88.31,87.09
89.09,88.23,89.18,87.52
87.11,86.84,87.43,86.48
86.96,87.28,87.48,85.68
87.25,87.52,87.77,86.98
87.35,86.81,87.58,86.21
86.62,87.62,87.66,86.38
86.62,86.18,86.62,85.52
86.33,84.49,86.48,84.35
84.00,82.45,84.58,82.28
83.07,83.08,83.86,82.81
82.45,82.55,83.82,82.00
82.42,82.06,83.00,80.86
82.60,81.25,82.89,80.19
81.92,79.80,82.53,79.33
80.52,82.21,82.30,80.52
82.62,83.54,83.54,82.00
83.15,82.74,83.79,82.47
81.87,79.26,81.92,79.20
79.17,79.12,79.51,76.94
79.15,78.50,80.17,78.50
79.50,80.12,81.09,79.33
80.17,79.85,80.30,78.58
79.74,81.24,81.29,79.39
80.36,81.06,81.12,79.70
82.36,83.02,83.24,82.08
83.27,82.89,83.42,82.38
82.77,83.38,83.55,82.40
83.10,83.68,83.94,82.79
83.94,82.51,83.94,82.38
82.19,81.07,82.32,80.80
81.21,81.58,81.90,80.86
80.42,81.60,81.65,79.75
81.77,81.74,82.03,81.12
82.26,82.65,82.76,82.23
83.10,83.37,83.91,82.99
83.74,83.65,84.37,83.62
83.76,83.26,84.06,82.86
83.95,84.75,84.80,83.94
84.95,84.67,85.16,84.28
84.24,84.71,85.15,84.24
84.75,85.34,85.53,84.42
85.17,85.29,85.39,84.87
85.82,85.38,85.83,84.96
85.09,84.40,85.09,83.65
84.88,85.23,85.28,84.31
85.59,86.04,86.53,85.49
86.15,84.75,86.20,84.36
83.63,83.63,85.04,82.93
82.77,83.52,83.75,82.29
83.67,83.91,83.93,83.19
83.38,83.43,84.11,83.19
84.01,81.98,84.13,81.90
82.23,82.01,82.54,81.50
82.48,83.55,83.65,82.44
83.72,83.60,83.75,83.14
83.66,84.01,84.41,83.46
84.68,85.55,85.68,84.68
86.13,87.13,87.23,85.92
86.91,87.20,87.46,86.72
87.05,86.38,87.05,85.90
85.87,86.76,86.93,85.35
87.24,87.61,87.68,87.15
87.64,87.85,88.35,87.57
87.75,87.44,87.86,86.65
87.92,88.36,88.39,87.26
88.34,88.50,88.78,88.18
88.04,87.08,88.36,86.50
86.37,87.08,87.10,85.99
87.70,88.84,89.05,87.70
88.89,88.69,89.28,88.08
88.01,88.83,88.89,87.35
88.90,90.92,90.92,88.89
91.04,90.60,91.23,90.55
90.14,87.98,90.74,87.83
88.57,88.87,89.13,87.75
89.44,88.88,89.89,88.36
89.04,87.77,89.11,87.24
88.20,88.65,89.33,87.08
87.59,86.32,87.59,85.50
84.81,85.03,86.15,84.24
84.25,81.91,87.19,75.28
82.00,80.33,82.64,79.28
83.57,83.67,83.99,81.33
82.70,83.13,84.36,82.54
83.37,84.37,84.61,83.37
84.34,83.84,84.87,83.57
83.11,82.01,83.31,80.98
82.23,81.24,82.65,79.67
82.45,80.50,83.00,80.15
80.12,79.57,80.68,78.32
77.70,75.95,77.75,75.80
74.60,77.32,77.48,74.30
77.21,75.46,77.26,75.40
73.29,75.46,75.60,72.93
76.18,75.63,77.24,75.42
77.58,78.79,78.79,77.30
78.56,77.29,78.77,76.86
76.31,73.72,76.67,73.69
74.11,76.96,76.96,74.06
77.56,78.06,78.14,76.19
76.63,75.33,78.05,74.83
75.60,74.50,76.44,74.50
74.57,75.80,75.97,73.99
76.59,74.99,77.64,74.60
76.97,78.57,78.67,76.94
77.91,79.05,79.09,77.68
80.29,78.77,80.59,78.74
79.74,81.03,81.13,79.33
80.34,80.96,81.45,80.05
80.98,80.98,81.07,80.03
81.11,81.44,81.57,80.44
82.57,81.19,83.06,80.69
81.15,78.87,81.29,78.69
78.76,78.17,78.79,77.81
77.70,76.49,78.17,76.26
76.66,76.81,77.43,75.85
76.88,75.79,77.11,75.76
74.87,73.22,74.87,72.85
73.23,72.84,74.26,72.60
72.93,72.55,73.37,71.17
73.00,72.32,73.25,71.69
73.50,72.91,74.24,72.19
73.09,75.53,75.53,73.09
76.44,76.50,76.60,75.20
76.36,76.94,76.97,76.14
76.52,76.66,77.21,75.95
77.90,77.63,78.00,77.19
77.33,77.41,77.90,76.75
77.35,77.49,77.70,76.15
77.12,75.32,77.12,75.09
75.86,75.90,76.35,75.15
75.00,77.48,77.63,74.90
78.05,76.42,78.05,75.82
77.50,78.15,78.69,77.38
77.90,78.51,78.51,77.09
78.46,79.38,79.38,78.42
79.86,79.00,79.86,78.40
78.80,78.79,79.26,78.44
79.65,78.87,80.00,78.00
77.95,78.69,79.00,77.81
80.32,81.37,81.60,80.02
80.98,81.51,81.92,80.69
81.61,82.21,82.30,81.35
81.69,82.24,82.24,81.26
81.41,81.35,81.82,80.39
81.80,81.75,81.97,81.33
80.91,80.97,81.40,80.26
79.67,78.55,79.67,78.36
77.62,78.13,78.73,77.25
78.01,77.95,78.68,77.76
77.56,77.90,78.14,77.09
78.66,79.29,79.68,78.40
79.10,78.51,79.10,77.95
78.08,77.24,78.33,76.87
76.95,76.26,76.95,75.69
76.39,76.33,77.07,76.31
75.22,75.24,76.18,74.90
74.75,75.08,75.28,73.88
75.42,74.42,75.71,74.11
74.89,76.48,76.53,73.85
76.17,75.41,76.53,75.37
75.12,75.18,75.74,74.72
76.27,77.99,78.14,76.27
78.20,78.66,78.67,77.70
79.29,79.43,79.78,78.85
78.99,78.26,79.00,78.09
78.31,78.85,79.23,78.31
79.90,79.02,79.99,78.84
79.42,79.92,80.07,79.42
80.62,80.45,80.74,80.05
80.22,80.31,80.90,80.00
79.76,80.22,80.23,79.33
79.98,79.85,80.22,79.40
80.22,79.58,80.27,79.35
79.99,80.98,81.20,79.49
80.98,80.89,81.37,80.35
80.87,80.38,81.65,80.32
79.78,79.83,80.50,79.47
80.67,81.52,81.82,80.43
81.71,81.26,81.98,81.25
81.50,81.94,82.11,80.59
81.82,82.69,83.06,81.65
83.37,82.73,83.67,81.91
83.49,83.76,83.94,83.00
83.62,82.71,83.77,82.19
83.51,84.63,84.89,83.45
84.71,85.19,85.55,84.66
85.71,84.84,85.72,84.28
84.73,86.04,86.25,84.66
86.15,86.16,86.61,85.91
85.99,86.23,86.54,84.99
86.80,87.20,87.65,86.65
87.27,87.16,87.77,86.50
87.75,87.37,87.75,86.45
87.25,87.93,88.26,86.95
86.74,85.73,86.88,85.09
86.00,86.89,87.31,86.00
87.25,86.62,87.78,85.83
86.98,87.12,87.42,86.82
87.79,87.25,88.51,87.24
87.00,87.39,87.57,86.78
86.85,87.08,87.13,85.91
87.62,86.91,87.78,86.61
86.54,86.95,87.08,86.27
87.72,87.20,88.36,86.78
