FXA,Guggenheim CurrencyShares Australian Dollar Trust,NASDAQ
90.92,91.29,91.38,90.80
91.24,91.20,91.57,90.97
91.64,92.03,92.21,91.59
92.05,91.85,92.05,91.71
92.17,92.48,92.58,91.82
92.99,93.25,93.27,92.95
92.44,92.10,92.72,91.81
92.60,92.54,92.63,92.10
93.09,93.27,93.32,93.04
92.79,92.45,92.83,92.27
92.12,92.65,92.66,92.10
91.53,91.00,91.59,90.88
91.41,90.37,91.58,90.34
90.64,90.28,90.83,90.20
90.60,90.71,90.79,90.41
89.79,90.07,90.44,89.57
89.90,89.62,90.04,89.33
90.43,89.71,90.45,89.56
89.38,88.71,89.44,88.71
88.46,89.15,89.20,88.27
88.32,88.71,88.72,88.15
88.55,88.31,88.71,88.19
87.74,86.48,87.74,86.12
86.79,86.75,86.91,85.81
86.84,86.50,87.14,86.48
87.48,87.86,88.02,87.09
87.57,87.61,87.85,87.17
88.66,89.18,89.31,88.48
88.21,88.76,88.96,87.96
89.95,90.31,90.40,89.84
90.30,90.13,90.38,89.89
90.01,90.37,90.40,89.79
89.51,89.99,90.05,89.27
90.22,90.17,90.31,89.96
90.19,89.01,90.29,88.96
89.23,89.50,89.71,89.14
88.34,89.11,89.11,88.21
89.30,89.83,89.97,89.09
89.65,90.07,90.17,89.50
90.40,90.39,90.63,90.19
90.45,90.59,90.88,90.33
90.30,90.18,90.39,89.89
90.68,90.85,90.98,90.64
91.34,91.00,91.39,90.86
91.03,91.49,91.55,91.00
91.70,91.57,92.00,91.36
91.44,91.62,91.68,91.22
91.80,91.68,91.87,91.56
91.45,91.55,91.56,91.11
91.47,91.97,92.04,91.40
92.50,92.44,92.63,92.32
92.41,92.30,92.43,92.02
91.77,91.77,92.20,91.46
91.18,91.94,91.96,91.15
91.88,92.12,92.16,91.78
91.28,91.02,91.46,90.95
91.47,90.96,91.54,90.94
90.66,90.57,90.78,90.25
91.70,91.92,91.99,91.63
92.24,92.04,92.32,91.94
91.97,92.04,92.09,91.78
91.85,92.09,92.20,91.80
92.19,92.11,92.27,92.02
92.35,92.89,92.94,92.28
92.85,92.84,93.02,92.65
92.62,92.87,92.99,92.48
93.11,93.41,93.53,93.09
92.97,92.95,93.12,92.87
92.95,92.84,92.95,92.50
93.47,93.62,93.73,93.40
93.47,93.52,93.60,93.35
93.22,92.70,93.47,92.47
92.05,92.45,92.48,91.94
93.34,93.32,93.35,93.13
93.22,93.02,93.30,92.78
92.87,93.10,93.16,92.50
92.19,92.89,92.92,92.09
93.04,92.92,93.21,92.78
92.46,91.63,92.78,91.57
92.55,92.72,92.89,92.28
93.01,93.03,93.14,92.84
93.50,92.82,93.50,92.74
92.61,92.66,92.78,92.33
91.45,90.96,91.50,90.90
90.40,90.56,91.03,90.32
90.12,88.67,90.56,86.70
88.73,88.71,89.23,88.11
90.49,90.35,90.65,89.94
89.58,89.71,90.29,89.58
89.65,89.43,89.78,89.10
89.80,89.72,90.36,89.65
89.29,88.70,89.35,88.64
