CYCC,Cyclacel Pharmaceuticals,NASDAQ
91.56,87.36,92.40,87.36
89.04,84.84,90.72,84.00
84.84,89.04,100.80,84.84
93.24,224.53,230.16,88.20
273.00,248.64,342.72,245.28
242.76,208.32,243.60,199.92
204.12,237.72,268.80,194.04
242.76,232.68,260.40,220.08
228.48,215.88,231.00,212.52
nan,220.08,nan,nan
220.92,213.36,229.32,213.36
213.36,219.24,254.52,202.44
207.48,201.60,217.56,198.24
204.12,193.20,210.00,193.20
199.08,186.48,203.28,180.60
183.12,181.44,205.80,175.56
186.48,174.72,192.36,173.04
182.28,177.24,183.96,175.56
179.76,156.24,180.60,156.24
163.80,161.28,164.64,147.84
159.60,173.88,189.84,152.88
170.52,166.32,179.76,166.32
191.52,193.20,204.96,183.12
194.88,193.20,201.60,184.80
196.56,176.40,197.40,173.88
182.28,171.36,183.96,168.00
171.36,165.48,174.72,161.28
166.32,195.72,204.12,162.96
nan,200.76,nan,nan
204.96,201.60,217.56,194.88
235.20,232.68,247.80,221.76
230.16,220.08,233.52,218.40
220.08,216.72,224.28,211.68
224.28,227.64,236.88,220.07
229.32,220.92,233.52,213.36
220.92,215.04,223.44,209.16
210.00,208.32,210.84,198.24
210.00,206.64,217.56,203.28
210.00,212.52,219.24,207.48
214.20,211.68,220.08,207.48
214.20,208.32,214.21,207.48
208.32,202.44,209.16,198.24
202.44,204.12,207.48,199.92
204.96,197.40,205.80,197.40
199.92,197.40,204.96,193.20
203.28,221.76,221.76,198.24
225.96,236.04,239.40,225.12
239.40,228.48,243.60,225.12
236.88,225.96,236.88,222.60
222.60,208.32,225.12,205.80
208.32,202.02,212.52,202.02
207.48,202.44,210.00,199.08
204.96,204.96,205.80,199.92
205.80,201.60,207.48,199.92
200.76,210.84,221.76,199.92
210.00,199.92,210.01,199.08
202.44,196.14,213.36,194.88
198.24,198.24,204.12,194.88
198.24,199.92,204.96,195.72
196.56,187.32,198.24,181.44
189.00,180.60,190.68,176.40
N/A,N/A,N/A,N/A
201.60,207.48,210.00,197.40
208.32,205.80,209.15,198.24
202.44,196.56,204.12,196.56
197.40,200.76,200.76,193.20
197.40,200.76,201.60,194.04
202.44,212.52,217.56,200.76
214.20,202.44,219.24,202.44
204.96,204.12,204.96,198.24
204.96,203.28,213.36,199.92
206.64,222.60,228.48,197.40
216.72,231.84,249.48,212.52
231.00,206.64,235.20,199.92
203.28,199.92,209.16,199.92
200.76,205.80,209.16,197.40
205.80,201.60,212.52,201.60
205.80,197.40,208.32,197.40
199.08,197.40,201.60,193.20
196.56,194.88,199.72,189.00
195.72,195.72,199.92,190.68
197.40,193.20,204.96,189.84
199.92,204.96,205.80,193.20
199.92,206.64,213.36,199.08
203.28,194.88,205.80,193.20
194.04,175.56,198.25,147.00
178.92,169.68,185.64,151.20
183.12,182.28,184.80,174.72
182.28,196.56,196.56,177.25
197.40,197.40,200.76,188.16
201.60,189.84,201.60,189.84
189.00,184.80,189.84,178.08
182.28,181.44,184.80,175.56
179.76,178.08,188.16,172.20
176.40,165.48,177.24,161.28
159.60,148.68,163.80,148.68
142.80,156.24,162.11,138.60
158.76,163.80,173.04,158.76
155.40,180.60,183.96,152.04
184.80,178.92,191.52,176.40
188.16,179.76,188.16,177.24
nan,181.44,nan,nan
183.12,172.20,184.80,172.20
176.40,177.24,181.44,173.88
178.92,182.28,184.80,178.08
174.72,182.28,183.96,174.72
183.12,146.16,183.96,142.80
154.56,136.92,156.23,132.72
140.28,119.28,140.28,115.92
124.32,136.08,141.96,120.12
137.76,162.12,162.12,136.92
161.28,153.72,162.12,151.20
152.88,145.32,152.88,141.96
147.00,146.16,147.84,141.96
144.48,144.48,146.16,139.44
144.48,140.28,146.16,140.28
141.96,141.96,146.16,141.96
139.44,135.24,144.48,135.24
136.08,133.56,138.60,128.52
132.72,133.56,141.12,132.72
135.24,141.96,143.64,134.40
142.80,142.80,144.48,138.60
141.96,146.16,159.60,131.04
150.36,144.48,150.36,136.92
149.52,141.12,155.40,139.44
nan,143.64,nan,nan
144.48,130.20,146.16,130.20
131.04,132.72,134.40,122.64
132.72,134.40,136.92,126.84
133.56,133.56,133.56,127.68
133.56,131.04,133.56,127.68
130.20,138.60,139.44,127.68
136.92,141.12,145.32,136.92
142.79,136.92,142.80,133.56
136.92,129.36,136.92,127.68
128.52,125.16,130.20,121.80
122.64,122.64,126.00,118.44
122.64,122.64,129.36,121.80
123.48,129.36,132.72,123.48
128.52,136.08,136.08,126.80
136.08,136.92,141.12,130.20
139.44,131.04,139.44,130.20
131.04,133.56,133.56,131.04
132.72,133.56,134.40,128.52
130.20,144.48,146.16,130.20
144.48,141.12,147.00,141.12
141.12,142.80,145.32,138.60
144.48,138.60,144.48,138.60
140.28,141.12,141.12,135.24
136.92,137.76,140.28,131.04
137.76,139.44,142.80,131.88
136.92,137.76,140.28,135.24
134.40,138.60,138.60,131.04
134.40,135.24,137.76,132.72
133.56,132.72,136.92,130.20
130.20,130.20,133.56,130.20
131.04,129.36,134.40,127.68
127.68,127.68,131.09,126.84
130.20,128.52,130.20,127.68
128.52,130.20,130.20,120.96
