WSO,Watsco,NASDAQ
56.90,57.71,57.74,56.89
57.12,57.30,58.18,56.85
55.90,55.73,56.51,52.37
56.59,55.60,56.59,55.27
55.64,56.02,56.21,55.64
56.51,56.77,57.19,56.51
56.41,55.95,56.66,55.90
55.81,55.25,55.81,55.03
55.70,54.82,56.08,54.23
54.81,55.97,56.18,54.81
56.20,56.40,56.75,55.79
56.98,57.88,57.96,56.88
57.90,57.31,57.99,56.50
58.00,58.31,58.80,57.73
58.41,58.84,59.05,58.15
58.70,58.56,58.88,58.10
58.63,57.67,58.88,57.37
57.76,58.82,58.93,57.49
58.32,58.80,59.04,57.76
58.35,58.81,59.26,58.35
59.02,58.76,59.39,58.63
58.45,58.71,58.81,57.94
58.75,58.78,58.92,58.31
59.36,59.73,60.11,59.23
59.60,59.66,59.73,58.96
59.73,60.01,60.11,59.22
59.40,60.62,60.68,59.22
58.71,60.49,60.85,58.71
59.92,60.28,60.70,59.92
60.14,60.05,60.22,59.24
59.61,60.27,61.12,59.61
61.04,60.91,61.21,60.49
61.09,61.68,61.97,61.09
61.60,61.58,61.94,61.41
61.60,61.90,62.22,61.20
62.50,62.00,63.21,61.88
62.16,62.00,62.31,61.54
62.24,62.41,62.62,61.74
62.53,64.20,64.24,62.41
64.24,64.08,64.26,63.76
63.81,64.18,64.32,63.45
64.18,64.24,65.71,64.01
64.22,64.47,64.49,63.91
64.48,63.63,64.53,63.35
63.88,63.57,64.18,63.42
63.72,63.50,64.15,63.41
63.67,63.40,63.96,63.33
63.29,63.77,63.85,63.03
63.53,64.55,64.66,63.53
64.55,64.10,64.80,63.73
64.28,64.18,64.62,64.14
64.00,64.38,65.00,64.00
64.23,63.08,64.23,63.03
63.58,64.17,64.50,63.38
64.56,62.22,64.62,62.17
62.27,62.86,63.43,62.17
63.05,62.20,63.30,62.14
62.32,61.83,62.80,60.83
61.71,63.55,63.88,61.01
64.00,63.11,64.91,62.61
63.06,62.16,63.06,61.74
62.33,61.70,62.40,61.54
61.76,61.88,61.94,61.17
61.55,61.83,62.29,61.08
61.84,61.47,62.18,61.31
60.26,59.59,60.26,58.24
59.84,60.80,60.83,59.45
60.96,62.10,62.27,60.95
61.91,62.47,63.72,61.91
62.64,62.46,62.88,61.96
62.42,62.61,62.75,61.99
62.69,61.89,62.92,61.87
62.12,62.72,63.57,61.75
62.88,63.73,64.81,62.83
63.53,63.63,64.10,63.30
63.63,64.65,64.68,62.95
64.75,64.28,64.96,64.12
64.33,64.32,65.50,64.17
64.40,64.85,64.86,64.10
64.60,64.11,64.81,64.01
62.88,63.41,63.91,62.52
63.34,63.76,64.15,63.20
63.86,63.81,64.02,63.44
64.05,62.52,65.97,62.04
62.62,64.86,65.07,62.45
64.71,65.80,66.50,64.59
65.99,65.68,66.31,65.05
65.03,65.50,65.74,64.90
65.43,64.00,65.60,63.68
64.01,64.03,64.37,63.18
64.11,64.81,64.81,63.65
64.96,64.58,65.65,64.36
64.88,63.16,65.02,62.68
63.72,65.72,66.45,63.51
66.35,65.83,66.70,65.58
65.85,65.31,65.88,65.00
65.61,64.61,65.94,64.49
64.59,65.81,66.39,64.29
65.67,65.79,66.32,65.45
65.07,64.65,65.18,64.17
64.44,65.28,65.61,64.08
64.76,64.74,65.04,64.23
63.45,64.71,65.34,63.35
64.45,64.65,65.22,64.26
65.44,64.99,65.99,64.96
65.36,65.58,66.21,65.30
66.40,67.53,67.61,66.28
67.66,66.98,67.66,66.85
67.03,67.75,68.03,66.24
68.06,68.19,68.30,67.47
68.45,68.73,69.04,67.77
68.86,68.83,69.34,68.58
68.69,69.07,69.30,68.48
69.51,69.15,70.22,69.06
69.17,69.71,70.22,68.92
69.88,70.99,71.18,69.54
71.19,71.50,71.58,70.92
71.23,71.64,72.06,71.18
72.29,72.76,73.26,72.29
72.83,72.10,73.38,71.94
72.11,71.13,72.75,70.69
71.24,70.80,71.53,70.52
70.67,70.36,70.90,70.12
70.25,69.60,70.41,69.07
69.19,69.67,69.78,69.03
69.42,70.16,70.37,69.18
69.38,69.82,70.16,68.92
70.12,69.72,70.60,69.32
70.63,70.94,71.83,70.33
69.98,71.88,72.76,67.89
71.98,71.27,72.38,71.10
71.53,71.19,71.86,71.10
71.15,71.20,71.43,70.64
71.10,71.12,71.50,70.81
71.30,70.89,71.38,70.77
71.34,69.79,71.34,69.36
69.75,69.64,70.78,69.25
69.56,67.87,69.68,67.81
67.60,68.45,68.94,67.01
69.18,69.04,69.67,68.79
