BAP,Credicorp Ltd. Common Stock,NASDAQ
77.53,77.63,77.86,77.30
77.75,78.09,78.47,77.57
77.79,77.69,78.20,77.55
77.66,78.11,78.46,77.66
78.12,78.60,78.72,78.02
78.69,77.60,79.27,77.23
76.84,75.53,77.98,75.36
76.11,76.04,76.58,75.83
76.42,75.84,76.74,75.74
75.87,75.00,75.93,74.56
75.49,75.87,76.15,75.49
75.55,73.96,76.30,73.35
74.17,73.38,74.81,73.04
73.23,71.85,73.23,70.83
72.00,73.02,73.17,72.00
72.92,73.18,74.23,72.43
73.29,73.93,74.28,72.95
73.99,74.47,74.81,73.66
74.56,74.63,75.81,73.72
75.31,75.46,75.56,74.73
75.52,77.55,77.64,75.52
78.39,78.60,81.38,78.38
78.18,76.04,78.18,75.97
75.63,73.96,75.82,73.04
73.66,72.81,74.16,72.77
74.11,73.83,74.50,72.71
74.28,74.15,74.70,73.53
74.28,76.36,76.60,74.28
76.60,76.46,76.84,75.16
77.50,77.83,78.05,77.44
77.83,78.14,78.47,77.64
77.85,78.98,79.05,77.85
78.28,78.93,79.00,78.08
78.93,78.99,79.74,78.41
78.99,77.25,79.00,76.68
77.26,77.32,77.32,76.78
76.49,77.35,77.35,76.29
77.25,78.10,78.19,76.87
78.07,78.69,79.15,78.07
78.72,79.20,79.79,78.45
79.71,78.69,79.94,78.56
79.00,78.55,79.39,78.50
79.33,79.32,79.50,78.80
79.32,79.03,79.72,78.78
78.56,78.77,79.30,78.07
79.13,80.37,80.41,79.13
80.42,80.94,81.29,80.30
81.36,81.95,82.28,81.14
81.38,82.50,82.79,81.28
83.00,85.19,85.56,82.42
85.65,85.02,86.10,84.52
85.11,85.20,85.58,84.80
85.20,85.57,85.71,84.69
85.61,85.97,86.31,85.24
85.71,86.57,86.75,85.52
86.49,86.56,86.92,86.11
87.41,87.01,88.20,86.75
87.01,86.62,87.52,85.82
87.07,86.64,87.07,86.09
86.96,87.83,88.00,86.96
87.80,88.18,88.88,87.52
88.87,88.50,89.93,88.29
88.83,89.81,89.81,88.68
89.78,89.37,89.84,88.89
89.36,88.83,89.72,88.47
88.00,88.66,89.04,87.96
88.40,87.91,89.05,87.74
88.35,89.10,89.34,87.80
89.25,88.11,89.29,87.71
87.42,87.82,88.45,87.05
88.08,87.84,88.66,87.76
87.45,85.93,87.45,84.50
85.14,86.29,86.33,84.94
86.97,86.53,87.12,86.08
86.94,87.49,87.71,86.78
86.84,89.87,89.88,86.84
90.14,90.37,91.37,89.64
90.00,88.15,90.90,87.96
87.87,85.96,87.95,85.90
85.97,86.05,87.08,85.59
86.73,87.11,87.84,86.64
87.42,86.86,87.70,86.57
87.09,87.26,87.96,86.80
86.85,84.21,86.85,84.08
