CDTI,Clean Diesel Technologies,NASDAQ
7.60,7.60,7.60,7.60
7.60,7.25,7.60,7.25
7.25,8.40,9.14,7.25
8.40,10.06,10.95,7.90
10.00,9.70,10.35,9.00
11.10,10.50,11.10,10.00
11.00,9.85,11.00,9.65
10.10,9.55,10.10,9.10
8.80,8.90,9.50,8.80
8.80,8.80,8.80,8.80
8.80,9.15,9.50,8.80
9.20,9.50,9.50,9.20
9.50,9.05,9.75,9.00
9.00,8.88,9.00,8.75
9.00,8.80,9.20,8.75
8.80,9.00,9.00,8.75
9.00,8.96,9.50,8.96
8.75,8.87,8.87,8.75
8.80,8.75,8.80,8.75
8.55,8.25,9.20,8.00
8.40,9.00,9.00,8.15
8.35,8.78,8.95,8.35
8.25,8.32,8.32,8.25
8.30,8.15,8.95,8.00
8.05,8.00,8.20,8.00
nan,8.00,nan,nan
8.00,7.75,8.00,7.75
8.25,7.85,8.25,7.85
8.78,8.60,8.78,8.60
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.10,8.75,8.10
8.40,8.10,9.10,8.00
8.30,8.25,8.95,8.25
9.15,8.31,10.00,8.31
8.35,8.39,8.62,8.35
8.40,8.16,9.20,8.15
8.15,8.70,9.00,8.15
9.10,8.20,9.10,8.20
8.40,8.40,8.40,8.40
9.15,9.12,9.15,8.40
8.60,9.09,9.09,8.40
9.00,8.38,9.10,8.20
8.25,8.74,8.75,8.25
8.65,8.27,8.65,8.27
8.75,8.75,8.75,8.75
9.00,8.25,9.00,8.05
8.55,9.00,9.00,8.31
9.00,8.35,9.00,8.05
8.40,8.40,8.40,8.40
8.30,8.00,8.35,8.00
8.10,8.00,8.10,8.00
8.00,8.20,8.25,8.00
8.15,8.30,8.30,8.15
8.60,8.35,8.60,8.00
8.10,8.00,8.50,8.00
8.60,8.00,8.60,8.00
8.00,7.90,8.20,7.90
7.60,7.69,7.85,7.60
7.98,7.90,7.98,7.90
8.05,8.05,8.05,8.00
N/A,N/A,N/A,N/A
8.10,8.10,8.10,8.10
8.40,8.35,8.45,8.32
8.35,8.21,8.35,8.15
8.25,8.00,8.25,8.00
8.05,8.05,8.05,8.05
8.05,8.05,8.05,8.05
8.05,8.25,8.25,7.95
8.25,8.20,8.25,8.20
8.00,8.00,8.14,7.70
8.00,8.23,8.23,7.55
7.70,7.15,7.85,7.10
8.40,7.75,8.50,7.26
7.88,8.20,8.20,7.88
8.20,8.30,8.50,8.16
8.15,8.10,8.15,8.10
8.90,7.80,8.90,7.65
7.45,7.55,7.55,7.45
7.45,7.60,7.65,7.45
7.45,7.40,7.57,7.35
8.20,7.40,8.45,7.40
7.50,7.40,7.50,7.40
nan,7.40,nan,nan
7.50,7.45,7.50,7.40
7.50,7.50,7.52,7.50
7.50,7.56,7.56,7.40
7.25,7.50,7.50,7.25
7.30,7.30,7.39,7.30
7.45,7.45,8.00,7.30
7.50,7.83,7.83,7.50
7.30,7.80,7.85,7.25
7.50,7.50,7.50,7.25
7.25,7.35,7.50,6.75
7.15,7.00,7.15,6.39
6.80,5.85,6.80,5.50
5.85,5.70,6.00,5.50
5.85,5.90,6.15,5.85
5.75,6.07,6.07,5.75
6.15,5.85,6.15,5.85
5.85,5.75,6.00,5.75
5.75,6.05,6.05,5.75
6.10,6.15,6.15,6.10
5.60,6.10,6.10,5.50
5.55,5.50,5.55,4.75
5.79,5.79,5.79,5.79
5.89,5.10,5.89,5.10
5.12,5.00,5.12,5.00
5.10,5.35,5.35,5.00
5.10,5.15,5.15,5.10
5.35,5.50,6.00,5.00
5.50,5.90,5.90,5.25
5.40,5.90,6.32,5.15
5.60,6.05,6.05,5.50
6.05,5.62,6.05,5.62
5.60,6.15,6.15,5.60
6.10,6.55,6.55,5.60
5.65,6.40,6.55,5.65
6.40,6.65,7.05,5.50
6.05,6.00,6.05,6.00
5.75,5.00,5.75,5.00
5.05,5.00,5.21,5.00
5.00,5.44,5.50,5.00
5.10,5.40,5.40,5.10
5.40,5.28,5.40,5.28
5.40,5.40,5.45,5.25
5.45,5.50,6.00,5.25
5.25,5.26,5.42,5.25
5.30,5.30,5.30,5.30
nan,5.30,nan,nan
nan,5.30,nan,nan
5.25,5.15,5.45,5.10
5.15,5.15,5.15,5.15
5.45,5.35,5.45,5.00
5.45,5.17,5.45,5.09
5.10,6.50,6.50,5.10
6.55,6.74,7.10,6.45
6.75,6.05,6.75,6.05
6.00,6.00,6.00,5.50
5.90,6.75,6.95,5.00
6.65,6.20,6.65,5.35
6.20,6.20,6.20,6.20
nan,6.20,nan,nan
6.20,5.51,6.20,5.51
