ESGR,Enstar Group Limited - Ordinary Shares,NASDAQ
73.92,73.94,74.42,73.44
73.62,72.63,74.87,72.63
72.76,71.45,73.99,71.45
71.60,69.48,72.46,69.18
69.48,70.37,71.58,69.48
70.50,68.25,70.50,68.25
67.73,66.36,68.20,66.09
66.50,66.74,67.38,66.30
66.85,67.50,67.99,66.85
67.83,65.86,67.83,65.82
66.31,67.33,67.57,66.31
66.99,66.51,67.75,66.01
66.55,65.16,66.61,65.16
65.00,64.84,66.41,64.06
65.06,64.91,65.88,64.50
64.64,63.88,65.01,63.78
63.40,65.00,65.00,63.40
65.32,64.58,66.07,63.17
64.64,64.89,65.77,64.35
65.00,64.10,66.87,64.07
64.00,63.72,64.77,63.42
63.70,63.65,64.23,62.82
63.37,61.90,63.37,61.68
61.85,62.57,62.57,61.03
62.64,61.65,63.05,61.50
62.56,62.51,63.05,61.63
62.23,62.02,62.88,62.02
62.01,64.55,64.71,61.99
63.84,63.50,63.89,62.95
64.00,63.02,64.00,62.22
63.33,62.50,63.33,61.88
62.29,62.50,62.50,61.95
62.52,62.86,63.08,62.10
63.74,63.60,64.00,63.02
63.60,62.83,64.23,62.63
62.83,63.20,63.50,62.83
62.30,62.54,64.50,62.10
62.77,63.01,63.97,61.81
63.55,64.24,64.77,63.04
64.46,65.50,65.80,64.43
65.80,65.02,65.80,64.84
65.31,66.25,67.49,64.91
66.40,69.21,69.23,65.88
69.37,69.17,69.68,68.09
69.14,69.47,69.50,67.25
69.26,68.20,69.26,67.92
67.98,67.73,68.36,66.82
68.25,66.68,68.25,65.46
65.82,66.33,66.92,65.76
66.32,67.99,68.00,66.32
67.92,69.26,70.75,67.92
69.25,68.01,69.25,67.70
67.90,67.31,68.24,67.15
66.98,68.08,68.21,66.92
66.82,68.09,68.20,66.53
67.99,67.71,68.50,66.66
67.95,68.34,69.05,67.10
68.38,69.00,69.19,67.66
69.21,69.00,69.30,67.90
68.52,70.00,70.22,68.52
69.55,69.16,70.22,69.00
N/A,N/A,N/A,N/A
68.32,68.91,69.71,67.69
68.62,68.64,68.86,68.09
68.37,69.14,69.18,68.18
68.87,68.94,69.48,68.66
68.81,68.76,69.13,67.71
68.58,69.05,69.15,67.63
69.00,68.06,69.00,67.83
68.68,68.93,68.93,67.95
68.52,69.00,69.00,67.61
69.00,68.55,69.21,67.96
68.25,67.95,68.69,67.56
68.00,68.00,68.20,67.51
68.00,67.65,68.05,67.60
67.38,67.48,67.64,66.48
66.98,67.50,67.60,66.87
67.45,67.50,67.74,67.26
67.40,66.61,67.98,66.60
66.70,66.54,67.00,65.63
66.65,66.90,67.16,66.65
66.70,66.12,66.89,66.05
66.20,66.25,66.39,65.17
65.75,66.00,66.79,65.40
65.50,65.60,66.00,65.50
65.50,62.34,66.00,62.34
62.50,62.81,65.70,62.50
64.08,64.23,65.00,63.38
63.79,64.00,64.38,63.73
64.00,64.68,65.17,64.00
64.67,65.10,65.85,64.66
64.71,64.35,64.99,64.30
64.80,64.58,65.05,64.04
64.99,64.61,65.44,64.54
64.42,65.30,65.79,64.42
65.01,62.26,65.01,62.25
61.64,62.47,63.03,61.20
62.26,62.75,63.20,61.60
61.50,61.79,62.32,60.27
62.00,61.08,64.00,60.88
61.95,64.72,64.72,61.95
64.36,62.60,64.36,62.00
62.00,62.37,63.83,61.99
62.50,65.02,65.02,62.50
64.88,63.71,65.13,54.03
62.56,63.12,63.83,60.42
63.58,63.12,64.01,62.95
