RYT,Guggenheim S&P 500 Equal Weight Technology ETF,NASDAQ
46.18,46.27,46.43,46.14
46.32,46.39,46.45,46.20
46.36,46.27,46.52,46.25
46.22,46.10,46.22,45.84
45.96,46.44,46.44,45.95
46.53,46.26,46.53,46.09
45.93,45.47,45.94,45.26
45.62,46.11,46.17,45.21
45.95,46.17,46.19,45.90
46.13,45.29,46.13,45.11
45.39,46.01,46.01,45.39
45.57,45.44,45.57,44.92
45.16,45.18,45.31,45.00
44.93,43.39,44.97,43.38
43.63,43.65,43.86,43.46
43.64,43.76,44.07,43.64
43.50,43.94,43.94,43.47
43.90,42.82,43.90,42.50
42.96,41.86,42.96,41.76
42.14,42.82,42.82,42.14
42.97,43.35,43.35,42.77
43.03,43.35,43.35,43.03
43.00,41.96,43.00,41.95
41.95,42.20,42.20,41.36
42.16,42.18,42.60,42.13
42.54,42.44,42.70,42.18
42.42,42.40,42.56,42.15
42.36,43.02,43.08,42.18
42.59,43.04,43.24,42.44
43.43,43.80,43.88,43.41
44.04,44.03,44.04,43.85
43.87,44.25,44.29,43.87
44.25,44.47,44.58,44.09
44.55,44.23,44.55,44.23
44.13,43.62,44.13,43.40
43.81,44.07,44.31,43.81
43.50,44.07,44.07,43.20
43.74,44.11,44.19,43.71
44.23,45.07,45.07,44.23
45.27,45.05,45.34,44.98
45.30,45.22,45.54,45.14
45.08,45.20,45.20,44.85
45.60,46.03,46.08,45.56
46.16,46.16,46.21,46.11
45.97,46.36,46.60,45.97
46.64,46.76,46.93,46.64
46.71,46.79,46.81,46.57
47.06,46.84,47.06,46.77
46.85,46.73,46.85,46.47
46.83,47.16,47.16,46.76
47.33,47.65,47.85,47.33
47.65,47.52,47.65,47.38
46.94,46.94,47.65,46.79
46.70,47.56,47.56,46.70
47.65,48.08,48.08,47.60
48.01,47.47,48.01,47.45
47.92,47.33,48.08,47.33
47.44,47.32,47.64,47.02
47.58,47.40,47.58,47.31
47.51,47.63,47.71,47.20
47.37,47.37,47.65,47.28
47.83,47.33,47.97,47.13
47.59,48.22,48.25,47.49
47.98,48.30,48.41,47.98
48.26,48.03,48.37,47.93
48.02,47.95,48.02,47.52
48.04,48.37,48.39,47.97
48.34,48.58,48.76,48.34
48.45,48.71,48.73,48.45
48.98,49.86,49.88,48.98
49.85,49.99,50.09,49.72
49.75,49.34,49.85,49.00
49.30,49.11,49.31,48.47
49.24,49.74,49.76,49.21
49.93,49.69,49.99,49.32
48.92,50.09,50.16,48.82
50.10,50.47,50.47,49.93
50.47,50.44,50.67,50.33
50.29,49.21,50.48,49.15
49.47,49.39,49.55,48.94
49.63,50.08,50.08,49.55
49.83,48.41,49.83,48.41
48.90,49.27,49.43,48.75
48.45,47.80,48.45,47.31
47.29,47.48,47.98,46.96
47.17,45.91,47.40,42.00
45.50,44.85,45.90,44.04
46.88,47.22,47.23,46.79
46.80,47.31,47.79,46.72
47.29,48.11,48.11,47.29
47.93,47.49,48.47,47.39
47.01,46.25,47.01,45.79
46.35,46.61,46.61,45.56
46.80,45.76,46.80,45.45
45.69,45.48,45.71,44.89
44.55,43.81,44.73,43.66
43.05,44.68,45.00,42.87
44.30,44.24,44.85,44.24
43.11,44.22,44.22,42.69
44.52,44.14,45.22,44.07
45.24,45.93,45.93,45.08
45.76,45.52,45.80,45.00
45.06,44.34,45.55,44.30
44.55,45.46,45.46,44.34
