NWY,New York & Company,NASDAQ
4.37,4.44,4.49,4.33
4.44,4.40,4.47,4.35
4.40,4.40,4.46,4.37
4.40,4.42,4.49,4.29
4.39,4.42,4.48,4.36
4.47,4.45,4.52,4.38
4.26,4.26,4.28,4.06
4.25,4.27,4.32,4.10
4.23,4.15,4.25,4.11
4.17,3.95,4.25,3.90
3.91,3.77,3.99,3.75
3.75,3.70,3.79,3.58
3.71,3.65,3.79,3.53
3.64,3.51,3.67,3.50
3.55,3.59,3.63,3.45
3.58,3.63,3.72,3.56
3.61,3.71,3.74,3.59
3.72,3.62,3.73,3.61
3.63,3.60,3.81,3.60
3.63,3.84,3.94,3.62
3.83,3.92,3.99,3.81
3.90,3.84,4.01,3.80
3.81,3.73,3.88,3.59
3.73,3.77,3.79,3.69
3.77,3.75,3.78,3.68
3.80,3.80,3.82,3.71
3.76,3.77,3.83,3.72
3.74,3.89,3.89,3.73
3.84,3.93,3.93,3.73
3.93,3.80,3.95,3.75
3.83,3.79,3.83,3.76
3.77,3.78,3.80,3.74
3.76,3.68,3.82,3.62
3.70,3.77,3.78,3.70
3.77,3.72,3.84,3.72
3.73,3.79,3.82,3.73
3.73,3.70,3.78,3.68
3.69,3.71,3.74,3.68
3.75,3.82,3.85,3.74
3.83,3.93,3.94,3.83
3.92,3.96,4.01,3.92
4.00,4.32,4.35,4.00
4.34,4.39,4.41,4.27
4.39,4.34,4.41,4.22
4.36,4.30,4.56,4.25
4.30,4.24,4.33,4.22
4.21,4.20,4.25,4.16
4.23,4.09,4.27,4.09
4.09,4.21,4.24,4.03
4.22,4.29,4.35,4.22
4.32,4.41,4.47,4.29
4.45,4.72,4.99,4.41
4.60,4.60,4.76,4.52
4.52,4.76,4.84,4.48
4.75,4.80,4.84,4.73
4.76,4.76,4.86,4.70
4.76,4.70,4.85,4.68
4.74,4.83,4.95,4.66
4.84,4.79,4.87,4.69
4.78,4.76,4.80,4.71
4.72,4.79,4.82,4.72
4.81,4.79,4.81,4.72
4.79,4.75,4.89,4.71
4.74,4.71,4.74,4.60
4.71,4.80,4.81,4.62
4.74,4.83,4.87,4.74
4.81,4.90,4.94,4.73
4.90,4.94,4.94,4.81
4.96,5.65,5.70,4.96
5.65,5.83,5.88,5.58
5.79,6.03,6.15,5.69
6.01,5.93,6.13,5.74
5.97,5.73,6.02,5.63
5.78,5.85,5.88,5.71
5.87,5.87,5.90,5.69
5.81,6.18,6.19,5.76
6.20,6.20,6.23,6.05
6.22,6.13,6.37,6.10
6.21,5.85,6.40,5.81
5.90,5.85,5.99,5.77
5.94,6.11,6.11,5.80
6.14,6.14,6.53,5.86
6.15,6.38,6.50,6.12
6.30,6.08,6.30,5.93
6.05,5.89,6.11,5.84
5.79,5.62,5.95,5.46
5.55,5.28,5.60,5.20
5.66,5.72,5.74,5.53
5.62,5.98,6.13,5.58
5.99,6.18,6.26,5.92
6.18,5.99,6.23,5.91
5.95,5.71,5.95,5.55
5.80,5.77,6.00,5.69
5.89,5.64,6.00,5.61
5.64,5.30,5.69,5.28
4.98,4.13,5.01,3.94
3.97,3.85,4.07,3.73
3.91,3.58,3.91,3.58
3.50,3.56,3.61,3.44
3.61,3.68,3.73,3.60
3.78,3.87,3.87,3.63
3.84,3.82,3.90,3.75
3.77,3.80,3.98,3.66
3.81,3.61,3.82,3.55
3.65,3.69,3.72,3.53
3.55,3.44,3.66,3.42
3.45,3.28,3.51,3.28
3.06,2.31,3.17,2.20
2.33,2.18,2.46,2.05
2.18,2.53,2.53,2.15
2.52,2.54,2.55,2.40
2.57,2.71,2.73,2.51
2.69,2.84,2.84,2.66
2.86,2.65,2.92,2.60
2.79,2.69,2.79,2.62
2.75,2.72,2.95,2.66
2.79,2.70,2.80,2.67
2.70,2.64,2.75,2.62
2.64,2.62,2.69,2.56
2.58,2.51,2.58,2.50
2.53,2.45,2.55,2.27
2.42,2.40,2.50,2.39
2.34,2.20,2.37,2.18
2.24,2.29,2.39,2.19
2.19,2.37,2.38,2.11
2.44,2.26,2.56,2.25
2.28,2.27,2.38,2.25
2.31,2.37,2.38,2.22
2.44,2.40,2.49,2.37
2.40,2.44,2.45,2.33
2.44,2.30,2.44,2.29
2.36,2.46,2.46,2.28
2.49,2.40,2.49,2.37
2.40,2.35,2.45,2.28
2.31,2.20,2.31,2.15
2.16,2.09,2.24,2.05
2.06,2.30,2.32,2.03
2.33,2.24,2.42,2.20
2.30,2.23,2.35,2.22
2.28,2.30,2.32,2.15
2.41,2.41,2.48,2.33
2.46,2.40,2.50,2.38
2.37,2.25,2.41,2.25
2.26,2.20,2.30,2.18
2.18,2.23,2.29,2.14
2.33,2.37,2.43,2.28
2.35,2.28,2.37,2.27
2.31,2.39,2.43,2.31
2.35,2.37,2.41,2.32
2.36,2.30,2.37,2.25
2.32,2.37,2.39,2.32
2.37,2.33,2.39,2.32
2.30,2.10,2.30,2.10
2.10,2.15,2.16,2.05
2.10,2.14,2.19,2.10
2.11,2.04,2.19,2.03
2.08,2.09,2.14,2.07
2.09,2.10,2.25,2.07
2.08,2.11,2.24,2.05
2.05,2.06,2.14,2.05
2.06,2.02,2.12,2.01
2.00,1.99,2.00,1.67
1.96,1.95,1.98,1.90
1.94,1.97,2.06,1.94
1.98,2.04,2.05,1.96
2.03,1.90,2.03,1.90
1.89,1.86,1.99,1.80
1.89,1.99,2.02,1.86
1.99,2.01,2.08,1.97
2.04,2.12,2.14,2.03
2.10,2.04,2.10,2.03
2.04,2.05,2.06,2.04
2.10,2.03,2.11,2.00
2.04,2.05,2.05,2.03
2.08,2.10,2.13,2.05
2.08,2.11,2.16,2.08
2.10,2.13,2.13,2.07
2.13,2.24,2.26,2.07
2.28,2.37,2.45,2.24
2.41,2.30,2.46,2.27
2.29,2.40,2.45,2.28
2.37,2.29,2.39,2.28
2.26,2.38,2.38,2.26
2.43,2.51,2.56,2.41
2.52,2.54,2.56,2.46
2.54,2.51,2.57,2.45
2.50,2.56,2.58,2.49
2.59,2.57,2.59,2.49
2.60,2.65,2.70,2.58
2.63,2.70,2.74,2.60
2.75,2.99,3.01,2.71
2.98,2.84,2.98,2.82
2.88,2.88,2.96,2.86
2.88,2.91,2.96,2.88
2.90,2.99,3.09,2.90
2.97,3.28,3.28,2.93
3.31,3.11,3.36,3.08
3.10,3.09,3.11,3.00
3.14,3.10,3.16,3.06
3.10,3.32,3.34,3.07
3.29,3.26,3.29,3.23
3.29,3.30,3.32,3.23
3.30,3.25,3.37,3.22
3.26,3.26,3.29,3.23
3.28,3.27,3.31,3.23
3.25,3.29,3.30,3.23
3.25,3.28,3.29,3.18
3.30,3.10,3.31,3.04
3.08,3.12,3.18,3.05
3.15,3.17,3.22,3.13
3.23,3.18,3.24,3.12
3.17,3.24,3.24,3.13
3.35,3.70,3.85,3.35
3.67,3.67,3.72,3.60
3.64,3.73,3.75,3.55
3.75,3.61,3.75,3.58
3.63,3.64,3.66,3.55
3.57,3.54,3.60,3.47
3.52,3.33,3.52,3.31
3.36,3.50,3.52,3.35
3.45,3.35,3.54,3.30
3.37,3.53,3.53,3.37
3.51,3.43,3.58,3.36
3.40,3.32,3.40,3.25
3.29,3.39,3.48,3.25
3.34,3.50,3.59,3.33
3.53,3.57,3.63,3.53
3.55,3.49,3.55,3.47
3.45,3.46,3.50,3.35
3.41,3.45,3.46,3.32
3.54,3.52,3.61,3.48
3.54,3.47,3.56,3.45
3.44,3.41,3.44,3.31
3.41,3.49,3.52,3.36
3.44,3.50,3.60,3.40
3.52,3.68,3.71,3.52
3.73,3.84,3.87,3.68
3.83,3.88,3.89,3.72
3.92,4.04,4.11,3.84
4.08,4.16,4.30,4.04
4.16,4.15,4.22,4.09
4.21,4.30,4.39,4.20
4.32,4.07,4.32,4.07
4.09,4.09,4.12,4.00
4.12,4.22,4.22,4.10
4.21,4.23,4.24,4.17
4.25,4.39,4.61,4.24
4.39,4.43,4.49,4.32
4.42,4.36,4.45,4.33
4.36,4.26,4.37,4.14
4.24,4.31,4.42,4.24
4.29,4.42,4.49,4.29
4.47,4.48,4.58,4.44
4.48,4.45,4.48,4.35
4.45,4.55,4.57,4.45
4.89,5.05,5.25,4.76
5.10,4.97,5.14,4.86
4.92,4.89,5.08,4.82
4.95,4.93,5.00,4.90
5.00,4.95,5.00,4.87
4.96,5.01,5.04,4.94
