QLD,ProShares Ultra QQQ,NASDAQ
60.83,61.07,61.25,60.71
61.06,61.11,61.33,60.45
61.05,60.44,61.46,60.20
60.52,60.45,60.69,59.79
60.12,61.43,61.45,59.84
61.61,60.98,61.70,60.32
60.19,59.46,60.37,58.77
59.80,60.88,61.25,58.97
60.62,60.96,61.33,60.55
61.16,59.60,61.41,59.08
59.83,61.47,61.60,59.81
60.63,59.75,60.67,58.44
60.07,58.58,60.85,58.12
58.22,55.21,58.57,54.88
55.76,55.53,56.26,55.07
55.48,55.65,56.99,54.90
55.48,56.48,56.87,54.77
55.76,53.66,55.86,53.03
54.42,51.74,54.76,51.34
52.02,52.82,52.91,51.96
53.01,53.79,54.12,52.30
53.31,54.41,54.61,53.23
53.63,51.32,53.83,51.27
51.58,52.05,52.19,50.05
52.00,51.39,52.60,51.29
52.57,52.45,53.37,51.58
52.45,52.23,52.92,51.55
52.22,53.76,54.05,51.58
52.81,54.02,54.28,52.59
54.74,55.38,55.45,54.21
55.84,55.97,55.99,55.22
55.91,56.69,56.90,55.70
56.51,56.62,57.20,56.11
57.13,56.38,57.14,56.00
56.30,54.95,56.41,54.43
55.51,56.03,56.51,55.34
54.85,56.15,56.28,54.11
56.02,56.48,56.68,55.52
56.90,58.07,58.29,56.90
58.45,58.42,59.19,58.19
58.72,58.56,59.12,58.13
58.67,58.93,59.08,58.05
59.88,60.67,60.90,59.58
60.78,60.95,61.23,60.73
60.59,61.78,62.30,60.59
61.67,62.62,62.91,61.66
62.37,63.07,63.09,62.12
63.52,63.16,63.52,62.62
62.84,62.90,63.16,61.95
63.18,63.67,63.79,62.80
63.76,63.90,64.56,63.56
64.07,64.35,64.50,63.76
63.61,63.61,64.83,63.14
63.10,64.75,65.25,62.96
65.00,65.68,65.74,64.34
65.40,65.05,65.41,64.72
66.07,64.77,66.57,64.70
65.33,65.00,65.83,64.25
65.60,65.58,66.03,65.23
65.90,66.00,66.42,65.12
65.55,65.44,66.12,65.11
65.87,65.38,66.82,64.35
65.62,66.54,66.86,65.31
66.24,66.91,67.34,65.97
66.79,66.66,67.28,65.91
66.26,66.85,67.12,65.54
67.00,67.68,67.75,66.63
67.79,67.78,68.17,67.48
67.66,68.48,68.58,67.25
69.16,70.13,70.15,69.01
70.04,70.74,70.92,70.02
70.25,69.07,70.72,68.14
68.57,68.95,69.40,67.29
69.69,69.67,69.99,68.77
70.55,70.45,70.89,69.59
69.10,71.19,71.34,68.29
71.20,71.80,71.94,70.63
71.85,71.45,72.19,71.21
70.95,68.51,71.53,68.10
69.20,68.57,69.26,67.46
69.21,70.88,71.18,69.21
70.82,68.20,71.10,68.01
68.66,70.03,70.69,68.65
68.25,65.80,68.32,64.85
64.56,65.16,65.99,63.68
64.38,60.85,65.52,48.14
59.86,57.92,61.37,55.31
62.83,63.70,63.85,62.58
62.55,63.63,65.40,62.24
64.27,66.00,66.12,64.08
65.48,63.94,66.50,63.63
63.00,61.54,63.05,60.02
61.79,61.92,62.37,59.23
62.89,60.21,63.17,59.62
59.72,59.15,60.68,57.87
56.91,54.88,57.18,54.55
53.05,56.01,56.79,52.66
55.93,55.50,57.20,55.50
53.12,55.63,55.79,52.00
56.37,54.28,57.79,54.20
56.83,58.54,58.55,56.59
58.69,57.79,58.79,56.80
57.45,56.68,59.46,56.60
57.41,59.46,59.50,56.63
59.76,60.51,60.79,59.00
58.03,56.53,59.53,56.00
57.02,54.42,57.32,54.22
54.59,54.19,54.87,52.69
54.89,53.23,55.92,52.91
54.59,56.26,56.38,54.25
55.19,57.31,57.45,55.16
58.40,57.32,59.20,57.15
57.91,60.37,60.54,57.82
60.05,60.95,61.48,59.84
61.55,61.30,61.62,60.22
61.57,61.47,62.25,61.02
62.93,60.58,63.14,59.62
60.84,59.39,61.73,59.17
59.53,58.97,59.97,57.97
58.38,57.13,58.76,56.72
57.49,56.90,57.90,56.10
56.96,56.55,57.60,55.75
54.80,52.19,54.86,51.39
51.84,50.60,52.85,50.35
50.84,50.30,51.12,48.34
50.44,50.01,50.95,49.08
51.44,50.27,52.08,49.44
50.61,53.46,53.59,50.51
54.32,54.02,54.51,52.80
54.04,55.10,55.11,53.78
55.01,55.40,56.10,54.69
56.35,56.76,57.28,55.55
57.07,57.42,58.05,56.60
57.16,57.56,57.85,55.98
57.08,54.39,57.26,54.24
54.69,55.27,55.48,53.75
53.43,56.54,56.59,53.13
57.83,55.07,57.84,54.85
56.61,57.83,58.35,56.52
57.09,58.57,58.65,56.85
58.77,59.48,59.58,58.18
60.14,59.44,60.24,58.95
59.35,58.53,59.89,58.10
59.15,57.65,59.43,56.50
56.80,57.94,58.63,56.05
59.36,60.06,60.38,58.92
59.96,59.59,60.16,59.00
60.13,60.80,60.90,59.63
60.21,60.51,60.71,59.70
59.15,60.31,60.54,58.47
60.92,61.08,61.40,60.38
60.17,60.13,60.76,59.05
58.11,56.80,58.11,56.29
54.66,55.84,56.35,54.38
55.48,55.06,55.91,55.06
54.48,55.27,56.03,54.04
56.05,56.67,57.68,55.85
56.50,57.09,57.80,56.02
56.46,55.38,56.89,54.63
55.21,55.52,55.79,54.60
56.33,54.43,56.57,54.42
53.29,52.46,53.57,51.97
51.69,53.39,53.88,51.51
53.83,52.16,54.03,52.03
52.92,53.47,53.63,50.77
52.93,52.31,53.84,52.28
51.75,52.02,52.85,51.28
53.44,55.00,55.38,53.39
55.21,56.28,56.30,54.94
57.43,58.20,58.20,56.99
57.65,57.34,58.16,57.15
57.68,58.70,59.21,57.64
59.77,59.14,59.86,58.90
59.32,59.57,59.76,58.73
60.55,61.28,61.55,60.49
61.10,61.77,62.40,60.82
61.47,62.56,62.67,61.09
62.38,63.04,63.14,62.00
63.86,63.45,63.88,62.86
63.95,65.66,65.94,63.81
65.72,65.51,66.60,65.12
65.12,65.29,66.20,64.60
64.49,65.24,66.57,64.34
66.76,67.87,67.98,66.55
67.87,67.17,68.15,67.08
67.51,67.27,67.58,65.01
66.91,66.88,67.54,66.42
67.63,66.29,68.40,65.43
67.38,66.15,67.55,65.53
65.75,64.70,66.22,63.96
66.18,67.81,68.09,66.08
67.67,66.73,67.97,65.82
67.47,67.10,67.52,66.05
67.24,67.92,68.40,66.29
68.13,68.12,68.80,67.72
67.92,69.12,69.34,66.75
69.85,70.19,70.82,69.51
70.25,69.92,70.51,69.21
71.65,72.87,72.87,70.50
72.96,72.66,73.50,72.40
70.93,70.93,72.15,69.85
71.39,71.97,73.05,71.12
72.90,72.26,73.48,70.88
72.33,73.26,73.41,72.07
73.82,73.86,74.92,73.82
73.17,74.30,74.69,72.62
73.61,74.83,74.92,73.33
75.44,75.12,75.54,73.85
75.04,74.87,75.66,74.75
75.36,74.89,76.42,74.22
76.16,76.46,76.91,75.91
76.66,77.21,77.25,75.27
78.94,79.03,79.65,78.60
79.14,79.05,79.49,78.63
78.80,79.25,79.49,78.42
