TSI,TCW Strategic Income Fund,NASDAQ
4.35,4.30,4.36,4.28
4.29,4.35,4.39,4.27
4.34,4.33,4.38,4.29
4.35,4.28,4.35,4.28
4.28,4.21,4.30,4.19
4.22,4.33,4.33,4.22
4.34,4.29,4.35,4.27
4.27,4.30,4.34,4.27
4.31,4.29,4.38,4.29
4.31,4.34,4.37,4.28
4.36,4.30,4.39,4.29
4.31,4.30,4.32,4.28
4.27,4.26,4.32,4.25
4.22,4.25,4.27,4.22
4.37,4.31,4.37,4.26
4.30,4.28,4.32,4.28
4.27,4.28,4.28,4.26
4.29,4.27,4.29,4.27
4.30,4.27,4.31,4.27
4.32,4.35,4.35,4.28
4.33,4.42,4.42,4.33
4.43,4.43,4.47,4.42
4.43,4.44,4.48,4.43
4.43,4.38,4.43,4.31
4.36,4.43,4.43,4.36
4.43,4.44,4.45,4.39
4.44,4.46,4.46,4.42
4.44,4.48,4.50,4.44
4.46,4.49,4.49,4.40
4.47,4.51,4.53,4.45
4.49,4.49,4.54,4.49
4.50,4.54,4.54,4.50
4.52,4.59,4.59,4.47
4.56,4.55,4.65,4.55
4.58,4.55,4.61,4.55
4.58,4.64,4.64,4.57
4.62,4.65,4.65,4.59
4.63,4.70,4.70,4.63
4.69,4.61,4.69,4.61
4.64,4.62,4.65,4.61
4.64,4.61,4.64,4.60
4.61,4.60,4.64,4.59
4.63,4.60,4.63,4.59
4.60,4.58,4.61,4.55
4.59,4.59,4.62,4.58
4.62,4.59,4.62,4.55
4.59,4.57,4.60,4.56
4.60,4.61,4.63,4.59
4.64,4.69,4.70,4.61
4.69,4.70,4.70,4.67
4.73,4.71,4.74,4.70
4.74,4.69,4.74,4.69
4.71,4.71,4.75,4.67
4.71,4.74,4.79,4.70
4.76,4.76,4.77,4.73
4.77,4.76,4.78,4.74
4.75,4.78,4.78,4.73
4.79,4.76,4.79,4.74
4.78,4.72,4.78,4.53
4.73,4.69,4.74,4.69
4.68,4.71,4.71,4.67
4.75,4.69,4.75,4.69
4.72,4.69,4.74,4.68
4.74,4.71,4.74,4.67
4.71,4.74,4.74,4.69
4.73,4.70,4.73,4.69
4.71,4.71,4.74,4.70
4.74,4.70,4.74,4.70
4.67,4.71,4.73,4.67
4.72,4.70,4.72,4.68
4.70,4.69,4.72,4.69
4.71,4.68,4.73,4.68
4.70,4.75,4.76,4.70
4.74,4.78,4.80,4.73
4.78,4.84,4.84,4.77
4.84,4.83,4.84,4.80
4.80,4.82,4.88,4.80
4.84,4.91,4.91,4.82
4.90,4.88,4.93,4.86
4.91,4.90,4.92,4.86
4.92,4.90,4.92,4.87
4.94,5.00,5.00,4.90
4.99,4.91,4.99,4.89
4.90,4.84,4.94,4.84
4.80,4.84,4.86,4.80
4.83,4.83,4.84,4.68
4.86,4.80,4.86,4.73
4.90,4.85,4.90,4.81
4.80,4.87,4.87,4.79
4.91,4.87,4.91,4.82
4.85,4.85,4.87,4.81
4.82,4.86,4.87,4.82
4.86,4.89,4.89,4.86
4.89,4.88,4.89,4.88
4.87,4.82,4.88,4.78
4.72,4.74,4.80,4.67
4.72,4.72,4.75,4.71
4.72,4.80,4.88,4.72
4.74,4.73,4.75,4.69
4.71,4.78,4.83,4.71
4.82,4.83,4.85,4.77
4.86,4.84,4.87,4.83
4.80,4.86,4.86,4.80
4.77,4.84,4.84,4.77
4.81,4.86,4.88,4.81
4.83,4.81,4.85,4.80
4.82,4.79,4.83,4.79
4.79,4.76,4.82,4.76
4.76,4.78,4.82,4.76
4.81,4.82,4.86,4.80
4.82,4.84,4.84,4.80
4.85,4.85,4.85,4.82
4.84,4.83,4.84,4.81
4.85,4.88,4.88,4.82
4.88,4.88,4.89,4.86
4.88,4.94,4.94,4.88
4.95,4.89,4.95,4.88
4.90,4.89,4.92,4.85
4.87,4.95,4.95,4.84
4.93,4.90,4.95,4.88
4.88,4.91,4.91,4.88
4.88,4.81,4.89,4.79
4.81,4.81,4.86,4.78
4.80,4.80,4.84,4.80
4.78,4.80,4.82,4.78
4.78,4.80,4.83,4.78
4.79,4.80,4.84,4.79
4.83,4.79,4.83,4.79
4.83,4.79,4.84,4.79
4.82,4.83,4.83,4.79
4.80,4.85,4.87,4.80
4.91,4.93,4.94,4.88
4.90,4.86,4.93,4.80
4.85,4.89,5.00,4.85
4.91,4.85,4.97,4.85
4.93,4.93,4.97,4.87
4.93,5.00,5.00,4.92
4.98,4.92,4.98,4.90
4.95,4.95,5.00,4.91
4.96,4.99,5.00,4.95
4.95,4.97,5.01,4.95
5.00,4.99,5.01,4.93
5.01,4.97,5.03,4.97
4.98,4.97,4.99,4.95
4.94,4.95,5.07,4.94
4.97,5.00,5.00,4.96
5.00,5.00,5.02,4.98
4.98,4.99,5.02,4.98
5.01,5.00,5.02,4.99
5.01,5.05,5.06,4.99
5.07,5.02,5.07,5.02
5.03,5.07,5.07,5.03
5.06,5.08,5.13,5.06
5.04,5.08,5.11,5.00
5.05,5.04,5.08,5.04
5.04,5.01,5.07,5.01
5.03,5.00,5.04,4.98
5.00,5.06,5.06,5.00
5.06,5.02,5.06,5.02
5.00,5.02,5.06,5.00
5.04,5.03,5.06,5.01
5.05,5.05,5.06,5.02
5.02,5.01,5.03,5.00
5.01,4.98,5.02,4.98
5.00,4.99,5.03,4.98
5.04,5.04,5.06,4.99
5.01,5.00,5.03,4.97
5.01,5.08,5.09,5.00
5.05,5.04,5.08,5.04
5.05,5.13,5.17,4.85
5.14,5.07,5.14,5.06
5.10,5.10,5.13,5.09
5.11,5.13,5.19,5.10
5.19,5.18,5.19,5.13
5.16,5.12,5.22,5.12
5.14,5.23,5.24,5.13
5.19,5.21,5.26,5.19
5.20,5.22,5.26,5.18
5.22,5.19,5.25,5.19
5.24,5.25,5.26,5.21
5.25,5.27,5.28,5.24
5.27,5.28,5.29,5.25
5.28,5.36,5.36,5.26
5.36,5.30,5.36,5.29
5.30,5.37,5.40,5.30
5.35,5.32,5.35,5.28
5.32,5.25,5.35,5.22
5.28,5.30,5.30,5.20
5.28,5.30,5.32,5.22
5.32,5.22,5.32,5.22
5.24,5.20,5.26,5.19
5.18,5.18,5.21,5.16
5.15,5.17,5.26,5.14
5.17,5.22,5.24,5.17
5.23,5.25,5.26,5.20
5.22,5.23,5.25,5.22
5.22,5.18,5.26,5.16
5.18,5.25,5.27,5.18
5.30,5.24,5.30,5.17
5.25,5.29,5.31,5.21
5.29,5.30,5.33,5.28
5.27,5.28,5.30,5.26
5.29,5.24,5.29,5.22
5.21,5.27,5.27,5.21
5.24,5.30,5.30,5.22
5.26,5.25,5.28,5.22
5.28,5.23,5.28,5.23
5.26,5.26,5.28,5.22
5.26,5.28,5.28,5.24
5.30,5.33,5.33,5.23
5.31,5.31,5.34,5.27
5.32,5.24,5.35,5.22
5.30,5.24,5.31,5.22
5.26,5.30,5.32,5.23
5.32,5.36,5.36,5.26
5.36,5.33,5.37,5.28
5.34,5.30,5.35,5.26
5.27,5.30,5.30,5.27
5.27,5.23,5.29,5.21
5.25,5.29,5.30,5.21
5.25,5.31,5.31,5.18
5.30,5.33,5.35,5.27
5.34,5.36,5.37,5.30
5.34,5.33,5.37,5.25
5.34,5.27,5.34,5.26
5.29,5.26,5.30,5.25
5.29,5.30,5.31,5.26
5.27,5.36,5.38,5.27
5.39,5.43,5.46,5.37
5.44,5.49,5.49,5.39
5.53,5.46,5.53,5.46
5.43,5.38,5.49,5.28
5.39,5.39,5.39,5.35
5.36,5.39,5.39,5.36
5.39,5.36,5.42,5.35
5.37,5.35,5.39,5.35
5.35,5.33,5.39,5.31
5.31,5.31,5.35,5.30
5.33,5.36,5.36,5.27
5.33,5.36,5.39,5.29
5.39,5.38,5.50,5.38
5.46,5.39,5.47,5.37
5.40,5.43,5.46,5.40
5.43,5.42,5.44,5.40
5.41,5.45,5.45,5.36
5.42,5.49,5.52,5.41
5.51,5.50,5.53,5.47
5.47,5.47,5.53,5.45
5.09,5.16,5.20,5.03
5.16,5.12,5.25,5.11
5.21,5.23,5.23,5.17
