THRK,SPDR Russell 3000 ETF,NASDAQ
82.74,83.27,83.42,82.74
83.40,83.55,83.63,83.40
83.58,83.76,83.78,83.58
83.53,84.08,84.10,83.39
83.89,84.34,84.34,83.89
84.74,84.48,84.74,84.21
83.89,83.67,83.89,83.44
83.83,84.22,84.22,83.51
84.22,84.69,84.73,84.21
84.01,83.77,84.01,83.38
84.41,84.71,84.71,84.41
84.17,83.75,84.17,83.38
83.89,82.48,83.89,82.48
82.00,80.57,82.30,80.57
81.27,81.12,81.38,80.95
80.59,80.98,81.41,80.46
80.48,80.95,80.95,79.97
80.95,80.03,80.95,79.50
80.36,79.33,80.65,79.33
79.67,80.32,80.34,79.67
80.65,81.46,81.46,80.39
81.39,80.93,81.41,80.92
80.43,78.64,80.43,78.63
78.59,78.20,78.59,77.07
78.61,78.04,79.04,78.04
78.96,79.09,79.56,78.45
79.00,78.98,79.37,78.41
78.99,79.78,79.92,78.75
79.09,79.50,79.78,78.97
80.64,80.89,80.89,80.37
81.58,81.53,81.63,81.45
81.89,82.14,82.14,81.62
82.44,82.28,82.55,82.28
82.65,82.20,82.65,82.20
82.09,81.21,82.19,81.15
81.57,82.01,82.07,81.45
80.96,81.66,81.68,80.91
82.00,82.26,82.26,81.66
82.75,82.98,82.98,82.67
83.44,83.25,83.60,83.25
83.42,83.38,83.76,83.35
83.60,83.66,83.66,83.45
84.09,84.81,84.84,84.09
85.00,84.94,85.00,84.86
84.54,84.73,85.40,84.54
85.20,85.46,85.65,85.19
84.99,85.61,85.61,84.99
86.25,85.96,86.25,85.77
85.22,85.75,85.81,85.22
85.92,86.43,86.43,85.92
86.66,87.25,87.32,86.66
87.06,86.98,87.09,86.72
86.05,86.05,86.80,85.85
85.57,86.75,86.75,85.51
86.66,87.32,87.33,86.64
87.12,86.88,87.12,86.87
87.39,86.64,87.71,86.64
86.86,86.67,87.21,86.41
87.00,87.15,87.18,87.00
87.31,87.26,87.31,86.86
86.90,87.29,87.29,86.81
87.68,87.61,87.78,87.56
87.88,88.17,88.35,87.80
88.07,88.50,88.67,88.07
88.40,87.97,88.50,87.90
87.71,88.29,88.29,87.51
88.58,88.83,88.83,88.49
89.08,89.04,89.27,89.02
88.92,89.02,89.04,88.66
89.45,90.17,90.17,89.45
90.13,90.26,90.41,90.05
89.96,88.94,90.03,88.50
88.82,89.10,89.10,88.26
89.71,89.91,89.96,89.48
89.90,89.48,89.95,89.48
89.20,90.35,90.35,88.81
90.27,90.88,90.93,90.03
90.98,90.58,91.16,90.58
90.03,88.36,90.41,88.36
88.88,88.78,89.13,88.26
89.60,90.16,90.37,89.58
90.24,88.79,90.24,88.79
89.02,89.75,89.97,89.02
88.78,87.46,88.78,87.46
86.49,86.69,87.72,86.49
86.63,84.51,87.00,69.03
83.97,82.84,84.32,81.53
86.35,86.39,86.55,85.62
85.56,86.25,87.25,85.44
86.62,87.52,87.52,86.57
87.41,86.55,87.55,86.55
85.85,84.30,85.90,84.24
85.14,84.96,85.36,83.33
85.63,83.81,85.63,83.66
83.24,83.18,84.00,82.25
81.36,80.00,81.49,79.98
78.72,80.17,81.40,78.53
80.78,80.16,81.33,80.15
78.21,80.20,80.21,77.61
80.62,79.81,81.51,79.80
80.30,82.23,82.24,80.30
82.56,81.74,82.56,81.24
80.84,80.25,81.80,80.25
80.42,82.15,82.15,80.41
82.37,82.66,82.74,82.00
80.90,79.60,81.44,79.44
79.60,78.44,80.05,78.44
78.46,79.21,79.21,77.78
79.70,79.00,80.38,78.90
80.25,81.26,81.26,80.25
80.50,81.11,81.31,80.50
82.35,81.87,82.80,81.87
82.21,83.20,83.20,82.21
83.18,83.32,83.78,83.18
83.70,83.05,83.70,82.87
83.33,83.30,83.54,83.21
84.34,83.43,84.34,83.43
83.13,81.95,83.19,81.81
81.55,81.65,81.66,81.24
80.88,79.90,80.88,79.90
79.80,80.63,80.66,79.80
80.44,80.09,80.44,79.94
78.91,77.53,78.91,77.36
77.36,76.75,78.06,76.72
76.47,76.35,76.57,75.14
76.68,76.12,76.68,75.59
77.07,76.08,77.42,75.93
76.42,78.71,78.71,76.42
79.32,79.35,79.64,78.83
79.60,80.17,80.17,79.56
80.03,80.10,80.14,79.92
81.05,81.48,81.75,81.05
81.30,81.29,81.62,80.97
81.14,80.84,81.22,80.57
80.96,79.19,80.96,79.06
79.37,79.75,79.81,78.90
78.59,80.43,80.46,78.58
81.02,79.42,81.02,79.33
80.33,81.29,81.52,80.33
81.07,81.90,82.02,80.94
82.30,83.00,83.00,82.30
83.55,82.89,83.55,82.80
82.91,82.18,82.91,81.99
82.85,81.93,82.85,81.65
81.05,81.99,82.11,81.05
83.20,83.75,83.75,83.01
83.63,83.21,83.63,83.05
83.68,83.99,83.99,83.55
83.44,83.72,83.72,83.43
83.11,83.13,83.16,82.62
83.92,83.92,83.95,83.43
83.22,83.44,83.75,82.74
81.68,80.93,81.68,80.90
79.39,80.48,80.63,79.39
80.32,80.25,80.61,80.23
79.68,79.91,80.33,79.53
80.75,81.64,81.64,80.71
81.17,81.73,81.82,80.98
81.04,80.08,81.04,79.90
79.77,79.86,79.86,79.25
80.14,79.36,80.43,79.36
78.39,78.39,78.72,78.00
77.68,78.48,78.48,77.34
78.89,78.03,79.00,77.97
78.55,79.32,79.34,77.80
78.51,78.37,78.69,78.37
77.85,78.15,78.47,77.59
79.33,80.52,80.59,79.33
80.67,81.16,81.17,80.57
82.16,82.21,82.53,81.81
82.02,81.78,82.04,81.61
81.65,81.91,82.28,81.65
82.90,82.36,82.90,82.09
82.36,82.82,82.82,82.36
83.54,83.87,83.87,83.45
83.52,83.95,84.22,83.52
83.31,84.10,84.11,83.30
83.85,84.02,84.02,83.69
84.10,83.73,84.10,83.49
84.04,85.09,85.23,83.92
85.05,84.84,85.23,84.66
84.65,84.42,85.08,84.13
83.67,83.57,84.51,83.57
84.87,85.51,85.51,84.87
85.26,85.52,85.52,85.11
85.24,85.51,85.58,84.58
85.29,85.23,85.59,85.03
85.74,85.13,86.07,84.70
85.63,85.44,85.63,85.13
85.25,84.48,85.49,84.48
85.66,86.55,86.60,85.65
86.42,86.35,86.48,86.12
86.20,86.30,86.37,85.92
86.47,86.76,86.76,86.23
86.91,86.87,87.08,86.87
86.72,87.33,87.33,86.54
87.83,88.00,88.28,87.76
87.92,87.44,87.92,87.44
88.27,87.66,88.27,87.48
87.93,88.33,88.33,87.92
86.87,86.66,86.87,86.40
87.02,87.75,88.18,87.02
88.23,88.46,88.67,88.23
88.10,88.11,88.11,88.10
89.00,88.45,89.23,88.44
87.90,88.59,88.59,87.90
87.90,88.32,88.32,87.53
88.24,88.03,88.24,88.03
88.30,88.43,88.52,88.30
89.00,87.97,89.06,87.97
89.01,89.20,89.35,88.96
89.34,88.85,89.34,88.85
90.35,91.12,91.17,90.35
91.32,91.31,91.69,91.29
91.28,91.38,91.51,91.12
91.61,90.53,91.75,90.53
90.66,91.01,91.12,90.20
90.14,90.84,90.84,90.14
90.32,89.70,90.44,89.43
90.19,89.79,90.34,89.79
89.16,88.09,89.16,87.82
88.29,88.33,88.48,88.14
89.83,89.64,89.92,89.64
89.52,89.94,89.94,89.14
89.92,89.92,89.92,89.00
88.97,88.70,88.97,88.38
89.79,89.97,89.99,89.79
89.65,89.51,89.66,89.42
88.49,89.33,89.33,88.49
88.31,88.89,89.14,88.31
89.95,90.61,90.68,89.95
90.79,91.78,91.78,90.79
91.58,91.75,91.75,91.50
92.00,92.22,92.22,91.86
92.99,92.81,92.99,92.53
92.00,92.23,92.25,92.00
92.79,92.73,92.79,92.47
93.02,93.11,93.11,92.85
93.64,93.32,93.77,93.31
93.55,93.43,93.72,93.43
93.35,93.25,93.56,93.25
93.08,93.54,93.54,92.81
93.07,93.29,93.41,93.00
93.46,93.49,93.64,93.06
93.97,94.00,94.00,93.92
94.20,94.39,94.41,94.20
94.27,94.22,94.32,94.22
94.10,94.41,94.41,94.09
94.48,94.45,94.48,94.30
94.64,94.60,94.71,94.53
94.55,94.56,94.56,94.55
94.26,94.54,94.55,94.26
95.09,95.39,95.68,95.09
95.71,95.05,95.71,94.84
94.86,95.69,95.69,94.86
95.50,95.51,95.52,95.49
95.79,95.36,95.79,94.98
94.92,95.29,95.29,94.70
95.73,95.63,95.73,95.63
96.29,96.44,96.56,96.29
96.50,96.30,96.61,96.13
96.33,96.98,96.98,96.33
96.94,97.20,97.20,96.93
97.26,96.12,97.26,96.00
95.91,95.84,96.10,95.34
96.43,96.07,96.46,96.07
96.00,96.61,96.61,96.00
96.40,96.12,96.45,96.12
97.27,97.40,97.43,97.05
97.32,97.54,97.54,97.14
97.64,95.67,97.64,95.67
96.42,96.42,96.42,95.88
96.97,98.09,98.11,96.97
97.73,97.81,98.04,97.73
97.71,98.24,98.24,97.62
98.17,98.32,98.32,98.17
98.63,99.05,99.31,98.63
99.17,99.43,99.43,98.93
99.26,99.20,99.33,98.97
98.79,99.21,99.21,98.79
99.49,100.00,100.00,99.47
99.98,100.21,100.22,99.91
99.99,99.87,100.04,99.79
100.16,100.54,100.61,100.16
100.43,100.95,101.00,100.43
100.77,100.90,101.03,100.77
99.94,98.74,100.22,98.62
98.81,98.37,98.81,97.56
97.97,98.11,98.34,97.17
98.60,99.31,99.32,98.52
99.90,99.72,100.00,99.41
100.01,98.25,100.01,98.25
98.50,98.40,98.75,98.01
99.26,99.99,100.01,99.26
100.23,99.15,100.23,98.97
99.75,98.65,99.75,98.23
98.91,99.58,99.68,98.91
99.30,99.27,99.30,99.00
98.14,97.35,98.14,97.35
96.99,98.18,98.18,96.89
97.38,97.46,97.74,96.81
94.85,96.85,96.85,94.77
96.16,94.80,96.31,94.45
96.02,95.87,96.21,95.71
96.55,95.74,96.57,95.74
97.13,97.34,97.41,97.05
97.10,97.10,97.25,97.04
96.86,97.45,97.50,96.41
97.69,98.27,98.29,97.69
98.49,98.85,99.10,98.36
98.93,98.55,99.00,98.55
98.46,99.02,99.02,98.46
99.45,99.96,100.08,99.45
99.69,99.84,99.86,99.69
100.31,100.15,100.51,100.15
100.44,100.03,100.44,100.00
100.26,100.31,100.71,100.26
100.74,100.38,100.74,100.25
100.42,100.18,100.42,99.82
100.68,99.51,100.68,99.51
99.93,99.44,100.19,99.39
98.68,98.54,98.71,98.43
99.00,98.79,99.04,98.58
98.17,98.86,98.94,98.17
98.98,99.40,99.45,98.98
98.42,98.24,98.42,97.55
98.33,98.47,98.47,98.28
100.04,100.15,100.15,99.44
100.53,100.67,100.67,100.39
100.71,100.50,100.71,100.29
100.89,101.52,101.52,100.89
101.62,102.00,102.00,101.62
102.06,102.07,102.36,102.06
102.53,102.60,102.77,102.53
103.27,102.55,103.27,102.49
102.22,101.58,102.22,101.58
102.00,101.27,102.00,100.84
100.96,100.26,101.16,100.26
101.23,100.93,101.75,100.93
100.96,101.46,101.46,100.83
101.56,102.25,102.25,101.55
102.10,101.20,102.10,100.94
100.68,101.64,101.71,100.50
101.45,100.78,101.45,100.78
100.42,100.35,100.70,100.35
99.87,99.61,99.87,99.50
99.93,100.24,100.24,99.92
101.27,101.18,101.27,101.16
100.93,100.46,100.93,100.27
99.13,99.35,99.35,98.98
99.46,99.30,99.49,99.27
99.42,99.49,99.52,99.42
99.50,99.31,99.50,99.26
100.51,100.51,100.51,100.51
101.42,101.10,101.42,101.10
100.50,99.79,100.50,99.79
99.40,99.34,99.46,99.03
98.00,98.10,98.69,97.93
97.85,97.06,97.85,96.95
97.62,96.95,97.64,96.95
96.95,96.53,97.00,96.49
96.60,97.35,97.35,96.60
96.72,95.75,96.72,95.75
95.92,95.74,96.22,95.30
97.09,97.05,97.35,96.95
96.11,95.33,96.11,95.19
95.41,94.82,95.86,94.82
95.79,95.28,95.85,95.21
95.00,95.87,95.89,95.00
97.05,97.32,97.35,97.05
97.44,97.04,97.44,97.04
95.37,95.84,96.12,94.95
96.17,95.61,96.17,95.45
95.58,96.34,96.34,95.58
96.78,97.18,97.29,96.78
97.98,97.93,98.32,97.93
98.91,99.13,99.19,98.91
100.00,100.61,100.65,100.00
100.43,100.54,100.73,100.33
100.63,100.64,100.73,100.63
101.54,101.82,102.00,101.53
100.76,101.04,101.04,100.76
99.83,99.00,100.08,99.00
99.36,98.85,99.36,98.85
99.24,98.97,100.02,98.97
99.33,98.64,99.45,98.64
98.60,98.90,98.90,98.60
98.53,97.87,98.53,97.40
98.99,99.74,99.74,98.99
99.63,99.63,99.63,99.63
100.07,100.93,101.09,100.07
100.76,101.06,101.17,100.76
100.00,100.48,100.76,100.00
99.97,99.95,100.41,99.84
99.44,98.05,99.44,98.00
97.75,97.40,98.40,97.40
96.50,96.84,97.74,96.31
98.11,96.53,98.35,95.66
95.90,94.12,96.06,94.12
94.02,94.34,94.34,92.64
93.26,89.90,93.26,89.75
91.03,89.62,91.16,87.29
87.07,83.39,87.96,83.39
84.53,87.00,87.00,82.38
85.95,83.69,85.99,83.69
84.35,87.46,88.48,84.14
88.15,88.02,88.76,87.79
89.61,90.16,90.16,88.89
89.04,89.25,89.64,88.69
89.94,89.05,90.36,88.78
86.92,85.21,86.92,84.73
83.96,83.74,85.68,83.74
84.85,84.01,84.85,83.62
84.96,86.73,86.73,84.96
87.50,87.79,87.79,86.71
88.41,86.67,88.41,86.67
85.88,88.00,88.00,84.99
89.33,90.36,90.36,89.33
90.06,91.08,91.08,90.06
91.43,91.24,92.11,90.51
91.13,90.28,91.85,90.28
87.97,88.00,88.50,87.95
85.33,86.59,87.03,85.13
88.31,89.53,89.53,88.26
89.53,89.53,89.53,89.53
87.74,86.48,87.76,86.00
85.59,86.94,86.94,85.00
87.11,87.79,87.79,86.97
88.22,90.02,90.02,87.76
89.54,90.36,90.51,89.45
90.73,90.54,90.73,90.31
89.04,89.72,89.72,88.55
90.01,90.60,90.60,89.54
89.35,86.59,89.35,86.59
84.30,83.90,84.75,82.99
83.28,84.32,84.80,83.28
85.16,86.10,86.10,84.10
88.09,87.76,88.60,87.76
