EMITF,Elbit Imaging Ltd. - Ordinary Shares,NASDAQ
267.00,273.20,275.00,267.00
284.80,292.20,300.00,284.80
300.00,294.20,300.00,292.20
300.00,302.20,306.00,296.00
293.60,290.20,293.60,290.20
288.00,284.00,288.00,284.00
284.60,280.00,284.60,277.20
280.00,282.00,288.00,280.00
277.80,279.00,279.00,275.20
285.60,286.00,287.60,285.00
281.80,276.00,281.80,272.40
N/A,N/A,N/A,N/A
273.60,274.00,274.00,273.40
264.00,267.00,268.00,264.00
268.00,276.80,277.60,268.00
N/A,N/A,N/A,N/A
265.20,268.60,269.00,265.00
265.00,257.00,265.00,257.00
246.00,253.20,254.00,246.00
250.00,245.80,250.00,245.80
251.00,251.00,251.00,251.00
251.40,254.00,254.00,251.20
254.00,258.00,258.00,254.00
269.20,266.60,270.44,266.60
263.00,263.00,263.00,263.00
N/A,N/A,N/A,N/A
253.80,253.80,253.80,253.80
254.60,248.20,254.60,248.20
240.20,241.00,245.00,237.66
251.80,248.60,252.00,248.40
244.20,253.80,253.80,243.60
243.80,248.00,249.80,243.80
251.60,251.40,258.40,250.80
266.00,262.00,267.00,259.20
300.80,269.00,302.40,265.40
269.00,264.80,269.00,262.60
264.20,266.00,266.00,263.40
262.80,258.00,262.80,256.80
256.20,256.60,256.60,255.00
250.20,260.00,268.20,250.20
254.20,254.40,260.00,254.00
255.00,258.40,258.40,255.00
248.80,252.00,252.00,248.40
256.40,257.00,257.40,253.00
257.00,254.80,257.00,252.60
250.00,249.00,250.40,246.60
246.00,248.80,248.80,246.00
N/A,N/A,N/A,N/A
251.00,253.02,253.02,251.00
257.00,267.00,269.00,257.00
262.40,266.40,266.40,261.60
269.70,272.00,272.00,269.70
271.20,270.00,271.20,270.00
262.20,263.60,263.60,262.20
263.60,260.40,263.80,260.20
260.00,260.31,261.40,260.00
252.00,255.50,255.50,250.20
260.00,261.58,261.80,259.60
273.80,276.40,278.30,270.40
272.00,279.40,279.40,272.00
N/A,N/A,N/A,N/A
279.60,272.40,279.60,272.40
272.20,268.00,272.20,268.00
250.80,254.20,254.40,250.80
251.20,254.00,254.00,251.20
251.80,254.40,254.40,251.20
N/A,N/A,N/A,N/A
253.20,253.20,253.20,253.20
252.60,257.40,259.20,252.60
252.60,248.00,252.60,247.80
244.60,246.00,248.00,242.00
236.00,240.80,241.00,235.00
235.60,235.60,235.60,235.60
235.40,240.00,240.00,235.40
239.00,240.00,240.00,233.00
242.00,240.40,242.00,240.40
238.00,246.00,246.00,238.00
N/A,N/A,N/A,N/A
240.00,233.48,240.00,233.48
230.40,230.40,230.40,230.40
234.00,234.00,234.00,234.00
234.00,234.00,234.00,234.00
234.60,232.40,238.00,230.00
231.00,231.00,231.00,231.00
230.14,233.00,237.18,230.14
242.00,243.00,243.20,242.00
231.40,232.00,232.40,231.40
240.60,240.60,240.60,240.60
nan,243.40,nan,nan
nan,234.40,nan,nan
242.00,242.00,242.00,242.00
228.40,232.20,232.20,228.40
229.00,229.00,229.00,229.00
N/A,N/A,N/A,N/A
nan,228.40,nan,nan
228.80,230.00,230.00,224.03
N/A,N/A,N/A,N/A
232.60,230.20,235.60,230.20
nan,228.00,nan,nan
228.80,228.80,228.80,228.80
220.00,220.00,221.00,215.20
220.80,219.00,220.80,218.60
224.40,220.03,224.40,220.03
222.00,222.40,223.18,222.00
234.20,233.20,235.20,233.20
N/A,N/A,N/A,N/A
231.80,230.80,231.80,227.00
237.00,234.00,237.00,234.00
238.00,238.00,238.00,238.00
N/A,N/A,N/A,N/A
236.40,236.80,237.00,236.40
230.80,235.20,235.20,230.80
236.00,235.80,236.00,235.80
230.80,235.60,235.60,230.80
235.00,235.00,235.00,235.00
N/A,N/A,N/A,N/A
234.20,234.20,235.00,234.20
235.60,233.60,235.60,233.60
236.40,239.80,239.80,236.40
240.00,239.80,240.00,239.80
237.80,237.80,237.80,237.80
236.60,236.60,236.60,236.60
N/A,N/A,N/A,N/A
237.60,237.60,237.60,237.60
238.80,237.00,238.80,237.00
235.80,236.20,236.20,235.20
237.00,238.00,238.00,237.00
N/A,N/A,N/A,N/A
239.00,239.00,239.00,239.00
237.20,236.80,237.20,236.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
235.80,235.80,236.00,235.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
215.60,215.60,215.60,215.60
226.00,225.60,226.00,225.60
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
216.20,217.12,217.12,216.20
210.20,211.20,211.60,210.20
N/A,N/A,N/A,N/A
214.93,214.93,214.93,214.93
194.40,203.80,203.80,194.40
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
164.40,152.60,165.80,152.00
168.60,167.00,168.60,157.20
160.00,158.40,160.00,155.20
153.20,147.80,153.20,146.20
145.80,147.60,150.00,145.00
139.00,134.20,140.00,132.20
135.00,135.00,143.24,135.00
134.80,131.00,137.00,131.00
131.00,134.46,136.00,131.00
144.00,142.40,145.00,141.54
140.40,143.00,143.00,140.20
143.20,141.20,143.20,141.00
139.20,139.00,139.80,139.00
135.00,135.00,135.00,135.00
137.40,135.00,137.40,135.00
135.20,132.81,135.20,132.40
131.00,130.00,133.20,130.00
125.00,128.00,128.20,125.00
136.00,132.00,136.40,129.60
127.00,129.80,130.00,127.00
126.80,130.80,131.04,126.40
129.20,131.60,131.60,129.20
132.60,130.00,132.60,127.20
130.80,130.80,130.80,130.80
129.80,130.20,131.80,129.80
128.40,129.40,130.00,127.40
128.00,128.00,128.20,127.22
127.20,122.60,127.60,122.60
123.60,124.00,124.60,122.50
133.40,134.20,143.40,133.40
133.60,133.20,135.00,133.20
135.00,136.80,137.78,135.00
135.00,132.60,135.00,128.80
132.20,129.00,132.20,129.00
123.80,124.60,124.60,122.40
122.20,120.20,125.00,120.20
122.20,120.20,122.20,120.20
120.20,121.80,121.80,116.40
122.00,120.20,122.00,120.00
124.00,122.60,124.00,121.42
121.26,121.00,121.26,121.00
121.20,124.80,125.40,121.20
126.20,124.60,127.60,124.60
123.40,122.80,123.40,121.00
122.80,122.80,128.40,122.80
120.00,120.40,122.40,116.20
120.00,120.00,120.00,120.00
120.00,118.60,120.00,117.80
117.60,117.40,117.60,117.40
116.80,115.80,116.80,115.80
113.20,112.00,116.20,112.00
112.40,106.40,112.40,106.40
111.80,104.80,111.80,100.20
95.80,88.20,95.80,87.80
94.00,88.40,94.00,88.40
76.80,74.00,76.80,71.00
61.60,63.00,70.60,59.80
66.80,65.00,69.40,65.00
64.20,64.20,64.20,63.00
62.00,63.60,64.40,59.80
63.00,64.60,64.60,63.00
60.00,58.40,63.80,58.20
58.80,58.60,59.80,57.80
56.80,59.00,59.40,55.80
59.00,58.00,59.00,57.20
57.20,57.20,57.20,53.40
53.60,54.00,54.00,53.00
54.00,52.60,54.00,52.60
52.80,54.20,57.00,52.60
53.60,52.80,53.60,52.80
54.20,56.00,56.40,54.20
58.60,60.40,61.40,58.00
58.00,59.40,59.40,56.40
49.80,51.00,53.60,42.00
49.80,48.60,49.80,48.00
47.20,45.20,47.40,45.00
