IYC,iShares U.S. Consumer Services ETF,NASDAQ
55.77,55.92,56.07,55.71
55.90,56.02,56.10,55.71
55.89,55.93,56.06,55.79
56.06,56.33,56.33,55.88
56.21,56.31,56.31,55.98
56.21,56.30,56.42,56.00
56.00,55.76,56.01,55.51
55.84,56.36,56.39,55.76
56.30,56.27,56.34,56.13
56.32,55.83,56.40,55.67
55.86,56.38,56.42,55.83
56.17,55.96,56.28,55.56
56.08,55.37,56.46,55.32
55.26,54.63,55.53,54.56
55.02,54.66,55.02,54.50
54.40,54.75,55.08,54.38
54.62,54.75,54.80,54.36
55.02,54.35,55.08,54.11
54.48,54.18,55.20,54.16
54.43,54.80,54.80,54.36
54.92,55.39,55.42,54.72
55.26,55.24,55.40,55.04
54.77,53.67,54.94,53.66
53.67,53.61,53.88,52.81
53.54,53.44,54.06,53.42
54.18,54.09,54.35,53.69
54.11,53.96,54.22,53.56
53.94,54.46,54.50,53.57
53.90,54.44,54.51,53.90
54.93,55.32,55.39,54.66
55.66,55.86,55.87,55.54
55.67,56.07,56.07,55.63
55.92,56.31,56.39,55.85
56.44,56.27,56.58,56.25
56.26,55.92,56.37,55.78
56.01,56.58,56.63,55.96
55.43,56.72,56.78,55.43
56.61,56.78,56.84,56.39
56.97,57.53,57.58,56.93
57.68,57.47,57.75,57.45
57.57,57.40,57.77,57.27
57.61,57.84,57.88,57.54
58.13,58.70,58.70,58.06
58.53,58.75,58.92,58.53
58.64,58.77,59.04,58.57
58.80,58.97,59.12,58.72
58.86,59.21,59.21,58.58
59.47,59.39,59.47,59.09
59.43,59.56,59.61,59.12
59.70,59.99,60.05,59.57
59.82,60.18,60.37,59.82
60.21,60.18,60.26,60.04
59.80,59.80,60.38,59.61
59.53,60.51,60.66,59.53
60.54,60.85,60.89,60.27
60.61,60.56,60.74,60.40
60.92,60.79,61.37,60.65
60.96,61.03,61.32,60.73
61.19,61.23,61.35,60.95
61.05,61.32,61.54,61.05
61.19,60.98,61.24,60.94
61.40,61.31,61.48,60.95
61.44,61.99,62.02,61.38
61.75,62.14,62.23,61.75
62.11,61.82,62.15,61.59
61.67,62.34,62.50,61.67
62.47,62.74,62.76,62.18
62.69,62.77,62.85,62.66
62.66,63.03,63.09,62.56
63.14,63.69,63.73,63.06
63.67,63.75,63.85,63.48
63.64,63.01,63.76,62.73
62.88,63.05,63.18,62.33
63.37,63.57,63.68,63.25
63.59,63.76,63.80,63.32
63.41,64.60,64.70,63.17
64.53,64.92,64.96,64.32
64.99,65.07,65.34,64.94
64.80,63.39,64.80,63.30
63.58,63.32,63.76,62.95
63.73,64.35,64.54,63.73
64.44,63.22,64.63,63.22
63.41,64.31,64.53,63.41
63.66,62.79,63.66,62.51
62.38,62.37,63.09,61.90
61.97,60.27,86.38,56.88
59.68,59.12,60.66,58.16
61.79,61.65,62.01,60.88
60.72,61.64,62.36,60.72
61.75,62.50,62.57,61.69
62.52,61.53,62.66,61.47
61.33,60.65,61.34,60.16
60.71,61.05,61.10,59.65
61.57,60.25,61.80,60.08
60.07,59.83,60.42,59.03
58.66,57.64,58.97,57.64
56.00,58.46,58.69,56.00
58.37,58.06,58.83,58.06
56.74,58.41,58.41,56.37
58.82,58.08,59.30,57.99
59.24,60.01,60.01,58.91
60.07,59.59,60.12,59.11
58.93,58.65,59.78,58.64
58.90,59.91,59.92,58.74
60.08,60.20,60.45,59.68
58.87,58.08,59.37,57.88
58.25,56.94,58.25,56.94
56.95,57.30,57.42,56.27
57.63,57.41,58.49,57.22
58.20,58.96,58.97,58.20
58.29,59.10,59.15,58.23
59.74,59.22,60.06,59.19
59.71,60.43,60.46,59.48
60.37,60.00,60.37,59.72
60.33,59.85,60.33,59.38
59.87,59.71,60.26,59.66
60.73,59.08,60.73,58.77
59.09,57.90,59.39,57.85
57.88,57.91,58.33,57.55
57.43,56.52,57.43,56.39
56.47,56.50,56.80,56.21
56.53,56.31,56.82,56.18
55.83,54.40,55.83,54.11
54.54,53.63,54.87,53.63
53.84,54.04,54.18,52.88
54.08,53.50,54.24,53.22
54.03,53.30,54.59,53.08
53.56,54.83,54.88,53.49
54.80,55.27,55.40,54.69
55.30,55.79,55.79,55.24
55.43,55.80,56.08,55.43
56.19,57.06,57.32,56.19
56.93,56.89,57.11,56.45
56.82,57.03,57.13,56.34
56.76,55.29,56.80,55.24
55.60,55.62,55.80,55.01
54.81,56.48,56.52,54.80
56.90,55.47,56.90,55.31
56.18,56.75,56.98,56.17
56.54,57.58,57.62,56.41
57.68,58.29,58.31,57.43
58.46,57.62,58.46,57.51
57.57,57.34,57.81,57.13
57.66,56.97,58.07,56.46
56.44,57.33,57.56,56.17
58.08,58.37,58.51,57.82
58.21,57.71,58.21,57.41
58.07,58.30,58.42,57.94
57.91,58.27,58.35,57.91
57.86,58.07,58.10,57.24
58.25,58.55,58.71,58.23
58.08,58.12,58.36,57.71
57.28,56.62,57.28,56.53
55.89,56.57,56.64,55.72
56.31,56.10,56.44,56.05
55.70,56.06,56.34,55.70
56.49,56.76,57.25,56.36
56.56,57.16,57.53,56.47
56.88,56.30,57.10,56.00
56.08,56.26,56.32,55.73
56.34,55.90,56.84,55.90
55.25,55.07,55.56,54.66
54.65,55.60,55.80,54.62
55.77,55.19,55.90,55.12
55.71,55.91,55.96,54.69
55.66,55.06,55.96,55.03
54.87,54.97,55.43,54.63
55.92,56.74,56.79,55.85
56.87,57.75,57.79,56.87
58.31,58.46,58.78,57.98
58.20,57.70,58.34,57.62
57.77,58.09,58.31,57.77
58.51,58.15,58.61,57.99
58.24,58.63,58.70,58.24
59.10,59.26,59.40,58.98
59.11,59.42,59.75,59.06
59.21,59.64,59.69,59.14
59.55,59.56,59.57,59.20
59.90,59.68,59.90,59.47
59.90,60.76,60.82,59.85
60.80,60.59,60.90,60.35
60.50,60.32,60.82,60.12
59.63,59.81,60.47,59.63
60.60,61.25,61.33,60.60
