DSS,Document Security Systems,NASDAQ
2.40,2.50,2.50,2.32
2.46,2.44,2.47,2.38
2.43,2.47,2.47,2.39
2.49,2.57,2.60,2.42
2.59,2.60,2.60,2.54
2.57,2.68,2.69,2.56
2.65,2.67,2.70,2.65
2.68,2.73,2.75,2.65
2.57,3.00,3.00,2.56
2.96,3.05,3.10,2.91
3.06,3.25,3.32,3.00
3.26,3.35,3.36,3.21
3.34,3.34,3.38,3.20
3.36,3.44,3.44,3.33
3.44,3.48,3.50,3.35
3.44,3.61,3.70,3.44
3.59,3.50,3.65,3.46
3.50,3.29,3.65,3.20
3.25,3.43,3.50,3.25
3.44,3.51,3.55,3.32
3.55,3.62,3.67,3.52
3.63,3.53,3.63,3.53
3.60,3.52,3.61,3.47
3.52,3.53,3.60,3.41
3.49,3.48,3.60,3.38
3.53,3.50,3.54,3.21
3.53,3.37,3.53,3.31
3.31,3.50,3.50,3.28
3.50,3.49,3.50,3.39
3.49,3.55,3.55,3.41
3.60,3.82,3.85,3.56
4.25,4.18,4.25,3.82
4.20,4.31,4.36,4.14
4.31,4.08,4.31,4.06
4.24,4.32,4.32,4.03
4.32,4.32,4.39,4.30
4.39,4.41,4.42,4.22
4.41,4.40,4.50,4.35
4.41,4.40,4.43,4.32
4.44,4.32,4.44,4.27
4.26,3.97,4.30,3.84
3.91,4.04,4.09,3.90
4.01,3.96,4.01,3.91
4.27,3.88,4.27,3.85
3.89,3.92,3.96,3.85
3.99,4.07,4.09,3.94
4.02,4.05,4.10,4.02
4.06,4.11,4.11,3.98
4.05,4.02,4.05,3.95
3.99,3.92,3.99,3.86
3.95,4.02,4.13,3.93
4.06,4.13,4.18,3.98
4.15,4.15,4.25,4.02
4.18,4.10,4.18,4.04
4.09,3.99,4.13,3.94
4.00,3.95,4.16,3.95
3.93,4.00,4.04,3.88
3.98,4.02,4.06,3.97
4.06,3.96,4.06,3.91
3.94,3.87,3.95,3.81
3.89,3.90,3.98,3.86
3.91,3.93,3.97,3.84
3.88,3.91,4.04,3.68
3.87,3.79,3.88,3.69
3.78,3.91,3.91,3.74
3.90,3.94,4.00,3.76
3.96,3.91,3.97,3.84
3.91,3.89,3.91,3.82
3.84,3.81,3.89,3.76
3.80,3.82,3.90,3.74
3.75,3.57,3.75,3.40
3.53,3.48,3.64,3.46
3.48,3.52,3.52,3.35
3.51,3.56,3.67,3.45
3.56,3.63,3.66,3.50
3.53,3.49,3.62,3.48
3.50,3.57,3.75,3.50
3.59,3.61,3.76,3.56
3.55,3.55,3.65,3.55
3.65,3.46,3.70,3.45
3.42,3.50,3.55,3.31
3.53,3.50,3.53,3.49
3.51,3.60,3.62,3.31
3.55,3.54,3.55,3.41
3.49,3.64,3.74,3.47
3.36,3.50,3.62,3.36
3.54,3.51,3.54,3.35
3.55,3.65,3.72,3.46
3.74,3.72,3.74,3.62
3.74,3.69,3.75,3.63
3.35,3.63,3.67,3.35
3.58,3.40,3.58,3.40
3.40,3.45,3.50,3.25
3.39,3.30,3.44,3.27
3.29,3.00,3.29,2.91
3.02,2.70,3.02,2.66
2.67,2.95,3.16,2.67
3.00,3.09,3.09,2.93
3.04,3.15,3.15,2.90
3.12,3.07,3.13,3.02
3.07,3.18,3.18,3.07
3.19,3.22,3.22,3.14
3.16,3.14,3.16,3.02
3.09,3.20,3.25,3.09
3.25,3.35,3.38,3.15
3.37,3.23,3.48,3.10
3.23,3.18,3.31,3.18
3.25,3.18,3.25,3.08
3.18,3.14,3.18,3.10
3.18,3.23,3.25,3.13
3.27,3.25,3.27,3.18
3.25,3.15,3.25,3.10
3.20,3.21,3.28,3.12
3.18,3.29,3.33,3.18
3.30,3.20,3.30,3.17
3.23,3.20,3.25,3.15
3.25,3.30,3.36,3.21
3.33,3.20,3.33,3.20
3.24,3.20,3.24,3.12
3.16,3.18,3.21,3.15
3.23,3.32,3.41,3.14
3.27,3.19,3.32,3.18
3.25,3.16,3.28,3.12
3.17,3.16,3.30,3.13
3.20,3.04,3.20,2.97
3.10,3.10,3.10,3.07
3.15,3.10,3.16,3.07
3.09,3.16,3.19,3.05
3.12,3.22,3.30,3.12
3.15,3.18,3.29,3.11
3.13,3.17,3.25,3.10
3.15,3.24,3.27,3.13
3.17,3.31,3.37,3.17
3.35,3.30,3.35,3.30
3.23,3.27,3.33,3.23
3.32,3.29,3.32,3.27
3.23,3.24,3.31,3.20
3.21,3.22,3.27,3.20
3.24,3.28,3.33,3.23
3.25,3.32,3.34,3.25
3.33,3.32,3.35,3.25
3.34,3.34,3.34,3.27
3.35,3.41,3.48,3.29
3.40,3.57,3.65,3.40
3.61,3.40,3.63,3.38
3.37,3.44,3.49,3.30
3.49,3.53,3.53,3.41
3.50,3.63,3.65,3.45
3.65,3.72,3.77,3.57
